"dataset_id","source_pkg","object","title","slab","yi","vi","measure","trt"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",11,-3.36729582998647,1.03448275862069,"PLO","beta-blockers"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",12,-1.23969088692802,0.117224880382775,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",13,-1.88273124743378,0.164596273291925,"PLO","beta-blockers"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",14,-1.45861502269952,0.123255813953488,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",15,-1.3143208614948,0.0704809286898839,"PLO","beta-blockers"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",16,-0.626455806061273,0.0494994438264739,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",17,-3.19867311755068,0.520408163265306,"PLO","beta-blockers"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",18,-1.29098418131557,0.115909090909091,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",19,-0.628608659422374,0.191666666666667,"PLO","beta-blockers"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",20,-2.4423470353692,0.543478260869565,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",21,-1.25276296849537,0.321428571428571,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",22,-3.66356164612965,2.05128205128205,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",23,-2.36712361413162,0.364583333333333,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",24,0.451985123743057,0.116883116883117,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",25,-2.32238772029023,0.219607843137255,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",26,0.265703165733006,0.0768115942028985,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",27,-0.78845736036427,0.290909090909091,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",28,-0.693147180559945,0.25,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",29,-1.89711998488588,0.383333333333333,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",30,-0.367724780125317,0.188034188034188,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",31,-1.23969088692802,0.117224880382775,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",32,0.725937003382936,0.0989247311827957,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",33,-0.581921545449721,0.0820433436532508,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",34,-1.73460105538811,0.130718954248366,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",35,-0.750305594399894,0.0866013071895425,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",36,-0.268263986594679,0.0678733031674208,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",37,-1.80828877117927,0.116393442622951,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",38,-0.321583624127462,0.0594827586206897,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",39,-0.882389180198474,0.117816091954023,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",40,-0.65677953638907,0.108465608465608,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",41,-3.76120011569356,2.04651162790698,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",42,-1.73460105538811,0.392156862745098,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",43,-0.430782916092454,0.126923076923077,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",44,-0.405465108108164,0.119047619047619,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",45,-1.28451166680995,0.0411866359447005,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",46,-1.6094379124341,0.0521739130434783,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",47,-0.559615787935423,0.0785714285714286,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",48,-0.521296923633286,0.0838815789473684,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",49,-1.20397280432594,0.433333333333333,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",50,1.09861228866811,0.333333333333333,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",51,-1.79175946922805,0.388888888888889,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",52,-1.52605630349505,0.243478260869565,"PLO","control"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",53,-0.980829253011726,0.229166666666667,"PLO","sclerotherapy"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",54,-2.39789527279837,0.545454545454545,"PLO","control"
