"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","study_id","group_id","es_id","pub_year","instructions","stimuli","valence","tnttime","repetitions","dv","cluster","group","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",27,0.811036589096956,0.0738272319126118,"from_dataset","8","19","23",2010,"aided","words","negative",3,12,"Recall Acc","repression","CP",3.68037191033757,0.811036589096956,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",28,0.869090125574972,0.0765366012881089,"from_dataset","8","19","27",2010,"aided","words","negative",3,12,"Recall Acc","repression","CP",3.61464302397257,0.869090125574972,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",29,0.294700093693717,0.0579680040339746,"from_dataset","8","20","24",2010,"unspecified","words","negative",3,12,"Recall Acc","repression","CP",4.15341977726332,0.294700093693717,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",30,0.306094715143542,0.0581581659621891,"from_dataset","8","20","28",2010,"unspecified","words","negative",3,12,"Recall Acc","repression","CP",4.14662392163401,0.306094715143542,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",31,0.683492895387641,0.0822387512681794,"from_dataset","9","21","34",2009,"unspecified","words","negative",3,12,"Recall Acc","control","HC",3.48707867806757,0.683492895387641,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",32,-0.260171620488008,0.0689229757369119,"from_dataset","9","22","31",2009,"unspecified","words","negative",3,12,"Recall Acc","depression","CP",3.80906154742334,0.260171620488008,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",33,0.935820919511887,0.0958586931132025,"from_dataset","9","23","35",2009,"aided","words","negative",3,12,"Recall Acc","control","HC",3.22986409117856,0.935820919511887,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",34,0.381798864497998,0.071525679097732,"from_dataset","9","24","36",2009,"aided","words","negative",3,12,"Recall Acc","control","HC",3.73911657177978,0.381798864497998,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",35,0.759940759235197,0.0859169985848989,"from_dataset","9","25","32",2009,"aided","words","negative",3,12,"Recall Acc","depression","CP",3.41161842708597,0.759940759235197,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",36,0.751979930810301,0.0855157938780489,"from_dataset","9","26","33",2009,"aided","words","negative",3,12,"Recall Acc","depression","CP",3.41961201314258,0.751979930810301,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",37,0.276927396777852,0.057685799530171,"from_dataset","10","27","39",2005,"unspecified","words","negative",4,12,"Recall Acc","control","HC",4.1635668476793,0.276927396777852,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",38,0.00394413795433311,0.0555559876728945,"from_dataset","10","28","40",2005,"unspecified","words","positive",4,12,"Recall Acc","control","HC",4.2426241873481,0.00394413795433311,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",39,0.498785099075157,0.0624662937516504,"from_dataset","10","29","37",2005,"unspecified","words","negative",4,12,"Recall Acc","depression","CP",4.00107903641004,0.498785099075157,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",40,0.0883293477567378,0.0557722798243092,"from_dataset","10","30","38",2005,"unspecified","words","positive",4,12,"Recall Acc","depression","CP",4.23438947170354,0.0883293477567378,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",41,0.65861650115857,0.0869205605570842,"from_dataset","11","31","42",2013,"unspecified","pictures","negative",4,8,"Hits","control","HC",3.39186642336413,0.65861650115857,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",42,0.436725621004224,0.0842588180015971,"from_dataset","11","32","41",2013,"unspecified","pictures","negative",4,8,"Hits","repression","CP",3.44502453122268,0.436725621004224,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",43,0.0160575976761786,0.0217419331135123,"from_dataset","12","33","44",2007,"unspecified","words","negative",4,16,"Recall Acc","control","HC",6.78189282547907,0.0160575976761786,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",44,0.423920578651123,0.0236924854022163,"from_dataset","12","33","46",2007,"unspecified","words","neutral",4,16,"Recall Acc","control","HC",6.49672807037275,0.423920578651123,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",45,-0.031656406847324,0.0217500231314618,"from_dataset","12","33","48",2007,"unspecified","words","negative",4,8,"Recall Acc","control","HC",6.7806314305558,0.031656406847324,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",46,0.360148976451441,0.0231489922308589,"from_dataset","12","33","50",2007,"unspecified","words","neutral",4,8,"Recall Acc","control","HC",6.57255085918098,0.360148976451441,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",47,0.439004356335029,0.0378056004289851,"from_dataset","12","34","43",2007,"unspecified","words","negative",4,16,"Recall Acc","repression","CP",5.14306401595871,0.439004356335029,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",48,0.40313947096743,0.0372848522939983,"from_dataset","12","34","45",2007,"unspecified","words","neutral",4,16,"Recall Acc","repression","CP",5.17885541638007,0.40313947096743,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",49,0.331409700232235,0.0363764205070348,"from_dataset","12","34","47",2007,"unspecified","words","negative",4,8,"Recall Acc","repression","CP",5.24312267539904,0.331409700232235,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",50,0.358194867785251,0.0366948890225464,"from_dataset","12","34","49",2007,"unspecified","words","neutral",4,8,"Recall Acc","repression","CP",5.22032102296179,0.358194867785251,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",51,0.667328337689408,0.101888629595138,"from_dataset","13","35","54",2014,"direct","pictures","negative",3,10,"Identification","control","HC",3.13283224016283,0.667328337689408,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",52,0.308554293161326,0.0873002396595119,"from_dataset","13","35","55",2014,"direct","pictures","negative",3,10,"Gist","control","HC",3.38448257150562,0.308554293161326,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",53,1.93065190867825,0.238642366353457,"from_dataset","13","35","56",2014,"direct","pictures","negative",3,10,"Details","control","HC",2.04703951717376,1.93065190867825,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",54,0.501400726387154,0.0938084453508986,"from_dataset","13","36","51",2014,"direct","pictures","negative",3,10,"Identification","mixed","CP",3.26496876363694,0.501400726387154,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",55,0.446781204249801,0.0916505601862876,"from_dataset","13","36","52",2014,"direct","pictures","negative",3,10,"Gist","mixed","CP",3.30318150428078,0.446781204249801,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",56,0.639697240039265,0.100383856621411,"from_dataset","13","36","53",2014,"direct","pictures","negative",3,10,"Details","mixed","CP",3.15622577144451,0.639697240039265,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",57,0.0624219532379065,0.0667965500082012,"from_dataset","14","37","57",2014,"direct","pictures","negative",3.5,5,"Recall Acc","anxiety","CP",3.86921607985708,0.0624219532379065,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",58,0.4433637382644,0.0732190468135928,"from_dataset","14","37","58",2014,"direct","pictures","neutral",3.5,5,"Recall Acc","anxiety","CP",3.69562558077534,0.4433637382644,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",59,0.622134115870284,0.0795683619376567,"from_dataset","14","37","59",2014,"direct","pictures","positive",3.5,5,"Recall Acc","anxiety","CP",3.54511062038053,0.622134115870284,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",60,1.305703550134,0.123495392027751,"from_dataset","14","38","60",2014,"direct","pictures","negative",3.5,5,"Recall Acc","control","HC",2.84560505353707,1.305703550134,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",61,0.811090925363104,0.0885956163068792,"from_dataset","14","38","61",2014,"direct","pictures","neutral",3.5,5,"Recall Acc","control","HC",3.35964881770358,0.811090925363104,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",62,0.913197298847804,0.0944643102207642,"from_dataset","14","38","62",2014,"direct","pictures","positive",3.5,5,"Recall Acc","control","HC",3.253614696898,0.913197298847804,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",63,0.0719373791743696,0.02784965259059,"from_dataset","15","39","64",2014,"unspecified","words","neutral",3.5,16,"Recall Acc","control","HC",5.99225255183104,0.0719373791743696,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",64,-0.462499114586932,0.0307486865415791,"from_dataset","15","40","63",2014,"unspecified","words","neutral",3.5,16,"Recall Acc","mixed","CP",5.70278128099329,0.462499114586932,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",65,0.348296524717616,0.0294626454045885,"from_dataset","16","41","66",2016,"unspecified","words","neutral",3,5,"Recall Acc","control","HC",5.82591481988521,0.348296524717616,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",66,0.242515883078467,0.0285946382436851,"from_dataset","16","42","65",2016,"unspecified","words","neutral",3,5,"Recall Acc","depression","CP",5.91367831632944,0.242515883078467,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",67,0.454285048274767,0.0612881918079446,"from_dataset","17","43","69",2016,"aided","words","mixed",3,8,"Recall Acc","control","HC",4.03935102655386,0.454285048274767,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",68,-0.703460039609573,0.0693015563146528,"from_dataset","17","44","70",2016,"unspecified","words","mixed",3,8,"Recall Acc","control","HC",3.79864322794085,0.703460039609573,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",69,-0.819421087458355,0.0742069699603176,"from_dataset","17","45","67",2016,"aided","words","mixed",3,8,"Recall Acc","depression","CP",3.67094308051404,0.819421087458355,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",70,-0.845732171241704,0.075423969596478,"from_dataset","17","46","68",2016,"unspecified","words","mixed",3,8,"Recall Acc","depression","CP",3.6412064813999,0.845732171241704,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",71,0.329116726803083,0.0172812936054227,"from_dataset","18","47","72",2019,"aided","words","mixed",3,8,"Recall Acc","control","HC",7.60697301403641,0.329116726803083,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",72,-0.478984045298137,0.0185785476304181,"from_dataset","18","48","71",2019,"aided","words","mixed",3,8,"Recall Acc","depression","CP",7.33658781021067,0.478984045298137,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",73,0.244247955049835,0.0605781489278243,"from_dataset","19","49","74",2015,"unspecified","pictures","neutral",5,12,"Recall Acc","control","HC",4.06295489215118,0.244247955049835,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",74,-0.196041141189606,0.0536429507641822,"from_dataset","19","50","73",2015,"unspecified","pictures","neutral",5,12,"Recall Acc","mixed","CP",4.31761257917139,0.196041141189606,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",75,-0.171123264772516,0.0100459562957743,"from_dataset","19","51","76",2015,"unspecified","words","negative",4.5,16,"Recall Acc","control","HC",9.9771007493107,0.171123264772516,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",76,0.0906261371152186,0.00984418184670797,"from_dataset","19","52","75",2015,"unspecified","words","negative",4.5,16,"Recall Acc","mixed","CP",10.0788315361199,0.0906261371152186,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",77,0.152571878818813,0.063227443068947,"from_dataset","20","53","79",2017,"unspecified","words","negative",3,12,"Recall Acc","control","HC",3.97692307333964,0.152571878818813,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",78,0.232585290346697,0.0641904974151768,"from_dataset","20","53","80",2017,"unspecified","words","neutral",3,12,"Recall Acc","control","HC",3.94697730722306,0.232585290346697,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",79,0.137340194041478,0.0630894477781047,"from_dataset","20","54","77",2017,"unspecified","words","negative",3,12,"Recall Acc","depression","CP",3.98127005138478,0.137340194041478,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",80,0.289137821293853,0.0651125212407049,"from_dataset","20","54","78",2017,"unspecified","words","neutral",3,12,"Recall Acc","depression","CP",3.91893214557222,0.289137821293853,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",81,0.0616137406948611,0.0417457552717169,"from_dataset","21","55","83",2007,"unspecified","words","neutral",3,8,"Recall Acc","control","HC",4.89433665259098,0.0616137406948611,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",82,0.0624934634065085,0.0417480298535113,"from_dataset","21","55","84",2007,"unspecified","words","neutral",3,16,"Recall Acc","control","HC",4.89420332030291,0.0624934634065085,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",83,0.281147462201259,0.0451966064239611,"from_dataset","21","56","81",2007,"unspecified","words","neutral",3,8,"Recall Acc","mixed","CP",4.703780923089,0.281147462201259,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",84,0.557106097420764,0.0502253739952912,"from_dataset","21","56","82",2007,"unspecified","words","neutral",3,16,"Recall Acc","mixed","CP",4.46209086931242,0.557106097420764,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",85,0.0432957351789423,0.0333645753447448,"from_dataset","22","57","86",2013,"unspecified","words","neutral",4,12,"Recall Acc","control","HC",5.47466058479985,0.0432957351789423,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",86,-0.122073939628404,0.03358170077894,"from_dataset","22","57","88",2013,"unspecified","words","mixed",4,12,"Recall Acc","control","HC",5.45693343493325,0.122073939628404,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",87,-0.0754511236666801,0.0334282145343761,"from_dataset","22","58","85",2013,"unspecified","words","neutral",4,12,"Recall Acc","depression","CP",5.46944689114869,0.0754511236666801,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",88,-0.0477275026643511,0.0333712985751763,"from_dataset","22","58","87",2013,"unspecified","words","mixed",4,12,"Recall Acc","depression","CP",5.47410907406641,0.0477275026643511,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",89,-0.236918531952808,0.0934604723083034,"from_dataset","23","59","89",2018,"direct","pictures","neutral",2,12,"Hits","anxiety","CP",3.27104120017671,0.236918531952808,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",90,0.523955426075087,0.0874818957120587,"from_dataset","23","60","90",2018,"direct","pictures","neutral",2,12,"Hits","control","HC",3.38096680841766,0.523955426075087,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",91,0.266221390455977,0.0313768761929745,"from_dataset","24","61","92",2005,"unspecified","words","neutral",3,16,"Recall Acc","control","HC",5.6454055771542,0.266221390455977,"CRAN",NA,NA,"CRAN"
