"dataset_id","source_pkg","object","title","slab","yi","vi","measure","authorname","doi","percentolfactoryloss","comments","objectivity","measured","testtype","country","patienttype"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",19,0.336472236621213,0.0571428571428571,"PLO","Gelardi et al.","10.23750/abm.v91i2.9524",58.33333333,"I could not find this paper","Subjective","smell only, taste and smell","Self Reported, Not specified","Italy","Not specified"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",20,-1.16760516015506,0.0936507936507937,"PLO","Giacomelli et al.","10.1093/cid/ciaa330",23.72881356,"Changed to 14 cases","Subjective","Taste and Smell, Smell only","Self Reported","Italy","Hospitalized"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",21,-0.978989326089719,0.0101153721156971,"PLO","Shoer et al.","10.1101/2020.05.18.20105569.this",27.30923695,"Changed cases to 136","Subjective","Taste or smell","Self Reported Survey","Israel","Home-quarantined, not specified"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",22,0.840406034349282,0.0137647622087456,"PLO","Vaira et al. 3","10.1002/hed.26269",69.85507246,"Looks good, Measures Mild-servere hyponosmia + Anosmia","Objective","Smell","Connecticut Chemosensory Clinical Research Center orthonasal olfaction test, home discrimination test, validated test from previoud Vaira et al study","Italy","Home-quarantined hospital staff, and hospitalized patients"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",23,-0.352821374622742,0.0654885654885655,"PLO","Bocksberger et al.","10.1007/s00106-020-00891-4",41.26984127,"Check on this; some english","Subjective","Taste and/or Smell","Sniffin Sticks Screening 12 Test and Taste Strips for some patients","Germany","hospitalized"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",24,-2.91531070624342,0.0958351992834751,"PLO","Mao","10.1101/2020.02.22.20026500",5.140186916,"Good study; subjective","Subjective","Smell only","Self Reported, EHR Records","China","Hospitalized"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",25,0.590868331439527,0.0215811965811966,"PLO","Spinato","10.1001/jama.2020.6771",64.35643564,"Subjective","Subjective","Taste or Smell","SNOT-22","Italy","Home-quarantined"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",26,-0.770108221696074,0.0585185185185185,"PLO","Beltran-Corbellini","10.1007/s00405-020-05999-5",31.64556962,"Subjective","Subjective","Smell only","Self Reported","Spain","Hospitalized?"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",27,-1.09861228866811,0.19047619047619,"PLO","Trubiano et al.","10.1093/cid/ciaa655",25,"looks good","Subjective","Taste and Smell, Smell only","Self Reported","Australia","Unspecified, Clinically evaluated"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",28,4.07753744390572,1.01694915254237,"PLO","Moein et al.","10.1111/alr.22587.",98.33333333,"good","Objective","Smell","University of Pennsylvania Smell Identification Test","Iran","Hospitalized"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",29,1.69167601067107,0.169172932330827,"PLO","Hornuss et al.","10.1101/2020.04.28.20083311",84.44444444,"Good","Objective","Smell","Sniffin Sticks","Germany","Hospitalized"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",30,0.347196199984189,0.0322012578616352,"PLO","Yan et al. 2","10.1111/alr.22592.",58.59375,"68 ambulatory + 7 admitted of all covid positive; are we sure this does not overlap with Yan 1?","Subjective","Smell","Self Reported","US","Hospitalized and home-quarantined"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",31,-0.105360515657827,0.0351851851851852,"PLO","Klopfenstein et al.","10.1016/j.medmal.2020.04.006",47.36842105,"Good","Subjective","Smell","Self Reported","France","Hospitalized and home-quarantined"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",32,-2.12261371354504,0.00940939756184164,"PLO","Gudbjartsson","10.1056/NEJMoa2006100",10.6918239,"Good","Subjective","Taste or Smell","Self Reported","Iceland","Unknown"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",33,-1.22377543162212,0.0369747899159664,"PLO","Wee et al","10.1007/s00405-020-05999-5",22.72727273,NA,"Subjective","Smell or Taste","Self Reported, Unspecified","Singapore","Hospitalized"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",34,-0.287682072451781,0.0972222222222222,"PLO","Dawson et al","10.1101/2020.05.13.20101006.t",42.85714286,NA,"Subjective","Smell","Self Reported","US","Home-quarantined"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",35,-1.03918886819731,0.0260334903192046,"PLO","Ji Yun Noh et al","10.1016/j.jinf.2020.05.035",26.13065327,NA,"Subjective","Smell only","Self Reported","South Korea","Unspecified, Likely Hospitalized and Home-quarantined"
