"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","study_id","es_id","ni","author","transfer","test","allocation","comparison","baseline","age_group","mean_age_exp","mean_age_control","pop","year","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",-0.0743269076290563,0.0735450787916176,"from_dataset",1,18,53,"Ang et al. (2015)_S1","Far","Additional Fluency Task","Non-random","Active",0.333466666660091,"children","81.73 months","81.73 months","children with poor WM",2015,3.68742496113534,0.0743269076290563,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",-0.147087889018277,0.0736970633000907,"from_dataset",1,19,53,"Ang et al. (2015)_S1","Far","Subtraction Fluency Task","Non-random","Active",-0.0173044575315619,"children","81.73 months","81.73 months","children with poor WM",2015,3.68362073416804,0.147087889018277,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",0.100942668934111,0.0735890875955217,"from_dataset",1,20,53,"Ang et al. (2015)_S1","Far","Subtraction Fluency Task","Non-random","Active",-0.0173044575315619,"children","81.73 months","81.73 months","children with poor WM",2015,3.68632219279892,0.100942668934111,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",0.0388046982222834,0.0760806708466771,"from_dataset",1,21,51,"Ang et al. (2015)_S2","Near","Animal Updating Task","Non-random","Non-Active",0.0839264403412177,"children","81.73 months","81.73 months","children with poor WM",2015,3.62545762445491,0.0388046982222834,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",-0.163340706470542,0.0763274785112474,"from_dataset",1,22,51,"Ang et al. (2015)_S2","Near","Animal Updating Task","Non-random","Non-Active",0.0839264403412177,"children","81.73 months","81.73 months","children with poor WM",2015,3.6195913541867,0.163340706470542,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",-0.0540419956156253,0.0760945407749712,"from_dataset",1,23,51,"Ang et al. (2015)_S2","Near","Letter Rotation Task","Non-random","Non-Active",0.230717750512862,"children","81.73 months","81.73 months","children with poor WM",2015,3.62512719911582,0.0540419956156253,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",-0.416746927728188,0.0777686335639983,"from_dataset",1,24,51,"Ang et al. (2015)_S2","Near","Letter Rotation Task","Non-random","Non-Active",0.230717750512862,"children","81.73 months","81.73 months","children with poor WM",2015,3.58589662837655,0.416746927728188,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",1.17720101097184,0.0896522043332359,"from_dataset",1,25,51,"Ang et al. (2015)_S2","Near","Block Recall task","Non-random","Non-Active",0.0525145432403799,"children","81.73 months","81.73 months","children with poor WM",2015,3.33979272109511,1.17720101097184,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",0.155355523752789,0.0763025290246808,"from_dataset",1,26,51,"Ang et al. (2015)_S2","Near","Block Recall task","Non-random","Non-Active",0.0525145432403799,"children","81.73 months","81.73 months","children with poor WM",2015,3.62018307484171,0.155355523752789,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",0.692925498724245,0.0807732192994038,"from_dataset",1,27,51,"Ang et al. (2015)_S2","Near","Backward Letter Recall task","Non-random","Non-Active",-0.166652968047603,"children","81.73 months","81.73 months","children with poor WM",2015,3.51857087713205,0.692925498724245,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",0.749938356214215,0.0815797074497865,"from_dataset",1,28,51,"Ang et al. (2015)_S2","Near","Backward Letter Recall task","Non-random","Non-Active",-0.166652968047603,"children","81.73 months","81.73 months","children with poor WM",2015,3.50113557396117,0.749938356214215,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",-0.206700452770112,0.0764847813620815,"from_dataset",1,29,51,"Ang et al. (2015)_S2","Far","Numerical Operation task","Non-random","Non-Active",-0.017973952414792,"children","81.73 months","81.73 months","children with poor WM",2015,3.61586731209168,0.206700452770112,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",-0.381946488814337,0.077496134726221,"from_dataset",1,30,51,"Ang et al. (2015)_S2","Far","Numerical Operation task","Non-random","Non-Active",-0.017973952414792,"children","81.73 months","81.73 months","children with poor WM",2015,3.59219562113338,0.381946488814337,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",-0.0439912674966639,0.0760848809154206,"from_dataset",1,31,51,"Ang et al. (2015)_S2","Far","Additional Fluency Task","Non-random","Non-Active",0.370452778919274,"children","81.73 months","81.73 months","children with poor WM",2015,3.62535731781847,0.0439912674966639,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",-0.192172379064374,0.0764279690689432,"from_dataset",1,32,51,"Ang et al. (2015)_S2","Far","Additional Fluency Task","Non-random","Non-Active",0.370452778919274,"children","81.73 months","81.73 months","children with poor WM",2015,3.61721097956617,0.192172379064374,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",-0.611894902660086,0.0797366469966504,"from_dataset",1,33,51,"Ang et al. (2015)_S2","Far","Subtraction Fluency Task","Non-random","Non-Active",0.221961876455129,"children","81.73 months","81.73 months","children with poor WM",2015,3.54136764721856,0.611894902660086,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S2 2015",0.0329943329865731,0.0760765808604526,"from_dataset",1,34,51,"Ang et al. (2015)_S2","Far","Subtraction Fluency Task","Non-random","Non-Active",0.221961876455129,"children","81.73 months","81.73 months","children with poor WM",2015,3.62555507804894,0.0329943329865731,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ashman-East (2015) 2015",0.534949313860511,0.140457297194111,"from_dataset",14,35,28,"Ashman-East (2015)","Far","Grade Four Literacy Test (Maths)","Random","Active",0.107978983229163,"children","5th grade","5th grade","low achievement students",2015,2.66825816131327,0.534949313860511,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ashman-East (2015) 2015",0.511045569481536,0.140010811581377,"from_dataset",14,36,28,"Ashman-East (2015)","Far","Grade Four Literacy Test (Maths)","Random","Active",0.107978983229163,"children","5th grade","5th grade","low achievement students",2015,2.67250922807717,0.511045569481536,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ashman-East (2015) 2015",0.396304822383127,0.138151703334188,"from_dataset",14,37,28,"Ashman-East (2015)","Near","AWMA (digital recall - Verbal Short Term Memory)","Random","Active",0.10163301090148,"children","5th grade","5th grade","low achievement students",2015,2.69043112165273,0.396304822383127,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ashman-East (2015) 2015",1.16988336270605,0.159786874228693,"from_dataset",14,38,28,"Ashman-East (2015)","Near","AWMA (listening recall - Verbal Working Memory)","Random","Active",-0.302079392790958,"children","5th grade","5th grade","low achievement students",2015,2.50166671036203,1.16988336270605,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ashman-East (2015) 2015",0.939642071098105,0.151113662432999,"from_dataset",14,39,28,"Ashman-East (2015)","Near","AWMA (dot matrix - Visuospatial Short Term Memory)","Random","Active",0.0140361471201371,"children","5th grade","5th grade","low achievement students",2015,2.57245706087119,0.939642071098105,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ashman-East (2015) 2015",0.37770590775584,0.13789463620043,"from_dataset",14,40,28,"Ashman-East (2015)","Near","AWMA (spatial recall - Visuospatial Working Memory)","Random","Active",-0.298959104109327,"children","5th grade","5th grade","low achievement students",2015,2.69293774337874,0.37770590775584,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bennett et al. (2013) 2013",0.154067370853601,0.176506979009479,"from_dataset",39,41,21,"Bennett et al. (2013)","Near","AWMA - Verbal STM - word recall","Random","Non-Active",0.00320973689278327,"children","7 to 12","7 to 12","Children with Down Syndrome",2013,2.38023073658735,0.154067370853601,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bennett et al. (2013) 2013",-0.1155505281402,0.176259721147377,"from_dataset",39,42,21,"Bennett et al. (2013)","Near","AWMA - Verbal STM - word recall","Random","Non-Active",0.00320973689278327,"children","7 to 12","7 to 12","Children with Down Syndrome",2013,2.38189965023848,0.1155505281402,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bennett et al. (2013) 2013",0.550498358120547,0.183157257284042,"from_dataset",39,43,21,"Bennett et al. (2013)","Near","AWMA - Verbal WM counting recall","Random","Non-Active",-0.320113582695649,"children","7 to 12","7 to 12","Children with Down Syndrome",2013,2.33661916385541,0.550498358120547,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bennett et al. (2013) 2013",0.358915229083,0.179008964412002,"from_dataset",39,44,21,"Bennett et al. (2013)","Near","AWMA - Verbal WM counting recall","Random","Non-Active",-0.320113582695649,"children","7 to 12","7 to 12","Children with Down Syndrome",2013,2.36353811337454,0.358915229083,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bennett et al. (2013) 2013",0.85014689050904,0.193150145216156,"from_dataset",39,45,21,"Bennett et al. (2013)","Near","AWMA - Visuospatial STM - dot matrix","Random","Non-Active",-0.406159170172937,"children","7 to 12","7 to 12","Children with Down Syndrome",2013,2.27537237202449,0.85014689050904,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bennett et al. (2013) 2013",0.300637424980948,0.178093791069894,"from_dataset",39,46,21,"Bennett et al. (2013)","Near","AWMA - Visuospatial STM - dot matrix","Random","Non-Active",-0.406159170172937,"children","7 to 12","7 to 12","Children with Down Syndrome",2013,2.36960310687442,0.300637424980948,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bennett et al. (2013) 2013",0.669640387211369,0.186618443138594,"from_dataset",39,47,21,"Bennett et al. (2013)","Near","AWMA - Visuospatial WM - odd one out","Random","Non-Active",-0.414232675422417,"children","7 to 12","7 to 12","Children with Down Syndrome",2013,2.31484927820744,0.669640387211369,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bennett et al. (2013) 2013",0.594520471979324,0.184357403696164,"from_dataset",39,48,21,"Bennett et al. (2013)","Near","AWMA - Visuospatial WM - odd one out","Random","Non-Active",-0.414232675422417,"children","7 to 12","7 to 12","Children with Down Syndrome",2013,2.32900117872843,0.594520471979324,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bergman-Nutley  et al. (2011) 2011",1.55929654781694,0.103877626917682,"from_dataset",33,49,49,"Bergman-Nutley  et al. (2011)","Near","Grid Task","Random","Active",0.281184623376825,"children","4.7","4.7","TD children",2011,3.10269431676679,1.55929654781694,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bergman-Nutley  et al. (2011) 2011",0.889163282168789,0.0871348271046546,"from_dataset",33,50,49,"Bergman-Nutley  et al. (2011)","Near","AWMA - Odd One Out","Random","Active",-0.148193880361465,"children","4.7","4.7","TD children",2011,3.38769351762287,0.889163282168789,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bergman-Nutley  et al. (2011) 2011",0.216155084573112,0.0795441299437325,"from_dataset",33,51,49,"Bergman-Nutley  et al. (2011)","Near","Word Span","Random","Active",0.266037027166907,"children","4.7","4.7","TD children",2011,3.54565056316215,0.216155084573112,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bergman-Nutley  et al. (2011) 2011",-0.118202222365924,0.0792099334619512,"from_dataset",33,52,49,"Bergman-Nutley  et al. (2011)","Far","Leiter","Random","Active",-0.0295505555914808,"children","4.7","4.7","TD children",2011,3.55312245883005,0.118202222365924,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bergman-Nutley  et al. (2011) 2011",-0.103315975142547,0.0791762847410065,"from_dataset",33,53,49,"Bergman-Nutley  et al. (2011)","Far","Raven Set A","Random","Active",0.206631950285094,"children","4.7","4.7","TD children",2011,3.55387739022524,0.103315975142547,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bergman-Nutley  et al. (2011) 2011",-0.104115852696192,0.0791779778028738,"from_dataset",33,54,49,"Bergman-Nutley  et al. (2011)","Far","Raven Set AB","Random","Active",0.104115852696192,"children","4.7","4.7","TD children",2011,3.55383939376068,0.104115852696192,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bergman-Nutley  et al. (2011) 2011",-0.562261268143621,0.0822932596689128,"from_dataset",33,55,49,"Bergman-Nutley  et al. (2011)","Far","Raven Set B","Random","Active",0.210847975553858,"children","4.7","4.7","TD children",2011,3.48592362254986,0.562261268143621,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bergman-Nutley  et al. (2011) 2011",0.10946884856951,0.0791896443133277,"from_dataset",33,56,49,"Bergman-Nutley  et al. (2011)","Far","Block Design","Random","Active",0.164203272854265,"children","4.7","4.7","TD children",2011,3.5535776017552,0.10946884856951,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bergman-Nutley & Klingberg (2014) 2014",0.746699552692484,0.0107735550400021,"from_dataset",2,57,427,"Bergman-Nutley & Klingberg (2014)","Near","Odd One Out","Non-random","Non-Active",-0.44801973161549,"children","11.1","11","children with WM deficits",2014,9.63430703365606,0.746699552692484,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bergman-Nutley & Klingberg (2014) 2014",0.865293063275363,0.0110111909013461,"from_dataset",2,58,428,"Bergman-Nutley & Klingberg (2014)","Near","""Following Instruction"" task","Non-random","Non-Active",-0.432646531637682,"children","11.1","11","children with WM deficits",2014,9.52977954190674,0.865293063275363,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bergman-Nutley & Klingberg (2014) 2014",0.194765999869283,0.0106711825111354,"from_dataset",2,59,402,"Bergman-Nutley & Klingberg (2014)","Far","Arithmetic development test","Non-random","Non-Active",0.0177059999881166,"children","11.1","11","children with WM deficits",2014,9.68040943125881,0.194765999869283,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bigorra et al. (2016) 2016",0.797730165258042,0.0691435888158436,"from_dataset",36,60,61,"Bigorra et al. (2016)","Near","Working memory index","Random","Active",-0.0132955027543007,"children","8.7899999999999991","9.0399999999999991","children with ADHD",2016,3.8029799990055,0.797730165258042,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bigorra et al. (2016) 2016",0.119468143938481,0.0708270228180077,"from_dataset",36,61,55,"Bigorra et al. (2016)","Near","Working memory index","Random","Active",-0.0132742382153868,"children","8.7899999999999991","9.0399999999999991","children with ADHD",2016,3.75751312796259,0.119468143938481,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bigorra et al. (2016) 2016",0.396896293464595,0.0663312741690223,"from_dataset",36,62,60,"Bigorra et al. (2016)","Far","Conners’ Continuous Performance Test (commissions)","Random","Active",-0.0930225687807641,"children","8.7899999999999991","9.0399999999999991","children with ADHD",2016,3.88276253188643,0.396896293464595,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bigorra et al. (2016) 2016",0.171849636685288,0.0723148273701919,"from_dataset",36,63,54,"Bigorra et al. (2016)","Far","Conners’ Continuous Performance Test (commissions)","Random","Active",-0.092891695505561,"children","8.7899999999999991","9.0399999999999991","children with ADHD",2016,3.71865872259406,0.171849636685288,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bigorra et al. (2016) 2016",0.57789387652912,0.067801563042055,"from_dataset",36,64,60,"Bigorra et al. (2016)","Far","Detectability of CPT","Random","Active",-0.115578775305824,"children","8.7899999999999991","9.0399999999999991","children with ADHD",2016,3.84043259534367,0.57789387652912,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bigorra et al. (2016) 2016",0.115464941341555,0.0721648260280636,"from_dataset",36,65,54,"Bigorra et al. (2016)","Far","Detectability of CPT","Random","Active",-0.115464941341555,"children","8.7899999999999991","9.0399999999999991","children with ADHD",2016,3.72252150636982,0.115464941341555,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bigorra et al. (2016) 2016",-0.00767350092224232,0.0639278959146451,"from_dataset",36,66,61,"Bigorra et al. (2016)","Far","Tower of London","Random","Active",-0.00767350092224198,"children","8.7899999999999991","9.0399999999999991","children with ADHD",2016,3.95507564926899,0.00767350092224232,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Bigorra et al. (2016) 2016",0.0842787104675156,0.0707618433963892,"from_dataset",36,67,55,"Bigorra et al. (2016)","Far","Tower of London","Random","Active",-0.00766170095159217,"children","8.7899999999999991","9.0399999999999991","children with ADHD",2016,3.75924327057041,0.0842787104675156,"CRAN",NA,NA,"CRAN"
