"dataset_id","source_pkg","object","title","slab","yi","vi","measure","year","country","design","cases","or","orlb","orub"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Liu 1991",-0.301105092783922,0.180233473435612,"from_dataset",1991,"China","case-control",54,0.74,0.32,1.69
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Jockel 1991",0.819779831493311,0.317147722864399,"from_dataset",1991,"Germany","case-control",23,2.27,0.75,6.82
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Brownson 1992",-0.0304592074847086,0.0125468451490273,"from_dataset",1992,"USA","case-control",431,0.97,0.78,1.21
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Stockwell 1992",0.470003629245736,0.113696292350967,"from_dataset",1992,"USA","case-control",210,1.6,0.8,3
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Du 1993",0.173953307123438,0.0893367804165667,"from_dataset",1993,"China","case-control",75,1.19,0.66,2.13
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Liu 1993",0.506817602368452,0.175985594791832,"from_dataset",1993,"China","case-control",38,1.66,0.73,3.78
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Fontham 1994",0.231111720963387,0.0100290474315282,"from_dataset",1994,"USA","case-control",651,1.26,1.04,1.54
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Kabat 1995",0.0953101798043249,0.0862143558865863,"from_dataset",1995,"USA","case-control",67,1.1,0.62,1.96
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Zaridze 1995",0.506817602368452,0.0398749675436979,"from_dataset",1995,"Russia","case-control",162,1.66,1.12,2.45
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Sun 1996",0.148420005118273,0.0363997555696295,"from_dataset",1996,"China","case-control",230,1.16,0.8,1.69
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Wang 1996",0.104360015324243,0.0664195066219777,"from_dataset",1996,"China","case-control",135,1.11,0.67,1.84
