"dataset_id","source_pkg","object","title","slab","yi","vi","measure","year","grade","length","minutes","wic","feedback","info","pers","imag","meta","subject"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Hyser 1992",0.58,0.073,"from_dataset",1992,1,24,10,1,0,1,1,1,0,"Social Studies"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Johnson, LA 1991",0.54,0.061,"from_dataset",1991,3,19,NA,0,1,1,0,0,0,"Algebra"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Johnson, VM 1998",0.09,0.1,"from_dataset",1998,1,4,15,1,0,1,0,0,0,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Kasparek 1993",0.37,0.06,"from_dataset",1993,3,12,NA,1,1,1,1,0,1,"Algebra"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Konopack et al. 1990",-0.01,0.083,"from_dataset",1990,2,1,NA,1,0,1,0,0,0,"World History"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Langer & Applebee 1987",-0.13,0.037,"from_dataset",1987,3,1,35,1,0,1,0,0,0,"Social Studies"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Langer & Applebee 1987",0.18,0.069,"from_dataset",1987,3,1,20,1,0,1,0,0,0,"Social Studies"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Licata 1993",0.27,0.018,"from_dataset",1993,3,1,15,1,1,1,0,0,0,"Math in Science"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Lodholz 1980",-0.02,0.009,"from_dataset",1980,1,14,15,1,1,1,0,0,0,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Madden 1993",0.33,0.053,"from_dataset",1993,1,20,8,1,0,1,1,0,1,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Millican 1994",0.59,0.017,"from_dataset",1994,1,10,NA,1,1,1,1,1,1,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Moynihan 1994",0.84,0.112,"from_dataset",1994,1,7,10,1,1,1,1,0,1,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Mulvaney 1991",-0.32,0.06,"from_dataset",1991,4,11,NA,1,1,1,0,0,0,"Management"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Nieswandt 1997",0.12,0.044,"from_dataset",1997,3,NA,NA,0,1,1,0,0,0,"Chemistry"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Radmacher 1995",1.12,0.129,"from_dataset",1995,4,NA,NA,0,1,1,0,0,1,"Psychology"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Reaves 1991",-0.12,0.023,"from_dataset",1991,3,1,NA,1,0,1,0,0,0,"Natural Resources"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Rivard 1996",-0.44,0.205,"from_dataset",1996,2,6,55,1,0,1,0,0,0,"Science"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Rodgers 1996",-0.07,0.033,"from_dataset",1996,4,15,NA,0,1,1,0,0,0,"Algebra"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Ross & Faucette 1994",0.7,0.265,"from_dataset",1994,4,15,NA,0,1,1,0,0,0,"Algebra"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Sharp 1987",0.49,0.039,"from_dataset",1987,4,2,15,1,0,0,1,0,1,"Biology"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Shepard 1992",0.2,0.021,"from_dataset",1992,2,4,NA,0,1,1,0,0,0,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Stewart 1992",0.58,0.067,"from_dataset",1992,3,24,5,1,1,1,1,0,1,"Algebra"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Ullrich 1926",0.15,0.014,"from_dataset",1926,4,11,NA,0,1,1,0,0,0,"Educational Psychology"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Weiss & Walters 1980",0.63,0.168,"from_dataset",1980,4,15,3,1,0,1,0,0,0,"Statistics"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Wells 1986",0.04,0.016,"from_dataset",1986,1,8,15,1,0,1,1,0,1,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Willey 1988",1.46,0.099,"from_dataset",1988,3,15,NA,NA,0,1,1,0,1,"Biology"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Willey 1988",0.04,0.087,"from_dataset",1988,2,15,NA,NA,0,1,1,0,1,"Social Studies"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Youngberg 1989",0.25,0.072,"from_dataset",1989,4,15,10,1,1,1,0,0,0,"Algebra"
