"dataset_id","source_pkg","object","title","k","measure","n_mods","moderators"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",160,"ZCOR",2,"type|struct"
"metadat_dat.michael2013","metadat","dat.michael2013","The Non-Persuasive Power of a Brain Image",12,"from_dataset",10,"no_brain_n|no_brain_m|no_brain_s|brain_n|brain_m|brain_s|included_critique|medium|compensation|participant_pool"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",16,"ZCOR",8,"year|authors|controls|design|a_measure|c_measure|meanage|quality"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",1828,"ZCOR",13,"studyid|effectsizeid|species|speciesid|subphylum|phylum|assortmenttrait|traitdimensions|fieldcollection|publicationyear|pooleddata|spatiallypooled|temporallypooled"
"metadat_dat.normand1999","metadat","dat.normand1999","Studies on the Length of Hospital Stay of Stroke Patients",9,"SMD",1,"source"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",54,"PLO",1,"trt"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",14,"PLO",1,"authors"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ",19,"from_dataset",4,"year|weeks|setting|tester"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",113,"from_dataset",5,"studyid|aget1|aget2|propmale|sexmix"
"meta_Fleiss93","meta","Fleiss93","Aspirin after Myocardial Infarction",7,"RR",1,"year"
"meta_Fleiss93cont","meta","Fleiss93cont","Mental Health Treatment",5,"SMD",1,"year"
"meta_Olkin95","meta","Olkin95","Thrombolytic Therapy after Acute Myocardial Infarction",70,"RR",1,"year"
"dmetar_DepressionMortality","dmetar","DepressionMortality","Effect of Depression on All-Cause Mortality",18,"RR",1,"country"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",36,"from_dataset",4,"pubyear|reputation|quality|continent"
"dmetar_SuicidePrevention","dmetar","SuicidePrevention","Effects of Suicide Prevention on Suicidal Ideation (toy dataset)",9,"SMD",3,"pubyear|age_group|control"
