"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","estimate","ci_025","ci_975","sig95","precision","abs_yi","source","repo","branch","repo_license"
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",15,0.0011,2.89e-08,"estimate","speciesquercusKelloggi:ppt_budInit",0.0011,0.000774,0.00145,"*",5882.35294117647,0.0011,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",16,0,0,"estimate","speciesquercusAgrifoli:temp_budInit",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",17,0.0481,0.218089,"estimate","speciesquercusChrysole:temp_budInit",0.0481,-0.872,0.965," ",2.14132762312634,0.0481,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",18,0.0175,0.012321,"estimate","speciesquercusKelloggi:temp_budInit",0.0175,-0.204,0.225," ",9.00900900900901,0.0175,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",19,0,0,"estimate","speciesquercusAgrifoli:I(temp_budInit^2)",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",20,-0.308,0.018225,"estimate","speciesquercusChrysole:I(temp_budInit^2)",-0.308,-0.566,-0.0492,"*",7.40740740740741,0.308,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",21,0.0221,0.00042436,"estimate","speciesquercusKelloggi:I(temp_budInit^2)",0.0221,-0.018,0.0623," ",48.5436893203883,0.0221,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",22,0,0,"estimate","speciesquercusAgrifoli:tmean_Poll",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",23,-1.14,0.133225,"estimate","speciesquercusChrysole:tmean_Poll",-1.14,-1.9,-0.466,"*",2.73972602739726,1.14,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",24,0.102,0.013456,"estimate","speciesquercusKelloggi:tmean_Poll",0.102,-0.109,0.338," ",8.62068965517241,0.102,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",25,0,0,"estimate","speciesquercusAgrifoli:I(tmean_Poll^2)",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",26,0.195,0.011881,"estimate","speciesquercusChrysole:I(tmean_Poll^2)",0.195,-0.0049,0.4," ",9.1743119266055,0.195,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",27,-0.00469,0.000196,"estimate","speciesquercusKelloggi:I(tmean_Poll^2)",-0.00469,-0.0322,0.0237," ",71.4285714285714,0.00469,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",28,0,0,"estimate","speciesquercusAgrifoli:temp_Fert",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",29,0.161,0.262144,"estimate","speciesquercusChrysole:temp_Fert",0.161,-0.826,1.13," ",1.953125,0.161,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",30,-0.334,0.006084,"estimate","speciesquercusKelloggi:temp_Fert",-0.334,-0.483,-0.187,"*",12.8205128205128,0.334,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",31,0,0,"estimate","speciesquercusAgrifoli:I(temp_Fert^2)",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",32,0.0807,0.00368449,"estimate","speciesquercusChrysole:I(temp_Fert^2)",0.0807,-0.0377,0.202," ",16.4744645799012,0.0807,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",33,0.107,9.76144e-05,"estimate","speciesquercusKelloggi:I(temp_Fert^2)",0.107,0.0882,0.127,"*",101.214574898785,0.107,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",34,0,0,"estimate","speciesquercusAgrifoli:ppt_Poll",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",35,-0.00155,2.809e-07,"estimate","speciesquercusChrysole:ppt_Poll",-0.00155,-0.00256,-0.000496,"*",1886.79245283019,0.00155,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",36,0.000814,3.5721e-08,"estimate","speciesquercusKelloggi:ppt_Poll",0.000814,0.000446,0.00117,"*",5291.00529100529,0.000814,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",37,0,0,"estimate","speciesquercusAgrifoli:ppt_Fert",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",38,-0.000702,2.94849e-07,"estimate","speciesquercusChrysole:ppt_Fert",-0.000702,-0.00179,0.00032," ",1841.62062615101,0.000702,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",39,-0.000404,3.0976e-08,"estimate","speciesquercusKelloggi:ppt_Fert",-0.000404,-0.000761,-6.77e-05,"*",5681.81818181818,0.000404,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",40,0,0,"estimate","speciesquercusAgrifoli:diam:ppt_budInit",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",41,-4.65e-05,1.31044e-09,"estimate","speciesquercusChrysole:diam:ppt_budInit",-4.65e-05,-0.000118,2.92e-05," ",27624.3093922652,4.65e-05,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",42,4.46e-06,2.27529e-11,"estimate","speciesquercusKelloggi:diam:ppt_budInit",4.46e-06,-5.3e-06,1.36e-05," ",209643.605870021,4.46e-06,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",43,0,0,"estimate","speciesquercusAgrifoli:diam:temp_budInit",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",44,-0.0773,0.00123904,"estimate","speciesquercusChrysole:diam:temp_budInit",-0.0773,-0.149,-0.00291,"*",28.4090909090909,0.0773,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",45,-0.00839,9.61e-06,"estimate","speciesquercusKelloggi:diam:temp_budInit",-0.00839,-0.0143,-0.0024,"*",322.58064516129,0.00839,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",46,0,0,"estimate","speciesquercusAgrifoli:diam:tmean_Poll",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",47,0.0742,0.00052441,"estimate","speciesquercusChrysole:diam:tmean_Poll",0.0742,0.0262,0.122,"*",43.6681222707424,0.0742,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",48,-0.00283,7.2361e-06,"estimate","speciesquercusKelloggi:diam:tmean_Poll",-0.00283,-0.0081,0.00199," ",371.747211895911,0.00283,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",49,0,0,"estimate","speciesquercusAgrifoli:diam:temp_Fert",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",50,-0.0212,0.00016641,"estimate","speciesquercusChrysole:diam:temp_Fert",-0.0212,-0.046,0.00684," ",77.5193798449612,0.0212,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",51,0.000725,3.61e-06,"estimate","speciesquercusKelloggi:diam:temp_Fert",0.000725,-0.00303,0.00458," ",526.315789473684,0.000725,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",52,0,0,"estimate","speciesquercusAgrifoli:diam:ppt_Poll",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",53,2.73e-05,3.1684e-10,"estimate","speciesquercusChrysole:diam:ppt_Poll",2.73e-05,-7.37e-06,6.28e-05," ",56179.7752808989,2.73e-05,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",54,-2.42e-05,2.69361e-11,"estimate","speciesquercusKelloggi:diam:ppt_Poll",-2.42e-05,-3.44e-05,-1.44e-05,"*",192678.227360308,2.42e-05,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",55,0,0,"estimate","speciesquercusAgrifoli:diam:ppt_Fert",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",56,-7.41e-05,8.3521e-10,"estimate","speciesquercusChrysole:diam:ppt_Fert",-7.41e-05,-0.00013,-1.15e-05,"*",34602.0761245675,7.41e-05,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",57,-6.22e-06,2.47009e-11,"estimate","speciesquercusKelloggi:diam:ppt_Fert",-6.22e-06,-1.59e-05,3.53e-06," ",201207.243460765,6.22e-06,"GitHub","FecundityShinyApp","main",NA
