"dataset_id","source_pkg","object","title","slab","yi","vi","measure","year","hrs","ets","homework","type"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",36,0.13,0.0933,"from_dataset",1985,15,0,0,2
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",37,0.13,0.0933,"from_dataset",1985,15,0,0,2
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",38,0.13,0.0445,"from_dataset",1960,30,0,0,2
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",39,0.34,0.0451,"from_dataset",1960,30,0,0,2
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",40,0.06,0.0527,"from_dataset",1979,20,0,1,2
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",41,0.09,0.0385,"from_dataset",1962,10,1,1,2
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",42,-0.11,0.0401,"from_dataset",1962,10,1,1,2
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",43,-0.1,0.1066,"from_dataset",1988,6,0,0,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",44,-0.08,0.1065,"from_dataset",1988,6,0,0,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",45,-0.14,0.1007,"from_dataset",1988,6,0,0,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",46,-0.29,0.1015,"from_dataset",1988,6,0,0,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",47,-0.16,0.1092,"from_dataset",1988,6,0,0,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",48,-0.34,0.1104,"from_dataset",1988,6,0,0,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",49,-0.07,0.1089,"from_dataset",1988,6,0,0,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",50,-0.06,0.1089,"from_dataset",1988,6,0,0,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",51,-0.02,0.0186,"from_dataset",1958,15,1,1,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",52,0.21,0.0186,"from_dataset",1958,15,1,1,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",53,0.06,0.0096,"from_dataset",1953,15,1,1,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",54,0.17,0.0097,"from_dataset",1953,15,1,1,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",55,0.06,0.0154,"from_dataset",1955,4.5,1,1,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",56,0.2,0.0126,"from_dataset",1955,15,1,1,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",57,0.15,0.0067,"from_dataset",1978,40,0,0,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",58,0.03,0.0067,"from_dataset",1978,40,0,0,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",59,0.17,0.1029,"from_dataset",1976,14,0,0,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",60,-0.19,0.1029,"from_dataset",1976,14,0,0,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",61,0.02,0.0385,"from_dataset",1961,NA,1,1,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",62,0.1,0.0386,"from_dataset",1961,NA,1,1,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",63,-0.04,0.032,"from_dataset",1987,63,0,1,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",64,0.6,0.0333,"from_dataset",1987,63,0,1,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",65,0.4,0.1699,"from_dataset",1992,18,0,0,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",66,0.54,0.0797,"from_dataset",1988,27,0,1,3
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",67,0.57,0.08,"from_dataset",1988,27,0,1,3
