"id","package","object","title"
"metadat_dat.linde2015","metadat","dat.linde2015","Studies on Classes of Antidepressants for the Primary Care Setting"
"metadat_dat.linde2016","metadat","dat.linde2016","Studies on Antidepressants for the Primary Care Setting"
"metadat_dat.lopez2019","metadat","dat.lopez2019","Studies on the Effectiveness of CBT for Depression"
"metadat_dat.maire2019","metadat","dat.maire2019","Studies on Temporal Trends in Fish Community Structures in French Rivers"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews"
"metadat_dat.michael2013","metadat","dat.michael2013","The Non-Persuasive Power of a Brain Image"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating"
"metadat_dat.nakagawa2007","metadat","dat.nakagawa2007","Assessing the Function of House Sparrows' Bib Size Using a Flexible Meta-Analysis Method"
"metadat_dat.nielweise2007","metadat","dat.nielweise2007","Studies on Anti-Infective-Treated Central Venous Catheters for Prevention of Catheter-Related Bloodstream Infections"
"metadat_dat.nielweise2008","metadat","dat.nielweise2008","Studies on Anti-Infective-Treated Central Venous Catheters for Prevention of Catheter-Related Bloodstream Infections"
"metadat_dat.normand1999","metadat","dat.normand1999","Studies on the Length of Hospital Stay of Stroke Patients"
"metadat_dat.obrien2003","metadat","dat.obrien2003","Studies on the Relationship Between BMI and Risk of Preeclampsia"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis"
"metadat_dat.pignon2000","metadat","dat.pignon2000","Studies on the Effectiveness of Locoregional Treatment plus Chemotherapy for Head and Neck Squamous-Cell Carcinoma"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma"
"metadat_dat.roever2022","metadat","dat.roever2022","Irinotecan / S-1 Toxicity Dataset"
"metadat_dat.senn2013","metadat","dat.senn2013","Studies on the Effectiveness of Glucose-Lowering Agents"
"metadat_dat.spooner2002","metadat","dat.spooner2002","Studies on Nedocromil Sodium for Preventing Exercise-Induced Bronchoconstriction"
"metadat_dat.stowe2010","metadat","dat.stowe2010","Studies on Adjuvant Treatments to Levodopa Therapy for Parkinson disease"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior"
"metadat_dat.ursino2021","metadat","dat.ursino2021","Sorafenib Toxicity Dataset"
"metadat_dat.vanhowe1999","metadat","dat.vanhowe1999","Studies on the Association between Circumcision and HIV Infection"
"metadat_dat.viechtbauer2021","metadat","dat.viechtbauer2021","Studies to Illustrate Model Checking Methods"
"metadat_dat.white2020","metadat","dat.white2020","Studies on the Relationship between Sexual Signal Expression and Individual Quality"
"metadat_dat.woods2010","metadat","dat.woods2010","Studies on Treatments for Chronic Obstructive Pulmonary Disease"
"metadat_dat.yusuf1985","metadat","dat.yusuf1985","Studies of Beta Blockers During and After Myocardial Infarction"
