"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","author","year","grade","length","minutes","wic","feedback","info","pers","imag","meta","subject","ni","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Radmacher 1995",1.12,0.129,"from_dataset","Radmacher",1995,4,NA,NA,0,1,1,0,0,1,"Psychology",36,2.78423023194852,1.12,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Reaves 1991",-0.12,0.023,"from_dataset","Reaves",1991,3,1,NA,1,0,1,0,0,0,"Natural Resources",177,6.59380473395787,0.12,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Rivard 1996",-0.44,0.205,"from_dataset","Rivard",1996,2,6,55,1,0,1,0,0,0,"Science",20,2.20863052149693,0.44,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Rodgers 1996",-0.07,0.033,"from_dataset","Rodgers",1996,4,15,NA,0,1,1,0,0,0,"Algebra",120,5.5048188256318,0.07,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Ross & Faucette 1994",0.7,0.265,"from_dataset","Ross & Faucette",1994,4,15,NA,0,1,1,0,0,0,"Algebra",16,1.94257172471453,0.7,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Sharp 1987",0.49,0.039,"from_dataset","Sharp",1987,4,2,15,1,0,0,1,0,1,"Biology",105,5.06369683541833,0.49,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Shepard 1992",0.2,0.021,"from_dataset","Shepard",1992,2,4,NA,0,1,1,0,0,0,"Math",195,6.90065559342354,0.2,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Stewart 1992",0.58,0.067,"from_dataset","Stewart",1992,3,24,5,1,1,1,1,0,1,"Algebra",62,3.86333704643128,0.58,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Ullrich 1926",0.15,0.014,"from_dataset","Ullrich",1926,4,11,NA,0,1,1,0,0,0,"Educational Psychology",289,8.45154254728517,0.15,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Weiss & Walters 1980",0.63,0.168,"from_dataset","Weiss & Walters",1980,4,15,3,1,0,1,0,0,0,"Statistics",25,2.43975018237133,0.63,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Wells 1986",0.04,0.016,"from_dataset","Wells",1986,1,8,15,1,0,1,1,0,1,"Math",250,7.90569415042095,0.04,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Willey 1988",1.46,0.099,"from_dataset","Willey",1988,3,15,NA,NA,0,1,1,0,1,"Biology",51,3.17820863081864,1.46,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Willey 1988",0.04,0.087,"from_dataset","Willey",1988,2,15,NA,NA,0,1,1,0,1,"Social Studies",46,3.39031751810405,0.04,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Youngberg 1989",0.25,0.072,"from_dataset","Youngberg",1989,4,15,10,1,1,1,0,0,0,"Algebra",56,3.72677996249965,0.25,"CRAN",NA,NA,"CRAN"
