Study,Host species,Host,Host reproduction,Parasite,Parasite type,General Or Specific,Ability to cause death,Environment,Parasite measure,PGSN,Micro or macro,nTotal,n1i,n2i,m1i,m2i,sd1i,sd2i,tval,dval
10b,Bumblebee (Bombus terrestris),Insect,Sexual,Multiple,Many,General,Yes,Field,Parasite load,>Species,Microparasites,17,7,10,0.575,0.312,0.793221281,0.626099034,NA,NA
11a,Bumblebee (Bombus terrestris),Insect,Sexual,Nosema bombi,Fungus,General,No,Field,Parasite prevalence,>1 Genotype,Microparasites,22,11,11,12.2,16.4,4.76,7.09,NA,NA
12a,Italian agile frog (Rana latastei),Amphibian,Sexual,Ranavirus (frog virus 3),Virus,General,Yes,Field,Host mortality,>1 Genotype,Microparasites,20,10,10,9.9,5.8,0.3162278,2.8596814,NA,NA
12b,Italian agile frog (Rana latastei),Amphibian,Sexual,Ranavirus (frog virus 3),Virus,General,Yes,Field,Host mortality,>1 Genotype,Microparasites,20,10,10,9.6,5.7,0.6992059,3.3015148,NA,NA
12c,Italian agile frog (Rana latastei),Amphibian,Sexual,Ranavirus (frog virus 3),Virus,General,Yes,Field,Host mortality,>1 Genotype,Microparasites,20,10,10,9.4,6.5,1.0749677,2.8771128,NA,NA
13a,Ant (Formica selysi),Insect,Sexual,Metarhizium anisopliae,Fungus,General,Yes,Lab,Host mortality,1 Genotype,Microparasites,55,27,28,30,39,20.78460969,26.45751311,NA,NA
13b,Ant (Formica selysi),Insect,Sexual,Metarhizium anisopliae,Fungus,General,Yes,Lab,Host mortality,1 Genotype,Microparasites,96,64,32,49,44,40,28.28427125,NA,NA
13c,Ant (Formica selysi),Insect,Sexual,Metarhizium anisopliae,Fungus,General,Yes,Lab,Host mortality,>Species,Microparasites,80,64,16,49,38,40,20,NA,NA
14a,Ant (Monomorium pharaonis),Insect,Sexual,Beauveria bassiana,Fungus,General,Yes,Lab,Host mortality,>1 Genotype,Microparasites,28,11,17,0.218,0.17,0.34744898,0.387755102,NA,NA
14b,Ant (Monomorium pharaonis),Insect,Sexual,Beauveria bassiana,Fungus,General,Yes,Lab,Host mortality,>1 Genotype,Microparasites,35,18,17,0.104,0.17,0.434693878,0.387755102,NA,NA
14c,Ant (Monomorium pharaonis),Insect,Sexual,Beauveria bassiana,Fungus,General,Yes,Lab,Host mortality,>1 Genotype,Microparasites,26,9,17,0.095,0.17,0.428571429,0.387755102,NA,NA
15a,Honeybee (A. mellifera L.),Insect,Sexual,Paenibacillus larvae - American foulbrood,Bacteria,General,Yes,Field,Parasite prevalence,>1 Genotype,Microparasites,49,24,25,23.0143,2.7357,25.3902,4.3978,NA,NA
15b,Honeybee (A. mellifera L.),Insect,Sexual,Paenibacillus larvae - American foulbrood,Bacteria,General,Yes,Field,Parasite prevalence,>1 Genotype,Microparasites,49,24,25,51.3071,5.9429,54.0782,8.7938,NA,NA
16a,Bumblebee (Bombus terrestris),Insect,Sexual,Crithidia bombi,Protozoa,General,Yes,Lab,Parasite prevalence,>1 Genotype,Microparasites,55,12,43,NA,NA,NA,NA,3.01,NA
16b,Bumblebee (Bombus terrestris),Insect,Sexual,Crithidia bombi,Protozoa,General,Yes,Lab,Parasite prevalence,>1 Genotype,Microparasites,31,12,19,NA,NA,NA,NA,2.05,NA
17a,Guppy (Poecilia reticulata),Fish,Sexual,Gyrodactylus turnbulii (strain Gt3),Worm,General,Yes,Lab,Parasite load,>1 Genotype,Macroparasites,72,36,36,123,60,192,132,NA,NA
18a,Daphnia dentifera,Daphnia,Sexual,Metschnikowia bicuspidata,Fungus,General,Yes,Lab,Parasite prevalence,>1 Genotype,Microparasites,20,10,10,0.09107143,0.19558613,0.140846465,0.060373478,NA,NA
19a,Honeybee (A. mellifera L.),Insect,Sexual,Sacbrood (a viral disease),Virus,General,Yes,Field,Parasite prevalence,>Species,Microparasites,20,10,10,NA,NA,NA,NA,0.18,NA
19b,Honeybee (A. mellifera L.),Insect,Sexual,Acosphaera apis (chalkbrood disease),Fungus,General,Yes,Field,Parasite prevalence,>Species,Microparasites,20,10,10,NA,NA,NA,NA,2.36,NA
19c,Honeybee (A. mellifera L.),Insect,Sexual,European foulbrood (Melissoccus plutonius),Bacteria,General,Yes,Field,Parasite prevalence,>Species,Microparasites,20,10,10,NA,NA,NA,NA,1.29,NA
19d,Honeybee (A. mellifera L.),Insect,Sexual,Paenibacillus larvae - American foulbrood,Bacteria,General,Yes,Field,Parasite prevalence,>Species,Microparasites,20,10,10,NA,NA,NA,NA,1.5,NA
20a,Honeybee (A. mellifera L.),Insect,Sexual,Acosphaera apis (chalkbrood disease),Fungus,General,Yes,Lab,Parasite prevalence,1 Genotype,Microparasites,48,24,24,1.51535,1.74315,1.15359,0.20817,NA,NA
21a,Pseudomonas aeruginosa,Bacteria,Asexual,Bacteriophage,Virus,Specific,Yes,Lab,Parasite prevalence,1 Genotype,Microparasites,56,48,8,139250004.2,14870150,243258244,34150392.16,NA,NA
21b,Pseudomonas aeruginosa,Bacteria,Asexual,Bacteriophage,Virus,Specific,Yes,Lab,Parasite prevalence,1 Genotype,Microparasites,56,48,8,139250004.2,880200,243258244,2031311.506,NA,NA
21c,Pseudomonas aeruginosa,Bacteria,Asexual,Bacteriophage,Virus,Specific,Yes,Lab,Parasite prevalence,1 Genotype,Microparasites,54,48,6,139250004.2,1,243258244,0,NA,NA
21d,Pseudomonas aeruginosa,Bacteria,Asexual,Bacteriophage,Virus,Specific,Yes,Lab,Parasite prevalence,1 Genotype,Microparasites,54,48,6,139250004.2,1,243258244,0,NA,NA
21e,Streptococcus thermophilus,Bacteria,Asexual,Bacteriophage,Virus,Specific,Yes,Lab,Parasite prevalence,1 Genotype,Microparasites,72,44,28,211501381.8,33.05900026,341040842,312.724345,NA,NA
22a,Rainbow trout (Oncorhynchus mykiss),Fish,Sexual,Infectious hematopoietic necrosis virus (IHNV),Virus,Specific,Yes,Lab,Parasite prevalence,1 Genotype,Microparasites,5,2,3,8.001,7.877,0.907625473,1.195723212,NA,NA
22b,Rainbow trout (Oncorhynchus mykiss),Fish,Sexual,Infectious hematopoietic necrosis virus (IHNV),Virus,Specific,Yes,Lab,Parasite prevalence,1 Genotype,Microparasites,5,2,3,6.649,6.768,1.019803903,1.175215299,NA,NA
22c,Rainbow trout (Oncorhynchus mykiss),Fish,Sexual,Infectious hematopoietic necrosis virus (IHNV),Virus,Specific,Yes,Lab,Parasite prevalence,1 Genotype,Microparasites,4,2,2,7.558,7.492,1.060877467,1.267850543,NA,NA
22d,Rainbow trout (Oncorhynchus mykiss),Fish,Sexual,Infectious hematopoietic necrosis virus (IHNV),Virus,Specific,Yes,Lab,Parasite prevalence,1 Genotype,Microparasites,4,2,2,8.234,7.894,1.035376446,1.445423322,NA,NA
23a,Galapagos Hawk (Buteo galapagoensis),Bird,Sexual,Colpocephalum turbinatum,Louse,General,No,Field,Parasite load,>Species,Macroparasites,8,4,4,145.08702,55.19696,48.69301,26.90481,NA,NA
23b,Galapagos Hawk (Buteo galapagoensis),Bird,Sexual,Degeerialla regalis,Louse,General,No,Field,Parasite load,>Species,Macroparasites,8,4,4,29.56202,12.15676,18.979819,7.104464,NA,NA
