"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","author","year","country","design","cases","or","orlb","orub","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Shimizu 1988",0.0769610411361284,0.071085191722119,"from_dataset","Shimizu",1988,"Japan","case-control",90,1.08,0.64,1.82,3.75068360827213,0.0769610411361284,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Inoue 1988",0.936093359170335,0.398195433354185,"from_dataset","Inoue",1988,"Japan","case-control",22,2.55,0.74,8.78,1.58471753140019,0.936093359170335,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Kalandidi 1990",0.482426149244293,0.089623124068944,"from_dataset","Kalandidi",1990,"Greece","case-control",90,1.62,0.9,2.91,3.34033451306526,0.482426149244293,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Sobue 1990",0.0582689081239758,0.0337198883325506,"from_dataset","Sobue",1990,"Japan","case-control",144,1.06,0.74,1.52,5.44574041976369,0.0582689081239758,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Wu-Williams 1990",-0.23572233352107,0.0161294909173902,"from_dataset","Wu-Williams",1990,"China","case-control",417,0.79,0.62,1.02,7.87389592029813,0.23572233352107,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Liu 1991",-0.301105092783922,0.180233473435612,"from_dataset","Liu",1991,"China","case-control",54,0.74,0.32,1.69,2.35549547227207,0.301105092783922,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Jockel 1991",0.819779831493311,0.317147722864399,"from_dataset","Jockel",1991,"Germany","case-control",23,2.27,0.75,6.82,1.77569839135707,0.819779831493311,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Brownson 1992",-0.0304592074847086,0.0125468451490273,"from_dataset","Brownson",1992,"USA","case-control",431,0.97,0.78,1.21,8.92755904034583,0.0304592074847086,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Stockwell 1992",0.470003629245736,0.113696292350967,"from_dataset","Stockwell",1992,"USA","case-control",210,1.6,0.8,3,2.96569748398656,0.470003629245736,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Du 1993",0.173953307123438,0.0893367804165667,"from_dataset","Du",1993,"China","case-control",75,1.19,0.66,2.13,3.34568347668339,0.173953307123438,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Liu 1993",0.506817602368452,0.175985594791832,"from_dataset","Liu",1993,"China","case-control",38,1.66,0.73,3.78,2.38375402759026,0.506817602368452,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Fontham 1994",0.231111720963387,0.0100290474315282,"from_dataset","Fontham",1994,"USA","case-control",651,1.26,1.04,1.54,9.98550784858779,0.231111720963387,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Kabat 1995",0.0953101798043249,0.0862143558865863,"from_dataset","Kabat",1995,"USA","case-control",67,1.1,0.62,1.96,3.40572993038854,0.0953101798043249,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Zaridze 1995",0.506817602368452,0.0398749675436979,"from_dataset","Zaridze",1995,"Russia","case-control",162,1.66,1.12,2.45,5.00783289642743,0.506817602368452,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Sun 1996",0.148420005118273,0.0363997555696295,"from_dataset","Sun",1996,"China","case-control",230,1.16,0.8,1.69,5.24144178209458,0.148420005118273,"CRAN",NA,NA,"CRAN"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke","Wang 1996",0.104360015324243,0.0664195066219777,"from_dataset","Wang",1996,"China","case-control",135,1.11,0.67,1.84,3.88018272115613,0.104360015324243,"CRAN",NA,NA,"CRAN"
