Study ID;N_Treatment;N_Control;N_Total;N Before;Mean Before;SD Before;N After;Mean After;SD After;Cohen's d;Hedges_g;Variance d;Var_g;Pearson_r;Fisher_z;Var_z;Outcome_Category;Platform_Type;Content_Strategy;Influencer_Tier;Interactivity_Level;Destination_Type
"Study_48;250;256;506;256;3,46;0,92;250;3,79;0,9;0,36;0,35946402;0,0079;0,007876494;0,177152998;0,179041904;0,001988072;Brand Attitudes;Twitter/X;Mixed;N/A;Low;Nation-Branding"
"Study_49;99;103;202;103;3,05;1,01;99;3,6;1,09;0,52;0,518047559;0,0201;0,019949345;0,251633852;0,257156349;0,005025126;Brand Loyalty;TikTok/YouTube;UGC;Micro;High;Emerging"
"Study_50;150;147;297;147;3,28;0,9;150;3,87;0,97;0,63;0,628396947;0,0134;0,013331893;0,300446573;0,310010416;0,003401361;Engagement Intentions;TripAdvisor/Other;DMO;Mid;Low;Well-known City"
"Study_51;86;89;175;89;3,12;0,96;86;3,41;0,92;0,31;0,308654124;0,0224;0,022205921;0,153170954;0,15438597;0,005813953;Brand Awareness;Facebook;Mixed;Macro/Mega;High;Nation-Branding"
"Study_52;171;174;345;174;3,54;0,87;171;3,83;0,88;0,33;0,329277899;0,0114;0,011350164;0,162798783;0,164260339;0,002923977;Brand Image;Instagram;UGC;N/A;Low;Emerging"
"Study_53;123;119;242;119;2,95;1,06;123;3,27;1,04;0,31;0,30903024;0,0167;0,01659568;0,153170954;0,15438597;0,0041841;Brand Attitudes;Twitter/X;DMO;Micro;High;Well-known City"
"Study_54;203;208;411;208;3,47;0,85;203;4,05;0,93;0,66;0,658788991;0,0098;0,00976407;0,313377454;0,324286295;0,00245098;Brand Loyalty;TikTok/YouTube;Mixed;Mid;Low;Nation-Branding"
"Study_55;133;131;264;131;3,22;0,97;133;3,62;0,99;0,41;0,408825215;0,0149;0,014814736;0,20082362;0,203590639;0,003831418;Engagement Intentions;TripAdvisor/Other;UGC;Macro/Mega;High;Emerging"
"Study_56;94;92;186;92;3,3;0,88;94;3,15;0,9;-0,17;-0,169306122;0,0226;0,022415887;-0,084694591;-0,084897977;0,005464481;Brand Awareness;Facebook;DMO;N/A;Low;Well-known City"
"Study_57;182;178;360;178;3,11;1,08;182;3,51;1,06;0,37;0,369224319;0,0113;0,01125267;0,1819132;0,183960658;0,00280112;Brand Image;Instagram;Mixed;Micro;High;Nation-Branding"
"Study_58;142;145;287;145;3,68;0,83;142;4,1;0,86;0,5;0,498683055;0,0132;0,013130557;0,242535625;0,247466462;0,003521127;Brand Attitudes;Twitter/X;UGC;Mid;Low;Emerging"
"Study_59;76;80;156;80;3,08;0,95;76;3,45;1;0,39;0,388097561;0,0261;0,025845987;0,191395051;0,193784867;0,006535948;Brand Loyalty;TikTok/YouTube;DMO;Macro/Mega;High;Well-known City"
Study_60;228;235;463;235;3
",9;228;3"
",92;0"
",469234943;0"
",008771374;0"
",23288907;0"
