...1,Es_id,Study,Species,Phylum,PFT,Variable,Mode,Phase,Temp,LD,Ntype,delX,fracX,delY,fracY,varfracY,sXY,varsXY,CIlow_sXY,CIup_sXY,logRR,var_logRR,CIlow_logRR,CIup_logRR
20,22,Kaffes10,Emiliania huxleyi,Haptophyta,Coc,CN,SCB,S,15,16,NO3,270,27,-2.83486888731396,-0.0235294117647059,0.00502122480733701,-8.714596949891e-4,6.88782552446778e-6,0.00514386023491783,-0.00601531992990693,-0.0251935932371399,0.00508103975393923,0.139709001073901,-0.164902594311041
21,23,Knapp12,﻿Trichodesmium ﻿erythraeum ﻿IMS101,Cyanobacteria,Dz,CP,B,S,27,12,N2NO3,11,2.2,-0.394684285339556,-0.237757813488549,0.0048503619201472,-0.108071733403886,0.0010021408925924,0.0620458134883196,-0.170117546892205,-0.267949110870187,0.00800940456865284,0.175407519305072,-0.443356630175259
22,24,Knapp12,﻿Trichodesmium ﻿erythraeum ﻿IMS101,Cyanobacteria,Dz,CN,B,S,27,12,N2NO3,11,2.2,-29.9490865528601,-0.158730158730159,0.0176111028357527,-0.0721500721500721,0.00363865761069271,0.118227549133361,-0.190377621283433,-0.16751968186856,0.0224279344993363,0.293523400791872,-0.461043082660432
23,25,Knapp12,Crocosphaera watsonii WH8501,Cyanobacteria,Dz,CP,B,S,27,12,N2NO3,11,2.2,0.25488067824768,0.0739918608953016,0.143750347875195,0.0336326640433189,0.0297004850981807,0.337776835291144,-0.304144171247825,0.115609013055294,0.133099835474703,0.715050723387673,-0.599441710332378
24,26,Knapp12,Crocosphaera watsonii WH8501,Cyanobacteria,Dz,CN,B,S,27,12,N2NO3,11,2.2,-24.3040212107821,-0.150684931506849,0.00362983496758802,-0.0684931506849315,7.4996590239422e-4,0.0536746041529148,-0.122167754837846,-0.162486282768539,0.00445809352242884,0.130864749589848,-0.293351032358387
25,27,LaRoche93,Dunaliella tertiolecta,Chlorophyta,Euk,CP,B,NA,NA,24,NO3,785,8.01020408163265,2.87671232876712,0.168,0.00226235220975443,0.0209732484076433,3.52592488498219e-5,0.0116381679187576,0.00933508048888576,0.155497304591186,0.00183470881369921,0.0839521194240506,0.0715451851671351
26,28,LaRoche93,Dunaliella tertiolecta,Chlorophyta,Euk,CN,B,NA,NA,24,NO3,785,8.01020408163265,85.6301846400856,1.72972972972973,0.00445580549431171,0.215940781545877,6.94446930380457e-5,0.0163330624385446,0.199607719107332,1.00399349764535,9.0543512955145e-4,0.0589761965964384,0.945017301048908
27,29,LaRoche93,Phaeodactylum tricornutum,Bacillariophyta,Dia,CP,B,NA,NA,24,NO3,785,8.01020408163265,-2.3895212179731,-0.102510460251046,0.00804180021016091,-0.0127974842096847,1.2533319683295e-4,0.0219422495314344,-0.0347397337411191,-0.106763474188576,0.00919351709836878,0.187926893633485,-0.29469036782206
28,30,LaRoche93,Phaeodactylum tricornutum,Bacillariophyta,Dia,CN,B,NA,NA,24,NO3,785,8.01020408163265,90.4266839939355,2.19736842105263,0.066739688106665307,0.274321153201475,0.00104015248420044,0.0632115727956414,0.211109580405834,1.16303959224234,0.00794226388699237,0.174670775074044,0.988368817168293
29,31,Langer12,Calcidiscus leptoporus,Haptophyta,Coc,CP,B,S,15,16,NO3,744,124,0.194123530799596,0.0408614477563053,0.0129480204713455,3.2952780448633e-4,8.42092902662952e-7,0.00179857310354028,-0.00146904529905395,0.03842757448616,0.0125888540826394,0.219908082066545,-0.181480507580385
30,32,Langer12,Calcidiscus leptoporus,Haptophyta,Coc,CN,B,S,15,16,NO3,744,124,196.4867899539,2.02769718275668,0.147530410875342,0.0163523966351345,9.59484982279798e-6,0.00607109714014055,0.010281299494994,1.10309069366465,0.0234994890540776,0.300453523042403,0.802637170622247
31,33,Langer13,Emiliania huxleyi,Haptophyta,Coc,CP,B,S,15,16,NO3,777,259,1.09301906837315,0.352085264133457,8.2182443249722e-4,0.00135940256422184,1.22512251233169e-8,2.1693910854033e-4,0.00114246345568151,0.301780629756036,4.9359803793857e-4,0.0435446499207015,0.25823597983533503
32,34,Langer13,Emiliania huxleyi,Haptophyta,Coc,CN,B,S,15,16,NO3,777,259,145.511631438064,34.398343373494,0.789339775143328,0.132812136577197,1.17669649400475e-5,0.00672326641311677,0.12608887016408,3.56686895426062,6.3634962305515e-4,0.0494419950298388,3.51742695923078
33,35,Leong04,Alexandrium tamarense,Miozoa,Euk,CN,SCB,E,17,12,NO3,44,7.33333333333333,17.4560200790479,0.145001340123291,0.00816572155481082,0.0197729100168124,1.5184192973821e-4,0.0241514910584025,-0.00437858104159001,0.132762543375947,0.00768209520702914,0.171786065775004,-0.0390235223990569
34,36,Leong04,Alexandrium tamarense,Miozoa,Euk,CN,SCB,E,17,12,NH4,6,1,19.8095142036242,0.235032182326033,0.0668215841179789,0.235032182326033,0.0668215841179789,0.506648165616697,-0.271615983290664,0.20967348696699,0.052993403041542,0.451189511793581,-0.241516024826591
35,41,Li12,Phaeodactylum tricornutum,Bacillariophyta,Dia,CN,SCB,E,20,12,NO3,100,10,31.8005298291665,0.213381555153707,0.00178218102761937,0.0213381555153707,1.78218102761937e-5,0.00827416160624275,0.0130639939091279,0.193161763602939,0.00150081059505928,0.0759295864507483,0.117232177152191
36,42,Li12,Phaeodactylum tricornutum,Bacillariophyta,Dia,CN,SCB,E,20,12,NO3,100,10,65.425789139319,0.524714828897339,0.00447375510724445,0.0524714828897339,4.47375510724445e-5,0.0131094416427053,0.0393620412470286,0.422053179577679,0.00234350218284956,0.0948813318394265,0.327171847738253
37,43,Li17,Thalassiosira pseudonana,Bacillariophyta,Dia,CN,T,S,18,24,NO3,495,9,8.38224593742422,0.0611205432937182,0.00304729917041621,0.0067911714770798,3.76209774125459e-5,0.0120216236642376,-0.00523045218715784,0.0603558413460412,0.00274636044676724,0.102713341699311,-0.0423575003532701
38,44,Li17,Thalassiosira pseudonana,Bacillariophyta,Dia,CN,T,S,18,24,NO3,495,9,-0.2082860350462,-0.00155763239875383,9.4239384662422e-4,-1.730702665282e-4,1.16344919336324e-5,0.00668531387914935,-0.00685838414567755,-0.00120318318571711,9.4532119766679e-4,0.0602612018894929,-0.06146438507521
39,45,Li17,Thalassiosira pseudonana,Bacillariophyta,Dia,CN,T,S,18,24,NO3,495,9,23.4433801241265,0.209779179810726,0.0107860699033894,0.0233087977567473,1.3316135683196e-4,0.0226171145104268,6.9168324632046e-4,0.192810186746596,0.00782980605575027,0.173429748132165,0.0193804386144311
40,46,Li18,Thalassiosira punctigera,Bacillariophyta,Dia,CN,SCB,NA,20,12,NO3,99,99,53.6756323352749,0.455673764371746,0.0273465001140659,0.0046027652966843,2.79017448363084e-6,0.0032738876555892,0.0013288776410951,0.365110203913518,0.0223462020982312,0.292988080234101,0.0721221236794178
41,47,McKew15,Emiliania huxleyi,Haptophyta,Coc,CP,SCB,S,18,16,NH4NO3,125,5,4.03146769258422,0.696832530678554,0.0157213882665099,0.139366506135711,6.2885553066039e-4,0.0491500012736282,0.0902165048620825,0.530355063920454,0.00619930468704598,0.154319064513181,0.376035999407273
42,48,McKew15,Emiliania huxleyi,Haptophyta,Coc,CN,SCB,S,18,16,NH4NO3,125,5,130.712699905902,2.85920959774171,0.0374596328388611,0.571841919548342,0.00149838531355445,0.07586821125842,0.495973708289922,1.3511703381332,0.00277877148288032,0.103317647203195,1.24785269093001
43,49,Mou17,Synechococcus sp. PCC7002,Cyanobacteria,Pro,CN,SCB,NA,25,12,NO3,100,10,-26.0642650418652,-0.255690440060698,0.00486115949337107,-0.0255690440060698,4.86115949337107e-5,0.0136652639984053,-0.0392343080044751,-0.295479657835947,0.00589788397587685,0.150520691011444,-0.446000348847391
44,50,Mou17,Synechococcus sp. PCC7002,Cyanobacteria,Pro,CN,SCB,NA,25,12,NO3,100,10,-45.0720800235363,-0.338040600176523,0.00778689998178757,-0.0338040600176523,7.78689998178757e-5,0.0172953911840411,-0.0510994512016934,-0.414163222992483,0.00864872245261701,0.182273725899651,-0.596436948892134
45,56,Perrin16,Emiliania huxleyi,Haptophyta,Coc,CP,B,E,20,12,NO3,97.5,39,1.90433516298869,0.430379746835443,1.302408775889e-4,0.0110353781239857,8.56284533786367e-8,5.7353132219065e-4,0.0104618468017951,0.357942357319055,7.93419016568242e-5,0.0174581971569304,0.340484160162125
46,57,Perrin16,Emiliania huxleyi,Haptophyta,Coc,CN,B,E,20,12,NO3,97.5,39,85.1123504600813,1.22136222910217,0.00182112448065435,0.0313169802333889,1.19732050010148e-6,0.00214463456008541,0.0291723456733035,0.798221779332667,4.2396940742226e-4,0.0403566725566755,0.757865106775991
47,58,Perrin16,Emiliania huxleyi,Haptophyta,Coc,CP,B,E,20,12,NO3,97.5,39,4.11368015414258,2.46820809248555,0.0140444312564971,0.063287386986809,9.23368261439652e-6,0.00595573769793159,0.0573316492888774,1.24411923886769,0.00122119177116646,0.0684920280113423,1.17562721085635
48,59,Perrin16,Emiliania huxleyi,Haptophyta,Coc,CN,B,E,20,12,NO3,97.5,39,92.744264294238,4.22821100917431,0.151662708257676,0.108415666901905,9.97124972108321e-5,0.0195714448098241,0.0888442220920814,1.65569279299861,0.00598110602346271,0.151578931554941,1.50411386144367
49,60,Plum15,Rhodomonas salina,Cryptophyta,Euk,CP,B,NA,18,12,NO3,830.2,15.7234848484848,-0.424652045500062,-0.149630394752402,0.0102968217974372,-0.00951636333766179,4.16490964055693e-5,0.0126488453528816,-0.0221652086905434,-0.156956276084186,0.0136285685268151,0.228809057471002,-0.385765333555187
50,61,Plum15,Rhodomonas salina,Cryptophyta,Euk,CN,B,NA,18,12,NO3,830.2,15.7234848484848,71.8268542765801,1.43510054844607,0.194134791825582,0.0912711502745754,7.8524605159538e-4,0.0549225852570354,0.03634856501754,0.901337647806066,0.0363968819026356,0.373921279189406,0.52741636861666
51,62,Plum15,Tetraselmis sp.,Chlorophyta,Euk,CP,B,NA,18,12,NO3,830.2,15.7234848484848,4.4808511780277,0.262385202431768,0.257600189162127,0.0166874713182334,0.00104195404403101,0.0632662908127294,-0.046578819494496,0.249066431556701,0.19618947850225,0.868132364746211,-0.61906593318951
52,63,Plum15,Tetraselmis sp.,Chlorophyta,Euk,CN,B,NA,18,12,NO3,830.2,15.7234848484848,6.06201164852857,0.0459500482958465,0.0637817866807172,0.00292238322093555,2.5798773977479e-4,0.0314809351606464,-0.0285585519397108,0.0353505861903748,0.0627398041348202,0.490930111117995,-0.45557952492762
53,64,Plum15,Tetraselmis sp.,Chlorophyta,Euk,CP,B,NA,18,12,NO3,830.2,15.7234848484848,-9.90756035948192,-0.827885651198669,0.116791521995851,-0.0526528094233795,4.7240415097492e-4,0.0425995433390445,-0.095252352762424,-1.78900456644044,0.0818552313632503,0.56075261973558,-2.34975718617602
54,65,Plum15,Tetraselmis sp.,Chlorophyta,Euk,CN,B,NA,18,12,NO3,830.2,15.7234848484848,62.3976056034602,2.20893763596809,0.152339511009649,0.140486517922326,6.1619042314564e-4,0.048652545012775,0.0918339729095513,1.17247167274291,0.0153677275079092,0.242970147115405,0.929501525627507
55,66,Plum15,Skeletonema costatum,Bacillariophyta,Dia,CP,B,NA,18,12,NO3,830.2,15.7234848484848,2.77457623070881,0.277224558667502,0.094257636089686,0.0176312415052326,3.8125796966181e-4,0.0382699201791343,-0.0206386786739017,0.248916095955882,0.0690492831918063,0.515024249894867,-0.266108153938985
56,67,Plum15,Skeletonema costatum,Bacillariophyta,Dia,CN,B,NA,18,12,NO3,830.2,15.7234848484848,2.84332742921393,0.0240716100157251,0.0274483060521181,0.00153093352063393,1.1102427209323e-4,0.0206517594733163,-0.0191208259526824,0.0217002677329059,0.027071040386919,0.322478351024835,-0.30077808329193
57,68,Plum15,Skeletonema costatum,Bacillariophyta,Dia,CP,B,NA,18,12,NO3,830.2,15.7234848484848,-3.46752924875516,-0.472270548621955,0.0243868129544979,-0.0300359973105748,9.86409927011918e-5,0.0194660039939896,-0.0495020013045644,-0.644568894503988,0.0258861843720388,0.315342212984692,-0.95991110748868
58,69,Plum15,Skeletonema costatum,Bacillariophyta,Dia,CN,B,NA,18,12,NO3,830.2,15.7234848484848,62.5732973433305,2.21991286984934,0.289365019820305,0.141184533278782,0.00117043800931808,0.0670536308858111,0.0741309023929711,1.17954287474667,0.0302904074032594,0.341114867312566,0.838428007434108
59,70,Plum15,Chaetoceras danicus,Bacillariophyta,Dia,CP,B,NA,18,12,NO3,830.2,15.7234848484848,1.2245220883976,0.309779597922826,0.0383118981467633,0.0197017137681585,1.5496586915703e-4,0.0243986680984804,-0.00469695433032186,0.268476611031154,0.028059052695691,0.32831036456101,-0.0598337535298559
60,71,Plum15,Chaetoceras danicus,Bacillariophyta,Dia,CN,B,NA,18,12,NO3,830.2,15.7234848484848,73.9791069416876,1.58293095123129,0.263111172558248,0.100673035684187,0.00106424514348576,0.0639394549071563,0.0367335807770307,0.961366606279641,0.0446033739492875,0.413934806811663,0.547431799467978
61,72,Qu18,Coscinodiscus sp,Bacillariophyta,Dia,CP,SCB,E,16,12,NO3,45,9,1.46334412350988,0.138346514317749,0.0123612857322422,0.0153718349241944,1.5260846583015e-4,0.0242123757028472,-0.00884054077865288,0.133327996142687,0.0098207059163019,0.19423140160031,-0.060903405457623
62,73,Qu18,Coscinodiscus sp,Bacillariophyta,Dia,CN,SCB,E,16,12,NO3,45,9,31.3108814930102,0.302212628170534,0.00157469534889247,0.0335791809078371,1.94406833196602e-5,0.00864179289375935,0.0249373880140778,0.26378224375629,0.00125303525014721,0.0693792715032284,0.194402972253061
63,74,Qu18,Coscinodiscus sp,Bacillariophyta,Dia,CP,SCB,E,16,12,NO3,45,9,1.58712810092317,0.165874516146823,0.0256786586246502,0.0184305017940915,3.1702047684753e-4,0.0348972936934458,-0.0164667918993544,0.149991176665674,0.0226234142558538,0.294799786715267,-0.144808610049593
64,75,Qu18,Coscinodiscus sp,Bacillariophyta,Dia,CN,SCB,E,16,12,NO3,45,9,19.9680043659822,0.18875754527163,0.011635786775906,0.0209730605857366,1.4365168859143e-4,0.0234911056837937,-0.00251804509805706,0.171730354927749,0.00989239707977228,0.19493905719455,-0.0232087022668014
65,76,Qu18,Coscinodiscus sp,Bacillariophyta,Dia,CP,SCB,E,20,12,NO3,95,19,1.59289029181624,0.222209629309628,0.01552650125533,0.0116952436478752,4.30096987682272e-5,0.0128537926974338,-0.00115854904955869,0.198167115558141,0.0131307347710748,0.224591132746911,-0.0264240171887697
66,77,Qu18,Coscinodiscus sp,Bacillariophyta,Dia,CN,SCB,E,20,12,NO3,95,19,30.7248482719435,0.304175997892241,0.0092189111129195,0.01600926304696,2.55371498972839e-5,0.00990453985444601,0.00610472319251402,0.261803506731491,0.00827284660555215,0.178268896796799,0.0835346099346916
67,78,Qu18,Coscinodiscus sp,Bacillariophyta,Dia,CP,SCB,E,20,12,NO3,95,19,0.812531490615832,0.115433968154524,0.02887893295941,0.00607547200813283,7.99970442088919e-5,0.0175301269563488,-0.0114546549482159,0.117490502008936,0.024108693848537,0.304323108948165,-0.186832606939229
68,79,Qu18,Coscinodiscus sp,Bacillariophyta,Dia,CN,SCB,E,20,12,NO3,95,19,34.0369401533041,0.366577845451085,0.00551817456923102,0.019293570813215,1.52858021308338e-5,0.00766288323197455,0.0116306875812404,0.311360507003029,0.0041452607260126,0.126189731674245,0.185170775328784
69,80,Rasdi15,Tisochrysis lutea,Haptophyta,Euk,CP,B,S,21.5,12,NO3,215,2.98611111111111,1.7777715852011,0.0829756435973729,0.00688645164921901,0.0277871922744691,7.722956268156e-4,0.0544678056085822,-0.0266806133341132,0.0808013959185338,0.00616349601164198,0.153872727018907,-0.0730713311003734
70,81,Rasdi15,Tisochrysis lutea,Haptophyta,Euk,CN,B,S,21.5,12,NO3,215,2.98611111111111,164.092474601846,2.50114747210814,0.00897387712601349,0.837593572054819,0.0010063943541645,0.0621773469110895,0.775416225143729,1.25338302952704,7.7013891708008e-4,0.0543916991477294,1.19899133037932
71,82,Rasdi15,Nannochloropsis oculata,Ochrophyta,Euk,CP,B,S,21.5,12,NO3,215,2.98611111111111,6.43949494801238,0.283803007716333,0.00551927251153543,0.095041007235237,6.1897044239696e-4,0.0487621724874391,0.0462788347477979,0.250917165045074,0.00359613869674241,0.117534755357897,0.133382409687177
72,83,Rasdi15,Nannochloropsis oculata,Ochrophyta,Euk,CN,B,S,21.5,12,NO3,215,2.98611111111111,215.351481847075,3.17267822674703,0.00525379496472116,1.06247828988738,5.8919790366932e-4,0.0475749880103507,1.01490330187703,1.42858211065228,3.5831153157297e-4,0.0371003907461553,1.39148171990612
73,84,Richardson96,Rhizosolenia formosa,Bacillariophyta,Dia,CN,B,E,20,14,NO3,29.5,59,69.8611733094492,0.896551724137931,0.0159767148552048,0.0151957919345412,4.58969113909935e-6,0.00419894147500949,0.0109968504595317,0.636053756421299,0.00859592282649662,0.181716492272582,0.454337264148717
74,85,Ruan17,Synechococcus sp. UTEX LB 2380,Cyanobacteria,Pro,CP,SCB,S,25,12,NO3,528,24,-2.62578708794238,-0.109365350967476,0.0146334509849874,-0.00455688962364484,2.54052968489365e-5,0.00987893727445922,-0.0144358268981041,-0.116617743013719,0.0160843437732291,0.248570602169177,-0.365188345182896
75,86,Ruan17,Synechococcus sp. UTEX LB 2380,Cyanobacteria,Pro,CN,SCB,S,25,12,NO3,528,24,62.2133316478444,0.481439864632631,0.0288520040317574,0.020059994359693,5.00902847773566e-5,0.0138715452019253,0.00618844915776764,0.389393298990744,0.0189781661762266,0.270007118162215,0.119386180828529
76,87,Ruan17,Synechococcus sp. UTEX LB 2380,Cyanobacteria,Pro,CP,SCB,S,25,12,NH4,528,24,-4.16866285292006,-0.165656885916873,0.0229852210678257,-0.00690237024653639,3.99048976871974e-5,0.0123811558914901,-0.0192835261380265,-0.181370706161615,0.0267481967859808,0.320549678647738,-0.501920384809353
77,88,Ruan17,Synechococcus sp. UTEX LB 2380,Cyanobacteria,Pro,CN,SCB,S,25,12,NH4,528,24,104.053347196416,0.90199732947591,0.0561644272150644,0.0375832220614962,9.75076861372646e-5,0.0193538564890171,0.0182293655724791,0.632501107370799,0.0278918536468409,0.327330730633661,0.305170376737138
78,89,Staehr02,Ditylum brightwellii,Bacillariophyta,Dia,CN,B,S,15,16,NO3,60,2.4,8.7467422150522,0.31252984608603,0.315832847774616,0.130220769202513,0.0548320916275375,0.458950130231719,-0.328729361029207,0.361760878527801,0.200700785070899,0.8780568325176,-0.516295953989799
79,90,Staehr02,Ditylum brightwellii,Bacillariophyta,Dia,CN,B,S,15,16,NO3,60,2.4,-0.390579158898674,-0.0157102655083814,0.0145790760440803,-0.00654594396182558,0.00253108959098616,0.0986056612738887,-0.105151605235714,-0.0226442307557756,0.0146903375133611,0.237554891803294,-0.26019912255907
80,91,Staehr02,Brachiomonas sp.,Chlorophyta,Euk,CN,B,S,15,16,NO3,60,2.4,25.6196349046835,1.09598236158746,0.133367185708011,0.456659317328107,0.0231540252965297,0.298236876844445,0.158422440483662,0.71607893862149,0.0577343785749075,0.470939739068463,0.245139199553027
81,92,Staehr02,Brachiomonas sp.,Chlorophyta,Euk,CN,B,S,15,16,NO3,60,2.4,10.974586938363,0.544174893338731,0.0920302513171838,0.226739538891138,0.0159774741870111,0.247743434117044,-0.0210038952259065,0.437550927000201,0.0487879923553368,0.432916924567943,0.00463400243225781
82,93,Staehr02,Pyramimonas disomata,Chlorophyta,Euk,CN,B,S,15,16,NO3,60,2.4,0.634140944999615,0.0132687651331719,9.3402345239727e-4,0.00552865213882164,1.6215684937452e-4,0.024958342480336,-0.0194296903415144,0.0132462021067604,9.2015392935146e-4,0.0594536241814033,-0.0462074220746429
83,94,Staehr02,Pyramimonas disomata,Chlorophyta,Euk,CN,B,S,15,16,NO3,60,2.4,3.61344797379716,0.0781841738090491,0.0159985280962662,0.0325767390871038,0.00277752223893511,0.103294420490322,-0.0707176814032177,0.0819305405104906,0.0138872482524208,0.230970327735904,-0.149039787225413
84,95,Staehr02,Pseudo﻿scourfieldia marina,Chlorophyta,Euk,CN,B,S,15,16,NO3,60,2.4,15.7840235497631,0.282644509705609,0.0246163706928382,0.11776854571067,0.00427367546750663,0.128129420202534,-0.0103608744918633,0.256256576161134,0.0151346717241796,0.241120754380786,0.0151358217803474
85,96,Staehr02,Pseudo﻿scourfieldia marina,Chlorophyta,Euk,CN,B,S,15,16,NO3,60,2.4,20.0171540377402,0.24190730654609,0.0208194836117203,0.100794711060871,0.00361449368259034,0.117834327083961,-0.0170396160230898,0.222398611586645,0.0139515525838564,0.231504459429258,-0.00910584784261298
86,97,Steinhoff14,Aphanizomenon flos-aquae,Cyanobacteria,Dz,CP,B,NA,17,NA,N2NO3,1021.5,94.5833333333333,4.82487093159841,2.01650655715224,0.174510769116753,0.021319893115266,1.95071130841371e-5,0.00865654501653726,0.0126633480987287,1.11117649989608,0.0207651496847939,0.282433120259797,0.828743379636281
87,98,Steinhoff14,Aphanizomenon flos-aquae,Cyanobacteria,Dz,CN,B,NA,17,NA,N2NO3,1021.5,94.5833333333333,-26.2556153763354,-0.148265460030166,0.00111806682992398,-0.0015675643351207,1.24979427902e-7,6.9289488792993e-4,-0.00226045922305064,-0.159833532053076,0.00150017860340175,0.075913597784944,-0.23574712983802
88,99,Steinhoff14,Nodularia spumigena,Cyanobacteria,Dz,CP,B,NA,17,NA,N2NO3,1021.5,94.5833333333333,-0.496715998816081,-0.099938265529798,0.084962464657834,-0.00105661602322253,9.49725002288272e-6,0.00604014030240526,-0.00709675632562779,-0.0879048835033619,0.099842290430153,0.619306101416106,-0.707210984919467
