Study,Authors,Year (online),Year (print),Title,Journal,Pub year IF,2017 IF,Species,Climate (FishBase),Env cue/stimulus?,Cue/stimulus type,Behavioural metric,Life stage,|lnRR|,Raw RR,OA as Percent of Control,...18
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 2 dph, 550ppm (Fig 1)",Larvae,0.0833,1.0869,92.008,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 2 dph, 700ppm (Fig 1)",Larvae,0.2822,1.326,75.412,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 2 dph, 850ppm (Fig 1)",Larvae,1.9613,7.1086,14.068,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 3 dph, 550ppm (Fig 1)",Larvae,0.0646,1.0667,93.744,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 3 dph, 700ppm (Fig 1)",Larvae,0.6593,1.9334,51.721,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 3 dph, 850ppm (Fig 1)",Larvae,1.9864,7.2892,13.719,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 4 dph, 550ppm (Fig 1)",Larvae,0.1911,1.2106,82.605,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 4 dph, 700ppm (Fig 1)",Larvae,1.5215,4.5791,21.838,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 4 dph, 850ppm (Fig 1)",Larvae,2.2118,9.1321,10.95,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 5 dph, 550ppm (Fig 1)",Larvae,0.066,1.0682,93.613,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 5 dph, 700ppm (Fig 1)",Larvae,0.9456,2.5744,38.845,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 5 dph, 850ppm (Fig 1)",Larvae,1.9963,7.3618,13.584,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 6 dph, 550ppm (Fig 1)",Larvae,0.0822,1.0857,92.109,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 6 dph, 700ppm (Fig 1)",Larvae,1.4623,4.3159,23.17,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 6 dph, 850ppm (Fig 1)",Larvae,2.2031,9.053,11.046,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 8 dph, 550ppm (Fig 1)",Larvae,0,1,100,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 8 dph, 700ppm (Fig 1)",Larvae,12.9841,435434.6471,0,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 8 dph, 850ppm (Fig 1)",Larvae,13.8002,984806.0527,0,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 10 dph, 550ppm (Fig 1)",Larvae,0,1,100,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 10 dph, 700ppm (Fig 1)",Larvae,13.0022,443387.7729,0,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 10 dph,850ppm (Fig 1)",Larvae,13.7508,937338.7293,0,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 1, 550ppm (Fig 2a)",Larvae,0,1,100,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 1, 700ppm (Fig 2a)",Larvae,0,1,100,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 1, 850ppm (Fig 2a)",Larvae,8.6359,5630.1986,0.018,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 2, 550ppm (Fig 2a)",Larvae,0,1,100,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 2, 700ppm (Fig 2a)",Larvae,11.2015,73240.2198,0.001,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 2, 850ppm (Fig 2a)",Larvae,13.5853,794366.3247,0,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 3, 550ppm (Fig 2a)",Larvae,0,1,100,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 3, 700ppm (Fig 2a)",Larvae,11.7276,123945.8431,0.001,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 3, 850ppm (Fig 2a)",Larvae,13.6702,864753.6953,0,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 4, 550ppm (Fig 2a)",Larvae,0,1,100,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 4, 700ppm (Fig 2a)",Larvae,13.0854,481855.7142,0,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 4, 850ppm (Fig 2a)",Larvae,13.7003,891178.4794,0,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 1, 550ppm (Fig 2b)",Larvae,0.6931,1.9999,50.002,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 1, 700ppm (Fig 2b)",Larvae,0.3566,1.4285,70.005,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 1, 850ppm (Fig 2b)",Larvae,0.1543,1.1668,85.701,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 2, 550ppm (Fig 2b)",Larvae,0.4923,1.6361,61.122,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 2, 700ppm (Fig 2b)",Larvae,0.4923,1.6361,61.122,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 2, 850ppm (Fig 2b)",Larvae,3.319,27.6327,3.619,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 3, 550ppm (Fig 2b)",Larvae,1.1895,3.2854,30.437,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 3, 700ppm (Fig 2b)",Larvae,3.4657,31.9989,3.125,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 3, 850ppm (Fig 2b)",Larvae,3.8409,46.5674,2.147,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 4, 550ppm (Fig 2b)",Larvae,0.9025,2.4658,40.555,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 4, 700ppm (Fig 2b)",Larvae,3.3556,28.6628,3.489,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 4, 850ppm (Fig 2b)",Larvae,4.0103,55.1634,1.813,NA
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,Pseudochromis fuscus,Trop,Yes,Predator,"Prop time in prey cue, mid CO2",Adult,0.3937,1.4825,67.456,NA
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,Pseudochromis fuscus,Trop,Yes,Predator,"Prop time in prey cue, high CO2",Adult,0.3591,1.432,69.83,NA
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,Pseudochromis fuscus,Trop,No,null,"Line crosses, mid CO2",Adult,0.0241,1.0244,97.619,NA
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,Pseudochromis fuscus,Trop,No,null,"Line crosses, high CO2",Adult,0.6559,1.9269,51.897,NA
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,Pseudochromis fuscus,Trop,No,null,"Response time, mid CO2",Adult,0.8883,2.431,41.135,NA
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,Pseudochromis fuscus,Trop,No,null,"Response time, high CO2",Adult,0.4829,1.6208,61.699,NA
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,Pseudochromis fuscus,Trop,No,null,"Distance from shelter, mid CO2",Adult,0.2397,1.2709,78.686,NA
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,Pseudochromis fuscus,Trop,No,null,"Distance from shelter, high CO2",Adult,0.5046,1.6563,60.375,NA
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,Pseudochromis fuscus,Trop,No,null,"Feeding strikes, mid CO2",Adult,0.9556,2.6002,38.458,NA
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,Pseudochromis fuscus,Trop,No,null,"Feeding strikes, high CO2",Adult,0.0139,1.014,98.62,NA
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,Pomacentrus moluccensis,Trop,Yes,Prey,"Prey selectivity, small recruits",Adult,0.26,1.2969,77.105,NA
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,Pomacentrus amboinensis,Trop,Yes,Prey,"Prey selectivity, small recruits",Adult,0.2552,1.2907,77.476,NA
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,Pomacentrus nagasakiensis,Trop,Yes,Prey,"Prey selectivity, small recruits",Adult,0.4217,1.5246,65.593,NA
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,Pomacentrus chrysurus,Trop,Yes,Prey,"Prey selectivity, small recruits",Adult,0.3054,1.3572,73.683,NA
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,Pomacentrus moluccensis,Trop,Yes,Prey,"Prey selectivity, large recruits",Adult,1.6883,5.4103,18.483,NA
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,Pomacentrus amboinensis,Trop,Yes,Prey,"Prey selectivity, large recruits",Adult,0.5358,1.7088,58.52,NA
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,Pomacentrus nagasakiensis,Trop,Yes,Prey,"Prey selectivity, large recruits",Adult,1.2518,3.4966,28.599,NA
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,Pomacentrus chrysurus,Trop,Yes,Prey,"Prey selectivity, large recruits",Adult,0.9089,2.4816,40.297,NA
a6,Ferrari et al,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,Pomacentrus nagasakiensis,Trop,Yes,Predator,"Prop change in response, 700 ppm",Juvenile,0.3643,1.4395,69.468,NA
a6,Ferrari et al,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,Pomacentrus nagasakiensis,Trop,Yes,Predator,"Prop change in response, 850 ppm",Juvenile,0.5528,1.7381,57.534,NA
a6,Ferrari et al,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,Pomacentrus moluccensis,Trop,Yes,Predator,"Prop change in response, 700 ppm",Juvenile,0.8073,2.2418,44.606,NA
a6,Ferrari et al,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,Pomacentrus moluccensis,Trop,Yes,Predator,"Prop change in response, 850 ppm",Juvenile,NA,NA,NA,NA
a6,Ferrari et al,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,Pomacentrus chrysurus,Trop,Yes,Predator,"Prop change in response, 700 ppm",Juvenile,0.8139,2.2567,44.313,NA
a6,Ferrari et al,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,Pomacentrus chrysurus,Trop,Yes,Predator,"Prop change in response, 850 ppm",Juvenile,NA,NA,NA,NA
a6,Ferrari et al,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,Pomacentrus amboinensis,Trop,Yes,Predator,"Prop change in response, 700 ppm",Juvenile,3.1641,23.6674,4.225,NA
a6,Ferrari et al,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,Pomacentrus amboinensis,Trop,Yes,Predator,"Prop change in response, 850 ppm",Juvenile,NA,NA,NA,NA
a7,Simpson et al,2011,2011,Ocean acidification erodes crucial auditory behaviour in a marine fish,Biol Lett,3.762,3.345,Amphiprion percula,Trop,Yes,Auditory,"% time at speaker (or 'in cue'), 600 uatm",Juvenile,0.7529,2.1231,47.1,NA
a7,Simpson et al,2011,2011,Ocean acidification erodes crucial auditory behaviour in a marine fish,Biol Lett,3.762,3.345,Amphiprion percula,Trop,Yes,Auditory,"% time at speaker (or 'in cue'), 700 uatm",Juvenile,0.8488,2.3368,42.793,NA
a7,Simpson et al,2011,2011,Ocean acidification erodes crucial auditory behaviour in a marine fish,Biol Lett,3.762,3.345,Amphiprion percula,Trop,Yes,Auditory,"% time at speaker (or 'in cue'), 900 uatm",Juvenile,0.7799,2.1813,45.845,NA
a8,Devine et al,2011,2012,Homing ability of adult cardinalfish is affected by elevated carbon dioxide,Oecologia,3.412,3.127,Cheilodipterus quinquelineatus,Trop,Yes,Habitat,"% time in homing cue, 550 ppm",Adult,0.5062,1.659,60.278,NA
a8,Devine et al,2011,2012,Homing ability of adult cardinalfish is affected by elevated carbon dioxide,Oecologia,3.412,3.127,Cheilodipterus quinquelineatus,Trop,Yes,Habitat,"% time in homing cue, 700 ppm",Adult,0.5062,1.659,60.278,NA
a8,Devine et al,2011,2012,Homing ability of adult cardinalfish is affected by elevated carbon dioxide,Oecologia,3.412,3.127,Cheilodipterus quinquelineatus,Trop,Yes,Habitat,"% time in homing cue, 960 ppm",Adult,0.3892,1.4758,67.76,NA
a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,Pomacentrus moluccensis,Trop,Yes,Habitat,"% time in hard coral cue, hard vs. soft coral, 700 ppm",Larvae,0.179,1.196,83.611,NA
a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,Pomacentrus moluccensis,Trop,Yes,Habitat,"% time in hard coral cue, hard vs. soft coral, 850 ppm",Larvae,0.1831,1.2009,83.268,NA
a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,Pomacentrus moluccensis,Trop,Yes,Habitat,"% time in hard coral cue, hard coral vs. rubble, 700 ppm",Larvae,0.1178,1.125,88.887,NA
a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,Pomacentrus moluccensis,Trop,Yes,Habitat,"% time in hard coral cue, hard coral vs. rubble, 850 ppm",Larvae,0.0474,1.0485,95.371,NA
a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,Pomacentrus moluccensis,Trop,Yes,Habitat,"% time in soft coral cue, soft coral vs.rubble, 700 ppm",Larvae,0.2053,1.2279,81.44,NA
a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,Pomacentrus moluccensis,Trop,Yes,Habitat,"% time in soft coral cue, soft coral vs.rubble, 850 ppm",Larvae,0.4263,1.5316,65.292,NA
a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,Pomacentrus amboinensis,Trop,Yes,Habitat,"% time in hard coral cue, hard vs. soft coral, 700 ppm",Larvae,0.0498,1.0511,95.142,NA
a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,Pomacentrus amboinensis,Trop,Yes,Habitat,"% time in hard coral cue, hard vs. soft coal, 850 ppm",Larvae,0.1349,1.1444,87.38,NA
a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,Pomacentrus amboinensis,Trop,Yes,Habitat,"% time in hard coral cue, hard coral vs. rubble, 700 ppm",Larvae,0.0726,1.0753,92.997,NA
a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,Pomacentrus amboinensis,Trop,Yes,Habitat,"% time in hard coral cue, hard coral vs. rubble, 850 ppm",Larvae,0.2357,1.2658,79.002,NA
a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,Pomacentrus amboinensis,Trop,Yes,Habitat,"% time in soft coral cue, soft coral vs. rubble, 700 ppm",Larvae,0.2675,1.3067,76.529,NA
