"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","authors","year","task","difficulty","group1","group2","comp","n_sz","n_hc","yi_iq","vi_iq","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",11,1.37,0.206,"from_dataset","Elliott et al.",1998,"SOC (CANTAB)",3,"SZ","HC",2,12,12,0.12,0.167,2.20326324619616,1.37,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",12,0.23,0.168,"from_dataset","Elliott et al.",1998,"SOC (CANTAB)",4,"SZ","HC",3,12,12,0.12,0.167,2.43975018237133,0.23,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",13,0.97,0.186,"from_dataset","Elliott et al.",1998,"SOC (CANTAB)",5,"SZ","HC",4,12,12,0.12,0.167,2.31869447880084,0.97,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",14,0.56,0.173,"from_dataset","Elliott et al.",1998,"SOC (one-touch)",2,"SZ","HC",5,12,12,0.12,0.167,2.40423518417172,0.56,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",15,0.79,0.18,"from_dataset","Elliott et al.",1998,"SOC (one-touch)",3,"SZ","HC",6,12,12,0.12,0.167,2.35702260395516,0.79,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",16,1.19,0.196,"from_dataset","Elliott et al.",1998,"SOC (one-touch)",4,"SZ","HC",7,12,12,0.12,0.167,2.25876975726313,1.19,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",17,0.92,0.184,"from_dataset","Elliott et al.",1998,"SOC (one-touch)",5,"SZ","HC",8,12,12,0.12,0.167,2.33126202060078,0.92,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",18,0.2,0.096,"from_dataset","Feldmann et al.",2006,"SOC",3.5,"SZ","HC",1,22,20,0.62,0.1,3.22748612183951,0.2,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",19,1.42,0.18,"from_dataset","Goldberg et al.",1990,"TOH",NA,"SZ","HC",1,13,15,NA,NA,2.35702260395516,1.42,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",20,0.35,0.074,"from_dataset","Greenwood et al.",2011,"TOL",4,"SZ1","HC",1,27,28,1.21,0.086,3.67607311046904,0.35,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",21,0.88,0.078,"from_dataset","Greenwood et al.",2011,"TOL",4,"SZ2","HC",2,28,28,1.26,0.086,3.58057437019716,0.88,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",22,1.08,0.079,"from_dataset","Hilti et al.",2010,"SOC (CANTAB)",3.83,"SZ","HC",1,26,33,0.76,0.074,3.5578403348241,1.08,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",23,0.94,0.111,"from_dataset","Huddy et al.",2007,"SOC (CANTAB)",3.83,"SZ","HC",1,20,20,0.42,0.102,3.00150112593832,0.94,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",24,0.44,0.02,"from_dataset","Joyce et al.",2002,"SOC (CANTAB)",2,"SZ","HC",1,135,81,0.49,0.02,7.07106781186548,0.44,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",25,0.63,0.021,"from_dataset","Joyce et al.",2002,"SOC (CANTAB)",3,"SZ","HC",2,135,81,0.49,0.02,6.90065559342354,0.63,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",26,0.38,0.02,"from_dataset","Joyce et al.",2002,"SOC (CANTAB)",4,"SZ","HC",3,135,81,0.49,0.02,7.07106781186548,0.38,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",27,0.93,0.022,"from_dataset","Joyce et al.",2002,"SOC (CANTAB)",5,"SZ","HC",4,135,81,0.49,0.02,6.74199862463242,0.93,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",28,0.33,0.102,"from_dataset","Krabbendam et al.",1999,"TOL",NA,"SZ","HC",1,24,17,NA,NA,3.13112145542575,0.33,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",29,0,0.073,"from_dataset","Langdon et al.",2001,"TOL",2,"SZ","HC",1,32,24,NA,NA,3.70116605098803,0,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",30,-0.06,0.073,"from_dataset","Langdon et al.",2001,"TOL",3,"SZ","HC",2,32,24,NA,NA,3.70116605098803,0.06,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",31,0.73,0.078,"from_dataset","Langdon et al.",2001,"TOL",4,"SZ","HC",3,32,24,NA,NA,3.58057437019716,0.73,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",32,0.48,0.075,"from_dataset","Langdon et al.",2001,"TOL",5,"SZ","HC",4,32,24,NA,NA,3.65148371670111,0.48,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",33,0.43,0.092,"from_dataset","Langdon et al.",2002,"TOL",2,"SZ","HC",1,25,20,NA,NA,3.29690236697893,0.43,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",34,0.72,0.096,"from_dataset","Langdon et al.",2002,"TOL",3,"SZ","HC",2,25,20,NA,NA,3.22748612183951,0.72,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",35,0.8,0.097,"from_dataset","Langdon et al.",2002,"TOL",4,"SZ","HC",3,25,20,NA,NA,3.21080649533968,0.8,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",36,1.3,0.109,"from_dataset","Langdon et al.",2002,"TOL",5,"SZ","HC",4,25,20,NA,NA,3.02891266407691,1.3,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",37,1.84,0.19,"from_dataset","Marczewski et al.",2001,"TOL",4.67,"SZ","HC",1,15,15,NA,NA,2.29415733870562,1.84,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",38,2.58,0.216,"from_dataset","Morice et al.",1996,"TOL",3.5,"SZ","HC",1,17,17,0.58,0.123,2.15165741455968,2.58,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",39,0.25,0.071,"from_dataset","Morris et al.",1995,"TOL",3,"SZ","HC",1,30,27,0.18,0.071,3.75293312520401,0.25,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",40,0.86,0.077,"from_dataset","Morris et al.",1995,"TOL",4,"SZ","HC",2,30,27,0.18,0.071,3.60374985078224,0.86,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",41,0.68,0.074,"from_dataset","Morris et al.",1995,"TOL",5,"SZ","HC",3,30,27,0.18,0.071,3.67607311046904,0.68,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",42,0.21,0.06,"from_dataset","Pantelis et al.",1997,"SOC (CANTAB)",2,"SZ","HC",1,36,31,0.48,0.062,4.08248290463863,0.21,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",43,0.65,0.063,"from_dataset","Pantelis et al.",1997,"SOC (CANTAB)",3,"SZ","HC",2,36,31,0.48,0.062,3.98409536444798,0.65,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",44,0.3,0.061,"from_dataset","Pantelis et al.",1997,"SOC (CANTAB)",4,"SZ","HC",3,36,31,0.48,0.062,4.04888165089458,0.3,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",45,0.45,0.062,"from_dataset","Pantelis et al.",1997,"SOC (CANTAB)",5,"SZ","HC",4,36,31,0.48,0.062,4.01609664451249,0.45,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",46,1.03,0.054,"from_dataset","Tenjin et al.",2012,"BACS-J",NA,"SZ1","HC",1,20,340,NA,NA,4.30331482911935,1.03,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",47,0.92,0.104,"from_dataset","Tenjin et al.",2012,"BACS-J",NA,"SZ2","HC",2,10,340,NA,NA,3.10086836473021,0.92,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",48,1.12,0.108,"from_dataset","Tyson et al.",2004,"SOC (CANTAB)",3.83,"SZ","HC",1,28,17,NA,NA,3.04290309725092,1.12,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",49,0.52,0.052,"from_dataset","Zhu et al.",2010,"TOL",2,"SZ","HC",1,40,40,NA,NA,4.38529009653515,0.52,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",50,0.5,0.052,"from_dataset","Zhu et al.",2010,"TOL",3,"SZ","HC",2,40,40,NA,NA,4.38529009653515,0.5,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",51,0.49,0.051,"from_dataset","Zhu et al.",2010,"TOL",4,"SZ","HC",3,40,40,NA,NA,4.42807442770048,0.49,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",52,0.3,0.042,"from_dataset","Andersen",2013,"SOC",3.83,"SZ","HC",1,48,48,NA,NA,4.87950036474267,0.3,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",53,0.36,0.022,"from_dataset","Ayesa-Arriola et al.",2013,"TOL-Drexel",5.5,"SZ1","HC1",1,86,97,0.47,0.023,6.74199862463242,0.36,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",54,0.41,0.03,"from_dataset","Ayesa-Arriola et al.",2013,"TOL-Drexel",5.5,"SZ2","HC2",2,75,62,0.1,0.03,5.77350269189626,0.41,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",55,0.79,0.086,"from_dataset","Fagerlund",2004,"SOC",3.83,"SZ","HC",1,25,25,NA,NA,3.40997169735237,0.79,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",56,0.23,0.031,"from_dataset","Kontis et al.",2013,"SOC",2,"SZ","HC",1,77,55,NA,NA,5.67961834247065,0.23,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",57,0.58,0.032,"from_dataset","Kontis et al.",2013,"SOC",3,"SZ","HC",2,77,55,NA,NA,5.59016994374947,0.58,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",58,0.57,0.032,"from_dataset","Kontis et al.",2013,"SOC",4,"SZ","HC",3,77,55,NA,NA,5.59016994374947,0.57,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",59,0.79,0.034,"from_dataset","Kontis et al.",2013,"SOC",5,"SZ","HC",4,77,55,NA,NA,5.4232614454664,0.79,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",60,0.7,0.071,"from_dataset","Okruszek et al.",2013,"TOL-Drexel",5.5,"SZ","HC",1,30,30,NA,NA,3.75293312520401,0.7,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",61,1.16,0.136,"from_dataset","Saleem et al.",2013,"SOC",3.83,"SZ","HC",1,20,15,0.23,0.117,2.7116307227332,1.16,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",62,1.29,0.039,"from_dataset","Tsuchimine et al.",2013,"BACS-J",NA,"SZ1","HC1",1,56,68,0.37,0.033,5.06369683541833,1.29,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",63,0.63,0.039,"from_dataset","Tsuchimine et al.",2013,"BACS-J",NA,"SZ2","HC2",2,47,62,0.43,0.038,5.06369683541833,0.63,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",64,0.31,0.121,"from_dataset","Tsuchimine et al.",2013,"BACS-J",NA,"SZ3","HC3",3,15,19,1,0.134,2.87479787288034,0.31,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",65,0.11,0.07,"from_dataset","Asevedo et al.",2013,"TOL",3.83,"SZ","HC",1,30,27,NA,NA,3.77964473009227,0.11,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",66,0.87,0.036,"from_dataset","Shum et al.",2004,"TOL (four-disk)",5.6,"SZ","HC",1,60,60,NA,NA,5.2704627669473,0.87,"CRAN",NA,NA,"CRAN"
