ID,Size,Age,Year,Country,Smoke,Adj,Asthma_logOR,LRD_logOR,Asthma_v,AsthmaLRD_cov_05,LRD_v
83,126,9,1991,Scandanavia or Netherlands,Parental exposure,0,0.940007258491471,NA,0.1369,NA,NA
84,228,8.5,1992,USA or Canada,Household exposure,1,0.693147180559945,NA,0.0841,NA,NA
85,914,3.5,1993,USA or Canada,Parental exposure,1,0.357674444271816,NA,0.0324,NA,NA
88,16562,8,1991,English or Scotland,Parental exposure,1,NA,0.300104592450338,NA,NA,0.09
89,15712,5,1995,English or Scotland,Parental exposure,0,NA,0.285178942233662,NA,NA,0.0361
93,3482,8.4,1986,USA or Canada,Parental exposure,0,0.139761942375159,0.215111379616945,0.0169,0.0052,0.0064
105,192,0.8,1992,Scandanavia or Netherlands,Parental exposure,0,NA,1.18784342239605,NA,NA,0.25
109,726,16.3,1996,"Other (Israel, Turkey, South Africa, Mexico or U. Arab Emirates",Parental exposure,1,NA,1.47247205736094,NA,NA,0.2209
111,372,7,1980,USA or Canada,Parental exposure,0,NA,1.7732559976635,NA,NA,1.0609
113,684,9,1988,Scandanavia or Netherlands,Household exposure,1,-0.0725706928348354,0.22314355131421,0.0016,0.0022,0.0121
114,207,9.3,1992,USA or Canada,Household exposure,0,0.357674444271816,NA,0.1089,NA,NA
122,700,7.9,1992,USA or Canada,Parental exposure,0,0.350656871613169,NA,0.0361,NA,NA
601,9653,9,1997,Scandanavia or Netherlands,Household exposure,1,0.444685821261446,NA,0.0196,NA,NA
603,3769,9,1997,Scandanavia or Netherlands,Household exposure,1,0.0953101798043249,NA,0.0529,NA,NA
603,2540,9,1997,Scandanavia or Netherlands,Household exposure,1,-0.356674943938732,NA,0.1849,NA,NA
