"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","paper","genus","species","fungrp","co2ambi","co2elev","units","time","pot","method","stock","xtrt","level","n_ratio","sd_ratio","mean_ctrl","ntotal","log_ntotal","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",41,2.01262522067744,1.50633253486336,"SMD",2003,"BETULA","PUBESCENS","ANGIO",350,560,"umol/mol",35,"0.3","GC","SEED","OZONE","HIGH",1,21.2142857142857,2.4,4,1.38629436111989,0.814778521166467,2.01262522067744,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",42,0.811687844255027,1.08235464456392,"SMD",2003,"BETULA","PUBESCENS","ANGIO",350,560,"umol/mol",35,"0.3","GC","SEED","OZONE","LOW",1,1,3.17,4,1.38629436111989,0.961203198830996,0.811687844255027,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",43,1.28788982988295,0.150916565842436,"SMD",2026,"PINUS","PONDEROSA","GYMNO",350,650,"ubar",60,"1.8","GC","SEED","TEMP","HIGH",1,1.125,1.7,32,3.46573590279973,2.57413632344508,1.28788982988295,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",44,0.348126563648,0.126893626629959,"SMD",2026,"PINUS","PONDEROSA","GYMNO",350,650,"ubar",60,"1.8","GC","SEED","TEMP","LOW",1,1,1.66,32,3.46573590279973,2.80724356599278,0.348126563648,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",45,1.56185161050121,1.30492255665315,"SMD",2037,"ACER","RUBRUM","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT","LOW",1,0.933023255813953,32.99,4,1.38629436111989,0.875402194191855,1.56185161050121,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",46,0.499730966994695,1.03121637992168,"SMD",2037,"ACER","RUBRUM","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","LIGHT","LOW",1,1.54615573720116,221,4,1.38629436111989,0.984747979991777,0.499730966994695,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",47,1.54596184467262,1.29874975314795,"SMD",2037,"ACER","RUBRUM","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT+L",".",1,0.354965585054081,396.31,4,1.38629436111989,0.877480069534577,1.54596184467262,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",48,-1.38815991414035,1.24087349340327,"SMD",2037,"QUERCUS","RUBRA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT","LOW",1,0.273131108008631,44.8,4,1.38629436111989,0.897710378662611,1.38815991414035,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",49,3.84152795415524,2.84466712781951,"SMD",2037,"QUERCUS","RUBRA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","LIGHT","LOW",1,1.99898691430984,44.93,4,1.38629436111989,0.592903853367024,3.84152795415524,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",50,2.34990422532427,1.69025623352461,"SMD",2037,"QUERCUS","RUBRA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT+L",".",1,0.556936361929792,187.67,4,1.38629436111989,0.769172461449436,2.34990422532427,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",51,0.538413631994992,1.03623615488975,"SMD",2037,"ACER","PENSYLVANICUM","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT","LOW",1,0.919880034275921,18.8,4,1.38629436111989,0.982359907395359,0.538413631994992,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",52,1.75937258263143,1.3869239855644,"SMD",2037,"ACER","PENSYLVANICUM","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","LIGHT","LOW",1,0.899912084939474,109.07,4,1.38629436111989,0.84912899430988,1.75937258263143,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",53,1.76501782166215,1.38941098884813,"SMD",2037,"ACER","PENSYLVANICUM","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT+L",".",1,1.57345422976753,168.88,4,1.38629436111989,0.848368696432136,1.76501782166215,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",54,0.339742254972058,1.01442809997669,"SMD",2037,"BETULA","POPULIFOLIA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT","LOW",1,0.272127821455744,29.36,4,1.38629436111989,0.9928630868917,0.339742254972058,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",55,1.00405762411982,1.12601646406914,"SMD",2037,"BETULA","POPULIFOLIA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","LIGHT","LOW",1,1.99740874267688,161.05,4,1.38629436111989,0.942383404872268,1.00405762411982,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",56,-0.0127833213487856,1.00002042666309,"SMD",2037,"BETULA","POPULIFOLIA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT+L",".",1,0.495446164161591,232.69,4,1.38629436111989,0.999989786824921,0.0127833213487856,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",57,0.659926665029273,1.05443790040208,"SMD",2037,"FRAXINUS","AMERICANA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT","LOW",1,1.99536178107607,23.2,4,1.38629436111989,0.973844231659082,0.659926665029273,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",58,0.144597680572297,1.00261356115336,"SMD",2037,"FRAXINUS","AMERICANA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","LIGHT","LOW",1,0.780206572769953,114.68,4,1.38629436111989,0.998695775370368,0.144597680572297,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",59,2.32886101377503,1.67794920268516,"SMD",2037,"FRAXINUS","AMERICANA","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT+L",".",1,0.664629146477823,168.74,4,1.38629436111989,0.771988081517349,2.32886101377503,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",60,2.57380853170889,1.82806129473718,"SMD",2037,"BETULA","ALLEGHANIENSIS","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT","LOW",1,1.79608938547486,26.49,4,1.38629436111989,0.739613148515141,2.57380853170889,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",61,0.696948937141811,1.06071722762289,"SMD",2037,"BETULA","ALLEGHANIENSIS","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","LIGHT","LOW",1,0.796513193322563,161.74,4,1.38629436111989,0.970957428523588,0.696948937141811,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",62,0.275179328463942,1.00946545785173,"SMD",2037,"BETULA","ALLEGHANIENSIS","ANGIO",350,700,"ul/l",1095,"2.8","GH","SEED","FERT+L",".",1,0.997219179236538,180.48,4,1.38629436111989,0.995300606317462,0.275179328463942,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",63,5.85892977830766,2.11635290735701,"SMD",2039,"POPULUSX","EURAMERICANA","ANGIO",34.5,69.3,"Pa",148,"GRND","OTC","SAP","FERT","HIGH",1,0.666666666666667,76,10,2.30258509299405,0.687394345686903,5.85892977830766,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",64,1.513925537248,0.514598526616583,"SMD",2039,"POPULUSX","EURAMERICANA","ANGIO",34.5,69.3,"Pa",148,"GRND","OTC","SAP","FERT","LOW",1,1,60,10,2.30258509299405,1.39400949151653,1.513925537248,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",65,0.495619627815773,0.0429460354972721,"SMD",2045,"PICEA","MARIANA","GYMNO",340,700,"ppm",155,"0.164","GC","SEED","H2O","WW",1,1.50483464125561,3.862,96,4.56434819146784,4.82545711875025,0.495619627815773,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",66,0.968772690324323,0.0465547944037408,"SMD",2045,"PICEA","MARIANA","GYMNO",340,700,"ppm",155,"0.164","GC","SEED","H2O","DRT",1,1.40003038590094,2.49,96,4.56434819146784,4.63465908005494,0.968772690324323,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",67,0.810607516611396,0.0450889820103484,"SMD",2045,"PICEA","MARIANA","GYMNO",340,700,"ppm",155,"0.164","GC","SEED","FERT","HIGH",1,1.28342080889163,4.031,96,4.56434819146784,4.70939138389029,0.810607516611396,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",68,0.754599934038201,0.0446324013565128,"SMD",2045,"PICEA","MARIANA","GYMNO",340,700,"ppm",155,"0.164","GC","SEED","FERT","LOW",1,1.02371134020619,2.35,96,4.56434819146784,4.73341816496037,0.754599934038201,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",69,0.646616469440099,0.210452821463779,"SMD",2048,"PICEA","GLAUCA","GYMNO",350,700,"umol/mol",112,"0.2","GC","SEED","UVB","HIGH",1,1.24576271186441,0.243,20,2.99573227355399,2.17982999217955,0.646616469440099,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",70,1.32384713973935,0.243814281234901,"SMD",2048,"PICEA","GLAUCA","GYMNO",350,700,"umol/mol",112,"0.2","GC","SEED","UVB","LOW",1,1.18461538461538,0.443,20,2.99573227355399,2.02521170949482,1.32384713973935,"CRAN",NA,NA,"CRAN"
