"dataset_id","source","source_pkg","source_object","source_title","repo","branch","repo_license","k","measure","n_mods","moderators","signature"
"psymetadata_stramaccia2021","CRAN","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",NA,NA,"CRAN",96,"from_dataset",14,"study_id|group_id|es_id|pub_year|instructions|stimuli|valence|tnttime|repetitions|dv|cluster|group|precision|abs_yi","b835bcf5df9b2dec"
"metadat_dat.bcg","CRAN","metadat","dat.bcg","Studies on the Effectiveness of the BCG Vaccine Against Tuberculosis",NA,NA,"CRAN",13,"RR",13,"author|year|ablat|alloc|ter|cer|rare_ctrl|risk_diff0|ntotal|log_ntotal|precision|abs_yi|alloc_randomized","1d8599a8794f6335"
"metadat_dat.knapp2017","CRAN","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",NA,NA,"CRAN",66,"from_dataset",13,"authors|year|task|difficulty|group1|group2|comp|n_sz|n_hc|yi_iq|vi_iq|precision|abs_yi","0709f38af1b68a9e"
"psymetadata_coles2019","CRAN","psymetadata","coles2019","Studies on the Facial Feedback Literature",NA,NA,"CRAN",286,"from_dataset",13,"study_id|es_id|title|year|file_drawer|prop_women|video_know|stim|proc|proc_aware|w_v_b|precision|abs_yi","46937e96622aa110"
"metadat_dat.hannum2020","CRAN","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",NA,NA,"CRAN",35,"PLO",12,"authorname|doi|ni|percentolfactoryloss|comments|objectivity|measured|testtype|country|patienttype|precision|abs_yi","bd7da2bb55cd6c34"
"metadat_dat.michael2013","CRAN","metadat","dat.michael2013","The Non-Persuasive Power of a Brain Image",NA,NA,"CRAN",12,"from_dataset",12,"no_brain_n|no_brain_m|no_brain_s|brain_n|brain_m|brain_s|included_critique|medium|compensation|participant_pool|precision|abs_yi","09f1256d07a24645"
"psymetadata_noble2019","CRAN","psymetadata","noble2019","Studies on Shared Reading and Language Development",NA,NA,"CRAN",316,"from_dataset",12,"es_id|study_id|author|age|ses|experimenter|duration|dialogic_reading|follow_up|year|precision|abs_yi","2057b67cf41cdf1c"
"psymetadata_spaniol2020","CRAN","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability",NA,NA,"CRAN",99,"from_dataset",12,"author|study_id|study_year|es_id|group_id|ef_type|ef_component|domain|test|year|precision|abs_yi","0c0b468a24b2a8a9"
"dmetar_DepressionMortality","CRAN","dmetar","DepressionMortality","Effect of Depression on All-Cause Mortality",NA,NA,"CRAN",18,"RR",11,"author|country|year|ter|cer|rare_ctrl|risk_diff0|ntotal|log_ntotal|precision|abs_yi","042c23ca33698e55"
"dmetar_SuicidePrevention","CRAN","dmetar","SuicidePrevention","Effects of Suicide Prevention on Suicidal Ideation (toy dataset)",NA,NA,"CRAN",9,"SMD",11,"author|pubyear|age_group|control|n_ratio|sd_ratio|mean_ctrl|ntotal|log_ntotal|precision|abs_yi","28f33ba1a00e597e"
"dmetar_TherapyFormats","CRAN","dmetar","TherapyFormats","Differential Effects of Cognitive Behavioral Therapy Delivery Formats in Depressive Patients dataset",NA,NA,"CRAN",184,"te",11,"author|te|sete|treat1|treat2|treat1long|treat2long|versus|year|precision|abs_yi","209885379b5a28de"
"metadat_dat.debruin2009","CRAN","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence",NA,NA,"CRAN",13,"PLO",11,"author|year|scq|ni|mi|ethnicity|patients|select|sens|precision|abs_yi","d37da4a1a2ebc0c1"
"metadat_dat.molloy2014","CRAN","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",NA,NA,"CRAN",16,"ZCOR",11,"authors|year|ni|controls|design|a_measure|c_measure|meanage|quality|precision|abs_yi","9ffe8f8a96d10c39"
"psymetadata_barroso2021","CRAN","psymetadata","barroso2021","Studies on Math Anxiety and Math Achievement",NA,NA,"CRAN",747,"from_dataset",11,"es_id|study_id|author|pub_year|continent|grade|low_ability|teachers|ni|precision|abs_yi","270b67ca0f5fa181"
"psymetadata_sala2019","CRAN","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures",NA,NA,"CRAN",1555,"from_dataset",11,"study_id|es_id|ni|author|comparison|age|test|model|year|precision|abs_yi","bff5d9d0bd04e2e4"
"dmetar_ThirdWave","CRAN","dmetar","ThirdWave","'Third-Wave' cognitive behavioral interventions for perceived stress in college students dataset",NA,NA,"CRAN",18,"te",10,"author|te|sete|riskofbias|typecontrolgroup|interventionduration|interventiontype|modeofdelivery|precision|abs_yi","1dcabc4ad2deca41"
"meta_Olkin95","CRAN","meta","Olkin95","Thrombolytic Therapy after Acute Myocardial Infarction",NA,NA,"CRAN",70,"RR",10,"author|year|ter|cer|rare_ctrl|risk_diff0|ntotal|log_ntotal|precision|abs_yi","98a64092ae3e6b3f"
"metadat_dat.hackshaw1998","CRAN","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke",NA,NA,"CRAN",37,"from_dataset",10,"author|year|country|design|cases|or|orlb|orub|precision|abs_yi","dc7ddb892770349d"
"metadat_dat.kalaian1996","CRAN","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",NA,NA,"CRAN",67,"from_dataset",10,"year|outcome|hrs|ets|homework|type|ntotal|log_ntotal|precision|abs_yi","cd9f5db3e06fa141"
"metadat_dat.lim2014#1","CRAN","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings",NA,NA,"CRAN",357,"ZCOR",10,"article|author|year|species|amniotes|environment|reprounit|ni|precision|abs_yi","af80fc716223c6e5"
"metadat_dat.lim2014#2","CRAN","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings",NA,NA,"CRAN",517,"ZCOR",10,"article|author|year|species|amniotes|environment|reprounit|ni|precision|abs_yi","4e3f1a3450f4568d"
"psymetadata_gnambs2020","CRAN","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance",NA,NA,"CRAN",67,"from_dataset",10,"es_id|study_id|author|pub_year|country|color|design|year|precision|abs_yi","75b972a65f4e3441"
"psymetadata_manybabies2020","CRAN","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",NA,NA,"CRAN",108,"from_dataset",10,"lab|es_id|ni|age_group|method|nae|age_mo|age_mo_centered|precision|abs_yi","23f9a07f8462420b"
"psymetadata_wibbelink2017","CRAN","psymetadata","wibbelink2017","Studies on juvenile recidivism",NA,NA,"CRAN",100,"from_dataset",10,"study_id|es_id|pstatpub|pstatnotpub|typegen|typeovert|typecovert|pyear|precision|abs_yi","9a9eafbb4ad52633"
"meta_Pagliaro1992","CRAN","meta","Pagliaro1992","Meta-analysis on Prevention of First Bleeding in Cirrhosis",NA,NA,"CRAN",28,"logor",9,"treatexp|logor|selogor|bleedexp|nexp|bleedplac|nplac|precision|abs_yi","1a8df23740223d85"
"metadat_dat.crede2010","CRAN","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",NA,NA,"CRAN",97,"ZCOR",9,"studyid|year|source|sampleid|criterion|class|ni|precision|abs_yi","4f89f5341622ebee"
"metadat_dat.lim2014#3","CRAN","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings",NA,NA,"CRAN",170,"ZCOR",9,"article|author|year|species|amniotes|environment|ni|precision|abs_yi","78fe9dc76a20af6f"
"metadat_dat.lim2014#4","CRAN","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings",NA,NA,"CRAN",185,"ZCOR",9,"article|author|year|species|amniotes|environment|ni|precision|abs_yi","c776696e27becf2e"
"metadat_dat.raudenbush1985","CRAN","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ",NA,NA,"CRAN",19,"from_dataset",9,"author|year|weeks|setting|tester|ntotal|log_ntotal|precision|abs_yi","1940e3cce32485f7"
"metasem_Mak09","CRAN","metaSEM","Mak09","Eight studies from Mak et al. (2009)",NA,NA,"CRAN",8,"from_dataset",9,"type|afbp|totbp|afnonbp|totnonbp|agemean|studyduration|precision|abs_yi","a85b1721918e69f9"
"psymetadata_steffens2020","CRAN","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",NA,NA,"CRAN",251,"from_dataset",9,"es_id|study_id|authors|design|published|proto_strength|targetleader|precision|abs_yi","f8e4184150f0887e"
"metadat_dat.berkey1998","CRAN","metadat","dat.berkey1998","Studies on Treatments for Periodontal Disease",NA,NA,"CRAN",10,"from_dataset",8,"author|year|ni|outcome|v1i|v2i|precision|abs_yi","bacdcb8135b60a9b"
"metadat_dat.normand1999","CRAN","metadat","dat.normand1999","Studies on the Length of Hospital Stay of Stroke Patients",NA,NA,"CRAN",9,"SMD",8,"source|n_ratio|sd_ratio|mean_ctrl|ntotal|log_ntotal|precision|abs_yi","67fc0178a8674f24"
"psymetadata_agadullina2018","CRAN","psymetadata","agadullina2018","Studies on Out-Group Entitativity and Prejudice",NA,NA,"CRAN",85,"from_dataset",8,"es_id|study_id|authors|pub_year|design|ent_alpha|precision|abs_yi","dcc4bcf1396dc85c"
"dmetar_NetDataNetmeta","CRAN","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",NA,NA,"CRAN",54,"te",7,"studlab|treat1|treat2|te|sete|precision|abs_yi","201d0d50bc710a6d"
"metadat_dat.tannersmith2016","CRAN","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",NA,NA,"CRAN",113,"from_dataset",7,"studyid|aget1|aget2|propmale|sexmix|precision|abs_yi","18b3ff4410588544"
"dmetar_MVRegressionData","CRAN","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",NA,NA,"CRAN",36,"from_dataset",6,"reputation|quality|pubyear|continent|precision|abs_yi","bf5f027af05ab7e7"
"metadat_dat.hasselblad1998","CRAN","metadat","dat.hasselblad1998","Studies on the Effectiveness of Counseling for Smoking Cessation",NA,NA,"CRAN",50,"PLO",6,"authors|year|trt|ni|precision|abs_yi","c5b31d7cad29858b"
"metadat_dat.assink2016","CRAN","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",NA,NA,"CRAN",100,"from_dataset",5,"pubstatus|year|deltype|precision|abs_yi","97701020fedda508"
"metadat_dat.cohen1981","CRAN","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",NA,NA,"CRAN",20,"ZCOR",5,"sample|control|ni|precision|abs_yi","52eedf2b9a81e2bc"
"metadat_dat.konstantopoulos2011","CRAN","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",NA,NA,"CRAN",56,"from_dataset",5,"district|school|year|precision|abs_yi","6abaac2145cf77b7"
"metadat_dat.mcdaniel1994","CRAN","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",NA,NA,"CRAN",160,"ZCOR",5,"ni|type|struct|precision|abs_yi","9f0a958ebfdfe63c"
"metadat_dat.begg1989","CRAN","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",NA,NA,"CRAN",20,"from_dataset",4,"trt|arms|precision|abs_yi","2b0c4e5545011e77"
"metadat_dat.pagliaro1992","CRAN","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",NA,NA,"CRAN",54,"PLO",4,"trt|ni|precision|abs_yi","a76dbd1780b89018"
"metadat_dat.pritz1997","CRAN","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",NA,NA,"CRAN",14,"PLO",4,"authors|ni|precision|abs_yi","8c8f74896f059200"
"metadat_dat.riley2003","CRAN","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",NA,NA,"CRAN",98,"from_dataset",3,"outcome|precision|abs_yi","e37cacd2b97c9787"
"metasem_Hox02","CRAN","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",NA,NA,"CRAN",20,"from_dataset",3,"weeks|precision|abs_yi","aa111ab2eae820f4"
"gh_cyplessen_multiverse-meta-analysis-depression_data_tidy_digDep_multiverse_data.csv","GitHub","cyplessen","data/tidy/digDep_multiverse_data.csv","cyplessen / multiverse-meta-analysis-depression / data/tidy/digDep_multiverse_data.csv","multiverse-meta-analysis-depression","main",NA,263,"from_dataset",98,"x|es_id|g|precalc_g|wf_1|wf_2|wf_3|wf_4|wf_5|wf_6|wf_7|wf_8|sample_size|1|notes|condition_arm1|condition_arm2|descr_arm1|descr_arm2|multi_arm1|multi_arm2|outcome_type|outcome_domain|time|time_weeks|instrument|rating|sample|mean_arm1|mean_arm2|sd_arm1|sd_arm2|n_arm1|n_arm2|baseline_m_arm1|baseline_sd_arm1|baseline_n_arm1|baseline_m_arm2|baseline_sd_arm2|baseline_n_arm2|dich|dich_type|event_arm1|event_arm2|totaln_arm1|totaln_arm2|change|mean_change_arm1|mean_change_arm2|sd_change_arm1|sd_change_arm2|n_change_arm1|n_change_arm2|other_statistic|precalc_g_se|rand_arm1|rand_arm2|n_drop_study1|n_drop_study2|year|comorbid_me0tal|format|format_spec|program_arm1|support|initial_screening|forum|n_sessions_planned|x0_sessio0s_received|country|income_level|age_group|mean_age|percent_women|recruitment|diagnosis|target_group|70|sg|ac|ba|itt|rob|other_target|reference|domain1_rob2|domain2_rob2|domain3_rob2|domain4_rob2|domain5_rob2|totalscore_rob2|selfguidedchecked|time_weeks_num|g_se|log_rr|log_rr_se|precision|abs_yi","b2aab25dbf7e2ef1"
"gh_elmacartney_Postcop_MA_Data_old_processed_data3.csv","GitHub","elmacartney","Data/old/processed_data3.csv","elmacartney / Postcop_MA / Data/old/processed_data3.csv","Postcop_MA","main",NA,106,"from_dataset",72,"x|effectsize_id|summary_statistic|effect_size|first_author|year_published|title|paper_id|study_id|group_id|group_id_notes|species|class|rearing_type|competition_order|competition_order_notes|perception_competition|perception_competition_notes|precendence|precedence_notes|fertilisation_mode|pc_variation_level|pc_variation_level_note|pc_variation_cause|pc_variation_notes|pc_variation_cause2|pc_variation_nature|study_design|study_design_notes|fertilisation_methods|pc_type|pc_type_notes|precop_correlation|precop_correlation_notes|postcop_correlation|postcop_correlation_notes|coin|inverse_precedence_notes|n_notes|n_dependent|corr_r|estimate|n_groups|ci_lower|ci_upper|f|t|p|mean_low|n_low|sd_low|se_low|mean_med1|n_med1|sd_med1|mean_med2|n_med2|mean_high|n_high|sd_high|se_high|data_location|notes|effect_size_group2|effect_size_est|effect_size_t|effect_size_f|effect_size_p|effect_size2|n2|precision|abs_yi","950322073103839b"
"gh_elmacartney_Postcop_MA_R_processed_data.csv","GitHub","elmacartney","R/processed_data.csv","elmacartney / Postcop_MA / R/processed_data.csv","Postcop_MA","main",NA,104,"from_dataset",67,"x|effectsize_id|summary_statistic|effect_size|first_author|year_published|title|paper_id|study_id|group_id|group_id_notes|species|class|rearing_type|competition_order|competition_order_notes|perception_competition|perception_competition_notes|precendence|precedence_notes|fertilisation_mode|pc_variation_level|pc_variation_level_note|pc_variation_cause|pc_variation_notes|pc_variation_cause2|pc_variation_nature|study_design|study_design_notes|fertilisation_methods|pc_type|pc_type_notes|precop_correlation|precop_correlation_notes|postcop_correlation|postcop_correlation_notes|coin|inverse_precedence_notes|n_notes|n_dependent|corr_r|estimate|n_groups|ci_lower|ci_upper|f|t|p|mean_low|n_low|sd_low|se_low|mean_high|n_high|sd_high|se_high|data_location|notes|effect_size_group2|effect_size_est|effect_size_t|effect_size_f|effect_size_p|effect_size2|n2|precision|abs_yi","2ad9d0900ec8f7e9"
"gh_lossanna_C-meta-analysis_data_cleaned_native-cleaned.csv","GitHub","lossanna","data/cleaned/native-cleaned.csv","lossanna / C-meta-analysis / data/cleaned/native-cleaned.csv","C-meta-analysis","main",NA,655,"from_dataset",50,"paper|cross|paper_id|exp_id|cntrl_id|obs_id|biome|climate|region|soil_suborder|duration_first|duration_last|c_type|c_rate|c_app|c_app_tm|c_app_ma|c_app_py|c_app_ty|c_total|c_year|plant|plant_category|plant_anper|plant_gfs|plant_apgfs|plant_measurement|presence|prior_veg|removal_extent|seeding_exotic|seeding_native|plot|factorial|n_trt|n_cntrl|mean_trt|sd_trt|mean_cntrl|sd_cntrl|dfc|dlc|cratc|capc|capm|capt|plotc|seedn|precision|abs_yi","5b0bf91f7636d49e"
"gh_DoGoods-Pi-Lab_PFAS_GAMLSS_Part4_output_MC_lnPFOS_results.csv","GitHub","DoGoods-Pi-Lab","Part4/output/MC/lnPFOS_results.csv","DoGoods-Pi-Lab / PFAS_GAMLSS / Part4/output/MC/lnPFOS_results.csv","PFAS_GAMLSS","main",NA,46,"estimate",45,"x1|cpg|estimate|tval|pval|fdr|x|chr|pos|strand|name|addressa|addressb|probeseqa|probeseqb|type|nextbase|color|probe_rs|probe_maf|islands_name|relation_to_island|forward_sequence|sourceseq|ucsc_refgene_name|ucsc_refgene_accession|ucsc_refgene_group|phantom4_enhancers|phantom5_enhancers|hmm_island|regulatory_feature_name|regulatory_feature_group|gencodebasicv12_name|gencodebasicv12_accession|gencodebasicv12_group|gencodecompv12_name|gencodecompv12_accession|gencodecompv12_group|dnase_hypersensitivity_name|openchromatin_name|openchromatin_evidence_count|tfbs_name|tfbs_evidence_count|precision|abs_yi","5a86ac42e96ab834"
"gh_smoser11_DWeMSinUK_output_tables_unified_results.csv","GitHub","smoser11","output/tables/unified_results.csv","smoser11 / DWeMSinUK / output/tables/unified_results.csv","DWeMSinUK","main",NA,164,"estimate",34,"indicator|pop_size|pop_label|method|method_type|estimate|ci_lower|ci_upper|uncertainty_method|indicator_clean|method_clean|uncertainty_clean|estimate_pct|ci_lower_pct|ci_upper_pct|se_pct|estimate_with_ci|analysis_source|source|population_size|parameter_type|iterations|m1|m2|parameter_description|seed_selection|combination_id|sensitivity_combo|pop_group|method_category|param_group|ci_width|precision|abs_yi","622e0626ab3d5ab6"
"gh_gfalbery_DensityMetaAnalysis_Output_MetaDFOutput.csv","GitHub","gfalbery","Output/MetaDFOutput.csv","gfalbery / DensityMetaAnalysis / Output/MetaDFOutput.csv","DensityMetaAnalysis","main",NA,64,"from_dataset",29,"x|systemreplicate|species|behaviour|hostgroup|nid|area|nyears|estimate|t|r2|linearlower|linearupper|sig|rarea|rbehaviour|system|contacttype|search_string|unique_name|ott_id|tip|obs|r|rlower|rupper|rep|precision|abs_yi","34b43ad9ff2db029"
"gh_lijingdi_sex-difference-microbiome-meta-analysis_results_both.sig.csv","GitHub","lijingdi","results/both.sig.csv","lijingdi / sex-difference-microbiome-meta-analysis / results/both.sig.csv","sex-difference-microbiome-meta-analysis","main",NA,490,"effect",29,"x|rownames|phylum|class|order|family|genus|species|interceptest|interceptse|intercepttval|xinterceptpval|xinterceptpvalpadj|sex|group|est|tval|pval|pvalpadj|raball|rabwin0|rabwin1|diffbtw|diffwin|effect|overlap|direct|precision|abs_yi","3afefe4d911b82f7"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","GitHub","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv","robvis","main","NOASSERTION",20,"from_dataset",27,"x1|x|result_id|type|d1j|d1t|d1d|d2j|d2t|d2d|d3j|d3t|d3d|d4j|d4t|d4d|d5j|d5t|d5d|d6j|d6t|d6d|d7t|d7d|overall|precision|abs_yi","ba25302f73c89517"
"gh_openMetaAnalysis_files_data_all-trials.csv","GitHub","openMetaAnalysis","files/data/all-trials.csv","openMetaAnalysis / Cardiac-arrest-treatment-with-TTM / files/data/all-trials.csv","Cardiac-arrest-treatment-with-TTM","master",NA,16,"RR",21,"author|year|pmid|groupno|trialregistration|population|noflowduration|delaytilltm|intervention|target|tmdurationh|control|outcome|ter|cer|rare_ctrl|risk_diff0|ntotal|log_ntotal|precision|abs_yi","74de09f5a6129543"
"gh_trevorwc_cambron_etal_2025_ncc_f_2_p_b.csv","GitHub","trevorwc","f_2_p_b.csv","trevorwc / cambron_etal_2025_ncc / f_2_p_b.csv","cambron_etal_2025_ncc","main",NA,15,"from_dataset",21,"x|experiment|dx|seamb|seelev|xamb|xelev|rr|namb|nelev|sediff|sig_thresh|t|p|myc|sdelev|sdamb|lower|upper|precision|abs_yi","589b71920b967a59"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","GitHub","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv","ReC_Psychometrics","main",NA,90,"est",19,"x|lhs|op|rhs|est|pval|confint|est_sig|est_std|se_std|pval_std|confint_std|est_sig_std|block|group|label|lavaan_label|precision|abs_yi","41c3b696b6e8d19f"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strong_paramEsts.csv","GitHub","lhbikos","Worked_Examples/strong_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strong_paramEsts.csv","ReC_Psychometrics","main",NA,90,"est",19,"x|lhs|op|rhs|est|pval|confint|est_sig|est_std|se_std|pval_std|confint_std|est_sig_std|block|group|label|lavaan_label|precision|abs_yi","c74d29039f2ca1c8"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","GitHub","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv","ReC_Psychometrics","main",NA,90,"est",19,"x|lhs|op|rhs|est|pval|confint|est_sig|est_std|se_std|pval_std|confint_std|est_sig_std|block|group|label|lavaan_label|precision|abs_yi","71fce06025f9bbdd"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","GitHub","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv","ReC_Psychometrics","main",NA,90,"est",18,"x|lhs|op|rhs|est|pval|confint|est_sig|est_std|se_std|pval_std|confint_std|est_sig_std|block|group|label|precision|abs_yi","98671a6da68544fb"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_bifacF_paramEsts.csv","GitHub","lhbikos","Worked_Examples/bifacF_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/bifacF_paramEsts.csv","ReC_Psychometrics","main",NA,46,"est",16,"x|lhs|op|rhs|est|pval|confint|est_sig|est_std|se_std|pval_std|confint_std|est_sig_std|label|precision|abs_yi","a704604ba90f1933"
