Farm,Environmental,Mist-net,Fecal density,State,BCR,Natural,Urban,Water,Nat_ED,Nat_ENN_AM,Nat_AREA_AM,CONTAG,Nat_IJI,PR,SHDI,SHEI,cattle.den,goat.den,pig.den,sheep.den,mammal_land,chicken_land,Livestock_2016,Livestock_2017,mammal_farm,poultry_farm,Cattle,Chickens,Goats,Horses,Pigs,Sheep,Fowl_other,Ungulate_Other,Livestock_type,Farm_size,Open roof,Closeable barn,Cart,Exposed table,Farm stand,None/grass,Notes
Farm_11,Yes,Yes,Yes,WA,Northern_Pacific_Rainforest,61.5496,16.8241,0.8587,71.9554,62.6075,452.4199,54.55,65.9467,5,0.9774,0.6073,8.658545494,1.305714488,0.864315629,0.527090013,11.35566562,830.7145119,1,1,1.470588235,27.45098039,0,28,0,1.5,0,0,0,0,Separated,1.02,Yes,No,No,No,No,No,NA
Farm_12,Yes,Yes,Yes,OR,Northern_Pacific_Rainforest,17.9225,4.715,0.1057,34.5594,71.246,48.6248,64.6691,28.9885,4,0.6587,0.4752,6.812319279,0.747284114,0.752953291,0.471593648,8.784150332,82.73210664,1,1,2.717391304,0.336438923,0,0,2,0,5.5,45,6.5,0,Rotational,19.32,No,Yes,No,No,No,No,NA
Farm_13,Yes,No,Yes,CA,Coastal_California,52.289,9.5859,0.086,43.6182,62.5704,269.6691,58.8329,53.7223,5,0.9436,0.5863,9.314817429,0.242052719,0.005696356,0.156572506,9.719139009,0.184596477,0,0,0,0,0,0,0,0,0,0,0,0,N/A,167.44,No,No,Yes,No,No,No,NA
Farm_14,Yes,Yes,Yes,CA,Coastal_California,0.3567,5.7266,0,2.7301,590.7811,1.15,84.7855,17.6348,4,0.255,0.1839,7.42961359,0.153795138,0.013292547,0.180660531,7.777361806,0.28548,0,0,0,0,0,0,0,0,0,0,0,0,N/A,272.19,No,No,Yes,No,No,No,NA
Farm_15,Yes,Yes,Yes,CA,Coastal_California,37.759,22.1592,0.3299,28.3534,62.9088,488.262,45.7234,62.8074,4,1.0872,0.7843,8.806061745,0.17688033,0.018723281,0.18043834,9.182103695,0.468887095,0,0,0,0,0,0,0,0,0,0,0,0,N/A,39.01,Yes,Yes,No,No,No,No,NA
Farm_16,Yes,Yes,Yes,CA,Coastal_California,85.4454,6.5641,0.0528,30.6412,60,1158.2203,77.0973,37.7227,4,0.5183,0.3739,9.956385612,0.237868547,0.01003434,0.190514609,10.39480311,0.294309349,0,0,0,0,0,0,0,0,0,0,0,0,N/A,87.1,Yes,Yes,No,No,No,No,NA
Farm_17,No,Yes,Yes,CA,Coastal_California,65.4733,6.5989,0.469,45.2254,64.0002,394.6038,60.5304,64.0392,5,0.9228,0.5734,3.380263567,0.792627394,0.112714849,0.200896487,4.486502297,0.269560715,1,1,0.959158416,1.804867987,7,175,6.5,0,7,72.5,0,0,Rotational,96.96,No,Yes,No,No,No,No,NA
Farm_18,Yes,Yes,Yes,WA,Northern_Pacific_Rainforest,33.5204,33.7053,0.1123,62.8233,77.452,111.0992,49.2421,55.1967,5,1.1153,0.693,18.71444511,1.997361898,0.910591543,0.692012548,22.3144111,366.6426405,0,1,0,0,0,6.5,0,0,0,0,0,0,Separated,2.46,Yes,No,No,No,No,No,NA
Farm_19,Yes,Yes,Yes,WA,Northern_Pacific_Rainforest,94.708,3.4025,1.6847,32.6154,0,1290.15,84.7008,60.2907,4,0.248,0.1789,4.521744251,0.160767362,0.117300995,0.088099979,4.887912586,934.138719,1,N/A,1.862828112,0,20,0,0,2,0,0,0,0,Separated,11.81,Yes,No,No,No,No,No,Went out of business at the end of 2016
Farm_20,Yes,Yes,Yes,OR,Northern_Pacific_Rainforest,52.4644,26.8012,0,66.2256,62.9202,198.9774,43.5742,77.7439,4,1.0588,0.7637,5.579295635,0.633225501,0.230479658,1.03467536,7.477676153,2.093812893,0,0,0,0,0,0,0,0,0,0,0,0,N/A,2.47,Yes,No,No,No,No,No,NA
Farm_21,Yes,Yes,Yes,CA,Coastal_California,38.8166,2.8528,0,14.4401,979.4897,527.9411,57.1384,99.8685,3,0.7832,0.7129,8.689146042,0.499639183,0.024489902,0.665616989,9.878892116,0.082699818,0,0,0,0,0,0,0,0,0,0,0,0,N/A,8,No,Yes,No,Yes,No,No,NA
Farm_22,Yes,Yes,Yes,CA,Coastal_California,65.0697,13.8373,20.0753,47.8645,62.0033,136.0495,57.1598,30.4943,4,0.9223,0.6653,12.08109379,0.095375702,0.512287796,0.398410648,13.08716793,0.969339506,0,0,0,0,0,0,0,0,0,0,0,0,N/A,7.41,No,No,No,No,No,No,NA
Farm_23,Yes,Yes,Yes,OR,Northern_Pacific_Rainforest,23.1257,5.5882,3.884,60.6601,63.9212,62.1811,53.3747,75.2072,5,1.0098,0.6274,6.052698135,0.53730005,0.545802236,3.392723799,10.52852422,26.50585303,1,1,0.047,0.281690141,0,12,0,0,2,0,0,0,Separated,42.6,Yes,No,No,No,No,No,Only had pigs in 2016
Farm_24,Yes,No,No,WA,Northern_Pacific_Rainforest,51.1394,9.2939,3.2631,64.2711,61.7532,225.6338,52.1254,70.067,5,1.0524,0.6539,5.630596638,0.379443437,0.278226584,0.101343326,6.389609985,3.696544235,1,N/A,0.33,1.67,0,20,4,0,0,0,0,0,Free,12.14,Yes,No,No,No,No,No,Only surveyed in 2016 because only included in environmental fecal sample collection and point count
Farm_25,Yes,Yes,Yes,WA,Northern_Pacific_Rainforest,60.0515,7.8907,2.0453,88.6719,61.3578,765.625,51.0077,77.5609,5,0.9993,0.6209,9.852175713,0.61844033,0.480158836,0.232079804,11.18285468,1177.747104,1,1,0,0.191104934,0,5.5,0,0,0,0,0,0,Separated,28.78,Yes,Yes,No,No,Yes,No,NA
Farm_26,No,Yes,No,WA,Northern_Pacific_Rainforest,18.6527,26.1151,5.7271,41.6117,89.542,42.7836,48.4568,69.4687,5,1.2,0.7456,10.20773506,0.359206378,0.079312839,0.099510007,10.74576429,97.84284698,1,1,0,0.55,0,2,0,0,0,0,0,0,Free,3.64,N/A,N/A,N/A,N/A,N/A,N/A,NA
Farm_27,Yes,Yes,Yes,WA,Northern_Pacific_Rainforest,53.8573,16.1295,3.0317,93.1748,60.8887,409.6786,47.7108,73.6562,5,1.0947,0.6802,4.905828476,0.394998431,0.322193474,0.104078405,5.727098785,3.251784628,1,1,0.727077912,0.574008878,26,36.5,1,0,20.5,0,1,0,Rotational,65.33,Yes,No,No,No,No,No,NA
Farm_28,Yes,Yes,Yes,OR,Northern_Pacific_Rainforest,34.557,29.5854,3.8228,80.9895,69.6623,145.4973,42.8369,67.212,5,1.2476,0.7752,16.40297508,0.760053754,1.001363039,1.08207643,19.24646831,354.0623129,0,0,0,0,0,0,0,0,0,0,0,0,N/A,8.8,No,Yes,No,No,Yes,No,NA
Farm_29,Yes,Yes,Yes,OR,Northern_Pacific_Rainforest,15.8246,7.4698,0.3236,39.7156,68.2002,37.9486,60.6101,30.0802,4,0.7099,0.5121,23.2961235,0.968910098,1.633440375,1.211137414,27.10961139,164.4301512,0,0,0,0,0,0,0,0,0,0,0,0,N/A,37.97,Yes,Yes,No,No,No,No,NA
Farm_30,No,Yes,No,OR,Northern_Pacific_Rainforest,18.4004,3.5863,0.5878,32.3625,78.1725,102.7141,69.8569,32.6763,4,0.6591,0.4755,13.29920387,0.912468016,2.530537128,0.775147676,17.51735669,74.78469389,0,0,0,0,0,0,0,0,0,0,0,0,N/A,6.88,N/A,N/A,N/A,N/A,N/A,N/A,NA
Farm_31,Yes,Yes,Yes,OR,Northern_Pacific_Rainforest,11.2146,73.9449,0,37.3819,72.2109,24.5081,52.0438,99.0367,3,0.7517,0.6842,5.046578407,0.498070598,0.1810413,1.197325349,6.923015654,0.500259701,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7,No,No,No,Yes,No,No,NA
Farm_32,No,Yes,Yes,OR,Northern_Pacific_Rainforest,12.4711,30.996,9.7218,40.645,78.1261,19.0249,46.0754,76.8477,5,1.2393,0.77,7.948215008,0.58374238,0.307424963,4.445723534,13.28510588,29.21193994,0,0,0,0,0,0,0,0,0,0,0,0,N/A,2.02,N/A,N/A,N/A,N/A,No,N/A,NA
Farm_33,Yes,Yes,Yes,WA,Northern_Pacific_Rainforest,51.8514,8.6001,3.7357,64.8802,61.582,261.8667,52.0628,72.4076,5,1.0512,0.6531,5.630596638,0.379443437,0.278226584,0.101343326,6.389609985,3.661978982,0,0,0,0,0,0,0,0,0,0,0,0,N/A,39.75,Yes,Yes,No,No,No,No,NA
Farm_34,Yes,Yes,Yes,OR,Northern_Pacific_Rainforest,48.5878,1.6167,2.3624,38.7356,64.1572,521.876,63.155,31.9928,5,0.8642,0.537,9.007645607,0.713649213,0.187960163,4.134116173,14.04337116,536.7492699,1,1,0,8.6,0,129,0,0,0,0,0,0,Rotational,15,Yes,No,No,No,No,No,NA
Farm_35,Yes,Yes,Yes,WA,Northern_Pacific_Rainforest,37.6353,32.9902,0.8116,73.5242,68.6608,139.4795,43.6182,76.4257,5,1.2885,0.8006,7.218836784,0.644057155,0.236060828,0.239313677,8.338268444,731.4101294,1,1,1.243781095,3.482587065,4,14,0,0,0,1,0,0,Separated,4.02,Yes,No,No,No,No,No,NA
Farm_36,Yes,Yes,Yes,OR,Northern_Pacific_Rainforest,2.1861,11.4986,0.2113,6.8908,214.6064,8.8263,74.1215,47.0841,4,0.4741,0.342,8.842069626,0.618711293,0.163666338,4.378924847,14.0033721,35.57282995,1,1,0.39184953,1.567398119,0,10,0,0,2.5,0,0,0,Rotational,6.38,No,Yes,No,No,No,No,NA
Farm_37,No,Yes,No,CA,Coastal_California,53.0608,7.2245,0.3038,40.3707,61.9138,329.0168,55.7316,72.6129,5,1.0371,0.6444,5.358054638,0.748457193,0.032838009,0.417388886,6.556738727,0.168274665,N/A,1,0.62,0.62,0,100,0,0,100,0,0,0,Rotational,161.87,N/A,N/A,N/A,N/A,N/A,N/A,Only surveyed in 2017
Farm_38,Yes,Yes,Yes,OR,Northern_Pacific_Rainforest,84.9047,0,0,28.1278,60.071,1154.7935,71.9196,67.1067,3,0.4506,0.4102,7.409260273,0.455999762,0.120356292,0.519431055,8.505047381,0.426141272,1,1,5.1436515289999996,2.826691381,8,0,2,1,1,43.5,30.5,0,Rotational,10.79,No,No,No,No,No,Yes,NA
Farm_39,Yes,Yes,Yes,CA,Coastal_California,0.2113,5.5196,0,1.8047,87.2945,1.3219,85.5593,10.4373,4,0.2398,0.173,6.624162674,0.671364844,0.020441251,0.644333899,7.960302668,0.334751146,1,1,0.280548628,19.57605985,0,314,0,0,0,0,0,4.5,Rotational,16.04,Yes,Yes,No,No,No,No,NA
Farm_40,Yes,Yes,Yes,OR,Northern_Pacific_Rainforest,23.3303,9.8205,5.227,57.1982,67.9634,46.0313,45.1837,73.334,4,1.0201,0.7358,23.2961235,0.968910098,1.633440375,1.211137414,27.10961139,217.060795,0,0,0,0,0,0,0,0,0,0,0,0,N/A,18.14,No,No,Yes,No,No,No,NA
Farm_41,No,Yes,Yes,OR,Northern_Pacific_Rainforest,10.8841,6.9827,0,30.4834,134.6004,49.4338,58.3398,43.2912,3,0.5889,0.5361,19.33769417,0.861025929,1.561794519,1.287808418,23.04832304,196.9540046,0,0,0,0,0,0,0,0,0,0,0,0,N/A,23.26,No,No,Yes,No,No,No,NA
Farm_42,No,Yes,No,CA,Coastal_California,95.001,4.9594,0.0396,42.1977,0,1294.74,82.9874,6.233,3,0.2008,0.1828,8.081481934,0.997566819,6.19846e-4,0.163509279,9.243177878,0,N/A,1,4.5,0,0,0,2,0,0,0,0,0,Separated,0.44,No,No,No,Yes,No,No,Birds only captured in 2017
Farm_43,No,Yes,No,OR,Northern_Pacific_Rainforest,63.8379,15.3425,3.1147,82.9264,65.5538,268.2534,52.0314,50.1563,5,1.038,0.6449,5.925058842,0.217611149,0.096255824,0.174318433,6.413244247,0.101322678,N/A,1,0,9.92,0,12,0,0,0,0,0,0,N/A,1.21,N/A,N/A,N/A,N/A,N/A,N/A,Only surveyed in 2017
Farm_44,Yes,Yes,Yes,WA,Northern_Pacific_Rainforest,86.0143,5.4147,0,48.5561,60.1033,570.3875,70.4927,68.6012,4,0.539,0.3888,4.793437958,0.16554603,0.142855033,0.092286304,5.194125324,859.7106628,1,0,0,10.6,0,0,0,0,0,0,5,0,Rotational,0.47,No,No,No,Yes,No,No,NA
Farm_45,Yes,Yes,Yes,WA,Northern_Pacific_Rainforest,16.3291,67.5859,0.9501,52.561,84.6129,27.4236,57.3045,53.6982,5,0.9212,0.5724,2.550951719,0.623030365,0.099647343,0.125379726,3.399009153,0,1,1,0,19.87110634,0,185,0,0,0,0,0,0,Rotational,9.31,Yes,Yes,No,No,Yes,No,NA
Farm_46,Yes,Yes,Yes,WA,Northern_Pacific_Rainforest,19.6196,29.9016,0,26.0186,129.2005,175.4536,38.5596,99.3744,3,1.0256,0.9335,12.11890411,0.32582292,0.040348478,0.10206122,12.58713673,73.89462111,0,0,0,0,0,0,0,0,0,0,0,0,N/A,14.41,Yes,No,No,No,Yes,No,NA
Farm_47,Yes,Yes,Yes,OR,Northern_Pacific_Rainforest,73.5719,8.3801,0,55.207,66.518,356.0217,60.4128,63.0915,4,0.7458,0.538,2.406328201,0.34239319,0.528795719,0.928499997,4.206017107,604.0027604,1,1,2.413624112,0.232786082,71.5,9.5,0,1,0,26,0,0,Rotational,40.81,Yes,Yes,No,No,No,No,NA
Farm_48,Yes,Yes,Yes,WA,Northern_Pacific_Rainforest,41.7212,15.8378,1.5389,88.2813,65.4239,246.1764,46.6816,69.846,5,1.0986,0.6826,9.852175713,0.61844033,0.480158836,0.232079804,11.18285468,1312.200162,0,0,0,0,0,0,0,0,0,0,0,0,N/A,7.42,Yes,No,No,No,No,No,NA
Farm_49,No,Yes,No,CA,Coastal_California,92.2935,6.7886,0.8849,37.8833,62.6299,628.7981,82.45,27.2694,4,0.3011,0.2172,1.398132443,0.354158103,0.005327072,0.062927261,1.820544879,2.991267692,N/A,1,0,6.36,0,15.5,0,0,0,0,2.5,0,Rotational,2.83,N/A,N/A,N/A,N/A,N/A,N/A,Only surveyed in 2017
Farm_50,Yes,No,Yes,WA,Northern_Pacific_Rainforest,95.732,3.158,0,25.0176,0,1304.1,87.9208,37.8985,4,0.2068,0.1491,8.802548409,1.532248616,0.959393382,0.262088329,11.55627874,117.7462638,1,1,2.212389381,14.74926254,0,100,13,2,0,0,0,0,Separated,6.78,No,No,No,No,No,Yes,NA
