studyID,caseID,author,year,journal,kingdom,organism_group,thermoregulation,dispersal_type,trophic_position,realm,habitat,hemisphere,longitude_range,longitude_midpoint,scale,diversity,latitude_range,latitude_midpoint,total_taxonomic_richness,measure_of_richness,number_of_points,slope_b,SE_b,Var_b,intercept,r,rz,VarRz
283,1,"F. Guilhaumon, B. R. Krasnov, R. Poulin, G. I. Shenbrot and D. Mouillot",2012,Global Ecology and Biogeography,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial general,both,272.95,12.65,regional,gamma,103.19,14.51,NA,S,16,-4.38906,1.601673,41.04570238,350.1041,-0.590861236,-0.678988216,0.076923
283,2,"F. Guilhaumon, B. R. Krasnov, R. Poulin, G. I. Shenbrot and D. Mouillot",2012,Global Ecology and Biogeography,Animalia,arthropods,ecto,passive,parasites,terrestrial,Terrestrial general,both,272.95,12.65,regional,gamma,103.19,14.51,NA,S,16,0.961355,0.559079,5.001109252,37.08174,0.417578735,0.444755785,0.076923
417,1,J. A. Crame,2002,Paleobiology,Animalia,other invertebrates,ecto,passive,suspension,marine,Benthic,N,NA,NA,regional,gamma,77,46.5,NA,S,18,-6.97707,3.243362,189.3491471,684.5554,-0.473645437,-0.51475972,0.066667
338,1,"H. F. OlguÃ_n, D. Boltovskoy, C. B. Lange and F. Brandini",2006,JOURNAL OF PLANKTON RESEARCH,Protista,protozoa,ecto,both,autotrophs,marine,Open ocean,S,9,-52,local,alpha,31,-45.5,191,S,20,-0.90058,0.312801,1.956889312,92.70413,-0.561520258,-0.635050769,0.058824
420,1,"J. A. D. Fisher, K. T. Frank, B. Petrie, W. C. Leggett and N. L. Shackell",2008,Ecology Letters,Animalia,fishes,ecto,active,carnivores,marine,Open ocean,N,30,-60,local,alpha,20,45,426,S,21,-7.39033,0.723964,11.00660134,446.9792,-0.919666787,-1.58686188,0.055556
992,2,"S. Pasquaud, R. P. Vasconcelos, S. FranÃ§a, S. Henriques, M. J. Costa and H. Cabral",2015,"Estuarine, Coastal and Shelf Science",Animalia,fishes,ecto,active,multiple,marine,Coastal/estuary,S,198.73,47.56,local,alpha,35,-18,NA,S,24,-1.93719,0.642837,9.917745806,131.5031,-0.540533995,-0.604909715,0.047619
300,1,"G. Amori, F. Chiozza, C. Rondinini and L. Luiselli",2011,Biodiversity and Conservation,Animalia,mammals,homeo,active,omnivores,terrestrial,Terrestrial general,N,62.77,13.97,regional,gamma,33.62,17.19,NA,S,32,-1.29005,0.349789,3.915275025,56.59957,-0.558531109,-0.630695753,0.034483
1021,5,"T. D. O'Hara, A. A. Rowden and N. J. Bax",2011,Current Biology,Animalia,other invertebrates,ecto,active,detritivores,marine,Open ocean,S,89.65,144.87,local,alpha,12,-63.5,NA,S,34,0.73425,0.028243,0.02712068,-26.7987,0.977136122,2.229923184,0.032258
998,1,"S. R. Connolly, D. R. Bellwood and T. P. Hughes",2003,Ecology,Animalia,other invertebrates,ecto,passive,carnivores,marine,Coral reefs,N,256.1,153.86,local,alpha,34.08,18.52,NA,S,34,-16.7929,1.99832,135.771616,834.7169,-0.829558316,-1.186718326,0.032258
998,4,"S. R. Connolly, D. R. Bellwood and T. P. Hughes",2003,Ecology,Animalia,fishes,ecto,active,multiple,marine,Coral reefs,S,263.1,153.23,local,alpha,37.33,-19.85,NA,S,34,-32.5474,2.695454,247.026057,1306.562,-0.905553422,-1.502246696,0.032258
998,2,"S. R. Connolly, D. R. Bellwood and T. P. Hughes",2003,Ecology,Animalia,other invertebrates,ecto,passive,carnivores,marine,Coral reefs,S,256.1,153.86,local,alpha,38.22,-19.7,NA,S,35,-17.9262,1.533626,82.32030478,810.7405,-0.897472005,-1.459070937,0.03125
276,1,"F. B. Lasram, F. Guilhaumon and D. Mouillot",2009,MARINE ECOLOGY PROGRESS SERIES,Animalia,fishes,ecto,passive,multiple,marine,Open ocean,N,42.15,15.126,local,alpha,15.5,38,619,S,39,4.365413,2.290255,204.5654506,216.0206,0.299020066,0.308443101,0.027778
999,1,"S. R. Floeter, M. D. Behrens, C. E. L. Ferreira, M. J. Paddack and M. H. Horn",2005,Marine Biology,Animalia,fishes,ecto,active,herbivores,marine,Coastal/estuary,N,NA,NA,local,alpha,54.53,27.91,NA,index,45,-0.21935,0.023623,0.025112076,12.69774,-0.81684209,-1.14725324,0.02381
328,1,"G. Pohle, K. Iken, K. R. Clarke, T. Trott, B. Konar, J. J. Cruz-Motta, M. Wong, L. Benedetti-Cecchi, A. Mead, P. Miloslavich, N. Mieszkowska, R. Milne, L. Tamburello, A. Knowlton, E. Kimani and Y. Shirayama",2011,Plos One,Animalia,arthropods,ecto,both,omnivores,marine,Benthic,N,297,-5.5,local,alpha,60,NA,82,S,46,0.005587016,0.008413516,0.003256214,1.58184,0.099611761,0.099943203,0.02325581
992,1,"S. Pasquaud, R. P. Vasconcelos, S. FranÃ§a, S. Henriques, M. J. Costa and H. Cabral",2015,"Estuarine, Coastal and Shelf Science",Animalia,fishes,ecto,active,multiple,marine,Coastal/estuary,N,209.56,-19.32,local,alpha,51,30,NA,S,47,-0.63433,0.27347,3.514934522,112.9402,-0.326795043,-0.339235872,0.022727
998,3,"S. R. Connolly, D. R. Bellwood and T. P. Hughes",2003,Ecology,Animalia,fishes,ecto,active,multiple,marine,Coral reefs,N,263.1,153.23,local,alpha,40,20.3,NA,S,48,-31.204,2.062215,204.1310739,1297.267,-0.91252452,-1.542410432,0.022222
413,1,I. Timling and D. L. Taylor,2012,Fungal Ecology,Fungi,fungi,ecto,passive,detritivores,terrestrial,Terrestrial general,N,NA,NA,local,alpha,NA,NA,NA,index,54,-0.7323659,1.732461,162.0767403,115.0934,-0.058521834,-0.05858878,0.01960784
968,1,S. Fattorini and W. Ulrich,2012,Biological Journal of the Linnean Society,Animalia,arthropods,ecto,active,multiple,terrestrial,Terrestrial general,N,83.1,14.45,regional,gamma,52.9,54.55,1478,S,63,-2.76199,0.889143,49.80624229,190.0422,-0.36957002,-0.387925011,0.016667
1021,1,"T. D. O'Hara, A. A. Rowden and N. J. Bax",2011,Current Biology,Animalia,other invertebrates,ecto,active,detritivores,marine,Open ocean,S,89.83,145,local,alpha,28.5,-14.25,NA,S,71,-1.2992,0.072006,0.368125347,74.73729,-0.90835896,-1.51805988,0.014706
1021,2,"T. D. O'Hara, A. A. Rowden and N. J. Bax",2011,Current Biology,Animalia,other invertebrates,ecto,active,detritivores,marine,Open ocean,S,89.91,145,local,alpha,33.95,-16.98,NA,S,71,-1.50698,0.063971,0.290552508,97.93458,-0.943086422,-1.765249496,0.014706
1021,3,"T. D. O'Hara, A. A. Rowden and N. J. Bax",2011,Current Biology,Animalia,other invertebrates,ecto,active,detritivores,marine,Open ocean,S,71.34,149.01,local,alpha,24.16,-38.81,NA,S,71,-0.05161,0.063225,0.283815444,10.94856,-0.097800818,-0.098114441,0.014706
1021,4,"T. D. O'Hara, A. A. Rowden and N. J. Bax",2011,Current Biology,Animalia,other invertebrates,ecto,active,detritivores,marine,Open ocean,S,76.32,151.75,local,alpha,32.53,-41.5,NA,S,71,0.007546,0.082176,0.479455543,22.56871,0.011045361,0.01104581,0.014706
997,1,"S. Pompa, P. R. Ehrlich and G. Ceballos",2011,PNAS,Animalia,mammals,homeo,active,omnivores,NA,Multiple,N,360,0,local,alpha,90,45,NA,S,91,-0.28259,0.011855,0.012789233,29.44133,-0.92983063,-1.657137813,0.011364
997,2,"S. Pompa, P. R. Ehrlich and G. Ceballos",2011,PNAS,Animalia,mammals,homeo,active,omnivores,NA,Multiple,S,360,0,local,alpha,90,-45,NA,S,91,-0.19439,0.005755,0.003013922,26.65006,-0.963137062,-1.987546178,0.011364
407,2,"I. Rombouts, G. Beaugrand, F. IbaÅˆez, S. Gasparini, S. Chiba and L. Legendre",2009,Proceedings of the Royal Society B,Animalia,arthropods,ecto,both,omnivores,marine,Open ocean,S,69.78,-21.83,local,alpha,120,NA,NA,S,111,-0.09037,0.083942,0.782134789,30.51953,-0.102571926,-0.102933934,0.009259
407,1,"I. Rombouts, G. Beaugrand, F. IbaÅˆez, S. Gasparini, S. Chiba and L. Legendre",2009,Proceedings of the Royal Society B,Animalia,arthropods,ecto,both,omnivores,marine,Open ocean,N,298.13,1.68,local,alpha,120,NA,NA,S,163,-0.40969,0.0352,0.20196352,38.65078,-0.675959318,-0.821635969,0.00625
298,1,G. A. Thompson,2004,AQUATIC MICROBIAL ECOLOGY,Protista,protozoa,ecto,both,herbivores,marine,Open ocean,S,16,-55,local,alpha,31,-44.5,76,S,176,-0.50371,0.044797,0.353191733,33.3966,-0.648714883,-0.773076607,0.00578
298,2,G. A. Thompson,2004,AQUATIC MICROBIAL ECOLOGY,Protista,protozoa,ecto,both,herbivores,marine,Open ocean,S,16,-55,local,alpha,31,-44.5,76,index,215,-0.11774,0.010776,0.024966268,7.201323,-0.599308768,-0.69206783,0.004717
542,1,Wang et al.,2014,ZooKeys,Animalia,arthropods,ecto,active,detritivores,terrestrial,Forest,N,17.98,118.41,regional,gamma,23.04,30.03,19,index,6,-0.08422548,0.02493544,0.003730657,4.183406,-0.860473068,-1.295164213,0.3333333
172,3,C. M. McCain,2007,Ecology,Animalia,mammals,homeo,active,omnivores,terrestrial,Terrestrial general,S,218.9622481,37.71887595,regional,gamma,17.2,-10.6,136,S,6,1.358902,2.946887,52.10485794,103.1215,0.224671137,0.228570175,0.3333333
548,1,K. A. Rawlinson,2008,Marine Biology,Animalia,other invertebrates,ecto,active,carnivores,marine,Coral reefs,N,24,76,regional,gamma,15,16.5,67,index,7,0.05677155,0.2665296,0.497266194,18.57387,0.094828477,0.095114267,0.25
167,1,C. L. Waller,2008,Polar Biology,Animalia,other invertebrates,ecto,both,multiple,marine,Coastal/estuary,S,31.44,-53.41,local,alpha,15.471,-59.8345,34,S,13,-0.461962,0.3699747,1.779456622,-6.854749,-0.352334642,-0.368106801,0.1
1137,2,"J. Filloy, S. Grosso and M. I. Bellocq",2015,Urban Ecosystems,Animalia,birds,homeo,active,multiple,terrestrial,Terrestrial other,S,2,-60,local,alpha,11.701,-31.59,17,S,15,-0.3485061,0.2170515,0.706670305,22.47719,-0.406809292,-0.43178178,0.08333333
1137,3,"J. Filloy, S. Grosso and M. I. Bellocq",2015,Urban Ecosystems,Animalia,birds,homeo,active,multiple,terrestrial,Terrestrial other,S,2,-60,local,alpha,11.762,-31.59,39,S,15,-1.882808,0.3837228,2.208647809,85.7827,-0.805831744,-1.115025742,0.08333333
1136,2,"J. F. Ghiglione, P. E. Galand, T. Pommier, C. Pedros-Alio, E. W. Maas, K. Bakker, S. Bertilson, D. L. Kirchman, C. Lovejoy, P. L. Yager and A. E. Murray",2012,PNAS,Bacteria,bacteria,ecto,passive,multiple,marine,Open ocean,S,359,0.4,regional,gamma,52.136,-49.814,2296,index,18,21.76041,8.585987,1326.9451100000001,2732.772,0.53521435,0.59742448,0.06666667
551,1,"K. D. Angielczyk, R. W. Burroughs and C. R. Feldman",2015,Journal of Experimental Zoology,Animalia,herpetofauna,ecto,active,carnivores,NA,Multiple,both,360,0,regional,gamma,100,10,336,S,20,0.004965724,0.1928328,0.743689775,42.98982,0.0060663,0.006066375,0.05882353
170,1,"C. M. IbÃ¡Ã±ez, P. A. Camus and F. J. Rocha",2009,Marine Biology Research,Animalia,other invertebrates,ecto,active,carnivores,marine,Coastal/estuary,S,10,-75,regional,gamma,38,-37,86,S,20,-0.5537881,0.1093002,0.238930674,65.51053,-0.766699876,-1.012271449,0.05882353
