author,TE,seTE,treat1,treat2,treat1.long,treat2.long,versus
"Watkins Jr, 2004",-1.492,0.461,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Harbert, 1999",-1.5019999999999998,0.434,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Rodgers, 1993",0.304,0.065,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Hopkins, 2003",-0.16899999999999998,0.254,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Ebberts, 1992",-0.22599999999999992,0.107,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Homrighausen, 2002",0.37300000000000005,0.162,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Hanrahan, 1999",-1.2429999999999999,0.435,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Bond, 1988",0.47300000000000003,0.118,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Lemon, 2005",-1.838,0.362,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Blevins, 2003",-0.5559999999999998,0.093,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Reynolds, 1989",-2.9050000000000002,0.367,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Marinkovich, 2003",-1.7479999999999998,0.333,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Lesley, 1999",-1.8439999999999999,0.318,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Fourroux, 1999",0.015000000000000069,0.275,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Orman, 2012",-1.2169999999999999,0.226,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Underwood, 2008",-0.009999999999999953,0.305,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Graesch, 2000",-1.803,0.163,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Fay, 2002",-0.5269999999999999,0.279,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Ristau, 1992",-1.492,0.297,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Nelson, 1987",-1.5019999999999998,0.129,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Watson, 1997",0.304,0.309,gsh,wlc,Guided Self-Help,Waitlist,gsh vs wlc
"Crane, 1984",-0.733,0.348,gsh,cau,Guided Self-Help,Care As Usual,gsh vs cau
"Reeve, 2013",-0.511,0.252,gsh,cau,Guided Self-Help,Care As Usual,gsh vs cau
"Christenson, 2018",-0.71,0.359,gsh,cau,Guided Self-Help,Care As Usual,gsh vs cau
"Ayers, 2008",-0.429,0.36,gsh,cau,Guided Self-Help,Care As Usual,gsh vs cau
"Schwartz, 2012",-0.573,0.27,gsh,cau,Guided Self-Help,Care As Usual,gsh vs cau
"Gilly, 2014",-0.675,0.399,gsh,cau,Guided Self-Help,Care As Usual,gsh vs cau
"Dahl, 2002",-0.662,0.427,gsh,cau,Guided Self-Help,Care As Usual,gsh vs cau
"Allen, 2003",-0.556,0.085,gsh,cau,Guided Self-Help,Care As Usual,gsh vs cau
"Scott, 1993",-0.558,0.098,tel,wlc,Telephone,Waitlist,tel vs wlc
"Nelson, 2006",-0.514,0.119,tel,cau,Telephone,Care As Usual,tel vs cau
"Staley, 1992",-0.557,0.363,tel,cau,Telephone,Care As Usual,tel vs cau
"Maurath, 1994",-0.962,0.301,tel,cau,Telephone,Care As Usual,tel vs cau
"Carrell, 2008",-1.014,0.177,tel,cau,Telephone,Care As Usual,tel vs cau
"Schulker, 2009",-1.306,0.265,tel,cau,Telephone,Care As Usual,tel vs cau
"Walker, 1990",-0.688,0.25,tel,cau,Telephone,Care As Usual,tel vs cau
"Wagner, 1994",-0.424,0.178,ush,wlc,Unguided Self-Help,Waitlist,ush vs wlc
"Huebner, 1997",-0.549,0.258,ush,wlc,Unguided Self-Help,Waitlist,ush vs wlc
"Mcmanus, 1987",-0.547,0.251,ush,wlc,Unguided Self-Help,Waitlist,ush vs wlc
"Oberholser, 2008",-0.651,0.239,ush,wlc,Unguided Self-Help,Waitlist,ush vs wlc
"Mai, 2003",-0.524,0.255,ush,wlc,Unguided Self-Help,Waitlist,ush vs wlc
"Ralph, 1989",-0.377,0.419,ush,wlc,Unguided Self-Help,Waitlist,ush vs wlc
"Roberts, 2017",-0.465,0.143,ush,wlc,Unguided Self-Help,Waitlist,ush vs wlc
"Thompson, 2003",-0.608,0.246,ush,wlc,Unguided Self-Help,Waitlist,ush vs wlc
"Hassan, 2011",-0.636,0.159,ush,wlc,Unguided Self-Help,Waitlist,ush vs wlc
"Woodard, 2013",-0.505,0.514,ush,wlc,Unguided Self-Help,Waitlist,ush vs wlc
"Meraz, 2014",-0.252,0.295,ush,wlc,Unguided Self-Help,Waitlist,ush vs wlc
"Lopez, 2011",-0.318,0.105,ush,cau,Unguided Self-Help,Care As Usual,ush vs cau
"Villalobos-Valles, 2006",0.058,0.35,ush,cau,Unguided Self-Help,Care As Usual,ush vs cau
"Godinez, 2005",-0.014,0.547,ush,cau,Unguided Self-Help,Care As Usual,ush vs cau
"Quinonez Dominguez, 1993",-0.156,0.355,ush,cau,Unguided Self-Help,Care As Usual,ush vs cau
"Ono, 1985",-0.249,0.454,ush,cau,Unguided Self-Help,Care As Usual,ush vs cau
"Durgan, 1998",0.096,0.195,ush,cau,Unguided Self-Help,Care As Usual,ush vs cau
"Nguyen, 1996",-0.423,0.309,ush,cau,Unguided Self-Help,Care As Usual,ush vs cau
"Maranto, 1997",-0.231,0.245,ush,cau,Unguided Self-Help,Care As Usual,ush vs cau
"Duba, 1990",0.062,0.243,ush,cau,Unguided Self-Help,Care As Usual,ush vs cau
"Breiman, 2001",-0.664,0.514,gsh,wlc,Guided Self-Help,Waitlist,"Breiman, 2001"
