"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","study_id","sample_id","author","pub_year","pub_type","ed_level1","ed_level2","country","perc_white","age","perc_female","ei_construct","ei_stream","ei_measure","subject","humanities","achievement_type","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahmad NA",0.227621678836827,0.00310021099142455,"from_dataset",9,9,"Ahmad",2011,0,2,2,"Pakistan",NA,19.15,67,7,3,3.1,0,0,0,17.9599190213189,0.227621678836827,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahmad NA",0.525013900076134,0.00180930343426221,"from_dataset",9,9,"Ahmad",2011,0,2,2,"Pakistan",NA,19.15,67,8,3,3.1,0,0,0,23.5095489134971,0.525013900076134,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahmad NA",0.301761190945465,0.00284886985322075,"from_dataset",9,9,"Ahmad",2011,0,2,2,"Pakistan",NA,19.15,67,5,3,3.1,0,0,0,18.7354312994997,0.301761190945465,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahmad NA",0.210899692303554,0.00314834825022789,"from_dataset",9,9,"Ahmad",2011,0,2,2,"Pakistan",NA,19.15,67,9,3,3.1,0,0,0,17.8220893802093,0.210899692303554,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahmad NA",0.172175515299764,0.0032468619820423,"from_dataset",9,9,"Ahmad",2011,0,2,2,"Pakistan",NA,19.15,67,6,3,3.1,0,0,0,17.5496349044926,0.172175515299764,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahmad NA",0.292018339583788,0.00288524949989812,"from_dataset",9,9,"Ahmad",2011,0,2,2,"Pakistan",NA,19.15,67,0,3,3.1,0,0,0,18.6169405878002,0.292018339583788,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahmad & Rana NA",0.108656724343437,0.00181848569989903,"from_dataset",10,10,"Ahmad & Rana",2012,0,2,2,"Pakistan",NA,18.94,60.97,0,3,3.1,0,0,0,23.4501192138063,0.108656724343437,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Alhashemi NA",0.119502141372516,0.00719735123386773,"from_dataset",11,11,"Alhashemi",2014,0,2,2,"Bahrain",NA,21,NA,0,2,2.5,0,0,0,11.7872813964272,0.119502141372516,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Alumran & Punamaki NA",-0.0131113308514322,0.00321432866739107,"from_dataset",13,13,"Alumran & Punamaki",2008,0,3,3,"Bahrain",NA,17,54.5,8,3,3.1,0,0,0,17.6382242227016,0.0131113308514322,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Alumran & Punamaki NA",0.136082763487954,0.00309744661894239,"from_dataset",13,13,"Alumran & Punamaki",2008,0,3,3,"Bahrain",NA,17,54.5,0,3,3.1,0,0,0,17.9679315619172,0.136082763487954,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Alumran & Punamaki NA",0.160612308851606,0.00305168110062393,"from_dataset",13,13,"Alumran & Punamaki",2008,0,3,3,"Bahrain",NA,17,54.5,6,3,3.1,0,0,0,18.1021611163427,0.160612308851606,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Alumran & Punamaki NA",0.163965029624046,0.00304486725441998,"from_dataset",13,13,"Alumran & Punamaki",2008,0,3,3,"Bahrain",NA,17,54.5,5,3,3.1,0,0,0,18.1224044311786,0.163965029624046,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Alumran & Punamaki NA",0.167758552118766,0.00303699730222777,"from_dataset",13,13,"Alumran & Punamaki",2008,0,3,3,"Bahrain",NA,17,54.5,7,3,3.1,0,0,0,18.1458700726167,0.167758552118766,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Amdurer, Boyatzis, Saatcioglu, Smith & Taylor NA",-0.0323602522120375,0.00376568575378077,"from_dataset",14,14,"Amdurer, Boyatzis, Saatcioglu, Smith & Taylor",2014,0,2,2,"USA",NA,29.55,29,0,3,NA,7,1,1,16.2958854179159,0.0323602522120375,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Arbabisarjou, Raghib, Moayed & Rezazadeh NA",0.631322633198553,0.00145269128205758,"from_dataset",17,17,"Arbabisarjou, Raghib, Moayed & Rezazadeh",2013,3,2,2,"Iran",NA,21.33267,52.8,1,3,3.2,NA,0,0,26.2369492283039,0.631322633198553,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Arbabisarjou, Raghib, Moayed & Rezazadeh NA",0.644861606912099,0.00137042297521203,"from_dataset",17,17,"Arbabisarjou, Raghib, Moayed & Rezazadeh",2013,3,2,2,"Iran",NA,21.33267,52.8,NA,3,3.2,NA,0,0,27.0129916602851,0.644861606912099,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Arbabisarjou, Raghib, Moayed & Rezazadeh NA",0.671586062567076,0.00121032302440209,"from_dataset",17,17,"Arbabisarjou, Raghib, Moayed & Rezazadeh",2013,3,2,2,"Iran",NA,21.33267,52.8,NA,3,3.2,NA,0,0,28.7441421834585,0.671586062567076,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Arbabisarjou, Raghib, Moayed & Rezazadeh NA",0.710774587011695,0.000983239083531933,"from_dataset",17,17,"Arbabisarjou, Raghib, Moayed & Rezazadeh",2013,3,2,2,"Iran",NA,21.33267,52.8,4,3,3.2,NA,0,0,31.8911685842819,0.710774587011695,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Aremu, Tella & Tella NA",0.375805372386074,0.00246650992005113,"from_dataset",18,18,"Aremu, Tella & Tella",2006,0,1,1,"Nigeria",NA,16.5,50,0,2,2.2,0,0,0,20.1353214253993,0.375805372386074,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barchard NA",0.0353762880444852,0.00669462149459713,"from_dataset",23,23,"Barchard",2003,0,2,2,"USA",44,21.5,62.67,1,1,1.1,0,0,0,12.2218510393316,0.0353762880444852,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barchard NA",0.105146912120276,0.0065638287655958,"from_dataset",23,23,"Barchard",2003,0,2,2,"USA",44,21.5,62.67,4,1,1.1,0,0,0,12.34301846187,0.105146912120276,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barchard NA",0.142818600354901,0.00644041435315316,"from_dataset",23,23,"Barchard",2003,0,2,2,"USA",44,21.5,62.67,2,1,1.1,0,0,0,12.4607187986672,0.142818600354901,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barchard NA",0.289820061790294,0.00563130158286453,"from_dataset",23,23,"Barchard",2003,0,2,2,"USA",44,21.5,62.67,3,1,1.1,0,0,0,13.3258710599786,0.289820061790294,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barchard NA",0.33996024072649,0.0052497394614281,"from_dataset",23,23,"Barchard",2003,0,2,2,"USA",44,21.5,62.67,0,1,1.1,0,0,0,13.8016536542515,0.33996024072649,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barchard NA",-0.10494119464364,0.00656440248247648,"from_dataset",23,23,"Barchard",2003,0,2,2,"USA",44,21.5,62.67,NA,2,NA,0,0,0,12.3424790713618,0.10494119464364,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barchard NA",-0.0643229598093388,0.00665598813502432,"from_dataset",23,23,"Barchard",2003,0,2,2,"USA",44,21.5,62.67,NA,2,2.4,0,0,0,12.2572693710364,0.0643229598093388,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barchard NA",-0.021182948417531,0.00670538769624093,"from_dataset",23,23,"Barchard",2003,0,2,2,"USA",44,21.5,62.67,NA,2,NA,0,0,0,12.2120353673159,0.021182948417531,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barchard NA",-0.0117680987887261,0.00670955062336084,"from_dataset",23,23,"Barchard",2003,0,2,2,"USA",44,21.5,62.67,NA,2,2.4,0,0,0,12.2082463131694,0.0117680987887261,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barchard NA",0.05296440819896,0.0066738081358081,"from_dataset",23,23,"Barchard",2003,0,2,2,"USA",44,21.5,62.67,NA,2,NA,0,0,0,12.2408941212271,0.05296440819896,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barchard NA",0.0886998712620513,0.00660621856283733,"from_dataset",23,23,"Barchard",2003,0,2,2,"USA",44,21.5,62.67,1,2,NA,0,0,0,12.303354312439,0.0886998712620513,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barchard NA",0.0952815359835515,0.00659010253862038,"from_dataset",23,23,"Barchard",2003,0,2,2,"USA",44,21.5,62.67,NA,2,NA,0,0,0,12.3183889859727,0.0952815359835515,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barchard NA",0.228600893818399,0.00602828322003554,"from_dataset",23,23,"Barchard",2003,0,2,2,"USA",44,21.5,62.67,NA,2,NA,0,0,0,12.8796237413409,0.228600893818399,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",-0.696146194741816,0.00617714033894246,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,5,3,3.1,1,0,0,12.7234903831946,0.696146194741816,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",-0.458329075447708,0.0145115453228486,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,6,3,3.1,1,0,0,8.30124379677015,0.458329075447708,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",-0.378565390671897,0.0170677848627029,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,6,3,3.1,2,0,0,7.65440469468972,0.378565390671897,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",-0.227651485040206,0.0209078012542362,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,0,3,3.1,1,0,0,6.91585403335274,0.227651485040206,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",-0.0598405735504927,0.023089558937625,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,5,3,3.1,2,0,0,6.58100440508836,0.0598405735504927,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",0.0489742177334287,0.0231443908063335,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,7,3,3.1,1,0,0,6.57320418365028,0.0489742177334287,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",0.0574120706471504,0.0231027575085004,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,0,3,3.1,2,0,0,6.57912427752543,0.0574120706471504,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",0.0961665343959664,0.0228276632760878,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,8,3,3.1,1,0,0,6.61864779457888,0.0961665343959664,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",0.0996946188049867,0.0227958313958594,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,5,3,3.1,1,0,0,6.62326729062271,0.0996946188049867,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",0.213187479675983,0.0211899488294304,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,6,3,3.1,1,0,0,6.86965688326366,0.213187479675983,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",0.227644365906595,0.0209079442000786,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,7,3,3.1,2,0,0,6.91583039175842,0.227644365906595,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",0.319548635242334,0.0187489317023755,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,0,3,3.1,1,0,0,7.30317548876649,0.319548635242334,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",0.398764066063548,0.0164478954315869,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,8,3,3.1,2,0,0,7.79731055519789,0.398764066063548,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",0.355157604782332,0.0177589924461849,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,7,3,3.1,1,0,0,7.50396567398089,0.355157604782332,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Barisonek NA",0.724712090080326,0.00524250721558614,"from_dataset",24,24,"Barisonek",2005,1,0,0,"USA",0,10,47.73,8,3,3.1,1,0,0,13.8111703364913,0.724712090080326,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Bastian, Burns, & Nettelbeck NA",-0.0590593972703692,0.0053969355511884,"from_dataset",25,25,"Bastian, Burns, & Nettelbeck",2005,0,2,1,"Australia",NA,19.9,71.95,1,1,1.1,0,0,0,13.6121392769198,0.0590593972703692,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Bastian, Burns, & Nettelbeck NA",-0.0304337230871374,0.00542471975470574,"from_dataset",25,25,"Bastian, Burns, & Nettelbeck",2005,0,2,1,"Australia",NA,19.9,71.95,2,1,1.1,0,0,0,13.57723535779,0.0304337230871374,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Bastian, Burns, & Nettelbeck NA",0.143937067834721,0.00521192104096267,"from_dataset",25,25,"Bastian, Burns, & Nettelbeck",2005,0,2,1,"Australia",NA,19.9,71.95,0,1,1.1,0,0,0,13.8516365021361,0.143937067834721,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Bastian, Burns, & Nettelbeck NA",0.263361574924529,0.00470702215684261,"from_dataset",25,25,"Bastian, Burns, & Nettelbeck",2005,0,2,1,"Australia",NA,19.9,71.95,4,1,1.1,0,0,0,14.575614676347,0.263361574924529,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Bastian, Burns, & Nettelbeck NA",0.677729596084744,0.00158879167442092,"from_dataset",25,25,"Bastian, Burns, & Nettelbeck",2005,0,2,1,"Australia",NA,19.9,71.95,3,1,1.1,0,0,0,25.0880278040323,0.677729596084744,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Bastian, Burns, & Nettelbeck NA",0.0452903913447008,0.00541250961089849,"from_dataset",25,25,"Bastian, Burns, & Nettelbeck",2005,0,2,1,"Australia",NA,19.9,71.95,NA,2,2.4,0,0,0,13.5925412525769,0.0452903913447008,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Bastian, Burns, & Nettelbeck NA",0.0629258661685544,0.00539182798737979,"from_dataset",25,25,"Bastian, Burns, & Nettelbeck",2005,0,2,1,"Australia",NA,19.9,71.95,0,2,2.2,0,0,0,13.61858499561,0.0629258661685544,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Bastian, Burns, & Nettelbeck NA",0.0908230752420875,0.00534549120228232,"from_dataset",25,25,"Bastian, Burns, & Nettelbeck",2005,0,2,1,"Australia",NA,19.9,71.95,0,2,NA,0,0,0,13.6774832137372,0.0908230752420875,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Bastian, Burns, & Nettelbeck NA",0.10075829291109,0.00532499239492478,"from_dataset",25,25,"Bastian, Burns, & Nettelbeck",2005,0,2,1,"Australia",NA,19.9,71.95,NA,2,2.4,0,0,0,13.7037839823107,0.10075829291109,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Bastian, Burns, & Nettelbeck NA",0.102563062514817,0.00532104505217796,"from_dataset",25,25,"Bastian, Burns, & Nettelbeck",2005,0,2,1,"Australia",NA,19.9,71.95,NA,2,2.4,0,0,0,13.7088660200837,0.102563062514817,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Berenson, Boyles & Weaver NA",0.37174610356058,0.0091692292931614,"from_dataset",28,28,"Berenson, Boyles & Weaver",2008,0,2,2,"USA",NA,29.7,81,0,2,NA,0,0,0,10.4431997127886,0.37174610356058,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Billings, Downey, Lomas, Lloyd & Stough NA",-0.140896230847805,0.00236623299546587,"from_dataset",29,29,"Billings, Downey, Lomas, Lloyd & Stough",2014,0,0,0,"Australia",NA,10.74,50.86,1,2,2.1,1,1,1,20.5575448772806,0.140896230847805,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Billings, Downey, Lomas, Lloyd & Stough NA",-0.126839106496388,0.00238443968222752,"from_dataset",29,29,"Billings, Downey, Lomas, Lloyd & Stough",2014,0,0,0,"Australia",NA,10.74,50.86,2,2,2.1,1,1,1,20.4789096326321,0.126839106496388,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Billings, Downey, Lomas, Lloyd & Stough NA",-0.0423208289097305,0.00245423916933512,"from_dataset",29,29,"Billings, Downey, Lomas, Lloyd & Stough",2014,0,0,0,"Australia",NA,10.74,50.86,3,2,2.1,1,1,1,20.1855951414552,0.0423208289097305,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Billings, Downey, Lomas, Lloyd & Stough NA",0.0851065529772559,0.00242750298558038,"from_dataset",29,29,"Billings, Downey, Lomas, Lloyd & Stough",2014,0,0,0,"Australia",NA,10.74,50.86,2,2,2.1,2,1,1,20.2964514216131,0.0851065529772559,"CRAN",NA,NA,"CRAN"
