studynum,effect.size,var.eff.size,personal,perwhite,wave
14,-0.182089776,0.071815841,1,0.775,3
14,-0.168788671,0.07177417,1,0.775,2
14,-0.137309,0.07168813,1,0.775,3
14,-0.387896925,0.072863221,1,0.775,1
14,-0.255975634,0.072104827,1,0.775,2
14,-0.2074164,0.071903914,1,0.775,1
14,-0.186115578,0.071829073,1,0.775,3
15,0.148777306,0.046110298,1,0.898,1
15,-0.34006241,0.046647698,1,0.898,1
15,-0.06395185,0.045477781,1,0.898,1
16,1.085182905,0.117022067,1,0,1
16,0.704987228,0.108514376,1,0,2
17,0.258045107,0.039602496,0,0.87,1
17,0.268962413,0.0396307,1,0.87,1
18,0.214728102,0.075426929,1,0.94,1
18,0.024388874,0.075005509,1,0.94,2
18,-0.103764534,0.075099692,1,0.94,2
18,0.167098716,0.075258538,1,0.94,2
18,0.410241216,0.076558314,1,0.94,1
18,0.323493004,0.075968958,1,0.94,1
19,0.03477478,0.054062225,1,0.9,1
19,0.274960428,0.054564886,1,0.9,1
19,0.207297623,0.054344408,1,0.9,1
19,0.139943078,0.054186378,1,0.9,1
19,0.293096572,0.054634497,1,0.9,1
19,0.210676685,0.052960057,1,0.84,1
19,0.056708716,0.05268921,1,0.84,1
19,0.140515864,0.052797951,1,0.84,1
19,0.361469746,0.053527661,1,0.84,1
19,0.291609317,0.053227499,1,0.84,1
20,0.41167891,0.057632308,1,0.88,1
20,0.41167891,0.057632308,1,0.88,1
20,0.276283562,0.056976344,1,0.88,1
20,0.21764563,0.06096492,1,0.88,1
20,0.18142727,0.059065558,1,0.88,1
20,-0.031089602,0.058830637,1,0.88,1
20,0.320828557,0.06138584,1,0.88,1
20,0.336872339,0.057237968,1,0.88,1
20,0.20467408,0.056733802,1,0.88,1
20,0.501410067,0.059125859,1,0.88,1
20,-0.202117652,0.059123907,1,0.88,1
20,0.699958324,0.059889086,1,0.88,1
20,0.119424671,0.0589284,1,0.88,1
20,0.521288037,0.059271067,1,0.88,1
20,0.466517955,0.058884621,1,0.88,1
20,0.036390617,0.058833268,1,0.88,1
20,0.427572846,0.061991051,1,0.88,1
20,0.119424671,0.0589284,1,0.88,1
20,0.328556776,0.058101125000000003,1,0.88,1
20,0.501313329,0.059125166,1,0.88,1
20,0.204611778,0.060923226,1,0.88,1
20,0.230758071,0.061009463,1,0.88,1
20,-0.031089602,0.058830637,1,0.88,1
20,0.418795466,0.058582842,1,0.88,1
20,0.336872339,0.057237968,1,0.88,1
20,0.273377001,0.056965094,1,0.88,1
20,0.276283562,0.056976344,1,0.88,1
20,0.195258752,0.056707285,1,0.88,1
20,0.346679598,0.061516568,1,0.88,1
20,0.022724777,0.058827326,1,0.88,1
20,-0.095231831,0.058890212,1,0.88,1
20,-0.095231831,0.058890212,1,0.88,1
21,0.27857998,0.099032551,1,0.82,1
21,-0.067374125000000007,0.098141484,1,0.82,1
21,0.234065443,0.098754257,1,0.82,1
21,0.254602075,0.09887664,1,0.82,1
22,0.528985202,0.036325827,1,0.931,1
22,0.249944925,0.035372525,1,0.931,1
22,0.336438656,0.035594974,1,0.931,1
22,0.60027647,0.036678925,1,0.931,1
22,0.659133255,0.038019389,1,0.911,1
22,0.721597731,0.038407888,1,0.911,2
22,0.233421996,0.036307808,1,0.911,4
22,0.514463365,0.037254598,1,0.911,4
22,1.028616428,0.040828377,1,0.911,3
22,0.475458145,0.037080668,1,0.911,2
22,0.375308722,0.036696866,1,0.911,1
22,0.532633245,0.037340298,1,0.911,4
22,0.850842595,0.039323337,1,0.911,3
22,0.147181049,0.036159955,1,0.911,4
22,0.978772581,0.040377673,1,0.911,1
22,1.015729547,0.040709704,1,0.911,3
22,0.803549111,0.038970895,1,0.911,1
22,0.33550179,0.036569413,1,0.911,2
22,0.704532325,0.03829826,1,0.911,2
22,0.613632083,0.037758525,1,0.911,3
23,0.610317528,0.070972763,1,0.86,1
23,0.566365957,0.070534483,1,0.86,1
23,0.740817606,0.072467029,1,0.86,1
24,2.037994623,0.160205841,1,0,1
24,3.384869337,0.256310046,1,0,1
24,1.395676017,0.131185964,1,0,2
24,1.260326385,0.126455858,1,0,2
25,0.379083931,0.053101167,1,0.4242,1
25,0.182275608,0.052383766,1,0.4242,1
25,0.084536411,0.052214425,1,0.4242,1
26,0.11669948,0.020662425,1,0.681,1
26,0.265497625,0.020707056,1,0.681,1
26,0.186766624,0.020717228,1,0.681,1
26,0.049615186,0.021059109,1,0.681,1
26,0.175482318,0.020605275,1,0.681,1
26,0.181008786,0.021138852,1,0.681,1
27,0.169220313,0.075984433,1,0.864,1
27,0.599200606,0.079101466,1,0.864,1
27,0.228365615,0.076206274,1,0.864,1
27,0.78176558,0.081479922,1,0.864,1
27,0.384950817,0.07711228,1,0.864,1
27,0.494864464,0.075559616,1,0.864,1
27,0.516285896,0.075756527,1,0.864,1
27,0.281678051,0.074054629,1,0.864,1
27,0.029185614,0.073341079,1,0.864,1
27,-0.019513646,0.073336795,1,0.864,1
28,0.144143805,0.011128274,1,0.986,2
28,0.065901071,0.010550725,1,0.986,3
28,0.183283016,0.010702267,1,0.986,1
