CITATION,Country,EXPERIMENT_TYPE,HABITAT_TYPE_P,HABITAT_TYPE_S,NEIGHBOR_SPP,TARGET_SPP,PAIR,LIFESTAGE.RED,ORIGIN.neighbor,NNTYPE.neighbor,FAMILY.neighbor,FUN_GROUP.neighbor,DUR_GROUP.neighbor,NFIX.neighbor,ORIGIN.target,NonnativeType.target,FAMILY.target,FUN_GROUP.target,DUR_GROUP.target,NFIX.target,ResponseVariable,COMPtreatment,d,Var,ISLE
Britton et al. 2003,United Kingdom,experiment.field,3_shrubland,3.4_temperate,DEF,CAV,NAT-NAT,juvenile,native,native,Poaceae,grass,perennial,no,native,native,Ericaceae,shrub,perennial,no,biomassAG,RCE,-31.8655,10.6606,yes
Britton et al. 2003,United Kingdom,experiment.field,3_shrubland,3.4_temperate,DEF,CAV,NAT-NAT,juvenile,native,native,Poaceae,grass,perennial,no,native,native,Ericaceae,shrub,perennial,no,biomassBG,RCE,-26.423,7.356,yes
Britton et al. 2003,United Kingdom,experiment.field,3_shrubland,3.4_temperate,DEF,CAV,NAT-NAT,juvenile,native,native,Poaceae,grass,perennial,no,native,native,Ericaceae,shrub,perennial,no,biomassBG,RCE,-36.1645,13.707,yes
van Mierlo et al. 2000,New Zealand,experiment.field,1_forest,1.4_temperate,DEF,FEO,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Poaceae,grass,perennial,no,biomassAG,RCE,-1.5365,0.518,yes
van Mierlo et al. 2000,New Zealand,experiment.field,1_forest,1.4_temperate,DEF,FEO,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Poaceae,grass,perennial,no,biomassAG,RCE,-1.0028,0.4503,yes
van Mierlo et al. 2000,New Zealand,experiment.field,1_forest,1.4_temperate,FEO,DEF,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Poaceae,grass,perennial,no,biomassAG,RCE,-0.7841,0.4307,yes
van Mierlo et al. 2000,New Zealand,experiment.field,1_forest,1.4_temperate,FEO,DEF,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Poaceae,grass,perennial,no,biomassAG,RCE,-1.982,0.5964,yes
del-Val and Crawley 2004,United Kingdom,greenhouse,4_grassland,4.4_temperate,FER,RUA,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Polygonaceae,herb,perennial,no,biomassAG,RNE,-0.3823,0.4073,yes
del-Val and Crawley 2004,United Kingdom,greenhouse,4_grassland,4.4_temperate,FER,RUA,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Polygonaceae,herb,perennial,no,biomassAG,RNE,-0.3885,0.4075,yes
del-Val and Crawley 2004,United Kingdom,greenhouse,4_grassland,4.4_temperate,FER,SEJ,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Asteraceae,herb,perennial,no,biomassAG,RNE,0.3845,0.4074,yes
del-Val and Crawley 2004,United Kingdom,greenhouse,4_grassland,4.4_temperate,FER,SEJ,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Asteraceae,herb,perennial,no,biomassAG,RNE,-0.0978,0.4005,yes
del-Val and Crawley 2004,United Kingdom,greenhouse,4_grassland,4.4_temperate,FER,TRR,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Fabaceae,herb,perennial,no,biomassAG,RNE,0.6506,0.4212,yes
del-Val and Crawley 2004,United Kingdom,greenhouse,4_grassland,4.4_temperate,FER,TRR,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Fabaceae,herb,perennial,no,biomassAG,RNE,0,0.4,yes
del-Val and Crawley 2004,United Kingdom,greenhouse,4_grassland,4.4_temperate,FER,VSN,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Fabaceae,herb,annual,yes,biomassAG,RNE,-0.5152,0.4133,yes
del-Val and Crawley 2004,United Kingdom,greenhouse,4_grassland,4.4_temperate,FER,VSN,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Fabaceae,herb,annual,yes,biomassAG,RNE,-0.1618,0.4013,yes
Garbuzov et al. 2011,United Kingdom,greenhouse,4_grassland,4.4_temperate,LOP,POA,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Poaceae,grass,annual,no,biomassAG,RCE,-1.156,0.2334,yes
Garbuzov et al. 2011,United Kingdom,greenhouse,4_grassland,4.4_temperate,LOP,POA,NAT-NAT,adult,native,native,Poaceae,grass,perennial,no,native,native,Poaceae,grass,annual,no,biomassAG,RCE,-0.5618,0.2079,yes
Stevens and Gowing et al. 2014,United Kingdom,greenhouse,4_grassland,4.4_temperate,PLL,ANO,NAT-NAT,adult,native,native,Plantaginaceae,herb,perennial,no,native,native,Poaceae,grass,annual,no,biomassAG,RCE,0.4543,0.4103,yes
Stevens and Gowing et al. 2014,United Kingdom,greenhouse,4_grassland,4.4_temperate,PLL,ANO,NAT-NAT,adult,native,native,Plantaginaceae,herb,perennial,no,native,native,Poaceae,grass,annual,no,biomassBG,RCE,0.4868,0.6864,yes
Stevens and Gowing et al. 2014,United Kingdom,greenhouse,4_grassland,4.4_temperate,PLL,PRV,NAT-NAT,adult,native,native,Plantaginaceae,herb,perennial,no,native,native,Lamiaceae,herb,perennial,no,biomassAG,RCE,-0.5104,0.413,yes
Stevens and Gowing et al. 2014,United Kingdom,greenhouse,4_grassland,4.4_temperate,PLL,PRV,NAT-NAT,adult,native,native,Plantaginaceae,herb,perennial,no,native,native,Lamiaceae,herb,perennial,no,biomassBG,RCE,-0.3174,0.6751,yes
Garbuzov et al. 2011,United Kingdom,greenhouse,4_grassland,4.4_temperate,POA,LOP,NAT-NAT,adult,native,native,Poaceae,grass,annual,no,native,native,Poaceae,grass,perennial,no,biomassAG,RCE,1.896,0.2899,yes
Garbuzov et al. 2011,United Kingdom,greenhouse,4_grassland,4.4_temperate,POA,LOP,NAT-NAT,adult,native,native,Poaceae,grass,annual,no,native,native,Poaceae,grass,perennial,no,biomassAG,RCE,0.8984,0.2202,yes
Stevens and Gowing et al. 2014,United Kingdom,greenhouse,4_grassland,4.4_temperate,PRV,ANO,NAT-NAT,adult,native,native,Lamiaceae,herb,perennial,no,native,native,Poaceae,grass,annual,no,biomassAG,RCE,1.1806,0.4697,yes
Stevens and Gowing et al. 2014,United Kingdom,greenhouse,4_grassland,4.4_temperate,PRV,ANO,NAT-NAT,adult,native,native,Lamiaceae,herb,perennial,no,native,native,Poaceae,grass,annual,no,biomassBG,RCE,1.8984,0.967,yes
Stevens and Gowing et al. 2014,United Kingdom,greenhouse,4_grassland,4.4_temperate,PRV,PLL,NAT-NAT,adult,native,native,Lamiaceae,herb,perennial,no,native,native,Plantaginaceae,herb,perennial,no,biomassAG,RCE,0.0324,0.4001,yes
Stevens and Gowing et al. 2014,United Kingdom,greenhouse,4_grassland,4.4_temperate,PRV,PLL,NAT-NAT,adult,native,native,Lamiaceae,herb,perennial,no,native,native,Plantaginaceae,herb,perennial,no,biomassBG,RCE,1.3591,0.8206,yes
Suzuki and Suzuki 2011,"Nara, Japan",experiment.field,4_grassland,4.4_temperate,URT,PEL,NAT-NAT,adult,native,native,Urticaceae,herb,perennial,no,native,native,Polygonaceae,herb,annual,no,noFlowers,RNE,0,0.2,yes
Suzuki and Suzuki 2011,"Nara, Japan",experiment.field,4_grassland,4.4_temperate,URT,PEL,NAT-NAT,adult,native,native,Urticaceae,herb,perennial,no,native,native,Polygonaceae,herb,annual,no,noFlowers,RNE,-0.6762,0.2114,yes
Suzuki and Suzuki 2011,"Nara, Japan",experiment.field,4_grassland,4.4_temperate,URT,PEL,NAT-NAT,adult,native,native,Urticaceae,herb,perennial,no,native,native,Polygonaceae,herb,annual,no,RGR,RNE,0.4984,0.2062,yes
Suzuki and Suzuki 2011,"Nara, Japan",experiment.field,4_grassland,4.4_temperate,URT,PEL,NAT-NAT,adult,native,native,Urticaceae,herb,perennial,no,native,native,Polygonaceae,herb,annual,no,RGR,RNE,-0.6538,0.2107,yes
Suzuki and Suzuki 2011,"Nara, Japan",experiment.field,4_grassland,4.4_temperate,URT,PEL,NAT-NAT,adult,native,native,Urticaceae,herb,perennial,no,native,native,Polygonaceae,herb,annual,no,size,RNE,0.3499,0.2031,yes
Suzuki and Suzuki 2011,"Nara, Japan",experiment.field,4_grassland,4.4_temperate,URT,PEL,NAT-NAT,adult,native,native,Urticaceae,herb,perennial,no,native,native,Polygonaceae,herb,annual,no,size,RNE,-0.7111,0.2126,yes
Suzuki and Suzuki 2011,"Nara, Japan",experiment.field,4_grassland,4.4_temperate,URT,PEL,NAT-NAT,adult,native,native,Urticaceae,herb,perennial,no,native,native,Polygonaceae,herb,annual,no,survival,RNE,-0.0137,0.2,yes
Suzuki and Suzuki 2011,"Nara, Japan",experiment.field,4_grassland,4.4_temperate,URT,PEL,NAT-NAT,adult,native,native,Urticaceae,herb,perennial,no,native,native,Polygonaceae,herb,annual,no,survival,RNE,-0.5852,0.2086,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,MEM,SCC,NON-NON,adult,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassAG,RCE,1.3043,0.6063,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,MEM,SCC,NON-NON,adult,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassAG,RCE,-0.43,0.5116,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,MEM,SCC,NON-NON,adult,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassTOT,RCE,-0.8254,0.4341,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,MEM,SCC,NON-NON,adult,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassTOT,RCE,-1.4853,0.5103,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,MEM,SCC,NON-NON,adult,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassTOT,RCE,-0.4757,0.4113,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,MEM,SCC,NON-NON,adult,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassTOT,RCE,-9.2981,4.7228,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,MEM,SCC,NON-NON,adult,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassAG,RNE,-1.459,0.633,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,MEM,SCC,NON-NON,adult,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassAG,RNE,-4.2986,1.6549,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,SCC,MEM,NON-NON,juvenile,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassAG,RCE,1.4751,0.636,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,SCC,MEM,NON-NON,juvenile,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassTOT,RCE,0.1581,0.4013,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,SCC,MEM,NON-NON,juvenile,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassTOT,RCE,1.6813,0.5413,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,SCC,MEM,NON-NON,juvenile,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassTOT,RCE,0.7243,0.4262,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,SCC,MEM,NON-NON,juvenile,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassTOT,RCE,0.3984,0.4079,yes
D' Antonio et al. 2001,"Hawaii, USA",greenhouse,1_forest,1.5_subtropical/tropical dry,SCC,MEM,NON-NON,juvenile,nonnative,invasive,Poaceae,grass,perennial,no,nonnative,invasive,Poaceae,grass,perennial,no,biomassAG,RNE,-0.3592,0.5081,yes
Takakura and Fujii 2010,"Kinki District, Japan",experiment.field,15_artificial aquatic,"15.9_canals and drainage chanels, ditches",XSC,XSG,NON-NON,adult,nonnative,naturalized,Asteraceae,herb,annual,no,nonnative,naturalized,Asteraceae,herb,annual,no,germination,RCE,0.2148,0.2012,yes
Takakura and Fujii 2010,"Kinki District, Japan",experiment.field,15_artificial aquatic,"15.9_canals and drainage chanels, ditches",XSG,XSC,NON-NON,adult,nonnative,naturalized,Asteraceae,herb,annual,no,nonnative,naturalized,Asteraceae,herb,annual,no,germination,RCE,-2.1991,0.3209,yes
