article,experiment,sample,id,pairing,yi,vi,ni,stimuli,condition,gen_difficulty,manip_type,present_style,word_status,memory_test,memory_type,gen_constraint,learning_type,stimuli_relation,gen_mode,gen_task,attention,pacing,filler_task,age_grp,retention_delay
33,3,1,91,45,0.727,0.0011141523411774294,30,12,generate,NA,within,mixed,words,recognition,item,medium,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
33,3,1,92,42,0.719,0.0011408438619304147,30,12,read,NA,within,mixed,non-words,recognition,item,NA,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
33,3,1,93,43,0.764,9.831299796600084e-4,30,12,read,NA,within,mixed,words,recognition,item,NA,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
33,3,1,94,44,0.623,0.001380205424080494,30,12,read,NA,within,mixed,words,recognition,item,NA,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
33,3,1,95,45,0.525,0.0014026648201894737,30,12,read,NA,within,mixed,words,recognition,item,NA,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
34,1,1,96,46,0.86,6.250000000000001e-4,16,30,generate,NA,within,mixed,words,NA,item,low,incidental,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,1,1,97,46,0.59,0.00225625,16,30,read,NA,within,mixed,words,NA,item,NA,incidental,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,1,1,98,47,0.76,0.0016,16,30,generate,NA,within,mixed,words,recognition,item,low,incidental,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,1,1,99,47,0.6,0.003025,16,30,read,NA,within,mixed,words,recognition,item,NA,incidental,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,4,1,100,48,0.78,6.722222222222222e-4,18,64,generate,NA,within,mixed,words,recognition,source,low,intentional,NA,writing/typing,word fragment,full,timed,no,younger,long
34,4,1,101,48,0.59,0.0018,18,32,read,NA,within,mixed,words,recognition,source,NA,intentional,NA,writing/typing,word fragment,full,timed,no,younger,long
34,5,1,102,49,0.83,7.317853805073326e-4,15,48,generate,NA,within,mixed,words,NA,item,low,intentional,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,5,1,103,49,0.59,0.0014041675077288108,15,48,read,NA,within,mixed,words,NA,item,NA,intentional,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,5,1,104,50,0.69,0.001220409906602796,15,48,generate,NA,within,mixed,words,recognition,item,low,intentional,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,5,1,105,50,0.59,0.0014041675077288108,15,48,read,NA,within,mixed,words,recognition,item,NA,intentional,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,5,2,106,51,0.81,8.051744400263661e-4,15,48,generate,NA,within,mixed,words,NA,item,medium,intentional,semantic,writing/typing,word fragment,full,timed,yes,younger,short
34,5,2,107,51,0.6,0.0013963460193492949,15,48,read,NA,within,mixed,words,NA,item,NA,intentional,semantic,writing/typing,word fragment,full,timed,yes,younger,short
34,5,2,108,52,0.78,9.163054517600127e-4,15,48,generate,NA,within,mixed,words,recognition,item,medium,intentional,semantic,writing/typing,word fragment,full,timed,yes,younger,short
34,5,2,109,52,0.63,0.0013577761588129172,15,48,read,NA,within,mixed,words,recognition,item,NA,intentional,semantic,writing/typing,word fragment,full,timed,yes,younger,short
39,1,1,110,53,0.86,3.770665911886691e-4,42,32,generate,NA,within,pure,words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,1,111,53,0.77,5.748184940356668e-4,42,32,read,NA,within,pure,words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,2,112,54,0.72,6.803790473138357e-4,42,32,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,2,113,54,0.7,7.18351820373292e-4,42,32,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,3,114,55,0.68,7.527751661513685e-4,42,32,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,3,115,55,0.67,7.684356584039605e-4,42,32,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,4,116,56,0.82,4.633902747052026e-4,42,32,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,4,117,56,0.74,6.39597099817285e-4,42,32,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,118,57,0.88,5.045320667658655e-4,48,8,generate,NA,within,pure,words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,119,57,0.74,9.594644851159419e-4,48,8,read,NA,within,pure,words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,120,58,0.74,9.594644851159419e-4,48,8,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,121,58,0.69,0.0011041572550760988,48,8,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,122,59,0.76,8.952127928291603e-4,48,8,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,123,59,0.73,9.905089377271043e-4,48,8,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,124,60,0.84,6.294105126733031e-4,48,8,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,125,60,0.73,9.905089377271043e-4,48,8,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,126,61,0.86,5.656404678392228e-4,48,8,generate,NA,within,pure,words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,127,61,0.81,7.284758954732908e-4,48,8,read,NA,within,pure,words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,128,62,0.73,9.905089377271043e-4,48,8,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,129,62,0.74,9.594644851159419e-4,48,8,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,130,63,0.74,9.594644851159419e-4,48,8,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,131,63,0.71,0.0010497206824371151,48,8,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,132,64,0.9,4.466618869353074e-4,48,8,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,133,64,0.79,7.955422656144127e-4,48,8,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,1,134,65,0.389,7.790739483320242e-4,32,30,generate,NA,within,pure,words,free recall,item,high,intentional,synonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,1,135,65,0.373,7.371740822031713e-4,32,30,read,NA,within,pure,words,free recall,item,NA,intentional,synonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,1,136,66,0.398,8.019867080063417e-4,32,30,generate,NA,within,pure,words,free recall,item,high,intentional,antonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,1,137,66,0.373,7.371740822031713e-4,32,30,read,NA,within,pure,words,free recall,item,NA,intentional,antonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,2,138,67,0.425,8.669098704579577e-4,32,30,generate,NA,within,mixed,words,free recall,item,high,intentional,synonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,2,139,67,0.243,3.9373106872564386e-4,32,30,read,NA,within,mixed,words,free recall,item,NA,intentional,synonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,2,140,68,0.449,9.18415918361287e-4,32,30,generate,NA,within,mixed,words,free recall,item,high,intentional,antonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,2,141,68,0.24,3.866243462999711e-4,32,30,read,NA,within,mixed,words,free recall,item,NA,intentional,antonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,4,1,142,69,0.376,0.0010596331987541192,16,30,generate,NA,within,mixed,words,free recall,item,high,intentional,synonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,4,1,143,69,0.379,0.00107088466793759,16,30,read,NA,within,mixed,words,free recall,item,NA,intentional,synonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,4,1,144,70,0.359,9.948944606983723e-4,16,30,generate,NA,within,mixed,words,free recall,item,high,intentional,antonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,4,1,145,70,0.344,9.368381480148524e-4,16,30,read,NA,within,mixed,words,free recall,item,NA,intentional,antonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
52,1,1,146,71,0.376,0.00120125,20,20,generate,NA,within,mixed,words,recognition,source,low,incidental,category,covert/thinking,sentence completion,full,timed,no,younger,immediate
52,1,1,147,71,0.565,0.0011400499999999999,20,20,read,NA,within,mixed,words,recognition,source,NA,incidental,category,NA,sentence completion,full,timed,no,younger,immediate
52,1,2,148,72,0.295,0.0014791999999999997,20,20,generate,NA,within,mixed,words,recognition,source,low,incidental,category,covert/thinking,sentence completion,full,timed,no,older,immediate
52,1,2,149,72,0.527,0.0010804499999999997,20,20,read,NA,within,mixed,words,recognition,source,NA,incidental,category,NA,sentence completion,full,timed,no,older,immediate
54,1a,1,150,73,0.624,0.0017189102256579642,12,18,generate,NA,within,mixed,words,free recall,item,medium,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1a,1,151,73,0.383,0.001300460820632922,12,18,read,NA,within,mixed,words,free recall,item,NA,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1a,2,152,74,0.708,0.0014665485792224719,12,18,generate,NA,within,mixed,words,free recall,item,medium,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1a,2,153,74,0.622,0.0017226399462903841,12,18,read,NA,within,mixed,words,free recall,item,NA,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1b,1,154,75,0.635,0.0016962643821611361,12,18,generate,NA,within,mixed,words,free recall,item,medium,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1b,1,155,75,0.376,0.0012691354415013548,12,18,read,NA,within,mixed,words,free recall,item,NA,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1b,2,156,76,0.73,0.001376381296468052,12,18,generate,NA,within,mixed,words,free recall,item,medium,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1b,2,157,76,0.614,0.0017363368033530906,12,18,read,NA,within,mixed,words,free recall,item,NA,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,2,1,158,77,0.694,0.0015197792588250842,12,18,generate,NA,within,mixed,words,free recall,item,medium,intentional,category,verbal/speaking,word fragment,full,timed,yes,younger,immediate
54,2,1,159,77,0.351,0.0011545981660170844,12,18,read,NA,within,mixed,words,free recall,item,NA,intentional,category,verbal/speaking,word fragment,full,timed,yes,younger,immediate
54,2,2,160,78,0.632,0.0017027939660675467,12,18,generate,NA,within,mixed,words,free recall,item,medium,incidental,category,verbal/speaking,word fragment,full,timed,yes,younger,immediate
54,2,2,161,78,0.314,9.82412576485666e-4,12,18,read,NA,within,mixed,words,free recall,item,NA,incidental,category,verbal/speaking,word fragment,full,timed,yes,younger,immediate
54,2,3,162,79,0.621,0.0017244593247624576,12,18,generate,NA,within,mixed,words,free recall,item,medium,incidental,category,verbal/speaking,word fragment,full,timed,yes,younger,immediate
54,2,3,163,79,0.621,0.0017244593247624576,12,18,read,NA,within,mixed,words,free recall,item,NA,incidental,category,verbal/speaking,word fragment,full,timed,yes,younger,immediate
