Author,Date,animal,Amniotes,Environment,N,Zr
"Roosenburg, W. & Dunham, A.",1997,Malaclemys_terrapin,Y,Wild,92,0.0450304119590906
"Roosenburg, W. & Dunham, A.",1997,Malaclemys_terrapin,Y,Wild,95,0.20065008540444
"Allaine, D., Graziani, L. & Coulon, J.",1998,Marmota_marmota,Y,Wild,74,-0.604155602962267
"Oksanen, T.A., Koskela,E. & Mappes, T.",2002,Myodes_glareolus,Y,Captive,38,-1.44150358981698
"Luiselli, L., Capula, M. & Shine, R.",1997,Natrix_natrix,Y,Captive,18,-0.0200026673068496
"Taborsky, B., Skubic, E. & Bruintjes, R.",2007,Neolamprologus_pulcher,N,Captive,10,0.266108406873654
"Weatherhead, P.J., Brown, G.P., Prosser, M.R. & Kissner, K.J.",1999,Nerodia_sipedon,Y,Wild,75,-0.223656109021832
"Rauter, C., Mcguire, M., Gwartney, M. & Space, J.",2010,Nicrophorus_pustulatus,N,Captive,120,-0.629924172176498
"Sikes, R.S.",1995,Onychomys_leucogaster,Y,Captive,42,0.289567902376692
"Randriamahazo, H & Mori, A",2001,Oplurus_cuvieri,Y,Wild,19,-0.223656109021832
"Blouin-Demers, G. & Weatherhead, P.J.",2007,Pantherophis_obsoletus,Y,Wild,104,-0.298787994161228
"Dufva, R.",1996,Parus_major,Y,Wild,73,0.0862129645198654
"Isaksson, C., Johansson, A. & Andersson, S.",2008,Parus_major,Y,Wild,66,0.0210030878170775
"Nilsson, J. & Svensson, E.",1993,Parus_caeruleus,Y,Wild,108,-0.0340131104279282
"You, Y. Y., Feng, J., Wang, H. T., Wang, J. L., Dong, C., Su, X. R., Sun, H. M. & Gao, W.",2009,Parus_major,Y,Wild,818,-0.206902720012192
"Naef-Daenzer, L., Nager, R., Keller, L. & Naef-Daenzer, B.",2004,Parus_major,Y,Wild,57,-0.83905462179142
"Pettifor, R., Perrins, C. & McCleery",2001,Parus_major,Y,Wild,525,0.141005577955472
"Boulton, R. L. Powlesland, R. G.",2008,Petroica_australis,Y,Wild,133,-0.104310734251801
"Jarvinen, A.",1991,Phoenicurus_phoenicurus,Y,Wild,94,0.331647108705132
"Iverson, J. B., Young, C. A., Akre, T. S. B. & Griffiths, C. M.",2012,Pituophis_catenifer,Y,Wild,39,-0.354092528962243
"Milanovich, J. R., Trauth, S. E., Saugey, D. A. & Jordan, R. R.",2006,Plethodon_albagula,N,Wild,91,-0.707807289381712
"Castilla, A. M. & Bauwens, D.",2000a,Podarcis_atrata,Y,Captive,152,-0.62125323416409
"Castilla, A. M. & Bauwens, D.",2000b,Podarcis_lilfordi,Y,Captive,27,-0.517799660419688
"Ji, X. & Brana, F.",2000,Podarcis_muralis,Y,Wild,44,0.472230804420426
"Van-Damme, R., Bauwens, D., Brana, F. & Verheyen, R.",1992,Podarcis_muralis,Y,Captive,14,-0.210023280244493
"Bejakovic, D., Kalezic, M. Aleksic, I., Dzukic, G. & Crnobrnja-Isalovic, J.",1995,Podarcis_melisellensis,Y,Wild,6,-1.12702902604969
"Bejakovic, D., Kalezic, M. Aleksic, I., Dzukic, G. & Crnobrnja-Isalovic, J.",1995,Podarcis_melisellensis,Y,Captive,38,-0.0600721559210317
"Adamopoulou, C. & Valakos, E.",2000,Podarcis_milensis,Y,Wild,126,-0.516507503091148
"Sanchez-Lafuente, A.",2004,Porphyrio_porphyrio,Y,Wild,19,0.547199764173442
"Sanchez-Lafuente, A.",2004,Porphyrio_porphyrio,Y,Wild,16,0.866425434403033
"Guntrip, J., Sibly, R. M. & Smith, R. H.",1997,Prostephanus_truncatus,N,Captive,54,-0.444055026670094
"Podlesak, D. & Blem, C.",2001,Protonotaria_citrea,Y,Wild,211,-0.654713584952477
"Diaz, J. A., Perez-Tris, Bauwens, D., Perez-Aranda, D. Carbonell, R., Santos, T &  Telleria, J.",2007,Psammodromus_algirus,Y,Wild,54,-0.471108235231757
"Diaz, J. A., Perez-Tris, Bauwens, D., Perez-Aranda, D. Carbonell, R., Santos, T &  Telleria, J.",2007,Psammodromus_algirus,Y,Wild,22,-0.437053121555682
"Wilkinson, L.R. & Gibbons, J.W.",2005,Pseudemys_floridana,Y,Wild,79,0.159451622874294
"Maddox, J. D. & Weatherhead, P. J.",2012,Quiscalus_quiscula,Y,Wild,161,0.155017729394988
"Kamosawa, M. & Ota, H.",1996,Ramphotyphlops_braminus,Y,Captive,19,-0.242652948778948
"Rasanen, K., Fredrik, S., Laurila, A. & Merila, J.",2008,Rana_arvalis,N,Wild,233,-0.515819734489981
"Stuart-Smith, J., Swain, R., Stuart-Smith, R.D. & Wapstra, E.",2007,Rankinia_diemensis,Y,Captive,90,0.0500417292784913
"Conrad, K. F. & Robertson, R. J.",1992,Sayornis_phoebe,Y,Wild,32,-0.38842309971829603
"Abell, A.J.",1999,Sceloporus_virgatus,Y,Wild,21,0.100335347731076
"Abell, A.J.",1999,Sceloporus_virgatus,Y,Wild,14,-0.171666663500579
"Abell, A.J.",1999,Sceloporus_virgatus,Y,Wild,21,-0.0701146706543252
"Abell, A.J.",1999,Sceloporus_virgatus,Y,Wild,14,-0.140925576070494
"Smith, G. R., Ballinger, R. E. & Rose, B. R.",1995,Sceloporus_virgatus,Y,Wild,28,0.142375643167804
"Ramirez-Bautista, A., Stephenson, B. P., Hernandez-Ibarra, X.,  Hernandez-Salinas, U.,  Cruz-Elizalde, R., Lozano, A. & Geoffrey, R.S.",2012,Sceloporus_spinosus,Y,Wild,10,0.452880706670737
"Radder, R. & Shanbhag, B.",2003,Sitana_ponticeriana,Y,Wild,29,0.177244659165692
"Rohwer, F. C. & Eisenhaur, D. I.",1989,Somateria_fischeri,Y,Wild,30,-0.158309384595911
"Ford, N. B. & Seigel, R. A.",2010,Spalerosophis_diadema,Y,Captive,30,-0.271478450974392
"Nelson, N., Thompson, M. Pledger, S. Keall, S. & Daugherty, C.",2004,Sphenodon_punctatus,Y,Wild,50,0.10285873667324
"Wilkinson, L.R. & Gibbons, J.W.",2005,Sternotherus_odoratus,Y,Wild,46,0.195344527883619
"Clark, P. J., Ewert, M. A. & Nelson, C. E.",2001,Sternotherus_odoratus,Y,Wild,70,-0.37688590118819
"King, R. B.",1993,Storeria_dekayi,Y,Captive,25,-1.1881364043926
"Smith, H. G., Ottosson, U. & Ohlsson, T.",1993,Sturnus_vulgaris,Y,Wild,33,0.2768638226551
"Smith, H. G., Ottosson, U. & Ohlsson, T.",1993,Sturnus_vulgaris,Y,Wild,125,0.181982688600706
"Smith, H. G., Ottosson, U. & Ohlsson, T.",1993,Sturnus_vulgaris,Y,Wild,187,0.0701146706543252
"Wheelwright, N. T., Leary, J. & Fitzgerald, C.",1991,Tachycineta_bicolor,Y,Wild,12,-0.266108406873654
"Wheelwright, N. T., Leary, J. & Fitzgerald, C.",1991,Tachycineta_bicolor,Y,Wild,55,-0.298566263660178
"Wheelwright, N. T., Leary, J. & Fitzgerald, C.",1991,Tachycineta_bicolor,Y,Wild,52,-0.21317134656486
"Wheelwright, N. T., Leary, J. & Fitzgerald, C.",1991,Tachycineta_bicolor,Y,Wild,21,0.120581028408444
"Murphy, M., Armbrecth, B., Vlamis, E. & Pierce, A.",2000,Tachycineta_bicolor,Y,Wild,52,-0.179916484577676
"Wagner, E.C. & Williams, T.D.",2007,Taeniopygia_guttata,Y,Captive,52,0.632833186665638
"Wagner, E.C. & Williams, T.D.",2007,Taeniopygia_guttata,Y,Captive,22,0.41180003447869
"Christians, J. K. & Williams, T. D.",2002,Taeniopygia_guttata,Y,Captive,42,0.100335347731076
"Nieuwolt-Dacanay, P. M.",1997,Terrapene_ornata,Y,Wild,203,0.107411175916069
"Gignac, A. & Gregory, P.T.",2005,Thamnophis_ordinoides,Y,Captive,24,-0.223656109021832
"Brown, G.P. & Shine, R.",2005,Tropidonophis_mairii,Y,Wild,318,-0.130739850028878
"Dobson, F.S. & Michener, G.R.",1995,Urocitellus_richardsonii,Y,Wild,51,-0.810743125475137
"Dobson, F.S. & Michener, G.R.",1995,Urocitellus_richardsonii,Y,Wild,38,-0.423648930193602
"Dobson, F.S., Risch, T.S. & Murie, J.O.",1999,Urocitellus_richardsonii,Y,Wild,134,-0.590145159841189
"Dobson, F.S., Risch, T.S. & Murie, J.O.",1999,Urocitellus_richardsonii,Y,Wild,43,-0.549306144334055
"Huber, S., Hoffmann, E., Millesi, E., Dittami, J. & Arnold, W.",2001,Urocitellus_richardsonii,Y,Wild,27,-1.2942383182519
"Skibiel, A.L., Dobson, F.S. & Murie, J.O.",2009,Urocitellus_columbianus,Y,Wild,90,-0.287682072451781
"Sinervo, B. & Licht, P.",1991,Uta_stansburiana,Y,Captive,13,-0.810743125475137
"Sinervo, B. & Licht, P.",1991,Uta_stansburiana,Y,Captive,34,-0.677666067757962
"Sinervo, B. & Licht, P.",1991,Uta_stansburiana,Y,Captive,37,-0.867300527694053
"Baron, J.P., Tully, T. & Le Galliard, J.F.",2010,Vipera_ursinii,Y,Wild,105,0.531881936281437
"Bonnet, X., Naulleau, G., Shine, R. & Lourdais, O.",2001,Vipera_aspis,Y,Wild,132,-0.140925576070494
"Bradshaw, W. E., Holzapfel, C. M. & Oneill, T.",1993,Wyeomyia_smithii,N,Captive,41,-0.0260058610440899
"Brana, F., Bea, A. & Arrayago, M. J.",1991,Zootoca_vivipara,Y,Captive,14,1.15377257362615
