studyID,siteID,serviceType,samplingYear,plantingType,fieldDist,flowerstripPlantSpecRich,flowerstripAge,propSemiNatural,propArable,ES
blaa01,blaa01.Gale,pollination,2011,flowerstrip,1,7.5,24,49,7,2.2046742129947
blaa01,blaa01.Gale,pollination,2011,flowerstrip,15,7.5,24,49,7,2.079427468632
blaa01,blaa01.Gale,pollination,2012,control,1,NA,NA,49,7,-0.206340166424281
blaa01,blaa01.Gale,pollination,2012,control,15,NA,NA,49,7,0.252532074000142
blaa01,blaa01.Gale,pollination,2012,flowerstrip,1,7.5,36,49,7,-0.0162839977047996
blaa01,blaa01.Gale,pollination,2012,flowerstrip,15,7.5,36,49,7,-0.0247236836034396
blaa01,blaa01.Hart,pest control,2011,control,1,NA,NA,55,7,0.0420267745266392
blaa01,blaa01.Hart,pest control,2011,control,15,NA,NA,55,7,-1.07437055713269
blaa01,blaa01.Hart,pest control,2011,flowerstrip,1,8.25,24,55,7,1.5862368498486
blaa01,blaa01.Hart,pest control,2011,flowerstrip,15,8.25,24,55,7,0.557077062433761
blaa01,blaa01.Hart,pest control,2012,control,1,NA,NA,55,7,-0.632769861253634
blaa01,blaa01.Hart,pest control,2012,control,15,NA,NA,55,7,-0.01503071190723
blaa01,blaa01.Hart,pest control,2012,flowerstrip,1,8.25,36,55,7,-0.580651495745013
blaa01,blaa01.Hart,pest control,2012,flowerstrip,15,8.25,36,55,7,0.222791596180352
blaa01,blaa01.Hart,pollination,2009,control,1,NA,NA,55,7,-0.705209509639243
blaa01,blaa01.Hart,pollination,2009,control,15,NA,NA,55,7,-0.972790160012128
blaa01,blaa01.Hart,pollination,2009,flowerstrip,1,8.25,0,55,7,-0.8693567033906139
blaa01,blaa01.Hart,pollination,2009,flowerstrip,15,8.25,0,55,7,-0.694091997677389
blaa01,blaa01.Hart,pollination,2010,control,1,NA,NA,55,7,-0.0421734016487024
blaa01,blaa01.Hart,pollination,2010,control,15,NA,NA,55,7,-0.570972379651682
blaa01,blaa01.Hart,pollination,2010,flowerstrip,1,8.25,12,55,7,-0.101300118488726
blaa01,blaa01.Hart,pollination,2010,flowerstrip,15,8.25,12,55,7,0.06830634777763
blaa01,blaa01.Hart,pollination,2011,control,1,NA,NA,55,7,-1.67732690451862
blaa01,blaa01.Hart,pollination,2011,control,15,NA,NA,55,7,-1.02713249067114
blaa01,blaa01.Hart,pollination,2011,flowerstrip,1,8.25,24,55,7,0.00847291552252576
blaa01,blaa01.Hart,pollination,2011,flowerstrip,15,8.25,24,55,7,0.248424478750418
blaa01,blaa01.Hart,pollination,2012,control,1,NA,NA,55,7,0.262577548193417
blaa01,blaa01.Hart,pollination,2012,control,15,NA,NA,55,7,1.03045665208006
blaa01,blaa01.Hart,pollination,2012,flowerstrip,1,8.25,36,55,7,0.240186532602801
blaa01,blaa01.Hart,pollination,2012,flowerstrip,15,8.25,36,55,7,0.965229719403594
blaa01,blaa01.Rant,pest control,2011,control,1,NA,NA,37,20,0.0201350311903556
blaa01,blaa01.Rant,pest control,2011,control,15,NA,NA,37,20,-0.872338732681496
blaa01,blaa01.Rant,pest control,2011,flowerstrip,1,5.25,24,37,20,1.22829528949167
blaa01,blaa01.Rant,pest control,2011,flowerstrip,15,5.25,24,37,20,0.164090338973983
blaa01,blaa01.Rant,pest control,2012,control,1,NA,NA,37,20,-0.00697459275301823
blaa01,blaa01.Rant,pest control,2012,control,15,NA,NA,37,20,-0.8248776028964271
blaa01,blaa01.Rant,pest control,2012,flowerstrip,1,5.25,36,37,20,0.462436020041696
blaa01,blaa01.Rant,pest control,2012,flowerstrip,15,5.25,36,37,20,0.0271342296724785
blaa01,blaa01.Rant,pollination,2009,control,1,NA,NA,37,20,0.183190620889518
blaa01,blaa01.Rant,pollination,2009,control,15,NA,NA,37,20,-0.00299180624403372
blaa01,blaa01.Rant,pollination,2009,flowerstrip,1,5.25,0,37,20,0.635140003573073
blaa01,blaa01.Rant,pollination,2009,flowerstrip,15,5.25,0,37,20,0.369178017258953
blaa01,blaa01.Rant,pollination,2010,control,1,NA,NA,37,20,-0.8127615978797341
blaa01,blaa01.Rant,pollination,2010,control,15,NA,NA,37,20,-0.138611341000059
blaa01,blaa01.Rant,pollination,2010,flowerstrip,1,5.25,12,37,20,-0.349957201355256
blaa01,blaa01.Rant,pollination,2010,flowerstrip,15,5.25,12,37,20,-0.288333166232714
blaa01,blaa01.Rant,pollination,2011,control,1,NA,NA,37,20,-0.898238071843453
blaa01,blaa01.Rant,pollination,2011,control,15,NA,NA,37,20,-1.77993607544812
blaa01,blaa01.Rant,pollination,2011,flowerstrip,1,5.25,24,37,20,-1.4042125410456
blaa01,blaa01.Rant,pollination,2011,flowerstrip,15,5.25,24,37,20,-1.26254926262118
blaa01,blaa01.Rant,pollination,2012,control,1,NA,NA,37,20,-0.150344950725719
blaa01,blaa01.Rant,pollination,2012,control,15,NA,NA,37,20,0.208135910801363
blaa01,blaa01.Rant,pollination,2012,flowerstrip,1,5.25,36,37,20,0.612859746321277
blaa01,blaa01.Rant,pollination,2012,flowerstrip,15,5.25,36,37,20,1.18229835588482
blaa01,blaa01.Vand,pest control,2011,control,1,NA,NA,78,14,-1.30855663264992
blaa01,blaa01.Vand,pest control,2011,control,15,NA,NA,78,14,-1.0329556295582
blaa01,blaa01.Vand,pest control,2011,flowerstrip,1,9,24,78,14,-0.340328127977247
blaa01,blaa01.Vand,pest control,2011,flowerstrip,15,9,24,78,14,0.222786954627609
blaa01,blaa01.Vand,pollination,2009,control,1,NA,NA,78,14,-1.08704787894942
blaa01,blaa01.Vand,pollination,2009,control,15,NA,NA,78,14,-0.633227948355474
blaa01,blaa01.Vand,pollination,2009,flowerstrip,1,9,0,78,14,0.249520051164625
blaa01,blaa01.Vand,pollination,2009,flowerstrip,15,9,0,78,14,-0.968750972406899
blaa01,blaa01.Vand,pollination,2010,control,1,NA,NA,78,14,-0.777902552978918
blaa01,blaa01.Vand,pollination,2010,control,15,NA,NA,78,14,-0.51949732243294
blaa01,blaa01.Vand,pollination,2010,flowerstrip,1,9,12,78,14,-0.695538976873787
blaa01,blaa01.Vand,pollination,2010,flowerstrip,15,9,12,78,14,-0.0752018059581757
blaa01,blaa01.Vand,pollination,2011,control,1,NA,NA,78,14,1.24265021609486
blaa01,blaa01.Vand,pollination,2011,control,15,NA,NA,78,14,3.4558179580624
blaa01,blaa01.Vand,pollination,2011,flowerstrip,1,9,24,78,14,1.89757208753829
blaa01,blaa01.Vand,pollination,2011,flowerstrip,15,9,24,78,14,1.9267049143111
camp01,camp01.40A,pollination,2013,flowerstrip,1,NA,25,NA,NA,-0.828809821402619
camp01,camp01.ABM,pollination,2013,flowerstrip,1,NA,25,NA,NA,0.9317370692880209
camp01,camp01.MARYS,pollination,2013,flowerstrip,1,NA,25,NA,NA,-0.892275909546209
camp01,camp01.PHP,pollination,2013,flowerstrip,1,NA,25,NA,NA,1.68855500213
camp01,camp01.PHPW,pollination,2013,control,1,NA,NA,NA,NA,0.357779076990787
camp01,camp01.WEST1,pollination,2013,control,1,NA,NA,NA,NA,-1.13648938286925
camp01,camp01.WEST2,pollination,2013,control,1,NA,NA,NA,NA,-0.490766534436867
camp01,camp01.WHOPE,pollination,2013,control,1,NA,NA,NA,NA,0.370270499846138
conn02,conn02.BTH,pollination,2014,flowerstrip,5,NA,27,71.00286533,28.76790831,-0.122219907891029
conn02,conn02.BTPT,pollination,2014,control,5,NA,NA,75.67335244,24.1260745,3.5084754942892906
conn02,conn02.CRTCEM,pest control,2014,control,5,NA,NA,70.36931005,26.76782136,NA
conn02,conn02.CRTCEM,pest control,2015,control,5,NA,NA,70.36931005,26.76782136,0.592753717694252
conn02,conn02.CRTCEM,pollination,2014,control,5,NA,NA,70.36931005,26.76782136,0.350206579604238
conn02,conn02.CRTCEM,pollination,2015,control,5,NA,NA,70.36931005,26.76782136,0.248453182861749
conn02,conn02.CRTGRA,pest control,2014,control,5,NA,NA,53.42112797,45.57686802,-1.10143203026893
conn02,conn02.CRTGRA,pest control,2015,control,5,NA,NA,53.42112797,45.57686802,-0.7402473295600991
conn02,conn02.CRTGRA,pollination,2014,control,5,NA,NA,53.42112797,45.57686802,-0.135948540817806
conn02,conn02.CRTGRA,pollination,2015,control,5,NA,NA,53.42112797,45.57686802,-0.183998756320996
conn02,conn02.CRTPMP,pest control,2014,flowerstrip,5,NA,39,60.14886917,37.04551961,-0.356488589899094
conn02,conn02.CRTPMP,pest control,2015,flowerstrip,5,NA,39,60.14886917,37.04551961,-0.00448234923815125
conn02,conn02.CRTPMP,pollination,2014,flowerstrip,5,NA,27,60.14886917,37.04551961,-0.400224725912368
conn02,conn02.CRTPMP,pollination,2015,flowerstrip,5,NA,39,60.14886917,37.04551961,-0.61645069550374
conn02,conn02.CRTSB,pest control,2014,flowerstrip,5,NA,39,61.89521901,35.27054108,-1.10143203026893
conn02,conn02.CRTSB,pest control,2015,flowerstrip,5,NA,39,61.89521901,35.27054108,1.87834173121043
conn02,conn02.CRTSB,pollination,2014,flowerstrip,5,NA,27,61.89521901,35.27054108,-0.930961196696103
conn02,conn02.CRTSB,pollination,2015,flowerstrip,5,NA,39,61.89521901,35.27054108,-0.400224725912368
conn02,conn02.DARPD,pest control,2014,flowerstrip,5,NA,39,57.01578192,42.98421808,NA
conn02,conn02.DARPD,pest control,2015,flowerstrip,5,NA,39,57.01578192,42.98421808,-0.43926008393569294
conn02,conn02.DARPD,pollination,2014,flowerstrip,5,NA,27,57.01578192,42.98421808,-0.466032629768734
conn02,conn02.DARPD,pollination,2015,flowerstrip,5,NA,39,57.01578192,42.98421808,0.641591308919751
conn02,conn02.DARWEB,pest control,2014,control,5,NA,NA,48.03556065,51.96443935,NA
conn02,conn02.DARWEB,pest control,2015,control,5,NA,NA,48.03556065,51.96443935,-0.356488589899094
conn02,conn02.DARWEB,pollination,2014,control,5,NA,NA,48.03556065,51.96443935,-0.286963503704273
conn02,conn02.DARWEB,pollination,2015,control,5,NA,NA,48.03556065,51.96443935,0.1619627950252
conn02,conn02.EIT,pest control,2014,flowerstrip,5,NA,39,68.4904039,1.031223145,0.88508380873079
conn02,conn02.EIT,pest control,2015,flowerstrip,5,NA,39,68.4904039,1.031223145,1.42092032024791
conn02,conn02.EIT,pollination,2014,flowerstrip,5,NA,27,68.4904039,1.031223145,-0.856701772846707
conn02,conn02.EIT,pollination,2015,flowerstrip,5,NA,39,68.4904039,1.031223145,0.484336058150588
conn02,conn02.EIWT,pest control,2014,control,5,NA,NA,71.01947308,2.290950745,-1.10143203026893
conn02,conn02.EIWT,pest control,2015,control,5,NA,NA,71.01947308,2.290950745,-0.60480307200889
conn02,conn02.EIWT,pollination,2014,control,5,NA,NA,71.01947308,2.290950745,-0.859704911294034
conn02,conn02.EIWT,pollination,2015,control,5,NA,NA,71.01947308,2.290950745,-0.49850925751335906
conn02,conn02.ELDALF,pollination,2014,control,5,NA,NA,42.61591299,57.35546651,0.314984249629952
conn02,conn02.ELDFL,pollination,2014,flowerstrip,5,NA,27,43.98280802,55.98853868,0.0322272132703766
conn02,conn02.FVCN,pest control,2014,control,5,NA,NA,67.29667812,32.56013746,1.87834173121043
conn02,conn02.FVCN,pest control,2015,control,5,NA,NA,67.29667812,32.56013746,-0.183420922175174
conn02,conn02.FVCN,pollination,2014,control,5,NA,NA,67.29667812,32.56013746,0.0013377889689031
conn02,conn02.FVCN,pollination,2015,control,5,NA,NA,67.29667812,32.56013746,-0.904751988349896
conn02,conn02.FVCS,pest control,2014,flowerstrip,5,NA,39,74.33400172,25.49412776,-0.23233135182397
conn02,conn02.FVCS,pest control,2015,flowerstrip,5,NA,39,74.33400172,25.49412776,0.14014036836095
conn02,conn02.FVCS,pollination,2014,flowerstrip,5,NA,27,74.33400172,25.49412776,0.680905122044493
conn02,conn02.FVCS,pollination,2015,flowerstrip,5,NA,39,74.33400172,25.49412776,-0.949106033323314
conn02,conn02.FVO3,pest control,2014,flowerstrip,5,NA,39,67.97704448,31.8507891,1.87834173121043
conn02,conn02.FVO3,pest control,2015,flowerstrip,5,NA,39,67.97704448,31.8507891,0.388454850470746
conn02,conn02.FVO3,pollination,2014,flowerstrip,5,NA,27,67.97704448,31.8507891,-1.09695285018967
conn02,conn02.FVO3,pollination,2015,flowerstrip,5,NA,39,67.97704448,31.8507891,-0.921710887806978
conn02,conn02.FVO9,pest control,2014,control,5,NA,NA,72.72467903,26.90442225,-1.10143203026893
conn02,conn02.FVO9,pest control,2015,control,5,NA,NA,72.72467903,26.90442225,-0.0801687160111298
conn02,conn02.FVO9,pollination,2014,control,5,NA,NA,72.72467903,26.90442225,-0.61645069550374
conn02,conn02.FVO9,pollination,2015,control,5,NA,NA,72.72467903,26.90442225,-0.691659728457733
conn02,conn02.GSTR,pollination,2014,flowerstrip,5,NA,27,86.94905552,12.79336005,0.8971310916358649
conn02,conn02.GSUP,pollination,2014,control,5,NA,NA,87.09215799,12.67887808,2.55486352459312
conn02,conn02.KPCRT,pest control,2014,flowerstrip,5,NA,39,91.16972477,8.543577982,0.636769332580541
conn02,conn02.KPCRT,pest control,2015,flowerstrip,5,NA,39,91.16972477,8.543577982,-0.190945601825897
conn02,conn02.KPCRT,pollination,2014,flowerstrip,5,NA,27,91.16972477,8.543577982,NA
conn02,conn02.KPCRT,pollination,2015,flowerstrip,5,NA,39,91.16972477,8.543577982,0.392603828679394
conn02,conn02.KPGB,pest control,2014,control,5,NA,NA,91.32053853,8.421655686,0.14014036836095
conn02,conn02.KPGB,pest control,2015,control,5,NA,NA,91.32053853,8.421655686,0.264297612395621
conn02,conn02.KPGB,pollination,2014,control,5,NA,NA,91.32053853,8.421655686,NA
conn02,conn02.KPGB,pollination,2015,control,5,NA,NA,91.32053853,8.421655686,-0.0975083684844467
conn02,conn02.ORCHK,pest control,2014,control,5,NA,NA,69.68222159,9.962782708,-0.5755896024737
conn02,conn02.ORCHK,pest control,2015,control,5,NA,NA,69.68222159,9.962782708,1.18306118487873
conn02,conn02.ORCHK,pollination,2014,control,5,NA,NA,69.68222159,9.962782708,-0.400224725912368
conn02,conn02.ORCHK,pollination,2015,control,5,NA,NA,69.68222159,9.962782708,-0.904751988349896
conn02,conn02.ORCHR,pest control,2014,flowerstrip,5,NA,39,70.75822604,12.56080114,-0.356488589899094
conn02,conn02.ORCHR,pest control,2015,flowerstrip,5,NA,39,70.75822604,12.56080114,1.05438913662935
conn02,conn02.ORCHR,pollination,2014,flowerstrip,5,NA,27,70.75822604,12.56080114,-0.972587586524184
conn02,conn02.ORCHR,pollination,2015,flowerstrip,5,NA,39,70.75822604,12.56080114,-0.808651557343517
conn02,conn02.RES47,pest control,2014,flowerstrip,5,NA,39,64.09962783,35.67134269,0.861434810434619
conn02,conn02.RES47,pest control,2015,flowerstrip,5,NA,39,64.09962783,35.67134269,-0.108174107789299
conn02,conn02.RES47,pollination,2014,flowerstrip,5,NA,27,64.09962783,35.67134269,0.536754476226847
conn02,conn02.RES47,pollination,2015,flowerstrip,5,NA,39,64.09962783,35.67134269,-0.400224725912368
conn02,conn02.RESAJ,pest control,2014,flowerstrip,5,NA,39,65.30203264,34.35442313,-1.10143203026893
conn02,conn02.RESAJ,pest control,2015,flowerstrip,5,NA,39,65.30203264,34.35442313,1.87834173121043
conn02,conn02.RESAJ,pollination,2014,flowerstrip,5,NA,27,65.30203264,34.35442313,1.64190943210828
conn02,conn02.RESAJ,pollination,2015,flowerstrip,5,NA,39,65.30203264,34.35442313,-0.245777604750962
conn02,conn02.RESHI,pest control,2014,control,5,NA,NA,62.76138642,36.92351762,-0.8531175481591391
conn02,conn02.RESHI,pest control,2015,control,5,NA,NA,62.76138642,36.92351762,-0.77034605412254
conn02,conn02.RESHI,pollination,2014,control,5,NA,NA,62.76138642,36.92351762,-0.419881632301758
conn02,conn02.RESHI,pollination,2015,control,5,NA,NA,62.76138642,36.92351762,0.507924346371395
conn02,conn02.RESLO,pest control,2014,flowerstrip,5,NA,39,59.99427262,39.69072165,1.67969014909832
conn02,conn02.RESLO,pest control,2015,flowerstrip,5,NA,39,59.99427262,39.69072165,1.13339829084059
conn02,conn02.RESLO,pollination,2014,flowerstrip,5,NA,27,59.99427262,39.69072165,0.511684797941254
conn02,conn02.RESLO,pollination,2015,flowerstrip,5,NA,39,59.99427262,39.69072165,-1.11068148311645
conn02,conn02.RESNB,pest control,2014,control,5,NA,NA,63.61294017,35.58545663,-1.10143203026893
conn02,conn02.RESNB,pest control,2015,control,5,NA,NA,63.61294017,35.58545663,-1.10143203026893
conn02,conn02.RESNB,pollination,2014,control,5,NA,NA,63.61294017,35.58545663,-0.724563680299426
conn02,conn02.RESNB,pollination,2015,control,5,NA,NA,63.61294017,35.58545663,1.11335706122724
conn02,conn02.RESWS,pest control,2014,control,5,NA,NA,62.21013455,37.38906384,1.87834173121043
conn02,conn02.RESWS,pest control,2015,control,5,NA,NA,62.21013455,37.38906384,1.21616978487718
conn02,conn02.RESWS,pollination,2014,control,5,NA,NA,62.21013455,37.38906384,0.87310598371129
conn02,conn02.RESWS,pollination,2015,control,5,NA,NA,62.21013455,37.38906384,-1.08821644729228
conn02,conn02.SQFD,pollination,2014,control,5,NA,NA,72.07568807,27.80963303,2.6578282728413
conn02,conn02.SQWD,pollination,2014,flowerstrip,5,NA,27,69.23738532,30.70527523,NA
dain01,dain01.1,pest control,2014,hedgerow,3,NA,NA,13.80111715,94.57342429,0.595328183886452
dain01,dain01.1,pollination,2014,hedgerow,0.5,NA,NA,13.80111715,94.57342429,-0.778678861369592
dain01,dain01.10,pest control,2014,hedgerow,3,NA,NA,5.400754118,95.73847926,0.914203487643556
dain01,dain01.10,pollination,2014,hedgerow,0.5,NA,NA,5.400754118,95.73847926,-0.317946722000218
dain01,dain01.11,pest control,2014,hedgerow,3,NA,NA,18.40262244,74.04923165,0.683928198166752
dain01,dain01.12,pest control,2014,hedgerow,3,NA,NA,14.10336227,51.24902663,0.558319541548709
dain01,dain01.13,pest control,2014,control,3,NA,NA,10.08322198,82.02978557,0.325471754308212
dain01,dain01.13,pollination,2014,control,0.5,NA,NA,10.08322198,82.02978557,0.150106245519069
dain01,dain01.14,pest control,2014,hedgerow,3,NA,NA,2.054956565,60.92431035,0.37703897433074707
dain01,dain01.14,pollination,2014,hedgerow,0.5,NA,NA,2.054956565,60.92431035,1.31243778149784
dain01,dain01.15,pest control,2014,hedgerow,3,NA,NA,7.729060671,62.07757527,-0.0467673228360813
dain01,dain01.16,pest control,2014,control,3,NA,NA,8.055647845,66.76634324,-0.659191590450676
dain01,dain01.16,pollination,2014,control,0.5,NA,NA,8.055647845,66.76634324,0.7442401481448179
dain01,dain01.17,pest control,2014,hedgerow,3,NA,NA,8.206312165,59.49107295,0.177463982979098
dain01,dain01.17,pollination,2014,hedgerow,0.5,NA,NA,8.206312165,59.49107295,1.59182293484086
dain01,dain01.18,pest control,2014,control,3,NA,NA,18.34176689,43.79005863,0.299683145411171
dain01,dain01.18,pollination,2014,control,0.5,NA,NA,18.34176689,43.79005863,0.251416675677019
dain01,dain01.19,pest control,2014,hedgerow,3,NA,NA,31.28315409,41.83137867,-1.50114650702697
dain01,dain01.2,pest control,2014,hedgerow,3,NA,NA,8.560824295,96.58569259,0.228060233408598
dain01,dain01.2,pollination,2014,hedgerow,0.5,NA,NA,8.560824295,96.58569259,0.426257497492256
dain01,dain01.20,pest control,2014,hedgerow,3,NA,NA,13.61912776,49.37104924,-2.74930774858799
dain01,dain01.20,pollination,2014,hedgerow,0.5,NA,NA,13.61912776,49.37104924,0.853121803856666
dain01,dain01.21,pest control,2014,control,3,NA,NA,4.618660211,69.51761654,-2.99893999690019
dain01,dain01.21,pollination,2014,control,0.5,NA,NA,4.618660211,69.51761654,0.7210108520522249
dain01,dain01.22,pest control,2014,control,3,NA,NA,1.307198415,63.85193522,0.271848038860856
dain01,dain01.22,pollination,2014,control,0.5,NA,NA,1.307198415,63.85193522,-0.678347507105398
dain01,dain01.23,pest control,2014,hedgerow,3,NA,NA,1.933665634,37.20327204,0.43739965256104
dain01,dain01.23,pollination,2014,hedgerow,0.5,NA,NA,1.933665634,37.20327204,-1.40851585170821
dain01,dain01.24,pest control,2014,control,3,NA,NA,3.80980871,50.69385423,-0.40900542066108
dain01,dain01.25,pest control,2014,hedgerow,3,NA,NA,3.300765752,43.02390755,0.50538085443556
dain01,dain01.25,pollination,2014,hedgerow,0.5,NA,NA,3.300765752,43.02390755,-1.51267049566526
dain01,dain01.26,pest control,2014,hedgerow,3,NA,NA,5.03446044,65.45891063,0.699521339259837
dain01,dain01.26,pollination,2014,hedgerow,0.5,NA,NA,5.03446044,65.45891063,-0.549164887878959
dain01,dain01.3,pest control,2014,hedgerow,3,NA,NA,5.366820288,70.53773332,0.383831692476344
dain01,dain01.3,pollination,2014,hedgerow,0.5,NA,NA,5.366820288,70.53773332,1.12571585147825
dain01,dain01.4,pest control,2014,control,3,NA,NA,2.518415797,97.84544803,-0.585275107277059
dain01,dain01.5,pest control,2014,control,3,NA,NA,8.30579492,79.94820108,0.516230383693317
dain01,dain01.5,pollination,2014,control,0.5,NA,NA,8.30579492,79.94820108,1.01332964864675
dain01,dain01.6,pest control,2014,control,3,NA,NA,0.510574557,99.48942508,0.562454437628141
dain01,dain01.6,pollination,2014,control,0.5,NA,NA,0.510574557,99.48942508,-1.2530273987706
dain01,dain01.7,pest control,2014,hedgerow,3,NA,NA,0.992233169,76.47033435,-0.0548644318871727
dain01,dain01.7,pollination,2014,hedgerow,0.5,NA,NA,0.992233169,76.47033435,-0.280190448725731
dain01,dain01.8,pest control,2014,control,3,NA,NA,2.928559534,65.18545821,0.867314425880841
dain01,dain01.8,pollination,2014,control,0.5,NA,NA,2.928559534,65.18545821,-1.41091726598179
dain01,dain01.9,pest control,2014,hedgerow,3,NA,NA,11.42158476,69.62707049,0.60101979914797
entl01,entl01.1,pest control,2005,control,3,NA,NA,38.68467955,35.75131639,-0.827096478069794
entl01,entl01.1,pest control,2005,control,30,NA,NA,38.68467955,35.75131639,-0.899003376567159
entl01,entl01.1,pest control,2005,flowerstrip,3,24,NA,30.55934019,41.41136903,0.0890345209212023
entl01,entl01.1,pest control,2005,flowerstrip,30,24,NA,30.55934019,41.41136903,0.678710701377425
entl01,entl01.10,pest control,2005,control,3,NA,NA,50.2508195,34.43053214,-0.988326700594592
entl01,entl01.10,pest control,2005,control,30,NA,NA,47.8677218,34.43053214,-0.205998397613239
entl01,entl01.10,pest control,2005,flowerstrip,3,24,NA,47.8677218,33.30552251,-1.12277513485676
entl01,entl01.10,pest control,2005,flowerstrip,30,24,NA,50.2508195,33.30552251,-1.06179371151288
entl01,entl01.2,pest control,2005,control,3,NA,NA,13.99563,58.11294514,-0.356292259676575
entl01,entl01.2,pest control,2005,control,30,NA,NA,13.6517278,58.11294514,-0.912945808038772
entl01,entl01.2,pest control,2005,flowerstrip,3,24,NA,13.6517278,59.18553415,-0.627103293707094
entl01,entl01.2,pest control,2005,flowerstrip,30,24,NA,13.99563,59.18553415,-0.368358902138136
entl01,entl01.3,pest control,2005,control,3,NA,NA,24.10881558,42.9148516,2.8216847898488
entl01,entl01.3,pest control,2005,control,30,NA,NA,27.85722492,42.9148516,0.807110927319157
entl01,entl01.3,pest control,2005,flowerstrip,3,24,NA,24.10881558,38.48252856,-0.31426427467155
entl01,entl01.3,pest control,2005,flowerstrip,30,24,NA,27.85722492,38.48252856,-0.879990976559971
entl01,entl01.4,pest control,2005,control,3,NA,NA,32.33850199,46.37086556,0.66405657664570406
entl01,entl01.4,pest control,2005,control,30,NA,NA,32.33850199,46.37086556,0.360156524004241
entl01,entl01.4,pest control,2005,flowerstrip,3,24,NA,24.55852732,41.7982747,0.99898287772835
