Author,year,animal,Amniotes,Environment,Reproductive Unit,N,Zr
"Rowe, J.W.",1994,Chrysemys_picta,Y,Wild,Single,69,0.309519604
"Rowe, J.W.",1994,Chrysemys_picta,Y,Wild,Single,35,0.576339755
"Rowe, J.W.",1994,Chrysemys_picta,Y,Wild,Single,40,0.223656109
"Stuart-Smith, J., Swain, R., Stuart-Smith, R.D. & Wapstra, E.",2007,Rankinia_diemensis,Y,Wild,Single,90,0.534443574
"Sugiura, N.",1994,Anthidium_septemspinosum,N,Captive,Life,14,0.018001944
"Weatherhead, P.J., Brown, G.P., Prosser, M.R. & Kissner, K.J.",1999,Nerodia_sipedon,Y,Wild,Single,49,0.928727364
"Weatherhead, P.J., Brown, G.P., Prosser, M.R. & Kissner, K.J.",1999,Nerodia_sipedon,Y,Captive,Single,28,0.693147181
"Wilkinson, L.R. & Gibbons, J.W.",2005,Kinosternon_subrubrum,Y,Wild,Single,635,0.264986458
"Wilkinson, L.R. & Gibbons, J.W.",2005,Pseudemys_floridana,Y,Wild,Single,79,0.671242804
"Wilkinson, L.R. & Gibbons, J.W.",2005,Sternotherus_odoratus,Y,Wild,Single,46,0.599934392
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_kisutch,N,Captive,Life,330,1.167389642
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_masou,N,Wild,Life,149,0.668563486
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_nerka,N,Captive,Life,4731,0.627769252
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_nerka,N,Captive,Life,160,1.039873052
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_nerka,N,Wild,Life,488,0.650559394
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_nerka,N,Captive,Life,863,0.665145527
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_nerka,N,Captive,Life,1581,0.811288808
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_nerka,N,Captive,Life,1512,1.080586298
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_tshawytscha,N,Captive,Life,1902,0.744665647
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Salmo_trutta,N,Captive,Life,135,1.927541737
"Valentinsson, D.",2002,Buccinum_undatum,N,Wild,Single,27,0.609685433
"Walker, S.E., Rypstra, A.L. & Marshall, S.D.",2003,Hogna_helluo,N,Captive,Single,17,0.705742305
"Brown, G.P. & Shine, R.",2005,Tropidonophis_mairii,Y,Wild,Single,318,0.829114038
"Ji, X. & Wang, Z.W.",2005,Naja_atra,Y,Wild,Single,125,0.86926401
"Luiselli, L., Capula, M. & Shine, R.",1996,Coronella_austriaca,Y,Wild,Single,28,1.020327758
"Helle, S. Laaksonen, T., Adamsson, A., PAranko, J. & Huitus, O.",2008,Microtus_agrestis,Y,Captive,Single,28,0.285934031
"Herbinnger, C.M., Doyle, R.W., Pitman, E.R., Paquet, D., Mesa, K.A., Morris, D.B., Wright, J.M. & Cook, D.",1995,Oncorhynchus_mykiss,N,Captive,Single,10,-0.181982689
"Rollison, N.",2012,Chelydra_serpentina,Y,Wild,Single,23,0.768275718
"Rollison, N.",2012,Glyptemys_inscupta,Y,Wild,Single,25,0.563368107
"Shibata, F. & Kawamichi, T.",2009,Apodemus_argenteus,Y,Wild,Single,44,0.973475626
"Rowe, J.W., Coval, K.A. & Campbell, K.C.",2003,Chrysemys_picta,Y,Wild,Single,144,0.647522845
"Rowe, J.W., Coval, K.A. & Campbell, K.C.",2003,Chrysemys_picta,Y,Wild,Single,144,0.632833187
"Uller, T. & Olsson, M.",2010,Ctenophorus_fordi,Y,Wild,Life,89,0.562729769
"Rollison, N., Brooks, R.J.",2008,Chrysemys_picta,Y,Wild,Single,87,0.338240109
"Kasparian, K., Gei_ler, E. & Trillmich, F.",2005,Cavia_aperea,Y,Captive,Single,243,0.244774113
"Dziminski, M.A., Vercoe, P.E. & Roberts, J.D.",2006,Crinia_georgiana,N,Wild,Single,33,1.095840663
"Lampert, W.",1993,Daphnia_magna,N,Captive,Single,345,1.202469572
"Zuniga-Vega, J.J., Suarez-Rodriguez, M., Espinosa-Perez, H. & Johnson, J.B.",2011,Poecilia_butleri,N,Wild,Single,220,0.315979577
"Cox, R.M., Duryea, M.C., Najarro, M. & Calsbeek, R.",2010,Anolis_sagrei,Y,Captive,Single,96,0.071119666
"Wehrtmann, I.S., Magalhes, C., Hernandez, P & Mantelatto, F.L.",2010,Kingsleyini_ytupora,N,Wild,Single,20,0.763271668
"Ivanova, M.B. & Vassilenko, S.V.",1987,Bosmina_longirostris,N,Wild,Single,41,1.945910149
"Ivanova, M.B. & Vassilenko, S.V.",1987,Bosmina_obtusirostris,N,Wild,Single,42,1.188136404
"Ivanova, M.B. & Vassilenko, S.V.",1987,Caprella_sp,N,Wild,Single,37,2.646652412
"Ivanova, M.B. & Vassilenko, S.V.",1987,Caprella_sp,N,Wild,Single,102,1.738049345
"Ivanova, M.B. & Vassilenko, S.V.",1987,Caprella_sp,N,Wild,Single,28,0.632833187
"Ivanova, M.B. & Vassilenko, S.V.",1987,Caprella_sp,N,Wild,Single,14,0.244774113
"Ivanova, M.B. & Vassilenko, S.V.",1987,Caprella_sp,N,Wild,Single,6,0.276863823
"Ivanova, M.B. & Vassilenko, S.V.",1987,Caprella_sp,N,Wild,Single,9,0.693147181
"Ivanova, M.B. & Vassilenko, S.V.",1987,Ceriodaphnia_pulchella,N,Wild,Single,20,0.887183863
"Ivanova, M.B. & Vassilenko, S.V.",1987,Crangon_allmani,N,Wild,Single,38,0.972955075
"Ivanova, M.B. & Vassilenko, S.V.",1987,Daphnia_cristata,N,Wild,Single,25,1.738049345
"Ivanova, M.B. & Vassilenko, S.V.",1987,Heptacarpus_pusiola,N,Wild,Single,22,0.810743125
"Ivanova, M.B. & Vassilenko, S.V.",1987,Hetairus_polaris,N,Wild,Single,344,1.221173518
"Ivanova, M.B. & Vassilenko, S.V.",1987,Holopedium_gibberum,N,Wild,Single,20,1.127029026
"Ivanova, M.B. & Vassilenko, S.V.",1987,Hyas_coarctatus,N,Wild,Single,25,1.527524425
"Ivanova, M.B. & Vassilenko, S.V.",1987,Oregonia_gracilis,N,Wild,Single,14,1.831780823
"Ivanova, M.B. & Vassilenko, S.V.",1987,Pagurus_pubescens,N,Wild,Single,112,2.09229572
"Ivanova, M.B. & Vassilenko, S.V.",1987,Pandalus_montagui,N,Wild,Single,294,0.907644983
"Ivanova, M.B. & Vassilenko, S.V.",1987,Sabinea_sarsi,N,Wild,Single,64,1.098612289
"Ivanova, M.B. & Vassilenko, S.V.",1987,Sabinea_septemcarinata,N,Wild,Single,50,1.221173518
"Ivanova, M.B. & Vassilenko, S.V.",1987,Spirontocaris_spinus,N,Wild,Single,478,1.256152812
"Ivanova, M.B. & Vassilenko, S.V.",1987,Spirontocaris_turgida,N,Wild,Single,57,1.188136404
"Frynta, D., Frankov, M. B., Skarlandtov, H., Galetokov, K., Prov, K. milauer, P. & umbera, R.",2011,Acomys_cahirinus,Y,Captive,Single,968,0.101786035
"Halstead, B.J., Wylie, G.D., Casazza, M.L. & Coates, P.S.",2011,Thamnophis_gigas,Y,Wild,Single,11,0.158577516
"Lim, J.N.",NA,Gambusia_affinis,N,Captive,Single,66,0.989150822
"Arcos-Garcia, J. L., Martinez, G. D. M., Gama, R. B., Barros, O. V. E. & Morales, G. E. L.",2010,Iguana_iguana,Y,Captive,Single,137,0.928727364
"Bager, A., De Freitas, T. R. O. & Krause, L.",2007,Trachemys_dorbignyi,Y,Wild,Single,40,0.479699943
"Bai, B. R., Luck, R. F., Forster, L., Stephens, B. & Janssen, J. A. M.",1992,Trichogramma_pretiosum,N,Captive,Life,208,0.522984278
"Bai, B. R., Luck, R. F., Forster, L., Stephens, B. & Janssen, J. A. M.",1992,Trichogramma_pretiosum,N,Captive,Life,67,0.928727364
"Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W.",1998,Gasterosteus_aculeatus,N,Wild,Single,69,0.612664516
"Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W.",1998,Gasterosteus_aculeatus,N,Wild,Single,63,0.863389675
"Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W.",1998,Gasterosteus_aculeatus,N,Wild,Single,40,1.228006092
"Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W.",1998,Gasterosteus_aculeatus,N,Wild,Single,33,1.316856291
"Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W.",1998,Gasterosteus_aculeatus,N,Wild,Single,57,0.592930527
"Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W.",1998,Gasterosteus_aculeatus,N,Wild,Single,69,0.787516785
"Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W.",1998,Gasterosteus_aculeatus,N,Wild,Single,65,0.95714348
"Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W.",1998,Gasterosteus_aculeatus,N,Wild,Single,57,1.147727958
"Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W.",1998,Gasterosteus_aculeatus,N,Wild,Single,39,1.127029026
"Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W.",1998,Gasterosteus_aculeatus,N,Wild,Single,59,0.679201436
"Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W.",1998,Gasterosteus_aculeatus,N,Wild,Single,64,0.705742305
"Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W.",1998,Gasterosteus_aculeatus,N,Wild,Single,44,0.643090257
"Baker, J. A. & Foster, S. A.",2002,Gasterosteus_aculeatus,N,Wild,Single,59,0.679702245
"Baker, J. A. & Foster, S. A.",2002,Gasterosteus_aculeatus,N,Wild,Single,41,1.17483646
"Baker, J. A. & Foster, S. A.",2002,Gasterosteus_aculeatus,N,Wild,Single,40,1.214962638
"Baker, J. A. & Foster, S. A.",2002,Gasterosteus_aculeatus,N,Wild,Single,30,0.508801206
"Baker, J. A. & Foster, S. A.",2002,Gasterosteus_aculeatus,N,Wild,Single,29,0.766136451
"Baker, J. A. & Foster, S. A.",2002,Gasterosteus_aculeatus,N,Wild,Single,45,1.135904928
"Bauerfeind, S. S. & Fischer, K.",2008,Araschnia_levana,N,Captive,Life,55,1.47221949
"Bauerfeind, S. S. & Fischer, K.",2008,Pararge_aegeria,N,Captive,Life,39,-0.287682072
"Bauerfeind, S. S. & Fischer, K.",2008,Pieris_napi,N,Captive,Life,77,0.411800034
"Bidwell, M. T. & Dawson, R. D.",2005,Tachycineta_bicolor,Y,Wild,Single,38,0.500528772
"Bishop, C. A.,Brown, G. P., Brooks, R. J., Lean, D. R. S. & Carey, J. H.",1994,Chelydra_serpentina,Y,Wild,Single,15,1.020327758
"Bradshaw, W. E., Holzapfel, C. M. & Oneill, T.",1993,Wyeomyia_smithii,N,Captive,Life,41,1.010575633
"Brana, F., Bea, A. & Arrayago, M. J.",1991,Podarcis_muralis,Y,Captive,Single,9,1.375767657
"Brana, F., Bea, A. & Arrayago, M. J.",1991,Zootoca_vivipara,Y,Captive,Single,14,0.792813632
"Brooks, R. J., Shilton, C. M., Brown, G. P. & Quinn, N. W. S.",1992,Clemmys_insculpta,Y,Wild,Single,15,0.604155603
"Broussard, D. R., Dobson, F. S. & Murie, J. O.",2005,Urocitellus_columbianus,Y,Wild,Single,115,0.309519604
"Brown, C. A., Sanford, B. M. & Swerdon, R. R.",2003,Pirata_sedentarius,N,Captive,Single,17,0.100335348
"Brown, C. A., Sanford, B. M. & Swerdon, R. R.",2003,Pirata_sedentarius,N,Captive,Single,16,0.564635003
"Brown, C. A., Sanford, B. M. & Swerdon, R. R.",2003,Pirata_sedentarius,N,Captive,Single,20,0.667903898
"Brown, C. A.",2004,Centruroides_exilicauda,N,Captive,Single,18,0.506104805
"Brown, C. A.",2004,Centruroides_exilicauda,N,Captive,Single,14,0.476118126
"Brown, C. A.",2004,Diplocentrus_peloncillensis,N,Captive,Single,6,0.355863186
"Brown, C. A.",2004,Pseudouroctonus_apacheanus,N,Captive,Single,4,-0.706180685
"Brown, C. A.",2004,Vaejovis_sp,N,Captive,Single,18,0.193878675
"Castellano, S., Cucco, M. & Giacoma, C.",2004,Bufo_viridis,N,Captive,Single,26,0.968399234
"Casten, L. R. & Johnston, C. E.",2008,Cyprinella_venusta,N,Wild,Single,119,0.900969426
"Casten, L. R. & Johnston, C. E.",2008,Cyprinella_venusta,N,Wild,Single,93,0.874351265
"Casten, L. R. & Johnston, C. E.",2008,Cyprinella_venusta,N,Wild,Single,114,0.647723014
"Casten, L. R. & Johnston, C. E.",2008,Cyprinella_venusta,N,Wild,Single,82,0.832378875
"Castilla, A. M., Barbadillo, L. J. & Bauwens, D.",1992,Acanthodactylus_erythrurus,Y,Captive,Single,40,0.395392825
"Castilla, A. M. & Bauwens, D.",2000a,Podarcis_atrata,Y,Captive,Single,82,0.42364893
"Castilla, A. M. & Bauwens, D.",2000b,Podarcis_lilfordi,Y,Captive,Single,11,0.244774113
"Castro-Franco, R., Bustos-Zagal, M. G. & Mendez-De la Cruz, F. R.",2011,Ctenosaura_pectinata,Y,Captive,Single,28,0.390742321
"Christians, J. K., Evanson, M. & Aiken, J. J.",2001,Sturnus_vulgaris,Y,Captive,Single,95,0.192337169
"Christians, J. K., Evanson, M. & Aiken, J. J.",2001,Sturnus_vulgaris,Y,Captive,Single,28,0.276863823
"Christians, J. K., Evanson, M. & Aiken, J. J.",2001,Sturnus_vulgaris,Y,Captive,Single,121,0.110446916
"Christians, J. K., Evanson, M. & Aiken, J. J.",2001,Sturnus_vulgaris,Y,Captive,Single,57,0.331647109
"Christians, J. K., Evanson, M. & Aiken, J. J.",2001,Sturnus_vulgaris,Y,Captive,Single,114,0.298566264
"Christians, J. K., Evanson, M. & Aiken, J. J.",2001,Sturnus_vulgaris,Y,Captive,Single,58,0.060072156
"Clark, D. R., Bunck, C. M. & Hall, R. J.",1997,Diadophis_punctatus,Y,Captive,Single,47,0.887183863
"Clark, P. J., Ewert, M. A. & Nelson, C. E.",2001,Sternotherus_odoratus,Y,Wild,Single,70,1.106813303
"Colli, G. R., Mesquita, D. O., Rodrigues, P. V. V. & Kitayama, K.",2003,Gymnodactylus_geckoides,Y,Wild,Single,54,0.113377507
"Congdon, J. D. & Sels, R. C. V.",1991,Emydoidea_blandingii,Y,Wild,Single,275,0.555375552
"Congdon, J. D., Nagle, R. D., Kinney, O. M. & Sels, R. C. V.",2001,Emydoidea_blandingii,Y,Wild,Single,46,0.595724174
"Congdon, J. D., Nagle, R. D., Kinney, O. M. & Sels, R. C. V.",2001,Emydoidea_blandingii,Y,Wild,Single,35,0.598526181
"Congdon, J. D., Nagle, R. D., Kinney, O. M. & Sels, R. C. V.",2001,Emydoidea_blandingii,Y,Wild,Single,11,0.566792795
"Daza, J. M. & Paez, V. P.",2007,Trachemys_callirostris,Y,Wild,Single,54,1.006725275
"Diaz, J. A., Perez-Tris, J., Telleria, J. L., Carbonell, R. & Santos, T.",2005,Psammodromus_algirus,Y,Captive,Single,54,0.770121337
"Doody, J. S., Georges, A. & Young, J. E.",2003,Carettochelys_insculpta,Y,Wild,Single,65,0.174006548
"Doody, J. S., Georges, A. & Young, J. E.",2003,Carettochelys_insculpta,Y,Wild,Single,51,0.402260309
"Doody, J. S., Georges, A. & Young, J. E.",2003,Carettochelys_insculpta,Y,Wild,Single,75,0.562597262
"Doums, C., Perdieu, M. A. & Jarne, P.",1998,Bulinus_truncatus,N,Captive,Single,76,0.618381314
"Doums, C., Perdieu, M. A. & Jarne, P.",1998,Bulinus_truncatus,N,Captive,Single,81,0.549306144
"Doums, C., Perdieu, M. A. & Jarne, P.",1998,Bulinus_truncatus,N,Captive,Single,77,0.887183863
"Du, Y., Lin, C. X., Lin, L. H., Qiu, Q. B. & Ji, X.",2011,Leiolepis_reevesii,Y,Captive,Single,200,0.390673837
"Fearn, S. & Trembath, D. F.",2009,Demansia_vestigiata,Y,Wild,Single,8,0.856137383
"Fitzgerald, L. A., Cruz, F. B. & Perotti, G.",1993,Tupinambis_rufescens,Y,Wild,Single,7,0.972955075
