"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","district","school","year","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",15,0.6,0.007,"from_dataset",27,4,1976,11.9522860933439,0.6,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",16,0.08,0.019,"from_dataset",56,1,1997,7.25476250110012,0.08,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",17,0.04,0.007,"from_dataset",56,2,1997,11.9522860933439,0.04,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",18,0.19,0.005,"from_dataset",56,3,1997,14.142135623731,0.19,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",19,-0.06,0.004,"from_dataset",56,4,1997,15.8113883008419,0.06,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",20,-0.18,0.02,"from_dataset",58,1,1976,7.07106781186548,0.18,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",21,0,0.018,"from_dataset",58,2,1976,7.4535599249993,0,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",22,0,0.019,"from_dataset",58,3,1976,7.25476250110012,0,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",23,-0.28,0.022,"from_dataset",58,4,1976,6.74199862463242,0.28,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",24,-0.04,0.02,"from_dataset",58,5,1976,7.07106781186548,0.04,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",25,-0.3,0.021,"from_dataset",58,6,1976,6.90065559342354,0.3,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",26,0.07,0.006,"from_dataset",58,7,1976,12.9099444873581,0.07,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",27,0,0.007,"from_dataset",58,8,1976,11.9522860933439,0,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",28,0.05,0.007,"from_dataset",58,9,1976,11.9522860933439,0.05,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",29,-0.08,0.007,"from_dataset",58,10,1976,11.9522860933439,0.08,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",30,-0.09,0.007,"from_dataset",58,11,1976,11.9522860933439,0.09,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",31,0.3,0.015,"from_dataset",71,1,1997,8.16496580927726,0.3,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",32,0.98,0.011,"from_dataset",71,2,1997,9.53462589245592,0.98,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",33,1.19,0.01,"from_dataset",71,3,1997,10,1.19,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",34,-0.07,0.001,"from_dataset",86,1,1997,31.6227766016838,0.07,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",35,-0.05,0.001,"from_dataset",86,2,1997,31.6227766016838,0.05,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",36,-0.01,0.001,"from_dataset",86,3,1997,31.6227766016838,0.01,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",37,0.02,0.001,"from_dataset",86,4,1997,31.6227766016838,0.02,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",38,-0.03,0.001,"from_dataset",86,5,1997,31.6227766016838,0.03,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",39,0,0.001,"from_dataset",86,6,1997,31.6227766016838,0,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",40,0.01,0.001,"from_dataset",86,7,1997,31.6227766016838,0.01,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",41,-0.1,0.001,"from_dataset",86,8,1997,31.6227766016838,0.1,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",42,0.5,0.01,"from_dataset",91,1,2000,10,0.5,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",43,0.66,0.011,"from_dataset",91,2,2000,9.53462589245592,0.66,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",44,0.2,0.01,"from_dataset",91,3,2000,10,0.2,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",45,0,0.009,"from_dataset",91,4,2000,10.5409255338946,0,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",46,0.05,0.013,"from_dataset",91,5,2000,8.77058019307029,0.05,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",47,0.07,0.013,"from_dataset",91,6,2000,8.77058019307029,0.07,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",48,-0.52,0.031,"from_dataset",108,1,2000,5.67961834247065,0.52,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",49,0.7,0.031,"from_dataset",108,2,2000,5.67961834247065,0.7,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",50,-0.03,0.03,"from_dataset",108,3,2000,5.77350269189626,0.03,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",51,0.27,0.03,"from_dataset",108,4,2000,5.77350269189626,0.27,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",52,-0.34,0.03,"from_dataset",108,5,2000,5.77350269189626,0.34,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",53,0.12,0.087,"from_dataset",644,1,1995,3.39031751810405,0.12,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",54,0.61,0.082,"from_dataset",644,2,1995,3.49215147884789,0.61,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",55,0.04,0.067,"from_dataset",644,3,1994,3.86333704643128,0.04,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",56,-0.05,0.067,"from_dataset",644,4,1994,3.86333704643128,0.05,"CRAN",NA,NA,"CRAN"
