"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","contrast","estimate","tratio","pvalue","precision","abs_yi","source","repo","branch","repo_license"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",18,0.2729172368421,1.92467049108507,"estimate",18,"control Pesticide - (PHE Semi-Pristine)",0.2729172368421,0.196721927816436,0.999999357561768,0.720811664710836,0.2729172368421,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",19,-8.08326397058823,1.95554755778694,"estimate",19,"PHE Pesticide - control Recovery",-8.08326397058823,-5.78032916632931,5.15858427085902e-06,0.715098404228989,8.08326397058823,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",20,-2.358085,4.15553856029727,"estimate",20,"PHE Pesticide - PHE Recovery",-2.358085,-1.15676675160157,0.941236420532332,0.490553458251749,2.358085,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",21,-7.08618125,2.01840444357296,"estimate",21,"PHE Pesticide - (control Semi-Pristine)",-7.08618125,-4.98778999449101,0.000111942505422569,0.703875588066705,7.08618125,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",22,-4.01708,3.32443084823783,"estimate",22,"PHE Pesticide - (PHE Semi-Pristine)",-4.01708,-2.20318937740581,0.362602072243101,0.548455439624257,4.01708,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",23,5.72517897058823,2.7866552698464,"estimate",23,"control Recovery - PHE Recovery",5.72517897058823,3.42963137948179,0.0215272312016627,0.599043522848933,5.72517897058823,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",24,0.997082720588229,0.649521153122096,"estimate",24,"control Recovery - (control Semi-Pristine)",0.997082720588229,1.23718469933058,0.917812682970761,1.24080447267274,0.997082720588229,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",25,4.06618397058823,1.95554755778694,"estimate",25,"control Recovery - (PHE Semi-Pristine)",4.06618397058823,2.90772166866912,0.0864741461070072,0.715098404228989,4.06618397058823,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",26,-4.72809625,2.84951215563242,"estimate",26,"PHE Recovery - (control Semi-Pristine)",-4.72809625,-2.80092223966256,0.111367799937114,0.592399581472683,4.72809625,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",27,-1.65899500000001,4.15553856029727,"estimate",27,"PHE Recovery - (PHE Semi-Pristine)",-1.65899500000001,-0.813825734472363,0.991788738634857,0.490553458251749,1.65899500000001,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",28,3.06910125,2.01840444357296,"estimate",28,"(control Semi-Pristine) - (PHE Semi-Pristine)",3.06910125,2.16026544718001,0.388075972377467,0.703875588066705,3.06910125,"GitHub","life-history-traits-analysis","main","MIT"
