Estimate_ID,Article.ID,N,Corrected_Effect_Size,Effect_size,SE_calc,Effect_value,df,P,SE,Sign,Predicted.direction,Match,Test_type,Effect_type,Level_of_Inference,Class,Order,Species,Species2,Common_name,Invert_Vert,Ecto_Endo,Stage,Sex,Field_Lab,Manipulation,Manipulation.characteristics,Relation_type,Relation,Relation_Cat_1,Relation_Cat_2,B_Trait,B_Category,P_Trait,P_Category,LH_Trait,LH_Category,Trait1_description,Trait2_description
29,20,226,0.174869152,0.174869152,0.065785799,2.67,1,0.009,NA,+,+,1,LMM,t,ID,Mammalia,Rodentia,Tamias striatus,Tamias_striatus,Eastern chipmunk,Vert,Endo,Juv,M,Field,N,NA,BxP,ActxHeartRate,ActxHeartRate,ActxMetab,Activity,Activity,HeartRate,Metabolism,NA,NA,Number of line crossed,Heart rate during handling
30,20,32,-0.4424513,-0.4424513,0.163731167,-2.83,1,0.007,1.014,-,+,-1,LMM,Reg,ID,Mammalia,Rodentia,Tamias striatus,Tamias_striatus,Eastern chipmunk,Vert,Endo,Adult,F,Field,N,NA,BxP,ActxCort,ActxCort,ActxHormones,Centrality,Activity,Cort,Hormones,NA,NA,Time in central zone of open field arena,Average faecal cortisol
31,20,34,0.2876637,0.2876637,0.169304607,1.902,1,0.028,1.086,+,+,1,LMM,Reg,ID,Mammalia,Rodentia,Tamias striatus,Tamias_striatus,Eastern chipmunk,Vert,Endo,Adult,M,Field,N,NA,BxP,ActxCort,ActxCort,ActxHormones,Centrality,Activity,Cort,Hormones,NA,NA,Time in central zone of open field arena,Average faecal cortisol
32,20,58,NA,?,NA,0,NA,>0.2,NA,?,+,NA,LMM,Reg,ID,Mammalia,Rodentia,Tamias striatus,Tamias_striatus,Eastern chipmunk,Vert,Endo,Adult,Both,Field,N,NA,BxP,ActxCort,ActxCort,ActxHormones,Activity,Activity,Cort,Hormones,NA,NA,Number of line crossed,Average faecal cortisol
33,20,58,NA,?,NA,0,NA,>0.3,NA,?,+,NA,LMM,Reg,ID,Mammalia,Rodentia,Tamias striatus,Tamias_striatus,Eastern chipmunk,Vert,Endo,Adult,Both,Field,N,NA,BxP,BoldxCort,BoldxCort,BoldxHormones,Vigilance,Boldness,Cort,Hormones,NA,NA,Scanning behavior,Average faecal cortisol
34,21,58,0.358571628,0.358571628,0.124744481,2.9,NA,0.005,NA,-,-,1,LMM,t,ID,Mammalia,Rodentia,Tamias striatus,Tamias_striatus,Eastern chipmunk,Vert,Endo,Adult,Both,Field,N,NA,BxP,ActxCort,ActxCort,ActxHormones,Activity,Activity,Cort,Hormones,NA,NA,Number of line crossed,Cortisol individual CV
35,21,162,-0.865726811,-0.865726811,0.039569329,143,NA,NA,NA,-,+,-1,F test,F test,P,Actinopterygii,Salmoniformes,Salmo trutta,Salmo_trutta,Brown trout,Vert,Ecto,Juv,Both,Lab,Y,food abundance (low/high),BxLH,ActxGR,ActxGR,ActxGR,Activity,Activity,NA,NA,GR,GR,activity in home range,Growth Rate
36,21,162,0.473761543,0.473761543,0.069621746,15,NA,NA,NA,+,+,1,F test,F test,P,Actinopterygii,Salmoniformes,Salmo trutta,Salmo_trutta,Brown trout,Vert,Ecto,Juv,Both,Lab,Y,food abundance (low/high),BxLH,AggrxGR,AggrxGR,AggrxGR,Aggression,Aggression,NA,NA,GR,GR,aggressiveness toward co-specifics,Growth Rate
37,22,2896,-0.278,-0.278,0.017856024,-0.278,NA,NA,NA,-,+,-1,MLMM,Corr,P,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Ecto,Juv,Both,Field,N,NA,BxP,DocilityxBreathRate,DocilityxBreathRate,DocilityxMetab,Docility,Docility,BreathRate,Metabolism,NA,NA,Docility struggle rate during handling,breath rate
38,22,2896,-0.503,-0.503,0.016066024,-0.503,NA,NA,NA,-,+,-1,MLMM,Corr,G,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Ecto,Juv,Both,Field,N,NA,BxP,DocilityxBreathRate,DocilityxBreathRate,DocilityxMetab,Docility,Docility,BreathRate,Metabolism,NA,NA,Docility struggle rate during handling,breath rate
39,22,2853,-0.372,-0.372,0.017384342,-0.372,NA,NA,NA,-,+,-1,MLMM,Corr,P,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Ecto,Juv,Both,Field,N,NA,BxP,DocilityxBreathRate,DocilityxBreathRate,DocilityxMetab,Docility,Docility,BreathRate,Metabolism,NA,NA,Docility struggle rate during handling,breath rate
40,22,2853,-0.429,-0.429,0.016917476,-0.429,NA,NA,NA,-,+,-1,MLMM,Corr,G,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Ecto,Juv,Both,Field,N,NA,BxP,DocilityxBreathRate,DocilityxBreathRate,DocilityxMetab,Docility,Docility,BreathRate,Metabolism,NA,NA,Docility struggle rate during handling,breath rate
41,24,23,-0.009758536,-0.009758536,0.2182075,0.002,NA,NA,NA,+,-,-1,F test,F test,P,Actinopterygii,Perciformes,Dicentrarchus labrax,Dicentrarchus_labrax,European sea bass,Vert,Ecto,Adult,Both,Lab,Y,oxygen level of water (condition: normoxia).,BxP,BoldxRMR,BoldxRMR,BoldxMetab,Boldness,Boldness,RMR,Metabolism,NA,NA,Boldness latency to emerge from shelter,RMR
42,24,23,0.105639805,0.105639805,0.216996843,0.237,NA,NA,NA,+,+,1,F test,F test,P,Actinopterygii,Perciformes,Dicentrarchus labrax,Dicentrarchus_labrax,European sea bass,Vert,Ecto,Adult,Both,Lab,Y,oxygen level of water (condition: normoxia).,BxP,ExploxRMR,ExploxRMR,ExploxMetab,Exploration,Exploration,RMR,Metabolism,NA,NA,exploration distance covered novel environment,RMR
43,29,12,0.66,0.66,0.237571042,-0.66,NA,0.019,NA,-,-,1,Bivariate,Corr,P,Actinopterygii,Esociformes,Esox lucius,Esox_lucius,Northern pikes,Vert,Ecto,Adult,Both,Lab,N,NA,BxP,attackxRMR,ForxBreathRate,ForxMetab,PreyAggression,Foraging,BreathRate(resting),Metabolism,NA,NA,Latency to attack prey,Breathing rate at rest
44,29,12,0.46,0.46,0.280784615,-0.46,NA,0.136,NA,-,-,1,Bivariate,Corr,P,Actinopterygii,Esociformes,Esox lucius,Esox_lucius,Northern pikes,Vert,Ecto,Adult,Both,Lab,N,NA,BxP,attackxAMR,ForxBreathRate,ForxMetab,PreyAggression,Foraging,BreathRate(active),Metabolism,NA,NA,Latency to attack prey,Breathing rate after exertion
48,30,44,0.04,0.04,0.154179858,0.04,NA,NA,NA,+,+,1,Bivariate,Corr,P,Mammalia,Rodentia,Marmota marmota,Marmota_marmota,Alpine marmot,Vert,Endo,Adult,Both,Field,N,NA,BxP,ActxCort,ActxCort,ActxHormones,Activity,Activity,Cort,Hormones,NA,NA,exploration distance covered novel environment,Blood baseline cortisol
49,30,90,0.5,0.5,0.092318618,0.5,NA,NA,NA,+,+,1,Bivariate,Corr,P,Mammalia,Rodentia,Marmota marmota,Marmota_marmota,Alpine marmot,Vert,Endo,Adult,Both,Field,N,NA,BxP,ActxBreathRate,ActxBreathRate,ActxMetab,Activity,Activity,BreathRate,Metabolism,NA,NA,exploration distance covered novel environment,Breath rate during handling
50,30,102,0.55,0.55,0.083516465,0.55,NA,NA,NA,+,+,1,Bivariate,Corr,P,Mammalia,Rodentia,Marmota marmota,Marmota_marmota,Alpine marmot,Vert,Endo,Adult,Both,Field,N,NA,BxP,ActxHeartRate,ActxHeartRate,ActxMetab,Activity,Activity,HeartRate,Metabolism,NA,NA,exploration distance covered novel environment,Heart rate during handling
45,30,40,-0.14,0.14,0.160623784,0.14,NA,NA,NA,+,-,-1,Bivariate,Corr,P,Mammalia,Rodentia,Marmota marmota,Marmota_marmota,Alpine marmot,Vert,Endo,Adult,Both,Field,N,NA,BxP,DocilityxCort,DocilityxCort,DocilityxHormones,Docility,Docility,Cort,Hormones,NA,NA,Docility struggle rate during handling,Blood baseline cortisol
46,30,111,-0.57,-0.57,0.078699288,-0.57,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Mammalia,Rodentia,Marmota marmota,Marmota_marmota,Alpine marmot,Vert,Endo,Adult,Both,Field,N,NA,BxP,DocilityxBreathRate,DocilityxBreathRate,DocilityxMetab,Docility,Docility,BreathRate,Metabolism,NA,NA,Docility struggle rate during handling,Breath rate during handling
47,30,111,0.12,0.12,0.095090493,0.12,NA,NA,NA,+,+,1,Bivariate,Corr,P,Mammalia,Rodentia,Marmota marmota,Marmota_marmota,Alpine marmot,Vert,Endo,Adult,Both,Field,N,NA,BxP,DocilityxHeartRate,DocilityxHeartRate,DocilityxMetab,Docility,Docility,BreathRate,Metabolism,NA,NA,Docility struggle rate during handling,Heart rate during handling
51,32,538,-0.04,0.04,0.043158853,0.04,NA,0.403,0.047,+,-,-1,Animal model,Corr,P,Insecta,Orthopetra,Gryllus integer,Gryllus_integer,Field crickets,Invert,Ecto,Adult,Both,Lab,N,NA,BxLH,BoldxMaturation,BoldxMaturation,BoldxMaturationRate,Boldness,Boldness,NA,NA,Maturation,MaturationRate,Overall Boldness PC score,Maturation time
52,32,538,0.02,-0.02,0.043184782,-0.02,NA,0.639,0.047,-,-,1,Animal model,Corr,P,Insecta,Orthopetra,Gryllus integer,Gryllus_integer,Field crickets,Invert,Ecto,Adult,Both,Lab,N,NA,BxLH,BoldxMaturation,BoldxMaturation,BoldxMaturationRate,Boldness,Boldness,NA,NA,Maturation,MaturationRate,Recovery from freezing PC score,Maturation time
53,32,538,-0.12,0.12,0.042881301,0.12,NA,0.024,0.054,+,-,-1,Animal model,Corr,P,Insecta,Orthopetra,Gryllus integer,Gryllus_integer,Field crickets,Invert,Ecto,Adult,Both,Lab,N,NA,BxP,BoldxImmuno,BoldxImmuno,BoldxImmunity,Boldness,Boldness,ImmuneResponse,Immunity,NA,NA,Overall Boldness PC score,Encapsulation reponse to nylon filament
54,32,538,0.004,0.004,0.043193076,-0.004,NA,1,0.054,-,-,1,Animal model,Corr,P,Insecta,Orthopetra,Gryllus integer,Gryllus_integer,Field crickets,Invert,Ecto,Adult,Both,Lab,N,NA,BxP,BoldxImmuno,BoldxImmuno,BoldxImmunity,Boldness,Boldness,ImmuneResponse,Immunity,NA,NA,Recovery from freezing PC score,Encapsulation reponse to nylon filament
55,32,538,-0.05,0.05,0.043139396000000003,0.05,NA,NA,0.282,+,-,-1,Animal model,Corr,G,Insecta,Orthopetra,Gryllus integer,Gryllus_integer,Field crickets,Invert,Ecto,Adult,Both,Lab,N,NA,BxLH,BoldxMaturation,BoldxMaturation,BoldxMaturationRate,Boldness,Boldness,NA,NA,Maturation,MaturationRate,Overall Boldness PC score,Maturation time
56,32,538,-0.04,0.04,0.043158853,0.04,NA,NA,0.281,+,-,-1,Animal model,Corr,G,Insecta,Orthopetra,Gryllus integer,Gryllus_integer,Field crickets,Invert,Ecto,Adult,Both,Lab,N,NA,BxLH,BoldxMaturation,BoldxMaturation,BoldxMaturationRate,Boldness,Boldness,NA,NA,Maturation,MaturationRate,Recovery from freezing PC score,Maturation time
57,32,538,0.1,-0.1,0.042976912,-0.1,NA,NA,0.32,-,-,1,Animal model,Corr,G,Insecta,Orthopetra,Gryllus integer,Gryllus_integer,Field crickets,Invert,Ecto,Adult,Both,Lab,N,NA,BxP,BoldxImmuno,BoldxImmuno,BoldxImmunity,Boldness,Boldness,ImmuneResponse,Immunity,NA,NA,Overall Boldness PC score,Encapsulation reponse to nylon filament
58,32,538,-0.82,0.82,0.024722339,0.82,NA,NA,0.271,+,-,-1,Animal model,Corr,G,Insecta,Orthopetra,Gryllus integer,Gryllus_integer,Field crickets,Invert,Ecto,Adult,Both,Lab,N,NA,BxP,BoldxImmuno,BoldxImmuno,BoldxImmunity,Boldness,Boldness,ImmuneResponse,Immunity,NA,NA,Recovery from freezing PC score,Encapsulation reponse to nylon filament
61,33,592,-0.26,-0.26,0.039753478,-0.26,NA,NA,0.15,-,+,-1,MLMM,Corr,ID,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Endo,Juv,Both,Field,N,NA,BxP,ActxBreathRate,ActxBreathRate,ActxMetab,Activity,Activity,BreathRate,Metabolism,NA,NA,exploration distance covered novel environment,breath rate
62,33,592,0.05,0.05,0.041117855,0.05,NA,NA,0.041,+,+,1,MLMM,Corr,P,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Endo,Juv,Both,Field,N,NA,BxP,ActxBreathRate,ActxBreathRate,ActxMetab,Activity,Activity,BreathRate,Metabolism,NA,NA,exploration distance covered novel environment,breath rate
67,33,592,0.13,-0.13,0.040819985,-0.13,NA,NA,0.16,-,-,1,MLMM,Corr,ID,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Endo,Juv,Both,Field,N,NA,BxP,ActxHaemato,ActxHaemato,ActxImmunity,Activity,Activity,Haematocrits,Immunity,NA,NA,exploration distance covered novel environment,haematocrite
68,33,592,-0.015,0.015,0.041164717,0.015,NA,NA,0.04,+,-,-1,MLMM,Corr,P,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Endo,Juv,Both,Field,N,NA,BxP,ActxHaemato,ActxHaemato,ActxImmunity,Activity,Activity,Haematocrits,Immunity,NA,NA,exploration distance covered novel environment,haematocrite
69,33,592,-0.17,0.17,0.04057009,0.17,NA,NA,0.18,+,-,-1,MLMM,Corr,ID,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Endo,Juv,Both,Field,N,NA,BxP,ActxImmuno,ActxImmuno,ActxImmunity,Activity,Activity,ImmuneResponse,Immunity,NA,NA,exploration distance covered novel environment,immune response to Brucella abortus antigens
70,33,592,-0.065,0.065,0.041082286,0.065,NA,NA,0.04,+,-,-1,MLMM,Corr,P,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Endo,Juv,Both,Field,N,NA,BxP,ActxImmuno,ActxImmuno,ActxImmunity,Activity,Activity,ImmuneResponse,Immunity,NA,NA,exploration distance covered novel environment,immune response to Brucella abortus antigens
59,33,592,-0.054,-0.054,0.04110928,-0.054,NA,NA,0.12,-,+,-1,MLMM,Corr,ID,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Endo,Juv,Both,Field,N,NA,BxP,DocilityxBreathRate,DocilityxBreathRate,DocilityxMetab,Docility,Docility,BreathRate,Metabolism,NA,NA,Docility struggle rate during handling,breath rate
60,33,592,0.019,0.019,0.041161917,0.019,NA,NA,0.03,+,+,1,MLMM,Corr,P,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Endo,Juv,Both,Field,N,NA,BxP,DocilityxBreathRate,DocilityxBreathRate,DocilityxMetab,Docility,Docility,BreathRate,Metabolism,NA,NA,Docility struggle rate during handling,breath rate
63,33,592,-0.1,0.1,0.040962985,0.1,NA,NA,0.13,+,-,-1,MLMM,Corr,ID,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Endo,Juv,Both,Field,N,NA,BxP,DocilityxHaemato,DocilityxHaemato,DocilityxImmunity,Docility,Docility,Haematocrits,Immunity,NA,NA,Docility struggle rate during handling,haematocrite
64,33,592,-0.014,0.014,0.041165314,0.014,NA,NA,0.035,+,-,-1,MLMM,Corr,P,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Endo,Juv,Both,Field,N,NA,BxP,DocilityxHaemato,DocilityxHaemato,DocilityxImmunity,Docility,Docility,Haematocrits,Immunity,NA,NA,Docility struggle rate during handling,haematocrite
65,33,592,0.044,-0.044,0.041129477,-0.044,NA,NA,0.15,-,-,1,MLMM,Corr,ID,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Endo,Juv,Both,Field,N,NA,BxP,DocilityxImmuno,DocilityxImmuno,DocilityxImmunity,Docility,Docility,ImmuneResponse,Immunity,NA,NA,Docility struggle rate during handling,immune response to Brucella abortus antigens
66,33,592,0.021,-0.021,0.04116027,-0.021,NA,NA,0.035,-,-,1,MLMM,Corr,P,Aves,Passeriformes,Cyanistes caeruleus,Cyanistes_caeruleus,Blue tit,Vert,Endo,Juv,Both,Field,N,NA,BxP,DocilityxImmuno,DocilityxImmuno,DocilityxImmunity,Docility,Docility,ImmuneResponse,Immunity,NA,NA,Docility struggle rate during handling,immune response to Brucella abortus antigens
