Author,year,animal,Amniotes,Environment,Reproductive Unit,N,Zr
"Dziminski, M.A. & Alford, R.A.",2005,Litoria_caerulea,N,Wild,Single,15,0.627024571
"Dziminski, M.A. & Alford, R.A.",2005,Litoria_fallax,N,Wild,Single,28,0.331647109
"Dziminski, M.A. & Alford, R.A.",2005,Litoria_gracilenta,N,Wild,Single,9,0.151140436
"Dziminski, M.A. & Alford, R.A.",2005,Litoria_nasuta,N,Wild,Single,10,0.202732554
"Dziminski, M.A. & Alford, R.A.",2005,Litoria_rothii,N,Wild,Single,11,0.13990573
"Dziminski, M.A. & Alford, R.A.",2005,Litoria_rubella,N,Wild,Single,8,-0.107411176
"Ford, N.B. & Seigel, R.A.",1989,Ovophis_okinavensis,Y,Captive,Single,23,0.361358597
"Ford, N.B. & Seigel, R.A.",1989,Pantherophis_guttatus,Y,Captive,Single,21,0.290769289
"Ford, N.B. & Seigel, R.A.",1989,Trimeresurus_flavoviridis,Y,Captive,Single,15,0.344695054
"Barbosa, M. & Magurran, A.E.",2010,Poecilia_reticulata,N,Captive,Single,140,0.126525618
"Blanchard, P., Hanuise, N., Dana, S. & Weimerskirch, H.",2007,Diomedea_exulans,Y,Wild,Single,24,0.670851994
"Blanchard, P., Hanuise, N., Dana, S. & Weimerskirch, H.",2007,Diomedea_exulans,Y,Wild,Single,24,0.563543576
"Bluhm, C.K. & Gowaty, P.A.",2004,Anas_platyrhynchos,Y,Wild,Single,49,0.031633324
"Braccini, J.M., Hamlett, W.C., Gillanders, B.M. & Walker, T.I.",2007,Squalus_megalops,N,Wild,Single,72,1.08068089
"Campbell, M.T. & Slade, N.A.",1995,Sigmodon_hispidus,Y,Wild,Single,29,0.439514992
"Hodge, S.J., Bell, M.B., Mwanguhya, F., Kyabulima, S., Waldick, R.C. & Russell, A.F.",2009,Mungos_mungo,Y,Wild,Single,39,0.565313859
"Fox, C.W.",1994,Callosobruchus_maculatus,N,Captive,Single,195,0.211079993
"Crespi, E.J. & Lessig, H.",2004,Plethodon_cinereus,N,Wild,Single,10,0.070114671
"Bowman, J.E. & Lee, P.C.",1995,Macaca_mulatta,Y,Wild,Single,31,0.558683512
"Bowman, J.E. & Lee, P.C.",1995,Macaca_mulatta,Y,Wild,Single,31,0.576339755
"Fox, C.W., Thakar, M.S. & Mousseau, T.A.",1997,Stator_limbatus,N,Captive,Single,69,0.301844856
"Fox, C.W., Thakar, M.S. & Mousseau, T.A.",1997,Stator_limbatus,N,Captive,Single,55,0.132774772
"Johnston, T.A. & Leggett, W.C.",2002,Sander_vitreus,N,Wild,Single,1100,0.287921593
"Du, W.G., Ji, X., Zhang, Y.P., Lin, Z.H. & Xu, X.F.",2010,Takydromus_septentrionalis,Y,Wild,Single,276,0.533858787
"Dziminski, M.A. & Roberts, J.D.",2009,Crinia_georgiana,N,Wild,Single,33,0.151140436
"Ferreiro, R. & Galin, P.",2004,Anguis_fragilis,Y,Captive,Single,68,0.550146994
"Gignac, A. & Gregory, P.T.",2005,Thamnophis_ordinoides,Y,Wild,Single,22,0.290769289
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,Single,50,0.502396767
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,Single,50,0.33834603
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,Single,50,0.239475208
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,Single,50,0.345074339
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,Single,50,0.343950879
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,Single,50,-0.090244188
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,Single,50,-0.13073985
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,Single,50,0.269328615
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,Single,50,0.111459277
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,Single,50,0.184050431
"Baron, J.P., Tully, T. & Le Galliard, J.F.",2010,Vipera_ursinii,Y,Wild,Single,22,0.46208261
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,41,0.201691104
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,45,-0.107411176
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,40,0.359757028
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,35,0.221555354
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,40,0.228916547
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,44,0.288767472
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,36,0.253280612
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,45,0.328308421
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,43,0.042024722
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,38,0.292027659
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,38,-0.087220503
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,44,-0.123625981
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,37,0.272554287
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,44,0.384951707
"Green, B.S & Chambers, R.C.",2007,Microgadus_tomcod,N,Wild,Single,9,-0.376885901
"Green, B.S & Chambers, R.C.",2007,Microgadus_tomcod,N,Wild,Single,14,0.151140436
"Gregerson, F, Haugen, T.O. & Larsen, À.N.",2006,Salmo_trutta,N,Wild,Single,149,0.677666068
"Huang, W.B., Chiu, T.S. & Shih, C.T.",1999,Acanthopagrus_schlegelii,N,Captive,Single,16,0.970673268
"Huang, W.B., Chiu, T.S. & Shih, C.T.",1999,Acanthopagrus_schlegelii,N,Captive,Single,14,0.680739596
"Kudo, S.",2001,Elasmucha_dorsalis,N,Wild,Single,28,0.540015897
"Kudo, S.",2001,Sastragala_scutellata,N,Wild,Single,28,0.847955755
"Ito, K.",1997,Haminoea_callidegenita,N,Wild,Single,19,0.399251788
"Ilano, A.S., Fujinaga, K. & Nakao, S.",2004,Buccinum_isaotakii,N,Wild,Single,15,1.388738201
"Lislevand, T., Byrkjedal, I., Borge, T. & S_tre, G.P.",2005,Vanellus_vanellus,Y,Wild,Single,40,0.275928605
"Macip-Rios, R., Robleda, P.B., Casas-Andreu, Arias-Cisneros, M.L & Sustauta-Rodrigues, V.H.",2012,Kinosternon_integrum,Y,Wild,Single,57,0.354092529
"Marshall, D.S. & Keough, M.J.",2003,Ciona_intestinalis,N,Wild,Single,20,0.444301479
"Marshall, D.S. & Keough, M.J.",2003,Pyura_fissa,N,Wild,Single,6,1.240424867
"Marshall, D.S. & Keough, M.J.",2003,Styela_plicata,N,Wild,Single,15,0.522442776
"Marshall, D.S. & Keough, M.J.",2003,Uniophora_granifera,N,Wild,Single,13,0.945115112
"Moland, E., Olsen, E.M. & Stenseth, N.C.",2010,Homarus_gammarus,N,Wild,Single,45,0.730107893
"Nasution, S., Roberts, D., Farnsworth, K., Parker, G.A. & Elwood, R.W.",2010,Buccinum_undatum,N,Captive,Single,39,1.119108888
"Parker, T.H.",2005,Gallus_gallus,Y,Captive,Single,71,0.719740369
"Goodman, B.A.",2006,Carlia_rubrigularis,Y,Wild,Single,67,0.484700279
"Goodman, B.A.",2006,Carlia_rubrigularis,Y,Wild,Single,67,0.411800034
"Higashitani, T., Takatsu, T., Nakaya, M., Joh, M. & Takahashi, T.",2007,Pseudopleuronectes_yokohamae,N,Wild,Single,129,0.202732554
"Ji, X. & Du, W.G., Qu, Y.F. & Lin, L.H.",2009,Naja_atra,Y,Wild,Single,50,0.368294101
"Kim, J.Y. & Thorp, R.W.",2001,Megachile_apicalis,N,Captive,Single,28,0.522984278
"Kim, J.Y. & Thorp, R.W.",2001,Megachile_apicalis,N,Captive,Single,23,0.213171347
Kudo S,2006,Elasmucha_signoreti,N,Wild,Single,24,0.647522845
"Madsen, T. & Shine, R.",1992,Vipera_berus,Y,Wild,Single,31,0.342828254
"Madsen, T. & Shine, R.",1996,Liasis_fuscus,Y,Wild,Single,56,1.071431684
"Madsen, T. & Shine, R.",1996,Liasis_fuscus,Y,Wild,Single,56,0.354092529
"McKee, D.",1997,Daphnia_magna,N,Wild,Single,320,0.020002667
"Morag, N., Bouskila, A., Rapp, O., Segoli, M., Keasae, T. & Harari, A.R.",2011,Copidosoma_koehleri,N,Captive,Single,44,-0.174968993
"Ojanguren, A.F., Reyes-Gavilin, F.G. & Braa, F.",1996,Salmo_trutta,N,Captive,Single,14,1.124128029
"Ojanguren, A.F., Reyes-Gavilin, F.G. & Braa, F.",1996,Salmo_trutta,N,Captive,Single,14,1.504733651
"Radder, R.S. & Shanbhag, B.A.",2004,Calotes_versicolor,Y,Wild,Single,25,0.320545409
"Rowe, J.W.",1995,Chrysemys_picta,Y,Wild,Single,24,0.725005088
"Rowe, J.W.",1995,Chrysemys_picta,Y,Wild,Single,33,0.950479381
"Sato, T. & Suzuki, N",2010,Birgus_latro,N,Wild,Single,30,0.410864204
"Sinervo, B.",1990,Sceloporus_occidentalis,Y,Wild,Single,455,0.213171347
"Sinervo, B.",1990,Sceloporus_occidentalis,Y,Wild,Single,305,-0.090244188
"Sinervo, B.",1990,Sceloporus_occidentalis,Y,Wild,Single,192,0.459896681
"Sinervo, B.",1990,Sceloporus_occidentalis,Y,Wild,Single,392,0.331647109
"Weatherhead, P.J., Brown, G.P., Prosser, M.R. & Kissner, K.J.",1999,Nerodia_sipedon,Y,Wild,Single,75,0.100335348
"Wilkinson, L.R. & Gibbons, J.W.",2005,Kinosternon_subrubrum,Y,Wild,Single,635,0.463508743
"Wilkinson, L.R. & Gibbons, J.W.",2005,Pseudemys_floridana,Y,Wild,Single,79,0.644575156
"Wilkinson, L.R. & Gibbons, J.W.",2005,Sternotherus_odoratus,Y,Wild,Single,46,0.41214104
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_nerka,N,Captive,Life,1755,0.465835009
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_nerka,N,Captive,Life,202,0.724309978
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_kisutch,N,Captive,Life,495,0.637561429
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_masou,N,Wild,Life,153,0.562950598
"Hendry, A.P., Day, T. & Cooper, A.B.",2001,Oncorhynchus_nerka,N,Wild,Life,586,0.864852155
"Valentinsson, D.",2002,Buccinum_undatum,N,Wild,Single,27,0.100335348
"Walker, S.E., Rypstra, A.L. & Marshall, S.D.",2003,Hogna_helluo,N,Captive,Single,17,-0.095287349
"Brown, G.P. & Shine, R.",2005,Tropidonophis_mairii,Y,Wild,Single,318,0.758173745
"Stelzer, C.P.",2002,Synchaeta_pectinata,N,Captive,Single,55,0.472230804
"Ji, X. & Wang, Z.W.",2005,Naja_atra,Y,Wild,Single,150,0.554653789
"Noriyuki, S., Kishi, S. & Nishida, T.",2010,Ypthima_multistriata,N,Wild,Single,22,0.04997919
"Noriyuki, S., Kishi, S. & Nishida, T.",2010,Ypthima_multistriata,N,Wild,Single,20,0.295673048
"Wederkind, C., Strahm, D. & Schochrer, L.",1998,Schistocephalus_solidus,N,Captive,Single,40,0.59014516
"Wederkind, C., Strahm, D. & Schochrer, L.",1998,Schistocephalus_solidus,N,Captive,Single,22,0.354092529
"Luiselli, L., Capula, M. & Shine, R.",1996,Coronella_austriaca,Y,Wild,Single,28,0.549306144
"Newbrey, J.L. & Reed, W.L.",2009,Xanthocephalus_xanthocephalus,Y,Wild,Single,26,0.444089923
"Newbrey, J.L. & Reed, W.L.",2009,Xanthocephalus_xanthocephalus,Y,Wild,Single,13,-0.32745015
"Fox, C.W.",1997,Stator_limbatus,N,Captive,Single,30,0.027006564
"Fox, C.W.",1997,Stator_limbatus,N,Captive,Single,30,0.349576602
"Herbinnger, C.M., Doyle, R.W., Pitman, E.R., Paquet, D., Mesa, K.A., Morris, D.B., Wright, J.M. & Cook, D.",1995,Oncorhynchus_mykiss,N,Captive,Single,10,0.133792642
"Koskela, E., Huitu, O, Koivula, M., Korpimpski, E & Mappes, T.",2004,Microtus_agrestis,Y,Wild,Single,77,0.184050431
"Koskela, E., Huitu, O, Koivula, M., Korpimpski, E & Mappes, T.",2004,Microtus_agrestis,Y,Wild,Single,86,0.447692024
"Rollison, N.",NA,Chelydra_serpentina,Y,Wild,Single,23,0.344678115
"Rollison, N.",NA,Glyptemys_inscupta,Y,Wild,Single,25,0.522196577
"Shibata, F. & Kawamichi, T.",2009,Apodemus_argenteus,Y,Wild,Single,43,0.114977405
"Rowe, J.W., Coval, K.A. & Campbell, K.C.",2003,Chrysemys_picta,Y,Wild,Single,144,0.459896681
"Uller, T. & Olsson, M.",2010,Ctenophorus_fordi,Y,Wild,Life,95,0.435611223
"Rollison, N., Brooks, R.J.",2008,Chrysemys_picta,Y,Wild,Single,87,0.551432007
"Heath, D.D., Fox, C.W. & Heath, J.W.",1999,Oncorhynchus_tshawytscha,N,Captive,Life,60,0.828231231
"Heath, D.D., Fox, C.W. & Heath, J.W.",1999,Oncorhynchus_tshawytscha,N,Captive,Life,80,0.752007519
"Dziminski, M.A., Vercoe, P.E. & Roberts, J.D.",2006,Crinia_georgiana,N,Wild,Single,33,1.095840663
"Lampert, W.",1993,Daphnia_magna,N,Captive,Single,37,0.651091991
"Zuniga-Vega, J.J., Suarez-Rodriguez, M., Espinosa-Perez, H. & Johnson, J.B.",2011,Poecilia_butleri,N,Wild,Single,220,0.086039338
"Cox, R.M., Duryea, M.C., Najarro, M. & Calsbeek, R.",2010,Anolis_sagrei,Y,Captive,Single,119,-0.054827127
"Cox, R.M., Duryea, M.C., Najarro, M. & Calsbeek, R.",2010,Anolis_sagrei,Y,Captive,Single,133,0.083862047
"Halstead, B.J., Wylie, G.D., Casazza, M.L. & Coates, P.S.",2011,Thamnophis_gigas,Y,Wild,Single,11,0.164364313
"Lim, J.N.",NA,Gambusia_affinis,N,Captive,Single,32,-0.321652106
"Arcos-Garcia, J. L., Martinez, G. D. M., Gama, R. B., Barros, O. V. E. & Morales, G. E. L.",2010,Iguana_iguana,Y,Captive,Single,137,0.171666664
"Bager, A., De Freitas, T. R. O. & Krause, L.",2007,Trachemys_dorbignyi,Y,Wild,Single,30,0.517922794
"Bauerfeind, S. S. & Fischer, K.",2008,Araschnia_levana,N,Captive,Single,48,0.510070337
"Bauerfeind, S. S. & Fischer, K.",2008,Lycaena_tityrus,N,Captive,Single,60,0.050041729
"Bauerfeind, S. S. & Fischer, K.",2008,Papilio_machaon,N,Captive,Single,216,0.309519604
"Bauerfeind, S. S. & Fischer, K.",2008,Pararge_aegeria,N,Captive,Single,51,-0.070114671
"Bauerfeind, S. S. & Fischer, K.",2008,Pieris_napi,N,Captive,Single,139,-0.080171325
"Bidwell, M. T. & Dawson, R. D.",2005,Tachycineta_bicolor,Y,Wild,Single,21,0.13073985
"Blomqvist, D. & Johansson, O. C.",1995,Vanellus_vanellus,Y,Wild,Single,41,0.55281188
"Bradshaw, W. E., Holzapfel, C. M. & Oneill, T.",1993,Wyeomyia_smithii,N,Captive,Single,41,0.011000444
"Brana, F., Bea, A. & Arrayago, M. J.",1991,Iberolacerta_monticola,Y,Captive,Single,12,0.662462707
"Brana, F., Bea, A. & Arrayago, M. J.",1991,Podarcis_muralis,Y,Captive,Single,9,0.907644983
"Brooks, R. J., Shilton, C. M., Brown, G. P. & Quinn, N. W. S.",1992,Clemmys_insculpta,Y,Wild,Single,15,0.510070337
"Brown, C. A., Sanford, B. M. & Swerdon, R. R.",2003,Pirata_sedentarius,N,Captive,Single,16,0.290769289
"Brown, C. A., Sanford, B. M. & Swerdon, R. R.",2003,Pirata_sedentarius,N,Captive,Single,6,-0.504277676
"Brown, C. A., Sanford, B. M. & Swerdon, R. R.",2003,Pirata_sedentarius,N,Captive,Single,18,-0.04475121
"Brown, C. A.",2004,Centruroides_exilicauda,N,Captive,Single,18,-0.335576173
"Brown, C. A.",2004,Centruroides_exilicauda,N,Captive,Single,14,0.083862047
"Brown, C. A.",2004,Diplocentrus_peloncillensis,N,Captive,Single,6,0.290769289
"Brown, C. A.",2004,Pseudouroctonus_apacheanus,N,Captive,Single,4,0.562597262
"Brown, C. A.",2004,Vaejovis_sp,N,Captive,Single,18,0.100335348
"Castilla, A. M., Barbadillo, L. J. & Bauwens, D.",1992,Acanthodactylus_erythrurus,Y,Captive,Single,14,1.477507746
"Castilla, A. M. & Bauwens, D.",2000a,Podarcis_atrata,Y,Captive,Single,82,0.084198409
"Castilla, A. M. & Bauwens, D.",2000b,Podarcis_lilfordi,Y,Captive,Single,11,0.194412895
"Castro-Franco, R., Bustos-Zagal, M. G. & Mendez-De la Cruz, F. R.",2011,Ctenosaura_pectinata,Y,Captive,Single,28,0.185084885
"Clark, D. R., Bunck, C. M. & Hall, R. J.",1997,Diadophis_punctatus,Y,Captive,Single,47,0.151140436
"Clark, P. J., Ewert, M. A. & Nelson, C. E.",2001,Sternotherus_odoratus,Y,Wild,Single,70,0.638865496
"Congdon, J. D. & Sels, R. C. V.",1991,Emydoidea_blandingii,Y,Wild,Single,215,0.230100828
"Daza, J. M. & Paez, V. P.",2007,Trachemys_callirostris,Y,Wild,Single,54,0.372816843
"Doughty, P.",1996,Gehyra_dubia,Y,Captive,Single,20,0.484700279
"Doughty, P.",1996,Gehyra_variegata,Y,Captive,Single,27,0.266108407
"Doughty, P.",1996,Oedura_lesueurii,Y,Captive,Single,20,0.202732554
"Du, W. G., Ji, X. & Shine, R.",2005,Takydromus_septentrionalis,Y,Captive,Single,89,0.100335348
"Du, Y., Lin, C. X., Lin, L. H., Qiu, Q. B. & Ji, X.",2011,Leiolepis_reevesii,Y,Captive,Single,200,0.21640302
"Dufva, R.",1996,Parus_major,Y,Wild,Single,73,0.3884231
"Formanowicz, D. R. & Shaffer, L. R.",1993,Centruroides_vittatus,N,Captive,Single,34,0.051044286
"Fox, S. F. & McCoy, J. K.",2000,Uta_stansburiana,Y,Captive,Single,22,0.250032246
"Fuller, R. C.",1998,Etheostoma_caeruleum,N,Captive,Single,19,0.599930345
"Galan, P.",1997,Podarcis_bocagei,Y,Wild,Single,42,0.689241911
"Galan, P.",2007,Podarcis_hispanica,Y,Captive,Single,34,0.522984278
"Guill, J. M. & Heins, D. C.",1996,Etheostoma_zonale,N,Captive,Single,46,0.279022348
"Guill, J. M. & Heins, D. C.",2000,Etheostoma_zonale,N,Captive,Single,21,0.738186311
"Heins, D. C.",1991,Etheostoma_simoterum,N,Wild,Single,9,1.527524425
"Heins, D. C.",1991,Notropis_longirostris,N,Wild,Single,33,1.644366079
"Heins, D. C.",1991,Notropis_longirostris,N,Wild,Single,15,0.450962426
"Heins, D. C.",1991,Notropis_longirostris,N,Wild,Single,20,0.199647858
"Heins, D. C.",1991,Notropis_longirostris,N,Wild,Single,21,0.193878675
"Heins, D. C.",1991,Notropis_longirostris,N,Wild,Single,17,0.184104004
"Heins, D. C.",1991,Notropis_longirostris,N,Wild,Single,24,0.066646011
"Heins, D. C.",1991,Notropis_longirostris,N,Wild,Single,10,0.172831238
"Heins, D. C., Baker, J. A., Toups, M. A. & Birden, E. L.",2010,Gasterosteus_aculeatus,N,Wild,Single,19,0.143986873
"Heins, D. C., Baker, J. A., Toups, M. A. & Birden, E. L.",2010,Gasterosteus_aculeatus,N,Wild,Single,60,0.094278338
"Heins, D. C., Baker, J. A., Toups, M. A. & Birden, E. L.",2010,Gasterosteus_aculeatus,N,Wild,Single,193,0.143986873
"Heins, D. C., Baker, J. A., Toups, M. A. & Birden, E. L.",2010,Gasterosteus_aculeatus,N,Wild,Single,160,0.427225483
"Hendrickx, F. & Maelfait, J. P.",2003,Pirata_piraticus,N,Captive,Single,28,0.020002667
"Herreras, M. V., Montero, F. E., Marcogliese, D. J., Raga, J. A. & Balbuena, J. A.",2007,Anisakis_simplex,N,Wild,Single,50,0.447692024
"Herrmann, P. A. & Herrmann, H. W.",2005,Chamaeleo_montium,Y,Captive,Single,49,0.331647109
"Iverson, J. B., Higgins, H., Sirulnik, A. & Griffiths, C.",1997,Chelydra_serpentina,Y,Wild,Single,21,0.662462707
"Iverson, J. B., Barthelmess, E. L., Smith, G. R. & Derivera, C. E.",1991,Kinosternon_hirtipes,Y,Wild,Single,20,0.576339755
"Iverson, J. B. & Smith, G. R.",1993,Chrysemys_picta,Y,Wild,Single,203,0.887183863
"Iverson, J. B. & Moler, P. E.",1997,Apalone_ferox,Y,Wild,Single,41,0.213171347
"Iverson, J. B.",2002,Sternotherus_carinatus,Y,Wild,Single,41,0.741416144
"Iverson, J. B., Hines, K. N. & Valiulis, J. M.",2004,Cyclura_cychlura,Y,Wild,Single,74,0.020002667
"Iverson, J. B.",2010,Kinosternon_scorpioides,Y,Wild,Single,9,0.677666068
"Iverson, J. B., Young, C. A., Akre, T. S. B. & Griffiths, C. M.",2012,Pituophis_catenifer,Y,Wild,Single,39,0.276863823
"Ji, X., Qiu, Q. B. & Diong, C. H.",2002,Calotes_versicolor,Y,Captive,Single,20,0.174968993
"Jones, R. L.",2006,Graptemys_oculifera,Y,Wild,Single,23,0.324976786
"Jonsson, N. & Jonsson, B.",1999,Salmo_trutta,N,Captive,Single,98,1.139603205
"Jonsson, N. & Jonsson, B.",1999,Salmo_trutta,N,Captive,Single,22,0.854089825
"Jonsson, N. & Jonsson, B.",1999,Salmo_trutta,N,Captive,Single,150,0.165628475
"Jordan, M. A. & Snell, H. L.",2002,Microlophus_delanonis,Y,Wild,Single,325,0.156094669
"Kamosawa, M. & Ota, H.",1996,Ramphotyphlops_braminus,Y,Captive,Single,19,-0.340585495
"Kaplan, R. H. & King, E. G.",1997,Bombina_orientalis,N,Captive,Single,25,0.154210913
"Kaplan, R. H. & King, E. G.",1997,Bombina_orientalis,N,Captive,Single,44,-0.056058649
"Kaplan, R. H. & King, E. G.",1997,Bombina_orientalis,N,Captive,Single,13,0.39422868
"Kaplan, R. H. & King, E. G.",1997,Bombina_orientalis,N,Captive,Single,35,0.494777456
"Kaplan, R. H. & King, E. G.",1997,Bombina_orientalis,N,Captive,Single,26,0.292027659
"Kaplan, R. H. & King, E. G.",1997,Bombina_orientalis,N,Captive,Single,32,0.091252446
"Kaplan, R. H. & King, E. G.",1997,Bombina_orientalis,N,Captive,Single,91,0.251150666
"Kaplan, R. H. & King, E. G.",1997,Bombina_orientalis,N,Captive,Single,76,0.235245578
"Kaplan, R. H. & King, E. G.",1997,Bombina_orientalis,N,Captive,Single,240,0.330533423
"Kaplan, R. H. & King, E. G.",1997,Bombina_orientalis,N,Captive,Single,292,0.293115727
"Kennett, R.",1999,Chelodina_rugosa,Y,Wild,Single,69,0.276518633
"Kennett, R.",1999,Elseya_dentata,Y,Wild,Single,21,0.250032246
"Kiefer, M. C., Van Sluys, M. & Rocha, C. F. D.",2008,Tropidurus_torquatus,Y,Wild,Single,76,0.566792795
"King, R. B.",1993,Storeria_dekayi,Y,Captive,Single,25,0.549306144
"Knapp, C. R., Iverson, J. B. & Owens, A. K.",2006,Cyclura_cychlura,Y,Wild,Single,32,0.522909599
"Knapp, C. R., Iverson, J. B. & Owens, A. K.",2006,Cyclura_cychlura,Y,Wild,Single,70,0.032334261
"Lardies, M. A. & Wehrtmann, I. S.",1997,Betaeus_emarginatus,N,Captive,Single,38,0.798343288
"Lichtenbelt, W. D. V. & Albers, K. B.",1993,Iguana_iguana,Y,Captive,Single,68,0.287682072
"Lichtenbelt, W. D. V. & Albers, K. B.",1993,Iguana_iguana,Y,Captive,Single,28,0.40005965
"Lin, L. H., Mao, F., Chen, C. & Ji, X.",2012,Ptyas_korros,Y,Captive,Single,77,0.338707115
"Lin, Z. H., Ji, X., Luo, L. G. & Ma, X. M.",2005,Deinagkistrodon_acutus,Y,Captive,Single,16,0.502518451
"Litzgus, J. D., Bolton, F. & Schulte-Hostedde, A. I.",2008,Clemmys_guttata,Y,Wild,Single,11,0.920216883
"Ljubisavljevic, K., Dzukic, G. & Kalezic, M. L.",2008,Darevskia_praticola,Y,Captive,Single,12,-0.070114671
"Ljubisavljevic, K., Glasnovic, P., Kalan, K. & Krystufek, B.",2012,Iberolacerta_horvathi,Y,Captive,Single,16,0.59014516
"Luddecke, H.",2002,Hyla_labialis,N,Captive,Single,85,0.07980228
"Luddecke, H.",2002,Hyla_labialis,N,Captive,Single,25,0.070828884
"Luddecke, H.",2002,Hyla_labialis,N,Captive,Single,15,0.250032246
"Luiselli, L., Capula, M. & Shine, R.",1997,Natrix_natrix,Y,Captive,Single,18,0.070114671
"Brown, G. & Shine, R.",2002,Tropidonophis_mairii,Y,Wild,Single,207,0.176711629
"Diaz-Paniagua, C., Keller, C. & Andreu, D.",1996,Testudo_graeca,Y,Wild,Single,30,0.702575493
"Hepp, G & Kennamer, R.",1993,Aix_sponsa,Y,Wild,Single,93,0.665894488
"Jones, H., Todd, C & Lambert, W.",1996,Adalaria_proxima,N,Wild,Single,59,0.22260549
"Klingenberg, C. & Spence, J.",1997,Gerris_buenoi,N,Wild,Single,195,0.134810788
"Macip-Ri_os, R. Cisneros, M.,  Aguilar-Miguel X., & Casas-Andreu, G.",2009,Kinosternon_integrum,Y,Wild,Single,20,0.167832308
"Mallory, M., McNicol, D. & Weatherhead, P.",1994,Bucephala_clangula,Y,Wild,Single,23,0.110446916
