Number,Study,Year,N,N_target,N_control,Comparison_condition,Study_ID,Age_mean,Follow_up,Per_Males,Per_Minorities,Per_Conduct_disorder,Per_Severe_cannabis_users,Outcome_measure,d,v
27,Phan,2011,101,38,63,CT,3,16.29,6,89,33,NA,57,Substance abuse,0.14,0.0422858350496704
28,Phan,2011,58,20,38,CT,3,16.48,6,89,33,NA,100,Substance abuse,-0.19,0.0766269963702359
29,Phan,2011,43,18,25,CT,3,16.02,6,89,33,NA,0,Substance abuse,0.38,0.0972346253229974
30,Grichting,2011,60,30,30,CT,3,16.07,6,92,67,NA,33,Substance abuse,0,0.0666666666666667
31,Grichting,2011,20,8,12,CT,3,16.15,6,92,67,NA,100,Substance abuse,0.28,0.210293333333333
32,Grichting,2011,40,22,18,CT,3,16.03,6,92,67,NA,0,Substance abuse,-0.21,0.101561351010101
33,Tossmann,2010,120,59,61,CT,3,16.21,6,83,30,NA,55,Substance abuse,0.51,0.0344263451653237
34,Tossmann,2010,66,33,33,CT,3,16.42,6,83,30,NA,100,Substance abuse,0.7,0.0643181818181818
35,Tossmann,2010,54,26,28,CT,3,15.96,6,83,30,NA,0,Substance abuse,0.26,0.0748017501017501
36,Verbanck,2010,60,30,30,CBT,3,16.6,6,93,37,NA,65,Substance abuse,0.65,0.0701875
37,Verbanck,2010,39,19,20,CBT,3,16.67,6,93,37,NA,100,Substance abuse,0.53,0.10623286099865
38,Verbanck,2010,21,11,10,CBT,3,16.48,6,93,37,NA,0,Substance abuse,0.83,0.207311471861472
39,Henderson et al. I,2010,45,22,23,CBT,5,15.53,12,NA,NA,NA,100,Substance abuse,0.51,0.0918228063241107
40,Henderson et al. I,2010,178,90,88,CBT,5,15.36,12,81,NA,NA,0,Substance abuse,0.33,0.022780646351152
41,Henderson et al. II,2010,50,25,25,CT,4,15.52,3,NA,NA,NA,100,Substance abuse,0.23,0.080529
42,Henderson et al.,2010,104,51,53,CT,4,15.36,3,NA,NA,NA,0,Substance abuse,-0.34,0.039031536896326
43,Henderson et al.,2009,83,40,43,Group,6,13.73,6,74,84,39,2,Family,0.44,0.0494220790137293
44,Liddle et al.,2009,83,40,43,Group,6,13.73,6,74,97,39,2,Substance abuse,1.07,0.0551528019052956
45,Liddle et al.,2009,83,40,43,Group,6,13.73,6,74,97,39,2,Delinquency,0.31,0.048834729616139
46,Liddle et al.,2009,83,40,43,Group,6,13.73,6,74,97,39,2,Internalizing,0.54,0.0500124404595125
47,Liddle et al.,2008,224,112,112,CBT,5,15.4,12,81,97,50,21,Substance abuse,0.59,0.0186341517857143
48,Hogue et al.,2008,136,74,62,CBT,5,15.5,6,81,80,50,NA,Substance abuse,0.47,0.0304546781245192
49,Hogue et al.,2008,136,74,62,CBT,5,15.5,6,81,80,50,NA,Externalizing,0.56,0.0307954869480486
50,Hogue et al.,2008,136,74,62,CBT,5,15.5,6,81,80,50,NA,Internalizing,0.76,0.0317660751833427
51,Hogue et al.,2004,51,25,26,CBT,5,15.2,12,67,75,69,NA,Substance abuse,0.47,0.0806272247360483
52,Hogue et al.,2004,51,25,26,CBT,5,15.2,12,67,75,69,NA,Externalizing,0.62,0.0822301659125188
53,Hogue et al.,2004,51,25,26,CBT,5,15.2,12,67,75,69,NA,Internalizing,0.74,0.0838301659125189
54,Dennis et al. I,2004,200,100,100,CT,7,16,9,83,39,53,NA,Substance abuse,-0.06,0.020009
55,Dennis et al. II,2004,200,100,100,CT,7,16,9,83,39,53,NA,Substance abuse,-0.26,0.020169
56,Liddle et al. I,2001,152,47,105,Group,8,15.9,12,80,49,NA,1,Substance abuse,0.25,0.0310059973737535
57,Liddle et al. I,2001,152,47,105,Group,8,15.9,12,80,49,NA,1,Externalizing,-0.1,0.0308333000053325
58,Liddle et al. I,2001,152,47,105,Group,8,15.9,12,80,49,NA,1,Family,0.61,0.0320244184263851
59,Liddle et al. II,2001,152,47,105,CT,8,15.9,12,80,49,NA,1,Substance abuse,0.85,0.0331770500053325
60,Liddle et al. II,2001,152,47,105,CT,8,15.9,12,80,49,NA,1,Externalizing,0.35,0.0312033657948062
61,Liddle et al. II,2001,152,47,105,CT,8,15.9,12,80,49,NA,1,Family,0.31,0.031116523689543
