"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","year","outcome","hrs","ets","homework","type","ntotal","log_ntotal","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",33,0.74,0.0855,"from_dataset",1986,"verbal",50,0,1,2,50,3.91202300542815,3.41992784028385,0.74,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",34,-0.23,0.2517,"from_dataset",1987,"verbal",18,0,0,2,16,2.77258872223978,1.99323448464218,0.23,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",35,0.33,0.2534,"from_dataset",1987,"math",18,0,0,2,16,2.77258872223978,1.98653716632253,0.33,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",36,0.13,0.0933,"from_dataset",1985,"verbal",15,0,0,2,43,3.76120011569356,3.27385302235826,0.13,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",37,0.13,0.0933,"from_dataset",1985,"math",15,0,0,2,43,3.76120011569356,3.27385302235826,0.13,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",38,0.13,0.0445,"from_dataset",1960,"verbal",30,0,0,2,90,4.49980967033027,4.74045463139977,0.13,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",39,0.34,0.0451,"from_dataset",1960,"math",30,0,0,2,90,4.49980967033027,4.70881609348011,0.34,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",40,0.06,0.0527,"from_dataset",1979,"verbal",20,0,1,2,76,4.33073334028633,4.35606841869032,0.06,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",41,0.09,0.0385,"from_dataset",1962,"verbal",10,1,1,2,104,4.64439089914137,5.09647191437625,0.09,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",42,-0.11,0.0401,"from_dataset",1962,"math",10,1,1,2,100,4.60517018598809,4.99376169438922,0.11,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",43,-0.1,0.1066,"from_dataset",1988,"verbal",6,0,0,3,38,3.63758615972639,3.06281945915844,0.1,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",44,-0.08,0.1065,"from_dataset",1988,"math",6,0,0,3,38,3.63758615972639,3.06425706517948,0.08,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",45,-0.14,0.1007,"from_dataset",1988,"verbal",6,0,0,3,41,3.71357206670431,3.15126745831627,0.14,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",46,-0.29,0.1015,"from_dataset",1988,"math",6,0,0,3,41,3.71357206670431,3.13882410287172,0.29,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",47,-0.16,0.1092,"from_dataset",1988,"verbal",6,0,0,3,37,3.61091791264422,3.02613766334401,0.16,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",48,-0.34,0.1104,"from_dataset",1988,"math",6,0,0,3,37,3.61091791264422,3.00964632714423,0.34,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",49,-0.07,0.1089,"from_dataset",1988,"verbal",6,0,0,3,37,3.61091791264422,3.03030303030303,0.07,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",50,-0.06,0.1089,"from_dataset",1988,"math",6,0,0,3,37,3.61091791264422,3.03030303030303,0.06,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",51,-0.02,0.0186,"from_dataset",1958,"verbal",15,1,1,3,586,6.37331978957701,7.33235575106767,0.02,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",52,0.21,0.0186,"from_dataset",1958,"math",15,1,1,3,586,6.37331978957701,7.33235575106767,0.21,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",53,0.06,0.0096,"from_dataset",1953,"verbal",15,1,1,3,418,6.03548143252476,10.2062072615966,0.06,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",54,0.17,0.0097,"from_dataset",1953,"math",15,1,1,3,418,6.03548143252476,10.1534616513362,0.17,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",55,0.06,0.0154,"from_dataset",1955,"verbal",4.5,1,1,3,268,5.59098698051086,8.0582296402538,0.06,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",56,0.2,0.0126,"from_dataset",1955,"math",15,1,1,3,319,5.76519110278484,8.90870806374748,0.2,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",57,0.15,0.0067,"from_dataset",1978,"verbal",40,0,0,3,876,6.77536609093639,12.2169444356305,0.15,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",58,0.03,0.0067,"from_dataset",1978,"math",40,0,0,3,876,6.77536609093639,12.2169444356305,0.03,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",59,0.17,0.1029,"from_dataset",1976,"verbal",14,0,0,3,41,3.71357206670431,3.11739843194275,0.17,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",60,-0.19,0.1029,"from_dataset",1976,"math",14,0,0,3,41,3.71357206670431,3.11739843194275,0.19,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",61,0.02,0.0385,"from_dataset",1961,"verbal",NA,1,1,3,120,4.78749174278205,5.09647191437625,0.02,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",62,0.1,0.0386,"from_dataset",1961,"math",NA,1,1,3,120,4.78749174278205,5.08986598559288,0.1,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",63,-0.04,0.032,"from_dataset",1987,"verbal",63,0,1,3,140,4.9416424226093,5.59016994374947,0.04,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",64,0.6,0.0333,"from_dataset",1987,"math",63,0,1,3,140,4.9416424226093,5.47996624351191,0.6,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",65,0.4,0.1699,"from_dataset",1992,"verbal",18,0,0,3,25,3.2188758248682,2.42606990530017,0.4,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",66,0.54,0.0797,"from_dataset",1988,"verbal",27,0,1,3,55,4.00733318523247,3.54218173487907,0.54,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",67,0.57,0.08,"from_dataset",1988,"math",27,0,1,3,55,4.00733318523247,3.53553390593274,0.57,"CRAN",NA,NA,"CRAN"
