Study,LAT DD,LONG DD,Year,Species,Common name,Family,Sample_size_control,Sample_size_treatment,Stressor,control_level_stressor,treatment_level_stressor,Replicates,measurement,control_mean,control variance type,control_variance,treatment_mean,treatment variance type,treatment_variance,developmental_stage,duration expt,acclimatisation,notes,...25
"11. H. R. Clark, C. J. Gobler, Diurnal fluctuations in CO2 and dissolved oxygen concentrations do not provide a refuge from hypoxia and acidification for early-life-stage bivalves. Marine Ecology Progress Series 558, 1-14 (2016).",-71.972581,41.051595,2016,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,10,10,pH + O2,"pH = ~7.9, dissolved oxygen = ~7","acidified and hypoxic (pH = ~7.2, DO = ~2 mg l?1)",4,growth um/day,8.5,sd,0.4,7.5,sd,0.39,Egg/larva,14 days,no,"fig 2, 3 and 4",NA
"12. G. H. Dickinson et al., Interactive effects of salinity and elevated CO2 levels on juvenile eastern oysters, Crassostrea virginica. Journal of Experimental Biology 215, 29-43 (2012).",-77.405722,34.714513,2012,Crassostrea virginica,Eastern oyster,Ostreidae,50,50,pH,salinity of 30 and a PCO2 of ?400 ? atm =pH8.36,"salinity levels 30, pCO2 700–800 ? atm (hypercapnia) = pH8.1",NA,dry mass mg,5.5,se,0.37,3.6,se,0.39,juvenile,11 weeks,yes,fig2,NA
"12. G. H. Dickinson et al., Interactive effects of salinity and elevated CO2 levels on juvenile eastern oysters, Crassostrea virginica. Journal of Experimental Biology 215, 29-43 (2012).",-77.405722,34.714513,2012,Crassostrea virginica,Eastern oyster,Ostreidae,50,50,pH,salinity of 30 and a PCO2 of ?400 ? atm =pH 8.36,"salinity levels 15, pCO2 400 ? atm =pH 8.11",NA,dry mass mg,5.5,se,0.37,3.6,se,0.29,juvenile,11 weeks,yes,fig2,NA
"12. G. H. Dickinson et al., Interactive effects of salinity and elevated CO2 levels on juvenile eastern oysters, Crassostrea virginica. Journal of Experimental Biology 215, 29-43 (2012).",-77.405722,34.714513,2012,Crassostrea virginica,Eastern oyster,Ostreidae,50,50,salinity + pH,salinity of 30 and a PCO2 of ?400 ? atm =pH 8.36,"salinity levels 15, pCO2 700–800 ? atm (hypercapnia) = pH 7.97",NA,dry mass mg,5.5,se,0.37,3.3,se,0.24,juvenile,11 weeks,yes,fig2,NA
"13. G. H. Dickinson, O. B. Matoo, R. T. Tourek, I. M. Sokolova, E. Beniash, Environmental salinity modulates the effects of elevated CO2 levels on juvenile hard-shell clams, Mercenaria mercenaria. Journal of Experimental Biology 216, 2607-2618 (2013).",-77.423766,34.523521,2013,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,10,10,pH,CO2 395 pH of 8.2 and salinity 32 ,"CO2 800 ?atm pH 7.7, salinity 32  ",10,shell mass mg,2.9,95%CI,0.19,3.87,95%CI,0.1,juvenile,21 weeks,yes for 7 days,fig2,NA
"13. G. H. Dickinson, O. B. Matoo, R. T. Tourek, I. M. Sokolova, E. Beniash, Environmental salinity modulates the effects of elevated CO2 levels on juvenile hard-shell clams, Mercenaria mercenaria. Journal of Experimental Biology 216, 2607-2618 (2013).",-77.423766,34.523521,2013,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,10,10,salinity,CO2 395 pH of 8.2 and salinity 32 ,"CO2 395, pH 8.2, salinity 16 ",10,shell mass mg,2.9,95%CI,0.19,3.2,95%CI,0.13,juvenile,21 weeks,yes for 7 days,fi2,NA
"13. G. H. Dickinson, O. B. Matoo, R. T. Tourek, I. M. Sokolova, E. Beniash, Environmental salinity modulates the effects of elevated CO2 levels on juvenile hard-shell clams, Mercenaria mercenaria. Journal of Experimental Biology 216, 2607-2618 (2013).",-77.423766,34.523521,2013,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,10,10,salinity + pH,CO2 395 pH of 8.2 and salinity 32 ,"CO2 800 ?atm pH 7.7, salinity 16 ",10,shell mass mg,2.9,95%CI,0.19,2.64,95%CI,0.16,juvenile,21 weeks,yes for 7 days,fig2,NA
"17. C. J. Gobler, E. L. DePasquale, A. W. Griffith, H. Baumann, Hypoxia and Acidification Have Additive and Synergistic Negative Effects on the Growth, Survival, and Metamorphosis of Early Life Stage Bivalves. Plos One 9, (2014).",-72.631502,40.918072,2014,Argopecten irradians,bay scallops,Pectinidae,60,60,O2,"O2 260.5, pH 8.0","O2 31.8, pH 8.3 low O2",4,length um metamorphosed larvae,1129,sd,61.7,441.1,sd,34,juvenile,"30–40 days post-spawning, ",no,"fig 2, 4 and 5 and text",NA
"17. C. J. Gobler, E. L. DePasquale, A. W. Griffith, H. Baumann, Hypoxia and Acidification Have Additive and Synergistic Negative Effects on the Growth, Survival, and Metamorphosis of Early Life Stage Bivalves. Plos One 9, (2014).",-72.631502,40.918072,2014,Argopecten irradians,bay scallops,Pectinidae,60,60,pH,"O2 260.5, pH 8.0","O2 263.3,  pH 7.5 low pH",4,length um metamorphosed larvae,1129,sd,61.7,996.4,sd,37,juvenile,"30–40 days post-spawning, ",no,"fig 2, 4 and 5 and text",NA
"17. C. J. Gobler, E. L. DePasquale, A. W. Griffith, H. Baumann, Hypoxia and Acidification Have Additive and Synergistic Negative Effects on the Growth, Survival, and Metamorphosis of Early Life Stage Bivalves. Plos One 9, (2014).",-72.631502,40.918072,2014,Argopecten irradians,bay scallops,Pectinidae,60,60,pH + O2,"O2 260.5, pH 8.0","O2 36.5, pH 7.5 low O2 low pH",4,length um metamorphosed larvae,1129,sd,61.7,447.3,sd,33.9,juvenile,"30–40 days post-spawning, ",no,"fig 2, 4 and 5 and text",NA
"17. C. J. Gobler, E. L. DePasquale, A. W. Griffith, H. Baumann, Hypoxia and Acidification Have Additive and Synergistic Negative Effects on the Growth, Survival, and Metamorphosis of Early Life Stage Bivalves. Plos One 9, (2014).",-72.631502,40.918072,2014,Mercenaria mercenaria,hard clams,Veneridae,60,60,O2,"O2 289.7, pH 8.0","O2 39.4, pH 7.9 low O2",4,growth rate um/day,11.7,sd,0.6,12,sd,1.8,juvenile,"30–40 days post-spawning, ",no,"fig 2, 4 and 5 and text",NA
"17. C. J. Gobler, E. L. DePasquale, A. W. Griffith, H. Baumann, Hypoxia and Acidification Have Additive and Synergistic Negative Effects on the Growth, Survival, and Metamorphosis of Early Life Stage Bivalves. Plos One 9, (2014).",-72.631502,40.918072,2014,Mercenaria mercenaria,hard clams,Veneridae,60,60,pH,"O2 289.7, pH 8.0","O2 288.7,  pH 7.5 low pH",4,growth rate um/day,11.7,sd,0.6,12.6,sd,1.5,juvenile,"30–40 days post-spawning, ",no,"fig 2, 4 and 5 and text",NA
"17. C. J. Gobler, E. L. DePasquale, A. W. Griffith, H. Baumann, Hypoxia and Acidification Have Additive and Synergistic Negative Effects on the Growth, Survival, and Metamorphosis of Early Life Stage Bivalves. Plos One 9, (2014).",-72.631502,40.918072,2014,Mercenaria mercenaria,hard clams,Veneridae,60,60,pH + O2,"O2 289.7, pH 8.0","O2 45.5, pH 7.5 low O2 low pH",4,growth rate um/day,11.7,sd,0.6,7.3,sd,1.5,juvenile,"30–40 days post-spawning, ",no,"fig 2, 4 and 5 and text",NA
"19. X. Y. Guo et al., Early development of undulated surf clam, Paphia undulate under elevated pCO(2). Journal of Experimental Marine Biology and Ecology 484, 23-30 (2016).",117.503354,23.812498,2016,Paphia undulate,undulated surf clam/ Paratapes undulatus / undulated venus,Veneridae,200,200,pH,pH 8.19,pH 7.91,3,larval shell length um,205.4,sd,5.8,249,sd,3.3,Egg/larva,10 days,no,fig2,NA
"2. M. J. S. Apines-Amar et al., Effects of Water Quality, Stocking Density, Water Exchange Frequency, and Food, on Growth and Survival of the Green Mussel, Perna viridis Larvae. Israeli Journal of Aquaculture-Bamidgeh 72, (2020).",122.704091,11.589452,2020,Perna viridis,green mussel,Mytilidae,45,45,salinity,30,33,3,shell length ?m,245,SD,5,229,SD,5,Egg/larva,15 days,no,fig 3,NA
"2. M. J. S. Apines-Amar et al., Effects of Water Quality, Stocking Density, Water Exchange Frequency, and Food, on Growth and Survival of the Green Mussel, Perna viridis Larvae. Israeli Journal of Aquaculture-Bamidgeh 72, (2020).",122.704091,11.589452,2020,Perna viridis,green mussel,Mytilidae,45,45,salinity,30,33,3,shell height ?m,225,SD,1,208,SD,4,Egg/larva,15 days,no,FIG 3,NA
"21. C. Hiebenthal, E. E. R. Philipp, A. Eisenhauer, M. Wahl, Interactive effects of temperature and salinity on shell formation and general condition in Baltic Sea Mytilus edulis and Arctica islandica. Aquatic Biology 14, 289-298 (2012).",10.174113,54.379433,2012,Arctica islandica,ocean quahog,Arcticidae,28,28,salinity,"temp 10, sal 15",temp 10 sal 35 hypersalinity,4,growth rate mm/week,0.02,95% CI,0,0.11,95% CI,0.07,NA,15 weeks,no,"fig 1and 4. The chose the best grown, which is deeply suspicious and the controls don't reflect the natural environmental conditions very well.",NA
"21. C. Hiebenthal, E. E. R. Philipp, A. Eisenhauer, M. Wahl, Interactive effects of temperature and salinity on shell formation and general condition in Baltic Sea Mytilus edulis and Arctica islandica. Aquatic Biology 14, 289-298 (2012).",10.174113,54.379433,2012,Arctica islandica,ocean quahog,Arcticidae,28,28,temperature,"temp 10, sal 15",temp 16 sal 15 warm,4,growth rate mm/week,0.02,95% CI,0,0.02,95% CI,0.01,NA,15 weeks,no,"fig 1and 4. The chose the best grown, which is deeply suspicious and the controls don't reflect the natural environmental conditions very well.",NA
"21. C. Hiebenthal, E. E. R. Philipp, A. Eisenhauer, M. Wahl, Interactive effects of temperature and salinity on shell formation and general condition in Baltic Sea Mytilus edulis and Arctica islandica. Aquatic Biology 14, 289-298 (2012).",10.174113,54.379433,2012,Arctica islandica,ocean quahog,Arcticidae,28,28,temperature + salinity,"temp 10, sal 15",temp 16 sal 35 warm and hypersal,4,growth rate mm/week,0.02,95% CI,0,0.04,95% CI,0.02,NA,15 weeks,no,"fig 1and 4. The chose the best grown, which is deeply suspicious and the controls don't reflect the natural environmental conditions very well.",NA
"21. C. Hiebenthal, E. E. R. Philipp, A. Eisenhauer, M. Wahl, Interactive effects of temperature and salinity on shell formation and general condition in Baltic Sea Mytilus edulis and Arctica islandica. Aquatic Biology 14, 289-298 (2012).",10.174113,54.379433,2012,Mytilus edulis,blue mussel,Mytilidae,40,40,salinity,"temp 10, sal 15",temp 10 sal 35 hypersalinity,4,growth rate mm/week,0.17,95% CI,0.02,0.08,95% CI,0.03,juvenile,15 weeks,no,"fig 1and 4. The chose the best grown, which is deeply suspicious and the controls don't reflect the natural environmental conditions very well.",NA
"21. C. Hiebenthal, E. E. R. Philipp, A. Eisenhauer, M. Wahl, Interactive effects of temperature and salinity on shell formation and general condition in Baltic Sea Mytilus edulis and Arctica islandica. Aquatic Biology 14, 289-298 (2012).",10.174113,54.379433,2012,Mytilus edulis,blue mussel,Mytilidae,40,40,temperature,"temp 20, sal 15",temp 25 sal 15 warm temp,4,growth rate mm/week,0.77,95% CI,0.015,0.019,95% CI,0.014,juvenile,15 weeks,no,"fig 1and 4. The chose the best grown, which is deeply suspicious and the controls don't reflect the natural environmental conditions very well.",NA
"21. C. Hiebenthal, E. E. R. Philipp, A. Eisenhauer, M. Wahl, Interactive effects of temperature and salinity on shell formation and general condition in Baltic Sea Mytilus edulis and Arctica islandica. Aquatic Biology 14, 289-298 (2012).",10.174113,54.379433,2012,Mytilus edulis,blue mussel,Mytilidae,40,40,temperature + salinity,"temp 20, sal 15",temp 25 sal 35 warm and hyper sal,4,growth rate mm/week,0.77,95% CI,0.015,0.112,95% CI,0.05,NA,15 weeks,no,"fig 1and 4. The chose the best grown, which is deeply suspicious and the controls don't reflect the natural environmental conditions very well.",NA
"22. C. Hiebenthal, E. E. R. Philipp, A. Eisenhauer, M. Wahl, Effects of seawater pCO(2) and temperature on shell growth, shell stability, condition and cellular stress of Western Baltic Sea Mytilus edulis (L.) and Arctica islandica (L.). Marine Biology 160, 2073-2087 (2013).",10.174113,54.379433,2013,Arctica islandica,ocean quahog,Arcticidae,12,12,pH + temperature,temp 10,temp 15,4,growth rate mm/week,59.13,95% CI,2.5,48.69,95% CI,2.44,NA,13 weeks,yes,Table 1 fig4&5,NA
"22. C. Hiebenthal, E. E. R. Philipp, A. Eisenhauer, M. Wahl, Effects of seawater pCO(2) and temperature on shell growth, shell stability, condition and cellular stress of Western Baltic Sea Mytilus edulis (L.) and Arctica islandica (L.). Marine Biology 160, 2073-2087 (2013).",10.174113,54.379433,2013,Mytilus edulis,blue mussel,Mytilidae,40,40,pH,"temp 20, pH 7.85",temp 7.5 pH 7.63 (acidified),4,growth rate mm/week,0.12,95% CI,0.04,0.09,95% CI,0.04,juvenile,13 weeks,yes,Table 1 fig4&5,NA
"22. C. Hiebenthal, E. E. R. Philipp, A. Eisenhauer, M. Wahl, Effects of seawater pCO(2) and temperature on shell growth, shell stability, condition and cellular stress of Western Baltic Sea Mytilus edulis (L.) and Arctica islandica (L.). Marine Biology 160, 2073-2087 (2013).",10.174113,54.379433,2013,Mytilus edulis,blue mussel,Mytilidae,40,40,pH + temperature,"temp 20, pH 7.85",temp 25 pH 7.73 (warm and acidified),4,growth rate mm/week,0.12,95% CI,0.04,0.001,95% CI,0.001,juvenile,13 weeks,yes,Table 1 fig4&5,NA
"22. C. Hiebenthal, E. E. R. Philipp, A. Eisenhauer, M. Wahl, Effects of seawater pCO(2) and temperature on shell growth, shell stability, condition and cellular stress of Western Baltic Sea Mytilus edulis (L.) and Arctica islandica (L.). Marine Biology 160, 2073-2087 (2013).",10.174113,54.379433,2013,Mytilus edulis,blue mussel,Mytilidae,40,40,temperature,"temp 20, pH 7.85",temp 25 pH 7.98 (warm),4,growth rate mm/week,0.12,95% CI,0.04,0.03,95% CI,0.01,juvenile,13 weeks,yes,Table 1 fig4&5,NA
"23. Z. M. Huo et al., Larval development, juvenile survival, and burrowing rate of geoduck clams (Panopea japonica) under different pH conditions. Aquaculture International 27, 1331-1342 (2019).",122.755661,39.026801,2019,Panopea japonica,geoduck clams,Hiatellidae,30,30,pH,8,7.6,3,relative growth rate %,47.5,"might be sd, doesn't say",4.2,36.8,"might be sd, doesn't say",9.6,Egg/larva,16 days,no,table 1 and fig 3,NA
"24. A. Jansson, S. Lischka, T. Boxhammer, K. G. Schulz, J. Norkko, Survival and settling of larval Macoma balthica in a large-scale mesocosm experiment at different f CO2 levels. Biogeosciences 13, 3377-3385 (2016).",23.537757,59.790211,2016,Macoma balthica,Baltic tellin,Tellinidae,70,70,pH,7.94,7.43,1,shell length um,286.3,se,3.5,313.5,se,3,Egg/larva,measurements at 10 days,5 days between sealing microcosom and adding CO2,Fig 3,NA
"25. A. Jansson, J. Norkko, S. Dupont, A. Norkko, Growth and survival in a changing environment: Combined effects of moderate hypoxia and low pH on juvenile bivalve Macoma balthica. Journal of Sea Research 102, 41-47 (2015).",23.250815,59.844114,2015,Macoma balthica,Baltic tellin,Tellinidae,20,20,O2,"pH 7.85, O2 8.5 mg/l",pH 7.85 O2 3.0 (low O2),5,relative growth rate %,16.3,sd,1.3,40.1,sd,1.7,juvenile,29 days,no,fig 5,NA
"25. A. Jansson, J. Norkko, S. Dupont, A. Norkko, Growth and survival in a changing environment: Combined effects of moderate hypoxia and low pH on juvenile bivalve Macoma balthica. Journal of Sea Research 102, 41-47 (2015).",23.250815,59.844114,2015,Macoma balthica,Baltic tellin,Tellinidae,20,20,pH,"pH 7.85, O2 8.5",pH 7.35 (acid) O2 8.5,5,relative growth rate %,16.3,sd,1.3,16.9,sd,0,juvenile,29 days,no,fig 5,NA
"25. A. Jansson, J. Norkko, S. Dupont, A. Norkko, Growth and survival in a changing environment: Combined effects of moderate hypoxia and low pH on juvenile bivalve Macoma balthica. Journal of Sea Research 102, 41-47 (2015).",23.250815,59.844114,2015,Macoma balthica,Baltic tellin,Tellinidae,20,20,pH + O2,"pH 7.85, O2 8.5",pH 7.35 (acid) O2  3.0 (low O2),5,relative growth rate %,16.3,sd,1.3,29.9,sd,1.2,juvenile,29 days,no,fig 5,NA
"28. M. W. Kelly, J. L. Padilla-Gamino, G. E. Hofmann, High pCO(2) affects body size, but not gene expression in larvae of the California mussel (Mytilus californianus). Ices Journal of Marine Science 73, 962-969 (2016).",-119.843834,34.40481,2016,Mytilus californianus,California mussel,Mytilidae,30,30,pH,"350 µatm, pHtotal 8.1","1300 µatm, pHtotal 7.6",6,shell length um,110.5,se,0.6,106.5,se,0.6,Egg/larva,63h,no,Table 1 and fig1 (mislabelled),NA
"29. J. H. Kim et al., Effects of ocean acidification driven by elevated CO2 on larval shell growth and abnormal rates of the venerid clam, Mactra veneriformis. Chinese Journal of Oceanology and Limnology 34, 1191-1198 (2016).",126.279778,36.669922,2016,Mactra veneriformis,Venus mactra,Mactridae,15,15,pH,400*10^-6 atm,1200*10^-6 atm,3,shell length um,245.4,sd,4.6,228.5,sd,3.3,Egg/larva,22 days,1 day,fig1,NA
"32. H. Kurihara, T. Asai, S. Kato, A. Ishimatsu, Effects of elevated pCO(2) on early development in the mussel Mytilus galloprovincialis. Aquatic Biology 4, 225-233 (2009).",129.866265,32.747724,2009,Mytilus galloprovincialis,Mediterranean mussel,Mytilidae,100,100,pH,pH 8.1,pH 7.4,5,shell height um,85.5,sd,1.3,69.2,sd,1.9,Egg/larva,114h / 6 days,no,fig 4,"Thereafter, ~400 embryos were transferred from each dish into six 50 ml vials for each experimental group (control or high-CO2 group) … A total of 100 embryos or larvae from each 50 ml
vial were observed under a light microscope,"
"33. H. Kurihara, S. Kato, A. Ishimatsu, Effects of increased seawater pCO(2) on early development of the oyster Crassostrea gigas. Aquatic Biology 1, 91-98 (2007).",129.866265,32.747724,2007,Magallana gigas,Pacific oyster,Ostreidae,100,100,pH,8.2,7.4,5,shell height um,72.3,sd,1.6,56.7,sd,4.3,Egg/larva,48h,no,fig3,NA
"34. G. Le Moullac et al., Impact of pCO(2) on the energy, reproduction and growth of the shell of the pearl oyster Pinctada margaritifera. Estuarine Coastal and Shelf Science 182, 274-282 (2016).",-142.319439,-18.817561,2016,Pinctada margaritifera,black-lip pearl oyster,Pteriidae,9,9,pH,8.2,7.4,2,shell deposit rate um/day,4.6,se,2.2,3.5,se,1.1,Adult,100 days,4 months,fig 4,NA
"34. G. Le Moullac et al., Impact of pCO(2) on the energy, reproduction and growth of the shell of the pearl oyster Pinctada margaritifera. Estuarine Coastal and Shelf Science 182, 274-282 (2016).",-142.319439,-18.817561,2016,Pinctada margaritifera,black-lip pearl oyster,Pteriidae,9,9,pH,8.2,7.4,2,shell deposit rate um/day,1.9,se,1.7,0.8,se,0.5,Adult,100 days,4 months,fig 4,NA
"36. J. Q. Li et al., The potential of ocean acidification on suppressing larval development in the Pacific oyster Crassostrea gigas and blood cockle Arca inflata Reeve. Chinese Journal of Oceanology and Limnology 32, 1307-1313 (2014).",122.184693,37.482991,2014,Arca inflata,blood cockle,Arcidae,50,50,pH,8.2,7.9,3,shell length um,91.5,sd,2.8,92.1,sd,3.1,Egg/larva,120h post fertilasation,no,fig3 and 4,NA
"36. J. Q. Li et al., The potential of ocean acidification on suppressing larval development in the Pacific oyster Crassostrea gigas and blood cockle Arca inflata Reeve. Chinese Journal of Oceanology and Limnology 32, 1307-1313 (2014).",122.184693,37.482991,2014,Magallana gigas,Pacific oyster,Ostreidae,50,50,pH,8.2,7.9,3,shell length um,82.9,sd,2.9,84.9,sd,3.6,Egg/larva,120h post fertilasation,no,fig3 and 4,NA
"37. B. Michaelidis, C. Ouzounis, A. Paleras, H. O. Portner, Effects of long-term moderate hypercapnia on acid-base balance and growth rate in marine mussels Mytilus galloprovincialis. Marine Ecology Progress Series 293, 109-118 (2005).",23.007828,40.322503,2005,Mytilus galloprovincialis,Mediterranean mussel,Mytilidae,100,100,pH,8.05,7.3,2,shell length mm,26.5,se,2.6,20.2,se,2,juvenile,3 months/ 90 day,no,fig2,NA
"38. A. W. Miller, A. Reynolds, M. S. Minton, R. Smith, Evidence for stage-based larval vulnerability and resilience to acidification in Crassostrea virginica. Journal of Molluscan Studies 86, 342-351 (2020).",-76.119779,37.471316,2020,Crassostrea virginica,eastern oyster,Ostreidae,58,60,pH,280,800,3,shell height um,52,se,0.7,50.6,se,0.9,Egg/larva,3months,24h,fig2,NA
"4. P. Barros, P. Sobral, P. Range, L. Chicharo, D. Matias, Effects of sea-water acidification on fertilization and larval development of the oyster Crassostrea gigas. Journal of Experimental Marine Biology and Ecology 440, 200-206 (2013).",-7.623192,37.116544,2013,Magallana gigas,Pacific oyster,Ostreidae,50,50,pH,8.09,7.76,3,larval length ?m,94.3,SE,1.1,83.7,SE,2.6,Egg/larva,144 hours,no,"table 1, fig 4 and text",NA
"40. K. Nishida et al., Effects of elevated CO2 on shell C-13 and O-18 content and growth rates in the clam Scapharca broughtonii. Geochimica Et Cosmochimica Acta 235, 246-261 (2018).",138.528096,37.382121,2018,Scapharca broughtonii,Anadara broughtonii / blood clam,Arcidae,69,69,pH,"temp 17, pCO2   269 (pH 8.2)","temp 17, pCO2 1114 (pH 7.6)",1,shell height mm,27.2,se,0.4,27.1,se,0.4,juvenile,temp 17 for 44 days,41-51 days,table 2 and fig3,NA
"40. K. Nishida et al., Effects of elevated CO2 on shell C-13 and O-18 content and growth rates in the clam Scapharca broughtonii. Geochimica Et Cosmochimica Acta 235, 246-261 (2018).",138.528096,37.382121,2018,Scapharca broughtonii,Anadara broughtonii / blood clam,Arcidae,64,69,pH,"temp 25, pCO2   269 (pH 8.2)","temp 25, pCO2   269 (pH 7.6)",1,shell height mm,38.5,se,0.4,38.2,se,0.4,juvenile,temp 25 for 55 days,41-51 days,table 2 and fig3,NA
"41. K. Nishida et al., Thermal dependency of shell growth, microstructure, and stable isotopes in laboratory-reared Scapharca broughtonii (Mollusca: Bivalvia). Geochemistry Geophysics Geosystems 16, 2395-2408 (2015).",131.865721,33.995751,2015,Scapharca broughtonii,Anadara broughtonii / blood clam,Arcidae,7,5,temperature,21,25,1,"growth increment ,mm",1.49,se,0.96,1.39,se,0.22,juvenile,2 months,1 deg/ day,fig5,NA
