esid,studyid,effectsize,var,binge,sreport,males,age,followup
5526,8,0.004153749439865351,0.05012542009353638,0,0,67,15.899999618530273,34.28571319580078
3442,8,0.09690061211585999,0.05778970196843147,0,0,71,15.399999618530273,34.28571319580078
356,8,-0.0204461682587862,0.17693215608596802,0,1,60,15.399999618530273,34.28571319580078
576,9,1.0910282135009766,0.17673735320568085,1,1,77,16.200000762939453,51.42856979370117
530,9,1.0910282135009766,0.17673735320568085,1,1,69,16.899999618530273,51.42856979370117
491,9,0.724698543548584,0.16394592821598053,1,1,50,16,51.42856979370117
1087,9,0.8292670249938965,0.07239736616611481,1,1,50,16,51.42856979370117
545,9,1.270201563835144,0.1848732978105545,1,1,62,17.100000381469727,51.42856979370117
1237,10,1.0398156642913818,0.0756768062710762,1,1,80,15.430000305175781,68.57142639160156
1793,11,-0.21112090349197388,0.10878945142030716,0,0,78,17,34.28571319580078
1733,12,0.1495765894651413,0.02593136392533779,0,1,64,19,51.42856979370117
2099,12,0,0.06155303120613098,1,1,41,15.140000343322754,51.42856979370117
509,13,0.7448486089706421,0.06385508924722672,0,0,82,15.800000190734863,34.28571319580078
3859,13,-0.03458050265908241,0.03775492683053017,0,1,67.4000015258789,17.15999984741211,17.14285659790039
2925,14,0.8440631628036499,0.08544626832008362,1,1,80,15.949999809265137,51.42856979370117
4265,15,0.34701308608055115,0.0197609756141901,0,0,84,15.899999618530273,313.71429443359375
3786,15,0.15781331062316895,0.08920953422784805,0,1,72,20,17.14285659790039
900,15,-0.028918152675032616,0.04773224890232086,0,1,81,16,17.14285659790039
1627,15,0.7439357042312622,0.1185239627957344,0,1,71,16.610000610351563,51.42856979370117
4283,15,-0.10555024445056915,0.21140429377555847,0,0,50,15.399999618530273,34.28571319580078
938,15,1.2051122188568115,0.089183509349823,1,1,77,15.399999618530273,34.28571319580078
3618,15,0.17650344967842102,0.06506206095218658,0,1,96,20,34.28571319580078
3297,15,0.43862831592559814,0.017596248537302017,0,1,86,16.270000457763672,34.28571319580078
5278,15,0.2777861952781677,0.0450715497136116,1,0,57,15.510000228881836,112
4730,15,-1.0361822843551636,0.02128051407635212,0,0,54,15.399999618530273,200.57142639160156
5008,15,-0.2848746180534363,0.0202028825879097,0,0,100,17.030000686645508,34.28571319580078
5291,15,0.4415094256401062,0.09777513891458511,0,1,47.599998474121094,16,17.14285659790039
3117,15,-0.02988250181078911,0.04509113356471062,0,1,65,16.5,34.28571319580078
195,15,-0.13423682749271393,0.027541475370526314,0,0,54.70000076293945,17.399999618530273,17.14285659790039
1073,15,0.07744187861680984,0.0436965711414814,0,1,57,15.739999771118164,34.28571319580078
3918,15,0.4455147683620453,0.10273166745901108,0,1,0,19.200000762939453,34.28571319580078
885,15,0.36733147501945496,0.04575299471616745,0,0,72,16.100000381469727,313.71429443359375
3698,15,0.4319439232349396,0.12840543687343597,0,1,76.69999694824219,16.399999618530273,51.42856979370117
947,15,0.13770847022533417,0.01343497447669506,1,1,46,18,17.14285659790039
402,15,1.7673754692077637,0.21483144164085388,1,1,0,16.059999465942383,34.28571319580078
304,15,1.3150150775909424,0.19484171271324158,1,1,62,16,34.28571319580078
4119,15,0.48169124126434326,0.10614929348230362,1,1,48,19,17.14285659790039
4052,15,-0.07444293797016144,0.0780142992734909,0,1,35,18.989999771118164,17.14285659790039
2897,15,-0.8629865646362305,0.014297740533947945,0,0,69.80000305175781,15.479999542236328,104.57142639160156
144,15,1.618591547012329,0.26549598574638367,1,1,50,16,34.28571319580078
4404,15,0.21172299981117249,0.07489782571792603,1,1,46,19.600000381469727,34.28571319580078
3904,15,0.45452922582626343,0.024869365617632866,0,1,76,16,51.42856979370117
4235,15,0.21654029190540314,0.16119420528411865,0,1,60,19.700000762939453,34.28571319580078
5272,15,-0.4132024943828583,0.0851118266582489,0,0,87.5,16.8799991607666,16
