"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","studlab","treat1","treat2","te","sete","precision","abs_yi","source","repo","branch","repo_license"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",26,-0.6906,0.062001,"te","Lee1981","CBT","SUP",-0.6906,0.249,4.01606425702811,0.6906,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",27,0.4912,0.056169,"te","Leon2001","PDT","CBT",0.4912,0.237,4.21940928270042,0.4912,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",28,-0.0982,0.01,"te","Lyons2012","CBT","IPT",-0.0982,0.1,10,0.0982,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",29,-0.1966,0.073441,"te","Mason2015","CBT","PST",-0.1966,0.271,3.690036900369,0.1966,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",30,-1.0026,0.056169,"te","Mills2010","CBT","WLC",-1.0026,0.237,4.21940928270042,1.0026,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",31,-0.5945,0.017424,"te","Morgan1982","IPT","TAU",-0.5945,0.132,7.57575757575758,0.5945,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",32,-0.8062,0.136161,"te","Nichols2003","PST","WLC",-0.8062,0.369,2.710027100271,0.8062,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",33,-1.0033,0.084681,"te","Oliver1991","CBT","WLC",-1.0033,0.291,3.43642611683849,1.0033,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",34,-0.1045,0.100489,"te","Padilla1998","CBT","IPT",-0.1045,0.317,3.15457413249211,0.1045,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",35,-0.7044,0.0121,"te","Patel1983","CBT","SUP",-0.7044,0.11,9.09090909090909,0.7044,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",36,-1.0036,0.017956,"te","Patterson1995","CBT","WLC",-1.0036,0.134,7.46268656716418,1.0036,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",37,-0.5053,0.021904,"te","Phillips2002","PDT","WLC",-0.5053,0.148,6.75675675675676,0.5053,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",38,-0.1923,0.036481,"te","Porter1991","PDT","SUP",-0.1923,0.191,5.23560209424084,0.1923,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",39,-0.9919,0.038416,"te","Richards1992","CBT","WLC",-0.9919,0.196,5.10204081632653,0.9919,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",40,-0.8055,0.137641,"te","Richardson1983","PST","WLC",-0.8055,0.371,2.69541778975741,0.8055,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",41,-0.7008,0.114244,"te","Schultz1986","CBT","SUP",-0.7008,0.338,2.9585798816568,0.7008,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",42,-0.8025,0.068121,"te","Scott1980","PST","WLC",-0.8025,0.261,3.83141762452107,0.8025,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",43,-0.2096,0.106276,"te","Snyder2010","PDT","SUP",-0.2096,0.326,3.06748466257669,0.2096,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",44,0.0952,0.141376,"te","Solis2012","IPT","CBT",0.0952,0.376,2.65957446808511,0.0952,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",45,-0.4916,0.021904,"te","Stevens1997","PST","SUP",-0.4916,0.148,6.75675675675676,0.4916,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",46,-0.6941,0.141376,"te","Stone1993","CBT","TAU",-0.6941,0.376,2.65957446808511,0.6941,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",47,-0.3049,0.037636,"te","Stuart1991","SUP","WLC",-0.3049,0.194,5.15463917525773,0.3049,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",48,-0.6972,0.0121,"te","Vaughn1984","CBT","TAU",-0.6972,0.11,9.09090909090909,0.6972,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",49,-1.0001,0.045369,"te","Walker1981","CBT","WLC",-1.0001,0.213,4.69483568075117,1.0001,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",50,-0.2018,0.023409,"te","Webster2014","PDT","SUP",-0.2018,0.153,6.5359477124183,0.2018,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",51,-0.9926,0.117649,"te","Weston2001","CBT","WLC",-0.9926,0.343,2.91545189504373,0.9926,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",52,-0.2045,0.04,"te","Wilkerson2015","CBT","PST",-0.2045,0.2,5,0.2045,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",53,-0.9975,0.068644,"te","Woods2001","CBT","WLC",-0.9975,0.262,3.81679389312977,0.9975,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",54,-0.999,0.015129,"te","Zimmerman2004","CBT","WLC",-0.999,0.123,8.13008130081301,0.999,"CRAN",NA,NA,"CRAN"
