Author,Year,Habitat,Openness,Invasive Alien Species (IAsia),IAsia Family,IAsia Order,Invaded Area,"Impacted 
Fauna Group",Impacted Fauna Trophic Group,Sample Size IAsia,Sample Size Control,Sample Size Combined,Mean Abund. IAsia,Mean Abund. Control,Standard Error IAsia,Standard Error Control,"Variance 
IAsia","Variance 
Control","Reported 
p-value",Effect size,Effect Size Standard Error,Weights
Xiao,2013,Labo,Open,Multiple,Asteraceae,Asterales,Asia,Nematoda Phyt.,Herbivore,20,20,40,12.31451855,15.80641936,0.799890284,0.882369623,12.8,15.57,0.009,-0.249637209919442,0.0856520601604358,2.59629381719993
Xiao,2013,Labo,Open,Multiple,Asteraceae,Asterales,Asia,Nematoda,Other,20,20,40,17.68334247,21.1529738,1.060715668,0.826979173,22.5,13.68,0.009,-0.179157407735124,0.0715985948622817,2.6112762572246706
Yeates,2001,Forest,Closed,Hedychium gardnerianum,Zingiberaceae,Zingiberales,Oceania,Nematoda Bact.,Microbivore,2,2,4,659.35,814.75,150.25,38.65,45150.13,2987.65,0.051,-0.211626816463963,0.232761259246152,2.31478294620687
Yeates,2001,Forest,Closed,Tradescantia fluminensis,Commelinaceae,Commelinales,Oceania,Nematoda Bact.,Microbivore,2,2,4,384.5,286.2,96.1,95.5,18470.42,18240.5,0.051,0.295252921823348,0.416907261882228,1.81277707694144
Yeates,2001,Forest,Closed,Hedychium gardnerianum,Zingiberaceae,Zingiberales,Oceania,Nematoda Fung.,Microbivore,2,2,4,113.55,171.5,5.85,16.9,68.45,571.22,0.049,-0.412339998054427,0.111198007879446,2.5628333656983906
Yeates,2001,Forest,Closed,Tradescantia fluminensis,Commelinaceae,Commelinales,Oceania,Nematoda Fung.,Microbivore,2,2,4,70.45,142.15,53.75,73.35,5778.13,10760.45,0.051,-0.70197959975232,0.921063202038594,0.815537246426709
Yeates,2001,Forest,Closed,Hedychium gardnerianum,Zingiberaceae,Zingiberales,Oceania,Nematoda Pred.,Predator,4,4,8,257.125,208.45,117.4857917,38.57267491,55211.65,5951.41,0.051,0.209863143646315,0.492969072686723,1.61070370507485
Yeates,2001,Forest,Closed,Tradescantia fluminensis,Commelinaceae,Commelinales,Oceania,Nematoda Pred.,Predator,4,4,8,116.95,126.05,4.772970773,12.44507935,91.13,619.52,0.051,-0.0749321606037407,0.106834375975655,2.56909763023575
Yeates,2001,Forest,Closed,Hedychium gardnerianum,Zingiberaceae,Zingiberales,Oceania,Nematoda Phyt.,Herbivore,4,4,8,546.175,446.025,81.88296526,331.067395,26819.28,438422.48,0.051,0.202564432951389,0.757250990399613,1.05124039376396
Yeates,2001,Forest,Closed,Tradescantia fluminensis,Commelinaceae,Commelinales,Oceania,Nematoda Phyt.,Herbivore,4,4,8,157.075,99.125,22.83954903,60.35156377,2086.58,14569.25,0.051,0.46034171833399906,0.625965386965211,1.29927363818545
Yeates,2001,Forest,Closed,Hedychium gardnerianum,Zingiberaceae,Zingiberales,Oceania,Nematoda,Other,2,2,4,1086.95,917.9,129.15,34.4,33359.45,2366.72,0.051,0.169042435678143,0.12458893566388,2.54226162543997
Yeates,2001,Forest,Closed,Tradescantia fluminensis,Commelinaceae,Commelinales,Oceania,Nematoda,Other,2,2,4,2336.65,2265.8,298.15,128.2,177786.85,32870.48,0.051,0.0307903822280826,0.139579347801277,2.51692292103184
