lab,es_id,yi_r,vi_r,yi_d,vi_d,ni,country,weird,western,educated,industrialized,rich,democratic,mean_weird_score,online,analysis
eindhoven,60,0.04689,0.01301,0.09389,0.05237,98,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Rottenstreich.1
elte,61,-5.2e-4,0.01354,-0.00103,0.05417,94,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Rottenstreich.1
grazvienna,62,-0.02064,0.00987,-0.04129,0.03954,124,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Rottenstreich.1
hawaiion,63,-0.07667,0.01191,-0.15379,0.04849,101,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Rottenstreich.1
hkust,64,0.05232,0.01152,0.10478,0.04647,105,"Hong Kong, China",0,0,0.77,0.08,0,0.74,0.31799999999999995,lab,Rottenstreich.1
hunancomp,65,-0.15892,0.00767,-0.32193,0.03313,154,China,0,0,0.61,0.08,0,0.74,0.286,online,Rottenstreich.1
ithaca,66,0.10399,0.01653,0.20911,0.06832,78,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
johannesburg,67,-0.30585,0.07061,-0.64248,0.37923,52,South Africa,0,1,0.7,0.09,0,0.55,0.46799999999999997,online,Rottenstreich.1
koc,68,-0.1608,0.02003,-0.32583,0.08665,87,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Rottenstreich.1
lausanne,69,0.02654,0.01111,0.05309,0.04455,113,Switzerland,1,1,0.84,1,1,0.87,0.942,online,Rottenstreich.1
leuven,70,-0.15943,0.01075,-0.323,0.04646,109,Belgium,1,1,0.81,0.4531,1,0.82,0.81662,lab,Rottenstreich.1
lundon,71,0.00791,0.01081,0.01583,0.04324,113,Sweden,1,1,0.83,0.71,1,0.87,0.882,online,Rottenstreich.1
marian,72,-0.04062,0.0154,-0.08131,0.0619,79,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
mturk,73,-0.01156,0.00433,-0.02311,0.01734,331,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Rottenstreich.1
mturk_india,74,-0.05108,0.00442,-0.10228,0.0178,359,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,online,Rottenstreich.1
navarra,75,-0.07081,0.02554,-0.14198,0.10372,54,Spain,1,1,0.79,0.34,1,0.76,0.7779999999999999,online,Rottenstreich.1
ntnu,76,0.04184,0.01486,0.08376,0.05976,83,Taiwan,0,NA,NA,NA,NA,NA,NA,lab,Rottenstreich.1
occid,77,0.02042,0.01911,0.04085,0.07654,67,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
plu,78,-0.24673,0.01108,-0.50921,0.0535,96,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
poitiers,79,-0.20708,0.02583,-0.42334,0.11782,44,France,1,1,0.82,0.38,1,0.79,0.7979999999999999,lab,Rottenstreich.1
potsdam,80,-0.09409,0.01368,-0.18902,0.05619,92,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,online,Rottenstreich.1
pscio,81,-0.20519,0.01582,-0.41931,0.07201,86,Uruguay,0,1,0.71,0.09,0,0.74,0.508,lab,Rottenstreich.1
psuabington,82,0.03327,0.01387,0.06657,0.05566,90,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
psumain,83,-0.05944,0.01532,-0.11909,0.06194,82,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
purkyne,84,-0.00675,0.00936,-0.0135,0.03745,140,Czech Republic,1,1,0.87,0.4,1,0.71,0.796,lab,Rottenstreich.1
sandiegosu,85,-0.12964,0.00692,-0.26148,0.02912,174,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
santiagoon,86,-0.09527,0.02183,-0.19142,0.08973,60,Chile,1,1,0.75,1,0,0.73,0.696,online,Rottenstreich.1
swps,87,0.00895,0.01328,0.0179,0.05315,96,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Rottenstreich.1
tamu,88,-0.13736,0.01191,-0.27735,0.05045,99,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
tilburg,89,0.16909,0.01181,0.34312,0.05153,97,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Rottenstreich.1
tilburgcaf,90,-0.08219,0.01581,-0.16493,0.06456,80,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Rottenstreich.1
tilburgcomm,91,0.24309,0.01041,0.50121,0.05001,103,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,online,Rottenstreich.1
toronto,92,0.0234,0.00349,0.04682,0.01398,350,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Rottenstreich.1
tufts,93,-0.02716,0.01618,-0.05435,0.06487,88,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
ubc,94,0.08258,0.01469,0.16573,0.05999,82,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Rottenstreich.1
ucron,95,0.09466,0.01418,0.19017,0.05827,103,Costa Rica,0,1,0.65,0.1,0,0.72,0.49399999999999994,online,Rottenstreich.1
udd,96,-0.25613,0.01174,-0.52994,0.05756,95,Chile,1,1,0.75,1,0,0.73,0.696,lab,Rottenstreich.1
ufl,97,0.07407,0.01139,0.14855,0.04632,116,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
uiuc,98,-0.14973,0.00606,-0.30288,0.02596,205,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
umich,99,-0.05315,0.01471,-0.10645,0.05935,88,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
unam,100,-0.01561,0.01386,-0.03123,0.05549,144,Mexico,0,1,0.64,0.13,0,0.58,0.47000000000000003,online,Rottenstreich.1
unibelgrade,101,0.04921,0.01518,0.09853,0.06116,81,Serbia,0,1,0.7,0.04,0,0.62,0.472,lab,Rottenstreich.1
uniporto,102,-0.13299,0.03376,-0.26836,0.14246,36,Portugal,1,1,0.73,0.23,1,0.76,0.744,online,Rottenstreich.1
uva,103,-0.02009,0.01503,-0.0402,0.06021,86,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
vuamsterdam,104,-0.01712,0.01295,-0.03425,0.05183,95,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Rottenstreich.1
vuw,105,0.00339,0.01376,0.00678,0.05504,102,New Zealand,1,1,0.92,0.35,1,0.82,0.818,online,Rottenstreich.1
washlee,106,-0.00344,0.01329,-0.00689,0.05317,97,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
wilfredlaur,107,-0.03105,0.01405,-0.06213,0.05637,91,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Rottenstreich.1
williampat,108,-0.08275,0.00983,-0.16606,0.04015,124,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
winchester,109,-0.09713,0.00859,-0.19518,0.03534,142,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,Rottenstreich.1
wpi,110,0.02584,0.0144,0.05171,0.05771,86,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
wroclaw,111,-0.21001,0.01202,-0.42959,0.05506,97,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Rottenstreich.1
zhejiang,112,-0.15027,0.01358,-0.30399,0.05815,86,China,0,0,0.61,0.08,0,0.74,0.286,NA,Rottenstreich.1
aus,113,0.12038,0.01067,0.24079,0.04412,92,United Arab Emirates,0,0,0.67,0.4,0,0.4,0.29400000000000004,lab,Bauer.1
badaniaon,114,0.07578,0.02672,0.15134,0.11045,38,Poland,1,1,0.83,0.19,1,0.71,0.746,online,Bauer.1
bc,115,0.12054,0.01295,0.24039,0.05334,76,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
bilgi,116,0.12919,0.00649,0.25882,0.02689,150,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Bauer.1
brasilia,117,-0.13805,0.00953,-0.27687,0.03983,102,Brazil,0,1,0.66,0.08,0,0.65,0.47800000000000004,lab,Bauer.1
cas,118,0.15116,0.01404,0.30876,0.06154,69,China,0,0,0.61,0.08,0,0.74,0.286,lab,Bauer.1
doshisha,119,0.13951,0.00866,0.27965,0.03617,112,Japan,0,0,0.81,0.8,1,0.75,0.672,lab,Bauer.1
elte,120,0.15314,0.01025,0.30837,0.04355,94,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Bauer.1
grazvienna,121,0.012070000000000001,0.00813,0.02395,0.03226,124,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Bauer.1
hawaiion,122,0.05382,0.00984,0.10676,0.03929,102,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Bauer.1
hkust,123,0.25096,0.00852,0.51361,0.03974,104,"Hong Kong, China",0,0,0.77,0.08,0,0.74,0.31799999999999995,lab,Bauer.1
hunancomp,124,0.13448,0.00651,0.26991,0.02715,149,China,0,0,0.61,0.08,0,0.74,0.286,online,Bauer.1
ithaca,125,-0.06186,0.01289,-0.1224,0.05141,78,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
johannesburg,126,0.27352,0.01678,0.57315,0.08441,52,South Africa,0,1,0.7,0.09,0,0.55,0.46799999999999997,online,Bauer.1
koc,127,0.05744,0.01155,0.11393,0.0462,87,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Bauer.1
lausanne,128,0.07584,0.00883,0.15081,0.03552,113,Switzerland,1,1,0.84,1,1,0.87,0.942,online,Bauer.1
lundon,129,0.03371,0.00891,0.0673,0.03589,113,Sweden,1,1,0.83,0.71,1,0.87,0.882,online,Bauer.1
marian,130,-0.11555,0.01248,-0.23061,0.05137,79,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
mturk,131,-0.013,0.00305,-0.02592,0.01216,329,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Bauer.1
mturk_india,132,0.12142,0.00275,0.24415,0.0114,354,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,online,Bauer.1
navarra,133,-0.05748,0.01874,-0.11331,0.0746,54,Spain,1,1,0.79,0.34,1,0.76,0.7779999999999999,online,Bauer.1
ntnu,134,-0.22722,0.01084,-0.46118,0.04891,84,Taiwan,0,NA,NA,NA,NA,NA,NA,lab,Bauer.1
occid,135,0.33793,0.01189,0.74483,0.07035,67,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
plu,136,0.06164,0.01045,0.12232,0.04182,96,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
poitiers,137,-0.21627,0.02113,-0.43692,0.0948,44,France,1,1,0.82,0.38,1,0.79,0.7979999999999999,lab,Bauer.1
potsdam,138,0.17706,0.01054,0.35899,0.04596,90,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,online,Bauer.1
pscio,139,-0.00776,0.01163,-0.01543,0.04648,87,Uruguay,0,1,0.71,0.09,0,0.74,0.508,lab,Bauer.1
psuabington,140,-0.04439,0.01107,-0.0879,0.044,91,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
psumain,141,-0.05008,0.01228,-0.0998,0.04958,82,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
purkyne,142,0.08122,0.00705,0.16251,0.02871,141,Czech Republic,1,1,0.87,0.4,1,0.71,0.796,lab,Bauer.1
sandiegosu,143,0.09489,0.00568,0.19015,0.02324,174,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
santiagoon,144,0.15146,0.01646,0.30125,0.06859,59,Chile,1,1,0.75,1,0,0.73,0.696,online,Bauer.1
swps,145,0.06385,0.01055,0.12868,0.04359,95,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Bauer.1
tamu,146,0.18258,0.00954,0.3678,0.04112,99,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
toronto,147,0.08251,0.00282,0.16535,0.01147,351,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Bauer.1
tufts,148,0.02566,0.01161,0.05083,0.04614,87,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
ubc,149,-0.06173,0.01225,-0.12233,0.04899,82,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Bauer.1
ucron,150,-0.09606,0.00962,-0.1912,0.03905,103,Costa Rica,0,1,0.65,0.1,0,0.72,0.49399999999999994,online,Bauer.1
udd,151,-0.07082,0.01053,-0.14087,0.04244,95,Chile,1,1,0.75,1,0,0.73,0.696,lab,Bauer.1
ufl,152,0.04258,0.00874,0.08449,0.03482,115,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
uiuc,153,0.107,0.00479,0.2142,0.01963,205,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
umich,154,0.12149,0.01129,0.24199,0.04632,87,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
unam,155,0.10816,0.00688,0.21946,0.02902,143,Mexico,0,1,0.64,0.13,0,0.58,0.47000000000000003,online,Bauer.1
unibelgrade,156,0.08456,0.01232,0.16793,0.04975,81,Serbia,0,1,0.7,0.04,0,0.62,0.472,lab,Bauer.1
uniporto,157,0.13424,0.02755,0.26371,0.11242,36,Portugal,1,1,0.73,0.23,1,0.76,0.744,online,Bauer.1
uva,158,0.09691,0.01154,0.1933,0.04713,86,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
vuw,159,0.15631,0.00942,0.31346,0.03971,102,New Zealand,1,1,0.92,0.35,1,0.82,0.818,online,Bauer.1
washlee,160,0.26321,0.00902,0.54073,0.04285,97,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
wilfredlaur,161,0.1666,0.0105,0.33518,0.04483,91,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Bauer.1
williampat,162,0.20045,0.00743,0.40973,0.03327,125,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
winchester,163,0.02049,0.00709,0.0407,0.02818,142,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,Bauer.1
wpi,164,0.08143,0.01161,0.16514,0.0488,86,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Bauer.1
wroclaw,165,-0.00363,0.01042,-0.00719,0.04128,97,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Bauer.1
zhejiang,166,-0.00795,0.01176,-0.01593,0.04778,86,China,0,0,0.61,0.08,0,0.74,0.286,NA,Bauer.1
aus,167,0.79194,0.00158,2.56466,0.0819,91,United Arab Emirates,0,0,0.67,0.4,0,0.4,0.29400000000000004,lab,Miyamoto.1
bc,168,0.72987,0.00299,2.10635,0.08403,76,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
bilgi,169,0.6431,0.00229,1.66844,0.03571,153,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Miyamoto.1
brasilia,170,0.61033,0.00402,1.52529,0.05215,101,Brazil,0,1,0.66,0.08,0,0.65,0.47800000000000004,lab,Miyamoto.1
cas,171,0.91688,3.8e-4,4.52489,0.2125,69,China,0,0,0.61,0.08,0,0.74,0.286,lab,Miyamoto.1
doshisha,172,0.54476,0.0045,1.28746,0.0435,113,Japan,0,0,0.81,0.8,1,0.75,0.672,lab,Miyamoto.1
eindhoven,173,0.66842,0.00322,1.77851,0.05814,98,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Miyamoto.1
elte,174,0.62547,0.00407,1.58573,0.05714,94,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Miyamoto.1
grazvienna,175,0.54659,0.00406,1.2947,0.03966,124,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Miyamoto.1
hawaiion,176,0.65334,0.00332,1.70863,0.0546,102,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Miyamoto.1
hkust,177,0.75887,0.00176,2.30776,0.06469,105,"Hong Kong, China",0,0,0.77,0.08,0,0.74,0.31799999999999995,lab,Miyamoto.1
hunancomp,178,0.60632,0.0027,1.51465,0.03454,151,China,0,0,0.61,0.08,0,0.74,0.286,online,Miyamoto.1
ithaca,179,0.592,0.00555,1.4499,0.0656,79,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
johannesburg,180,0.70946,0.00503,1.97271,0.11892,52,South Africa,0,1,0.7,0.09,0,0.55,0.46799999999999997,online,Miyamoto.1
koc,181,0.74008,0.00244,2.17488,0.07488,87,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Miyamoto.1
lausanne,182,0.61264,0.00355,1.53623,0.04667,113,Switzerland,1,1,0.84,1,1,0.87,0.942,online,Miyamoto.1
leuven,183,0.61526,0.00364,1.54627,0.04856,109,Belgium,1,1,0.81,0.4531,1,0.82,0.81662,lab,Miyamoto.1
lundon,184,0.55994,0.00428,1.3394,0.04412,113,Sweden,1,1,0.83,0.71,1,0.87,0.882,online,Miyamoto.1
marian,185,0.65458,0.00436,1.70876,0.07184,78,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
mturk,186,0.65827,9.8e-4,1.74354,0.01683,330,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Miyamoto.1
mturk_india,187,0.6452,9.6e-4,1.68425,0.01518,359,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,online,Miyamoto.1
navarra,188,0.64252,0.00676,1.64443,0.10292,54,Spain,1,1,0.79,0.34,1,0.76,0.7779999999999999,online,Miyamoto.1
ntnu,189,0.76568,0.00211,2.35154,0.0825,84,Taiwan,0,NA,NA,NA,NA,NA,NA,lab,Miyamoto.1
occid,190,0.60493,0.00628,1.49582,0.07875,67,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
plu,191,0.76257,0.00188,2.33237,0.07149,96,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
poitiers,192,0.61343,0.00949,1.51603,0.1226,44,France,1,1,0.82,0.38,1,0.79,0.7979999999999999,lab,Miyamoto.1
potsdam,193,0.52294,0.00593,1.2133100000000001,0.05262,92,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,online,Miyamoto.1
pscio,194,0.75923,0.00214,2.30554,0.07833,87,Uruguay,0,1,0.71,0.09,0,0.74,0.508,lab,Miyamoto.1
psuabington,195,0.68883,0.00314,1.87894,0.06478,91,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
psumain,196,0.72964,0.00277,2.1071,0.07775,82,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
purkyne,197,0.85093,5.6e-4,3.21616,0.06695,139,Czech Republic,1,1,0.87,0.4,1,0.71,0.796,lab,Miyamoto.1
sandiegosu,198,0.74931,0.00113,2.24972,0.03819,173,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
santiagoon,199,0.70525,0.00451,1.95435,0.10368,59,Chile,1,1,0.75,1,0,0.73,0.696,online,Miyamoto.1
swps,200,0.65712,0.00347,1.72489,0.05838,96,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Miyamoto.1
