"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","author","study_id","study_year","es_id","group_id","ef_type","ef_component","domain","test","year","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Danielsson 2012 2012",-1.50705568090135,0.116718373015194,"from_dataset","Danielsson 2012","2944",2012,"11","NSID","fluency","other","verbal","D-KEFS letter fluency",2012,2.92705166004056,1.50705568090135,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Danielsson 2012 2012",-0.34503331968341,0.0922619089964972,"from_dataset","Danielsson 2012","2944",2012,"12","NSID","fluency","other","verbal","D-KEFS category fluency",2012,3.29221949146006,0.34503331968341,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Danielsson 2012 2012",-0.273286130035068,0.0917577876007903,"from_dataset","Danielsson 2012","2944",2012,"13","NSID","fluency","other","visuospatial","D-KEFS design fluency",2012,3.30125090439125,0.273286130035068,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Hooper 2008 2008",-0.927807099948266,0.0494252238912705,"from_dataset","Hooper 2008","1315",2008,"14","FXS","inhibition","inhibition","visuospatial","Day-night",2008,4.49806448590877,0.927807099948266,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Hooper 2008 2008",-0.736789181581301,0.0565272098627234,"from_dataset","Hooper 2008","1315",2008,"15","FXS","inhibition","inhibition","verbal","CNT self-correction",2008,4.20601895165942,0.736789181581301,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Hooper 2008 2008",-1.68580449459889,0.115180749874887,"from_dataset","Hooper 2008","1315",2008,"16","FXS","shifting","shifting","verbal","CNT subtest 3",2008,2.94652444997021,1.68580449459889,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Hooper 2008 2008",-1.10863454053851,0.0542948817865236,"from_dataset","Hooper 2008","1315",2008,"17","FXS","other","other","visuospatial","Planning",2008,4.29161301858616,1.10863454053851,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Hooper 2008 2008",-1.526209869137,0.0634367894026606,"from_dataset","Hooper 2008","1315",2008,"18","FXS","inhibition","inhibition","visuospatial","Tower",2008,3.97035557298329,1.526209869137,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Ikeda 2014 2014",-0.0113833579548971,0.138530163228737,"from_dataset","Ikeda 2014","1833",2014,"19","NSID","inhibition","inhibition","visuospatial","RAST control",2014,2.68675352306125,0.0113833579548971,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Ikeda 2014 2014",-0.227204948987837,0.139334733666335,"from_dataset","Ikeda 2014","1833",2014,"20","NSID","inhibition","inhibition","visuospatial","RAST incongruent",2014,2.67898513670035,0.227204948987837,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Ikeda 2014 2014",0.706576524389872,0.146328925790933,"from_dataset","Ikeda 2014","1833",2014,"21","NSID","inhibition","inhibition","visuospatial","PAST control",2014,2.61417650912627,0.706576524389872,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Ikeda 2014 2014",0.484137318880564,0.142190465770839,"from_dataset","Ikeda 2014","1833",2014,"22","NSID","inhibition","inhibition","visuospatial","PAST incongruent",2014,2.65194651929767,0.484137318880564,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Lanfranchi 2010 2010",-0.821806798246926,0.144589440227414,"from_dataset","Lanfranchi 2010","1291",2010,"23","DS","inhibition","inhibition","verbal","Day-night",2010,2.62985444275634,0.821806798246926,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Lanfranchi 2010 2010",-0.489793775113139,0.137331632368993,"from_dataset","Lanfranchi 2010","1291",2010,"24","DS","shifting","shifting","verbal","Rule Shift Card 1",2010,2.69845207221463,0.489793775113139,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Lanfranchi 2010 2010",-0.839602947043856,0.145082218478079,"from_dataset","Lanfranchi 2010","1291",2010,"25","DS","shifting","shifting","verbal","Rule Shift Card 2",2010,2.62538443470304,0.839602947043856,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Lanfranchi 2010 2010",-1.65655356105064,0.179069495010493,"from_dataset","Lanfranchi 2010","1291",2010,"26","DS","shifting","shifting","visuospatial","Modified Card Sorting",2010,2.36313860795145,1.65655356105064,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Lanfranchi 2010 2010",-2.20373226424695,0.214273931541383,"from_dataset","Lanfranchi 2010","1291",2010,"27","DS","inhibition","inhibition","visuospatial","Tower",2010,2.16030629373815,2.20373226424695,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Lanfranchi 2010 2010",0.222774094256489,0.134160471617863,"from_dataset","Lanfranchi 2010","1291",2010,"28","DS","fluency","other","verbal","Letter fluency",2010,2.73015756341288,0.222774094256489,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Lanfranchi 2010 2010",0.709039475204941,0.141712282956648,"from_dataset","Lanfranchi 2010","1291",2010,"29","DS","fluency","other","verbal","Category fluency",2010,2.65641701143547,0.709039475204941,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Lanfranchi 2010 2010",-0.728795115787436,0.142185705346594,"from_dataset","Lanfranchi 2010","1291",2010,"30","DS","attention","attention","visuospatial","Self-ordered pointing",2010,2.65199091294756,0.728795115787436,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Numminen 2001 2001",-0.0433537603389321,0.0833529119639117,"from_dataset","Numminen 2001","3282",2001,"31","NSID","inhibition","inhibition","visuospatial","Tower",2001,3.46369475263379,0.0433537603389321,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Traverso 2018 2018",-0.55429359796463,0.0482183339039173,"from_dataset","Traverso 2018","2718",2018,"39","DS","inhibition","inhibition","verbal","Preschool matching familiar figure",2018,4.55400916155242,0.55429359796463,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Traverso 2018 2018",-0.673036203486077,0.0489695521433935,"from_dataset","Traverso 2018","2718",2018,"40","DS","inhibition","inhibition","visuospatial","Go No-go",2018,4.51894373423947,0.673036203486077,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Traverso 2018 2018",-0.0656779122183982,0.0466568503750967,"from_dataset","Traverso 2018","2718",2018,"41","DS","inhibition","inhibition","verbal","Fish flanker",2018,4.62958743925832,0.0656779122183982,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Traverso 2018 2018",-0.981354982908696,0.0515988298303872,"from_dataset","Traverso 2018","2718",2018,"42","DS","inhibition","inhibition","visuospatial","Dots",2018,4.40230444899342,0.981354982908696,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Palmqvist 2020 2020",0.0046381629995187,0.0315137323377823,"from_dataset","Palmqvist 2020","2047",2020,"43","NSID","other","other","visuospatial","Planning tasks composite",2020,5.63313395740727,0.0046381629995187,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Palmqvist 2020 2020",0.121598813928923,0.0308917848861938,"from_dataset","Palmqvist 2020","2047",2020,"44","NSID","fluency","other","verbal","Category fluency",2020,5.68955760671863,0.121598813928923,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Palmqvist 2020 2020",0.125080689355324,0.0311150456204921,"from_dataset","Palmqvist 2020","2047",2019,"46","NSID","shifting","shifting","visuospatial","BADS-C playing cards",2020,5.66910863066825,0.125080689355324,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Costanzo 2013 2013",-0.191333890428713,0.12975712888645,"from_dataset","Costanzo 2013","1314",2013,"47","WS","attention","attention","verbal","BVN",2013,2.77609539875173,0.191333890428713,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Costanzo 2013 2013",-1.28371020088933,0.155745890535495,"from_dataset","Costanzo 2013","1314",2013,"48","WS","attention","attention","visuospatial","Score",2013,2.53391301290889,1.28371020088933,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Costanzo 2013 2013",-1.1388446270556,0.150085490611399,"from_dataset","Costanzo 2013","1314",2013,"49","WS","attention","attention","verbal","Sky search",2013,2.58125342580473,1.1388446270556,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Costanzo 2013 2013",-0.393097834025136,0.131659020007235,"from_dataset","Costanzo 2013","1314",2013,"50","WS","attention","attention","visuospatial","Bells",2013,2.75597130195888,0.393097834025136,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Costanzo 2013 2013",-1.85441714971035,0.184632198362471,"from_dataset","Costanzo 2013","1314",2013,"51","WS","inhibition","inhibition","visuospatial","Tower",2013,2.32726736572776,1.85441714971035,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Costanzo 2013 2013",0.32311424326547,0.130850583024748,"from_dataset","Costanzo 2013","1314",2013,"52","WS","other","other","verbal","CAT",2013,2.76447183092755,0.32311424326547,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Costanzo 2013 2013",-1.69846136985446,0.175695231584213,"from_dataset","Costanzo 2013","1314",2013,"53","WS","other","other","visuospatial","Weigl Color Form Sort",2013,2.38572297325459,1.69846136985446,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Costanzo 2013 2013",-0.079518844574528,0.129268654515739,"from_dataset","Costanzo 2013","1314",2013,"54","WS","shifting","shifting","verbal","CAT-A",2013,2.78133554311107,0.079518844574528,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Costanzo 2013 2013",-0.65790630631529,0.136147968406819,"from_dataset","Costanzo 2013","1314",2013,"55","WS","shifting","shifting","visuospatial","Trail making test",2013,2.71015679418438,0.65790630631529,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Costanzo 2013 2013",-1.08231171240803,0.148060193163693,"from_dataset","Costanzo 2013","1314",2013,"56","WS","shifting","shifting","visuospatial","Forma forma",2013,2.5988477888479,1.08231171240803,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Costanzo 2013 2013",-0.909019644970429,0.142494355617347,"from_dataset","Costanzo 2013","1314",2013,"57","WS","inhibition","inhibition","verbal","Stroop",2013,2.64911718002176,0.909019644970429,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Costanzo 2013 2013",-0.487160418015337,0.132994493648616,"from_dataset","Costanzo 2013","1314",2013,"58","WS","inhibition","inhibition","visuospatial","Go No-go",2013,2.74209924913795,0.487160418015337,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Menghini 2010 2010",-1.60447848150356,0.176239186626799,"from_dataset","Menghini 2010","1312",2010,"59","WS","inhibition","inhibition","visuospatial","Tower",2010,2.38203840979497,1.60447848150356,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Menghini 2010 2010",-0.284637970090481,0.13468364623362,"from_dataset","Menghini 2010","1312",2010,"60","WS","shifting","shifting","verbal","CAT-A",2010,2.72484979602713,0.284637970090481,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Menghini 2010 2010",-0.754844322449842,0.142829832518913,"from_dataset","Menghini 2010","1312",2010,"61","WS","shifting","shifting","visuospatial","Trail making test",2010,2.64600424460172,0.754844322449842,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Menghini 2010 2010",-0.761124462466951,0.142988507456093,"from_dataset","Menghini 2010","1312",2010,"62","WS","shifting","shifting","visuospatial","Forma forma",2010,2.64453569615674,0.761124462466951,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Menghini 2010 2010",0.417110498030834,0.136233019459459,"from_dataset","Menghini 2010","1312",2010,"63","WS","inhibition","inhibition","visuospatial","Go No-go",2010,2.70931067891734,0.417110498030834,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Menghini 2010 2010",-0.226041811412047,0.134184915008441,"from_dataset","Menghini 2010","1312",2010,"64","WS","inhibition","inhibition","verbal","Stroop",2010,2.7299088866259,0.226041811412047,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Menghini 2010 2010",-0.914039972176345,0.147257817845602,"from_dataset","Menghini 2010","1312",2010,"65","WS","inhibition","inhibition","verbal","OppositeWorld",2010,2.60591844406231,0.914039972176345,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Menghini 2010 2010",-0.635048524685661,0.140054777145091,"from_dataset","Menghini 2010","1312",2010,"66","WS","attention","attention","visuospatial","Bells",2010,2.67208972222465,0.635048524685661,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Menghini 2010 2010",-1.1693002146488,0.156121049866296,"from_dataset","Menghini 2010","1312",2010,"67","WS","attention","attention","visuospatial","Sky search",2010,2.53086668160202,1.1693002146488,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Menghini 2010 2010",-1.01171602380926,0.15039282188054,"from_dataset","Menghini 2010","1312",2010,"68","WS","attention","attention","verbal","Score",2010,2.578614650969,1.01171602380926,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Menghini 2010 2010",-0.0559174857513132,0.133385446086879,"from_dataset","Menghini 2010","1312",2010,"69","WS","attention","attention","verbal","BVN",2010,2.73807775690682,0.0559174857513132,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Menghini 2010 2010",0.166886782902965,0.133797519971795,"from_dataset","Menghini 2010","1312",2010,"70","WS","other","other","verbal","CAT",2010,2.73385809567817,0.166886782902965,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Menghini 2010 2010",-1.47279357203608,0.169485348430513,"from_dataset","Menghini 2010","1312",2010,"71","WS","other","other","visuospatial","Weigl Color Form Sort",2010,2.42903582290801,1.47279357203608,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Smith 2019 2019",-0.127064131670398,0.111335351299405,"from_dataset","Smith 2019","37",2019,"72","DS","other","other","visuospatial","Smith task",2019,2.99697733186414,0.127064131670398,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Greer 2017 2017",-0.155727084363407,0.168337395432258,"from_dataset","Greer 2017","313",2017,"73","WS","inhibition","inhibition","visuospatial","Oddball",2017,2.43730398365123,0.155727084363407,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Van der Molen 2012 2012",-0.594753184097779,0.0646768232310254,"from_dataset","Van der Molen 2012","392",2012,"74","FXS","attention","attention","visuospatial","CANTAB ID ED",2012,3.93211001118468,0.594753184097779,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Van der Molen 2012 2012",0.317443965156874,0.0758397555917877,"from_dataset","Van der Molen 2012","392",2012,"75","DS","attention","attention","visuospatial","CANTAB ID ED",2012,3.6312114372131,0.317443965156874,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Zigler et al 1962 1962",-0.12172488084406,0.200370423665413,"from_dataset","Zigler et al 1962","739",1962,"76","NSID","shifting","shifting","visuospatial","Concept formation",1962,2.23400011825602,0.12172488084406,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Zigler et al 1962 1962",-0.0421461914876807,0.200044407536423,"from_dataset","Zigler et al 1962","739",1962,"77","NSID","shifting","shifting","visuospatial","Concept formation",1962,2.23581977315668,0.0421461914876807,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Corter 1968 1968",-0.259484935686797,0.126052069247631,"from_dataset","Corter 1968","1386",1968,"78","NSID","shifting","shifting","visuospatial","Cognitive flexibility composite",1968,2.81659893227418,0.259484935686797,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Johns 2012 2012",-0.00936365191699061,0.143591309267908,"from_dataset","Johns 2012","1695",2012,"79","DS","inhibition","inhibition","visuospatial","Animal reverse categorisation",2012,2.63897892710906,0.00936365191699061,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Johns 2012 2012",-0.00960020760113186,0.143591389375208,"from_dataset","Johns 2012","1695",2012,"80","DS","inhibition","inhibition","visuospatial","Hand reverse categorisation",2012,2.63897819098726,0.00960020760113186,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Clunies-Ross 1972 1972",-0.258987018801971,0.0504192142244246,"from_dataset","Clunies-Ross 1972","2764",1972,"81","NSID","shifting","shifting","visuospatial","Extradimensional shift",1972,4.45350519760515,0.258987018801971,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Clunies-Ross 1972 1972",-0.641184951191662,0.0525694883852166,"from_dataset","Clunies-Ross 1972","2764",1972,"82","NSID","shifting","shifting","visuospatial","First reversal",1972,4.36147236231595,0.641184951191662,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Clunies-Ross 1972 1972",-0.731942850325,0.0533483771008868,"from_dataset","Clunies-Ross 1972","2764",1972,"83","NSID","shifting","shifting","visuospatial","Stereotype shift",1972,4.32951644723414,0.731942850325,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Nader-Grosbois 2011 2011",0.432542306477894,0.069401624554813,"from_dataset","Nader-Grosbois 2011","2835",2011,"84","NSID","attention","attention","other","Scoring grid for joint attention",2011,3.79590366192582,0.432542306477894,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Nader-Grosbois 2011 2011",-0.191296440986829,0.0681262133805842,"from_dataset","Nader-Grosbois 2011","2835",2011,"85","NSID","attention","attention","other","Scoring grid for attention",2011,3.83127102147785,0.191296440986829,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Hocking 2013 2013",-1.4742346919106,0.158958873856762,"from_dataset","Hocking 2013","3193",2013,"86","WS","inhibition","inhibition","visuospatial","Go No-go",2013,2.50817370967721,1.4742346919106,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Nader-Grosbois 2012 2012",-0.53546739490037,0.0517920333187587,"from_dataset","Nader-Grosbois 2012","3367",2012,"87","NSID","attention","attention","other","Scoring grid joint attention",2012,4.39408566308431,0.53546739490037,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Nader-Grosbois 2012 2012",-0.196504264857434,0.0502413370381698,"from_dataset","Nader-Grosbois 2012","3367",2012,"88","NSID","attention","attention","other","Scoring grid attention",2012,4.46138194902101,0.196504264857434,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Randolph 2000 2000",0.598356818190547,0.104475386023439,"from_dataset","Randolph 2000","3382",2000,"89","DS","shifting","shifting","visuospatial","Modified forced choice",2000,3.09380550406998,0.598356818190547,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Mento 2019 2019",-0.53533904871033,0.0648000627650506,"from_dataset","Mento 2019","993",2019,"90","DS","attention","attention","visuospatial","Temporal attention",2019,3.92836910409019,0.53533904871033,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Carney 2013 2013",-0.382447607951807,0.0798955205480881,"from_dataset","Carney 2013","1290",2013,"91","DS","inhibition","inhibition","verbal","VIMI verbal",2013,3.53784486127756,0.382447607951807,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Carney 2013 2013",1.15364001296079,0.0915094333586383,"from_dataset","Carney 2013","1290",2013,"92","DS","inhibition","inhibition","visuospatial","VIMI motor",2013,3.30572762393243,1.15364001296079,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Carney 2013 2013",0.126780061384886,0.0786191186964871,"from_dataset","Carney 2013","1290",2013,"93","DS","fluency","other","verbal","Category fluency",2013,3.56644814924446,0.126780061384886,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Carney 2013 2013",-0.252231379470573,0.0790852705084956,"from_dataset","Carney 2013","1290",2013,"94","DS","fluency","other","visuospatial","D-KEFS design fluency",2013,3.5559217684895,0.252231379470573,"CRAN",NA,NA,"CRAN"
