...1,Es_id,Study,Species,Phylum,PFT,Variable,Mode,Phase,Temp,LD,Ntype,logRR,var_logRR,CIlow_logRR,CIup_logRR
11,11,Cunningham17,Prochlorococcus sp. MED4,Cyanobacteria,Pro,CP,B,E,23,14,NH4,0.640449525157563,0.00174868161139314,0.0819602855087253,0.558489239648837
12,12,Cunningham17,Prochlorococcus sp. MED4,Cyanobacteria,Pro,CN,B,E,23,14,NH4,0.127442312224134,0.00250814954491055,0.0981577974127201,0.029284514811414
13,13,DeLaRocha00,Thalassiosira weissflogii,Bacillariophyta,Dia,CN,B,NA,NA,24,NO3,0.153955051279981,9.2405309607102e-4,0.0595794588485979,0.0943755924313833
14,14,Fu08b,Crocosphaera watsonii WH8501,Cyanobacteria,Dz,CP,SCB,S,28,12,N2,-0.138859675121067,0.00157347926056784,0.0777460981959068,-0.216605773316974
15,15,Fu08b,Crocosphaera watsonii WH8501,Cyanobacteria,Dz,CN,SCB,S,28,12,N2,-0.145223026896179,5.6909018810685e-4,0.046756138879013,-0.191979165775192
16,16,Fu08b,Crocosphaera watsonii WH8501,Cyanobacteria,Dz,CP,SCB,S,28,12,N2,-0.252390824150058,1.1157564461612e-4,0.0207029766986601,-0.273093800848718
17,17,Fu08b,Crocosphaera watsonii WH8501,Cyanobacteria,Dz,CN,SCB,S,28,12,N2,-0.0908317516006721,2.8009242501016e-4,0.0328018828219496,-0.123633634422622
18,18,Fu08b,Crocosphaera watsonii WH8501,Cyanobacteria,Dz,CP,SCB,S,28,12,N2,-0.297593672161729,0.00153534336745943,0.0767981661351444,-0.374391838296873
19,19,Fu08b,Crocosphaera watsonii WH8501,Cyanobacteria,Dz,CN,SCB,S,28,12,N2,-0.115986517339423,3.291331667744e-4,0.0355577207746576,-0.151544238114081
20,20,Greene91,﻿Phaeodactylum tricornutum,Bacillariophyta,Dia,CN,B,E,18,24,NO3,0.0594140772636581,0.0117342561111111,0.212312650688346,-0.152898573424688
21,21,Greene91,﻿Phaeodactylum tricornutum,Bacillariophyta,Dia,CP,B,E,18,24,NO3,-0.0615486113101043,0.0117342561111111,0.212312650688346,-0.273861261998451
22,22,Hoffmann07,Fragilariopsis kerguelensis,Bacillariophyta,Dia,CP,B,NA,3,16,NO3,0.142906480390912,0.0863783893372925,0.57603734743252,-0.433130867041607
23,23,Hoffmann07,Fragilariopsis kerguelensis,Bacillariophyta,Dia,CN,B,NA,3,16,NO3,0.0649449389212008,0.0863783893372925,0.57603734743252,-0.511092408511319
24,24,Jacq14,Crocosphaera watsonii WH8501,Cyanobacteria,Dz,CN,B,E,27.5,12,N2,-0.145660300357091,0.00211502289291523,0.0901375246385167,-0.235797824995608
25,25,Jiang18,Trichodesmium erythraeum IMS101,Cyanobacteria,Dz,CP,SCB,NA,22,12,N2,1.33220894654621,0.00630245886283331,0.155597674117234,1.17661127242898
26,26,Jiang18,Trichodesmium erythraeum IMS101,Cyanobacteria,Dz,CN,SCB,NA,22,12,N2,0.0652672324984395,8.5190606805477e-4,0.0572063115358075,0.0080609209626319
27,27,Jiang18,Trichodesmium erythraeum IMS101,Cyanobacteria,Dz,CP,SCB,NA,27,12,N2,1.12854007327987,0.00135251404253636,0.0720806978241329,1.05645937545574
28,28,Jiang18,Trichodesmium erythraeum IMS101,Cyanobacteria,Dz,CN,SCB,NA,27,12,N2,0.386790354706641,0.00415762605265255,0.126377803720075,0.260412550986566
29,29,Jiang18,Trichodesmium erythraeum IMS101,Cyanobacteria,Dz,CP,SCB,NA,32,12,N2,0.571917208047707,0.0107550889349284,0.203261484931185,0.368655723116521
30,30,Jiang18,Trichodesmium erythraeum IMS101,Cyanobacteria,Dz,CN,SCB,NA,32,12,N2,0.313945841827441,0.00229802210609181,0.093956145565878,0.219989696261563
31,31,Koch19,Phaeocystis antarctica,Haptophyta,Euk,CN,B,E,2,16,NO3,0.084957180356871,0.024476137362326,0.306633451806922,-0.221676271450051
32,32,Koch19,Phaeocystis antarctica,Haptophyta,Euk,CN,B,E,2,16,NO3,0.0701397120024334,0.0052989293650706,0.142673119226032,-0.0725334072235987
33,33,Kudo97,Synechococcus sp.,Cyanobacteria,Pro,CN,B,E,23,24,NO3,0.0158530107646859,0.00132441129947718,0.0713279150725967,-0.0554749043079108
34,34,Kudo97,Synechococcus sp.,Cyanobacteria,Pro,CN,B,E,23,24,NO3,0.312581494574549,0.0191828902020487,0.271459541687278,0.0411219528872707
35,35,Kudo97,Synechococcus sp.,Cyanobacteria,Pro,CN,B,E,23,24,NH4,-0.32460091080127,0.0192221690025808,0.271737319240175,-0.596338230041445
36,36,Kudo00,Phaeodactylum tricornutum,Bacillariophyta,Dia,CN,SCB,E,10,24,NO3,-0.00939932191592388,0.111535514506546,0.654567862044745,-0.663967183960669
37,37,Kudo00,Phaeodactylum tricornutum,Bacillariophyta,Dia,CN,SCB,E,20,24,NO3,-0.0969145064927605,0.0982291532896959,0.614282709632965,-0.711197216125725
38,38,LaRoche93,Dunaliella tertiolecta,Chlorophyta,Euk,CP,B,NA,NA,24,NO3,-0.0149892682772346,0.00402819401967,0.124395102187862,-0.139384370465097
39,39,LaRoche93,Dunaliella tertiolecta,Chlorophyta,Euk,CN,B,NA,NA,24,NO3,-0.130187243651634,0.00150664052429343,0.0760769185210747,-0.206264162172708
40,40,LaRoche93,Phaeodactylum tricornutum,Bacillariophyta,Dia,CP,B,NA,NA,24,NO3,0.574092088549765,0.0150770339064137,0.240661182764685,0.33343090578508
41,41,LaRoche93,Phaeodactylum tricornutum,Bacillariophyta,Dia,CN,B,NA,NA,24,NO3,0.212182538442506,0.0101325181624734,0.197290778474506,0.0148917599679995
42,42,Marchetti07,Pseudonitzschia ﻿heimii type 1,Bacillariophyta,Dia,CN,SCB,E,12,24,NO3,0.128869357143634,0.00583536313551486,0.149720764053878,-0.0208514069102437
43,43,Marchetti07,Pseudonitzschia ﻿heimii type 1,Bacillariophyta,Dia,CN,SCB,E,12,24,NO3,-0.0513218973460182,0.00832214700180401,0.178799286931445,-0.230121184277463
44,44,Marchetti07,Pseudonitzschia cf. ﻿heimii type 2,Bacillariophyta,Dia,CN,SCB,E,12,24,NO3,-0.0138464742825242,0.00208773408419942,0.0895541429137236,-0.103400617196248
45,45,Marchetti07,Pseudonitzschia cf. ﻿heimii type 2,Bacillariophyta,Dia,CN,SCB,E,12,24,NO3,0.121783825372453,2.1736466323921e-4,0.0288963216155184,0.0928875037569341
46,46,Marchetti07,Pseudonitzschia ﻿dolorosa,Bacillariophyta,Dia,CN,SCB,E,12,24,NO3,0.0633430420780133,0.00434993460581867,0.129267531348613,-0.0659244892706002
47,47,Marchetti07,Pseudonitzschia ﻿cf. turgidula,Bacillariophyta,Dia,CN,SCB,E,12,24,NO3,-0.00797600262344945,0.00893249176263341,0.185239842561868,-0.193215845185318
48,48,Marchetti07,Pseudonitzschia multiseries,Bacillariophyta,Dia,CN,SCB,E,12,24,NO3,-0.108431021993659,0.00133120765471986,0.0715106942170129,-0.179941716210672
49,49,Marchetti07,Pseudonitzschia cf. calliantha,Bacillariophyta,Dia,CN,SCB,E,12,24,NO3,-0.0405474456674304,0.00217864739986147,0.091483245850703,-0.132030691518133
50,50,Marchetti07,Pseudonitzschia cf. calliantha,Bacillariophyta,Dia,CN,SCB,E,12,24,NO3,0.0899093569689197,0.00210805791501118,0.0899889863936346,-7.96294247148721e-5
51,51,Meyerink17,Eucampia antarctica,Bacillariophyta,Dia,CN,SCB,E,3,20,NO3,0.135195284540645,3.0527175762228e-4,0.034244545347061,0.100950739193584
52,52,Meyerink17,Proboscia inermis,Bacillariophyta,Dia,CN,SCB,E,3,20,NO3,0.135576378167703,4.5857253408353e-4,0.0419712700067946,0.0936051081609084
53,53,Meyerink17,Thalassiosira pseudonana,Bacillariophyta,Dia,CN,SCB,E,20,20,NO3,-0.111563899853915,0.0175529725842097,0.259670986756346,-0.371234886610261
54,54,Muggli96,Actinocyclus sp.,Bacillariophyta,Dia,CN,SCB,E,16,14,NO3,0.303003321662134,3.6585496972782e-4,0.0374888890280273,0.265514432634107
55,55,Muggli96,Actinocyclus sp.,Bacillariophyta,Dia,CN,SCB,E,16,14,NH4,0.0689274885276335,0.00487107355811706,0.136791916742469,-0.0678644282148359
56,56,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Bacillariophyta,Dia,CP,B,E,20,12,NO3,-0.113783812149119,0.0159836722052168,0.247791482056615,-0.361575294205734
57,57,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Bacillariophyta,Dia,CN,B,E,20,12,NO3,0.063509372528595,3.39202921942022e-6,0.00360975630271546,0.0598996162258795
58,58,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Bacillariophyta,Dia,CP,B,E,20,12,NO3,0.272980877202041,6.94066707637499e-6,0.00516355369508655,0.267817323506955
59,59,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Bacillariophyta,Dia,CN,B,E,20,12,NO3,0.121586152465323,4.34303060065411e-5,0.0129164907035259,0.108669661761797
60,60,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Bacillariophyta,Dia,CP,B,E,20,12,NO3,-0.412188956041267,0.0182395387576067,0.264700655544712,-0.676889611585979
61,61,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Bacillariophyta,Dia,CN,B,E,20,12,NO3,0.106916472213687,5.9429547939389e-4,0.0477803475439049,0.0591361246697826
62,62,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Bacillariophyta,Dia,CP,B,E,20,12,NO3,-0.267057652829503,0.00655471093263532,0.158680975952608,-0.425738628782111
63,63,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Bacillariophyta,Dia,CN,B,E,20,12,NO3,0.0910948489300651,5.03451689784149e-5,0.0139067930685499,0.0771880558615152
64,64,Sugie16,Thalassiosira weissflogii,Bacillariophyta,Dia,CP,B,E,20,12,NO3,-0.176992266743701,0.0023727077930143,0.0954707247296493,-0.27246299147335
65,65,Sugie16,Thalassiosira weissflogii,Bacillariophyta,Dia,CN,B,E,20,12,NO3,-0.0384490435041873,2.3538110514513e-4,0.0300700319684652,-0.0685190754726525
66,66,Sugie16,Thalassiosira weissflogii,Bacillariophyta,Dia,CP,B,E,20,12,NO3,-0.0461345776211984,0.00189008356185825,0.0852096131346068,-0.131344190755805
67,67,Sugie16,Thalassiosira weissflogii,Bacillariophyta,Dia,CN,B,E,20,12,NO3,0.0362052053772362,2.8651356302531e-4,0.0331757449642369,0.00302946041299928
68,68,Sugie16,Thalassiosira weissflogii,Bacillariophyta,Dia,CP,B,E,20,12,NO3,-0.0798795153423031,0.00215444798564379,0.0909737501600216,-0.170853265502325
69,69,Sugie16,Thalassiosira weissflogii,Bacillariophyta,Dia,CN,B,E,20,12,NO3,-0.00522900170990297,9.3168450525114e-4,0.0598249752260798,-0.0650539769359828
70,70,Sugie17,Attheya longicornis,Bacillariophyta,Dia,CN,B,E,10,12,NO3,0.0581694671874224,0.0181757817067489,0.264237614582787,-0.206068147395365
71,71,Xu14,Phaeocystis antarctica,Haptophyta,Euk,CP,SCB,NA,2,24,NO3,0.00158924676636122,6.075403763471e-4,0.0483098472119961,-0.0467206004456349
72,72,Xu14,Phaeocystis antarctica,Haptophyta,Euk,CN,SCB,NA,2,24,NO3,-0.0200581992576803,0.0103883984935251,0.199766376114294,-0.219824575371974
73,73,Xu14,Phaeocystis antarctica,Haptophyta,Euk,CP,SCB,NA,4,24,NO3,-0.088301558651164,0.010809336989622,0.203773459814174,-0.292075018465338
74,74,Xu14,Phaeocystis antarctica,Haptophyta,Euk,CN,SCB,NA,4,24,NO3,0.0118379756617231,0.00428792549748716,0.128342858098148,-0.116504882436425
75,75,Xu14,Phaeocystis antarctica,Haptophyta,Euk,CP,SCB,NA,6,24,NO3,0.0646709491319518,0.00190239036226739,0.0854865734342859,-0.0208156243023341
76,76,Xu14,Phaeocystis antarctica,Haptophyta,Euk,CN,SCB,NA,6,24,NO3,0.280358231526257,0.00976536935904941,0.193683412458725,0.0866748190675328
77,77,Xu14,Fragilariopsis cylindrus,Bacillariophyta,Dia,CP,SCB,NA,2,24,NO3,-0.0681320622544947,0.00207538219136447,0.0892888303503217,-0.157420892604816
78,78,Xu14,Fragilariopsis cylindrus,Bacillariophyta,Dia,CN,SCB,NA,2,24,NO3,0.0113726142713131,0.0111645223965893,0.207094309528811,-0.195721695257498
79,79,Xu14,Fragilariopsis cylindrus,Bacillariophyta,Dia,CP,SCB,NA,4,24,NO3,-0.280800807338754,0.078957653092146,0.550738207256525,-0.831539014595278
80,80,Xu14,Fragilariopsis cylindrus,Bacillariophyta,Dia,CN,SCB,NA,4,24,NO3,0.109063483442193,0.0444509764661968,0.413227050947223,-0.30416356750503
81,81,Xu14,Fragilariopsis cylindrus,Bacillariophyta,Dia,CP,SCB,NA,6,24,NO3,0.551494977533298,0.00411980483045572,0.125801671711835,0.425693305821463
82,82,Xu14,Fragilariopsis cylindrus,Bacillariophyta,Dia,CN,SCB,NA,6,24,NO3,-0.0945949522621746,7.1134573902083e-4,0.0522743279605272,-0.146869280222702
83,83,Zhu16,Pseudo-nitzschia subcurvata,Bacillariophyta,Dia,CN,SCB,S,0,24,NO3,-0.303322713421445,0.00432986869089261,0.128969036109745,-0.43229174953119
84,84,Zhu16,Pseudo-nitzschia subcurvata,Bacillariophyta,Dia,CP,SCB,S,0,24,NO3,-0.470244453534892,0.0132198055411458,0.225351588864813,-0.695596042399705
85,85,Zhu16,Pseudo-nitzschia subcurvata,Bacillariophyta,Dia,CN,SCB,S,4,24,NO3,-0.255589053222845,0.00926065327000072,0.188611818795732,-0.444200872018577
86,86,Zhu16,Pseudo-nitzschia subcurvata,Bacillariophyta,Dia,CP,SCB,S,4,24,NO3,-0.571321442347931,0.00140373322297057,0.0734328494018969,-0.644754291749828
87,87,Zhu16,Pseudo-nitzschia subcurvata,Bacillariophyta,Dia,CN,SCB,S,0,24,NO3,-0.0605654013904535,0.00225442416720718,0.0930606125205719,-0.153626013911025
88,88,Zhu16,Pseudo-nitzschia subcurvata,Bacillariophyta,Dia,CP,SCB,S,0,24,NO3,0.130367031490866,0.0179397713708453,0.262516462290976,-0.13214943080011
89,89,Zhu16,Pseudo-nitzschia subcurvata,Bacillariophyta,Dia,CN,SCB,S,4,24,NO3,-0.0301612719374652,7.6103264851766e-4,0.0540691740318308,-0.0842304459692961
90,90,Zhu16,Pseudo-nitzschia subcurvata,Bacillariophyta,Dia,CP,SCB,S,4,24,NO3,0.232574300967188,9.6609734658825e-4,0.0609198093701928,0.171654491596995
91,91,Zhu16,Chaetoceros sp.,Bacillariophyta,Dia,CN,SCB,S,0,24,NO3,-0.195085391471744,0.0038989490491546,0.122383218687498,-0.317468610159241
92,92,Zhu16,Chaetoceros sp.,Bacillariophyta,Dia,CP,SCB,S,0,24,NO3,0.0130388886618554,0.0289320877022346,0.333378798823268,-0.320339910161412
93,93,Zhu16,Chaetoceros sp.,Bacillariophyta,Dia,CN,SCB,S,4,24,NO3,-0.100523220420521,5.6311586340858e-4,0.046510067733381,-0.147033288153902
94,94,Zhu16,Chaetoceros sp.,Bacillariophyta,Dia,CP,SCB,S,4,24,NO3,0.0823534592135519,0.0013496680290864,0.0720048203618535,0.0103486388516984
95,95,Zhu16,Fragilariopsis cylindrus,Bacillariophyta,Dia,CN,SCB,S,0,24,NO3,-0.105738444607184,7.5614355929656e-4,0.0538952163514615,-0.159633660958646
96,96,Zhu16,Fragilariopsis cylindrus,Bacillariophyta,Dia,CP,SCB,S,0,24,NO3,-0.112409955131663,0.00249509886592885,0.0979020916376474,-0.21031204676931
97,97,Zhu16,Fragilariopsis cylindrus,Bacillariophyta,Dia,CN,SCB,S,4,24,NO3,0.0138795264162886,0.00115904347339026,0.0667264398452589,-0.0528469134289703
98,98,Zhu16,Fragilariopsis cylindrus,Bacillariophyta,Dia,CP,SCB,S,4,24,NO3,-0.261874262726654,0.00413958847476519,0.126103364984565,-0.387977627711219
99,99,Zhu16,﻿Phaeocystis antarctica,Haptophyta,Dia,CN,SCB,S,0,24,NO3,-0.100852399659781,0.00538681803277916,0.143851449931843,-0.244703849591624
100,100,Zhu16,﻿Phaeocystis antarctica,Haptophyta,Dia,CP,SCB,S,0,24,NO3,0.285934768049242,0.0150326662044407,0.240306820938564,0.0456279471106774
101,101,Zhu16,﻿Phaeocystis antarctica,Haptophyta,Dia,CN,SCB,S,4,24,NO3,0,0.00382980002696451,0.121293112315075,-0.121293112315075
102,102,Zhu16,﻿Phaeocystis antarctica,Haptophyta,Dia,CP,SCB,S,4,24,NO3,-0.14000981089778,0.0165314150617877,0.252001488502866,-0.392011299400646
