Author,Date,animal,Amniotes,Environment,N,Zr
"Luiselli, L., Capula, M. & Shine, R.",1996,Coronella_austriaca,Y,Wild,28,0.0600721559210317
"Dziminski, M.A. & Roberts, J.D.",2006,Crinia_georgiana,N,Wild,33,-1.95882409003335
"Dziminski, M.A., Vercoe, P.E. & Roberts, J.D.",2009,Crinia_georgiana,N,Wild,36,-0.632833186665638
"Platt, S., Rainwater, T., Thorbjarnarson, J. & McMurry, S.",2008,Crocodylus_moreletii,Y,Wild,15,0.618381313574464
"Thorbjarnarson, J. B. & Hernandez, G.",1993,Crocodylus_intermedius,Y,Captive,53,0.223656109021832
"Iverson, J. B., Hines, K. N. & Valiulis, J. M.",2004,Cyclura_cychlura,Y,Wild,78,-0.120581028408444
"Knapp, C. R., Iverson, J. B. & Owens, A. K.",2006,Cyclura_cychlura,Y,Wild,34,-0.255412811882995
"Knapp, C. R., Iverson, J. B. & Owens, A. K.",2006,Cyclura_cychlura,Y,Wild,73,-0.0902441878561468
"Ebert, D.",1993,Daphnia_magna,N,Captive,215,-0.181982688600706
"Ljubisavljevic, K., Dzukic, G. & Kalezic, M. L.",2008,Darevskia_praticola,Y,Captive,12,-0.38842309971829603
"Brown, C. A.",2003,Diplocentrus_lindo,N,Captive,11,-0.693147180559945
"Brown, C. A.",2003,Diplocentrus_peloncillensis,N,Captive,6,0.0400213538367683
"Kudo, S.",2001,Elasmucha_dorsalis,N,Wild,22,-0.482195263334283
"Kudo, S.",2001,Elasmucha_putoni,N,Wild,20,-1.10419270373687
"Kudo, S.",2001,Elasmucha_putoni,N,Captive,28,-0.290940262008008
"Kudo, S.",2006,Elasmucha_signoreti,N,Wild,24,-0.0380183065300638
"Tejedo, M.",1992,Epidalea_calamita,N,Captive,94,-0.131757175425364
"Marangoni, F., Tejedo, M. & Gomez-Mestre, I.",2008,Epidalea_calamita,N,Wild,167,-0.373443467798625
"Segers, F. H. I .D. & Taborsky, B.",2012,Eretmodus_cyanostictus,N,Captive,10,-0.459896681212679
"Schwarzkopf, L.",1992,Eulamprus_tympanum,Y,Captive,45,-0.174968992536788
"Schwarzkopf, L.",1992,Eulamprus_tympanum,Y,Captive,48,-0.365715021407709
Jones,Unpublished,Galaxias_anomalus,N,Wild,25,-0.819871630964715
Jones,Unpublished,Galaxias_depressiceps,N,Wild,19,-0.422459020065137
Jones,Unpublished,Galaxias_eldoni,N,Wild,22,-0.522984277591344
Jones,Unpublished,Galaxias_pullus,N,Wild,17,-0.409443429277212
Jones,Unpublished,Galaxias_gollumoides,N,Wild,18,-0.726631158326625
Jones,Unpublished,Galaxias_southern,N,Wild,20,-0.00200000266667306
Jones,Unpublished,Galaxias_D.,N,Wild,8,-1.22457998950642
Jones,Unpublished,Galaxias_vulgaris,N,Wild,15,-0.991497176044218
"Edwards, T.M., Miller, H.D. & Guillette Jr., L.J.",2006,Gambusia_holbrooki,N,Wild,240,-0.708921359427408
"Lim, J.N.",NA,Gambusia_affinis,N,Captive,23,-0.103366578597353
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,40,-0.662462707371799
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,41,-0.191299921287684
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,38,-0.346198637131542
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,40,-0.0290081337713623
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,45,-0.245835503904489
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,45,0.0240046095931803
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,35,-0.221555353862266
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,44,-0.135829211491812
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,43,-0.118552298854127
"Glazier, D.S.",2000,Gammarus_minus,N,Captive,46,-0.0450304119590906
"Ljubisavljevic, K., Glasnovic, P., Kalan, K. & Krystufek, B.",2012,Iberolacerta_horvathi,Y,Captive,16,-0.618381313574463
"Rua, M. & P., Galan",2002,Iberolacerta_monticola,Y,Captive,54,-0.37688590118819
"Arribas, O. & Galan, P.",2005,Iberolacerta_aranica,Y,Captive,69,-1.34772841362395
"Arribas, O. & Galan, P.",2005,Iberolacerta_aurelioi,Y,Captive,11,-0.899165004490113
"Arribas, O. & Galan, P.",2005,Iberolacerta_bonnali,Y,Captive,9,-1.07576360624421
"Wilkinson, L.R. & Gibbons, J.W.",2005,Kinosternon_subrubrum,Y,Wild,635,-0.0400213538367682
"Iverson, J. B., Barthelmess, E. L., Smith, G. R. & Derivera, C. E.",1991,Kinosternon_hirtipes,Y,Wild,11,-0.497311287572031
"Marco, A. & V. Pe_rez-Mellado, V.",1998,Lacerta_schreiberi,Y,Wild,26,-0.0400213538367682
"Marco, V. & Martin, J.",1994,Lacerta_schreiberi,Y,Wild,25,-0.203774438156855
"Ford, N.B. & Seigel, R.A.",2006,Lamprophis_fuliginosus,Y,Captive,15,-0.924458941534002
"Forsman, A. & Shine, R.",1995,Lampropholis_delicata,Y,Captive,151,-0.21317134656486
"Timi, J. T., Lanfranchi, A. L. & Poulin, R.",2005,Lernanthropus_cynoscicola,N,Wild,54,-0.0610758297028601
"Madsen, T. & Shine, R.",1996,Liasis_fuscus,Y,Wild,55,-1.04537054846688
"Madsen, T. & Shine, R.",1996,Liasis_fuscus,Y,Wild,56,-0.37688590118819
"Jordan, M. A. & Snell, H. L.",2002,Microlophus_delanonis,Y,Wild,321,0.181982688600706
"Ji, X. & Wang, Z.W.",2005,Naja_atra,Y,Wild,152,-0.266108406873654
"Luiselli, L., Capula, M. & Shine, R.",1997,Natrix_natrix,Y,Captive,18,0.110446915790097
"Taborsky, B., Skubic, E. & Bruintjes, R.",2007,Neolamprologus_pulcher,N,Captive,10,0.244774112659353
"Weatherhead, P.J., Brown, G.P., Prosser, M.R. & Kissner, K.J.",1999,Nerodia_sipedon,Y,Wild,49,-0.604155602962267
"Weatherhead, P.J., Brown, G.P., Prosser, M.R. & Kissner, K.J.",1999,Nerodia_sipedon,Y,Captive,26,-0.120581028408444
"Heath, D.D., Fox, C.W. & Heath, J.W.",1999,Oncorhynchus_tshawytscha,N,Captive,80,-1.02032775832234
"Randriamahazo, H & Mori, A",2001,Oplurus_cuvieri,Y,Wild,17,-0.632833186665638
"Ford, N.B. & Seigel, R.A.",1989,Ovophis_okinavensis,Y,Captive,13,-0.741416144081269
"Ford, N.B. & Seigel, R.A.",1989,Ovophis_okinavensis,Y,Captive,19,-0.708921359427408
"Blouin-Demers, G. & Weatherhead, P.J.",2007,Pantherophis_obsoletus,Y,Wild,52,-0.195440338422517
"Ford, N.B. & Seigel, R.A.",1989,Pantherophis_guttatus,Y,Captive,21,-0.37688590118819
"Simpson, M. R.",1993,Pardosa_glacialis,N,Wild,45,-0.0867368853724054
"Simpson, M. R.",1993,Pardosa_glacialis,N,Wild,55,-0.276786988451095
"Marangoni, F., Tejedo, M. & Gomez-Mestre, I.",2008,Pelobates_cultripes,N,Wild,56,-0.470991400682336
"Brown, C. A., Sanford, B. M. & Swerdon, R. R.",2003,Pirata_sedentarius,N,Captive,16,-0.549306144334055
"Brown, C. A., Sanford, B. M. & Swerdon, R. R.",2003,Pirata_sedentarius,N,Captive,6,-0.497311287572031
"Brown, C. A., Sanford, B. M. & Swerdon, R. R.",2003,Pirata_sedentarius,N,Captive,18,-0.775298706205583
"Hendrickx, F. & Maelfait, J. P.",2003,Pirata_piraticus,N,Captive,28,-0.400059650056057
"Iverson, J. B., Young, C. A., Akre, T. S. B. & Griffiths, C. M.",2012,Pituophis_catenifer,Y,Wild,39,-0.693147180559945
"Galan, P.",1997,Podarcis_bocagei,Y,Wild,89,-0.565436575443166
"Galan, P.",2007,Podarcis_hispanica,Y,Captive,34,-0.810743125475137
"Bejakovic, D., Kalezic, M. Aleksic, I., Dzukic, G. & Crnobrnja-Isalovic, J.",1995,Podarcis_melisellensis,Y,Wild,6,-0.677666067757962
"Maragou, P., Chrondropoulos, B. & Valakos, E.",1999,Podarcis_erhardii,Y,Wild,33,0.510070336613307
"Maragou, P., Chrondropoulos, B. & Valakos, E.",1999,Podarcis_peloponnesiaca,Y,Wild,19,-0.140925576070494
"Maragou, P., Chrondropoulos, B. & Valakos, E.",1999,Podarcis_taurica,Y,Wild,29,-0.0902441878561468
"Lardies, M.A., Carter, M.J, Bozinovic, F",2004,Porcellio_laevis,N,Captive,41,-0.0510442861335116
"Guntrip, J., Sibly, R. M. & Smith, R. H.",1997,Prostephanus_truncatus,N,Captive,54,0.234189466759367
"Diaz, J. A., Perez-Tris, J., Telleria, J. L., Carbonell, R. & Santos, T.",2005,Psammodromus_algirus,Y,Captive,54,-0.569510913502993
"Diaz, J. A., Perez-Tris, Bauwens, D., Perez-Aranda, D. Carbonell, R., Santos, T &  Telleria, J.",2007,Psammodromus_algirus,Y,Wild,54,-0.474713677731792
"Diaz, J. A., Perez-Tris, Bauwens, D., Perez-Aranda, D. Carbonell, R., Santos, T &  Telleria, J.",2007,Psammodromus_algirus,Y,Wild,22,-0.442845145712719
"Wilkinson, L.R. & Gibbons, J.W.",2005,Pseudemys_floridana,Y,Wild,79,-0.181982688600706
"Brown, C. A.",2003,Pseudouroctonus_apacheanus,N,Captive,5,-0.130739850028878
"Jonsson, N. & Jonsson, B.",1999,Salmo_trutta,N,Captive,119,-0.353093884509116
"Jonsson, N. & Jonsson, B.",1999,Salmo_trutta,N,Captive,150,-0.406444574126726
"Kudo, S.",2001,Sastragala_esakii,N,Wild,14,-0.961623144739051
"Kudo, S.",2001,Sastragala_scutellata,N,Wild,10,-1.15987763694343
"Abell, A.J.",1999,Sceloporus_virgatus,Y,Wild,21,-0.472230804420426
"Abell, A.J.",1999,Sceloporus_virgatus,Y,Wild,14,-0.576339754969193
"Abell, A.J.",1999,Sceloporus_virgatus,Y,Wild,21,-0.522984277591344
"Abell, A.J.",1999,Sceloporus_virgatus,Y,Wild,14,-0.510070336613307
"Sinervo, B.",1990,Sceloporus_occidentalis,Y,Wild,455,-0.354092528962243
"Sinervo, B.",1990,Sceloporus_occidentalis,Y,Wild,305,-0.37688590118819
"Sinervo, B.",1990,Sceloporus_occidentalis,Y,Wild,192,-0.365443754271396
"Sinervo, B.",1990,Sceloporus_occidentalis,Y,Wild,392,-0.331647108705132
"Angiletta, M., Sears, M. & Winters, S.",2001,Sceloporus_undulatus,Y,Wild,28,-0.996215082345103
"Segers, F.H.I.D. & Taborsky, B.",2011,Simochromis_pleurospilus,N,Captive,20,-0.181982688600706
"Ford, N. B. & Seigel, R. A.",2010,Spalerosophis_diadema,Y,Captive,12,-0.900209779229699
"Ford, N. B. & Seigel, R. A.",2010,Spalerosophis_diadema,Y,Captive,18,-0.297474786567973
"Wilkinson, L.R. & Gibbons, J.W.",2005,Sternotherus_odoratus,Y,Wild,46,0.0300090048631265
"Clark, P. J., Ewert, M. A. & Nelson, C. E.",2001,Sternotherus_odoratus,Y,Wild,70,0.0330119868331721
"Iverson, J. B.",2002,Sternotherus_carinatus,Y,Wild,40,-0.758173744684044
"Du, W.G., Ji, X., Zhang, Y.P., Xu, X.F & Shine, R.",2005,Takydromus_septentrionalis,Y,Captive,401,-0.187003388659155
"Du, W. & Shou, L.",2008,Takydromus_septentrionalis,Y,Captive,77,-0.498834425192459
"Gignac, A. & Gregory, P.T.",2005,Thamnophis_ordinoides,Y,Captive,24,-0.708921359427408
"Gregerson, F, Haugen, T.O. & Larsen, ø.N.",2006,Thymallus_thymallus,N,Wild,42,-0.677802733132146
"Gregerson, F, Haugen, T.O. & Larsen, ø.N.",2006,Thymallus_thymallus,N,Wild,7,-0.271021547443731
"Gregerson, F, Haugen, T.O. & Larsen, ø.N.",2006,Thymallus_thymallus,N,Wild,28,-0.387012386418982
"Gregerson, F, Haugen, T.O. & Larsen, ø.N.",2006,Thymallus_thymallus,N,Wild,37,-0.713092720322706
"Gregerson, F, Haugen, T.O. & Larsen, ø.N.",2006,Thymallus_thymallus,N,Wild,35,-0.571690159689725
"Brown, C. A.",2003,Tityus_sp,N,Captive,30,-0.604155602962267
"Brown, C. A.",2003,Tityus_sp,N,Captive,31,-0.632833186665638
"Tucker, J. K., Paukstis, G. L. & Janzen, F. J.",1998,Trachemys_scripta,Y,Wild,782,-0.21317134656486
"Brown, G.P. & Shine, R.",2005,Tropidonophis_mairii,Y,Wild,318,-0.847955755218963
"Brown, G. & Shine, R.",2002,Tropidonophis_mairii,Y,Wild,207,-0.287682072451781
"Rieger, J.F.",1996,Urocitellus_armatus,Y,Wild,44,-0.928727364246725
"Rieger, J.F.",1996,Urocitellus_armatus,Y,Wild,36,-0.741416144081269
"Skibiel, A.L., Dobson, F.S. & Murie, J.O.",2009,Urocitellus_columbianus,Y,Wild,90,-0.354092528962243
"Dahle, B., Zedrosser, A. & Swenson, J.E.",2006,Ursus_arctos,Y,Wild,226,-0.614932621255584
"Dahle, B., Zedrosser, A. & Swenson, J.E.",2006,Ursus_arctos,Y,Wild,224,-1.18261336899448
"Brown, C. A.",2003,Vaejovis_sp,N,Captive,19,0.0500417292784913
"Brown, C. A.",2003,Vaejovis_sp,N,Captive,12,-0.536060336610567
"Brown, C. A.",2003,Vaejovis_sp,N,Captive,19,-0.100335347731076
"Brown, C. A.",2003,Vaejovis_sp,N,Captive,10,1.04537054846688
"Brown, C. A.",2003,Vaejovis_sp,N,Captive,17,-0.0902441878561468
"Brown, C. A.",2003,Vaejovis_sp,N,Captive,15,5.0000004166663e-4
"Brown, C. A.",2003,Vaejovis_sp,N,Captive,13,-0.497311287572031
"Brown, C. A.",2003,Vaejovis_sp,N,Captive,6,0.662462707371799
"Brown, C. A.",2003,Vaejovis_sp,N,Captive,36,0.0600721559210317
"Brown, C. A.",2003,Vaejovis_sp,N,Captive,35,-0.181982688600706
"Brown, C. A.",2003,Vaejovis_sp,N,Captive,44,0.41180003447869
"Bonnet, X., Naulleau, G., Shine, R. & Lourdais, O.",2001,Vipera_aspis,Y,Wild,132,-0.171666663500579
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,27,-0.459896681212679
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,49,-0.647522844827373
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,47,-0.354092528962243
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,32,-0.604155602962267
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,44,-0.829114038301766
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,36,-0.435611223236224
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,44,-1.07143168405867
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,47,-0.576339754969193
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,49,-0.536060336610567
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,47,-0.536060336610567
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,49,-0.435611223236224
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,48,-0.435611223236224
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,50,-0.459896681212679
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,43,-0.662462707371799
"Vetemaa, M., Neuman, E., Thoresson, G. & Pihlak, M",2006,Zoarces_viviparus,N,Wild,50,-0.38842309971829603
"Sorci, G. & Clobert, J.",1999,Zootoca_vivipara,Y,Captive,44,-0.409443429277212
"Uller, T. & Olsson, M.",2005,Zootoca_vivipara,Y,Captive,25,-0.604155602962267
"Uller, T. & Olsson, M.",2005,Zootoca_vivipara,Y,Wild,45,-0.192337169219545
