"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","studyid","aget1","aget2","propmale","sexmix","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",11,0.245,0.006,"from_dataset",7,13.5,15.5,1,"male",12.5,0.245,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",12,0.299,0.006,"from_dataset",7,13.5,15.5,1,"male",12.5,0.299,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",13,0.266,0.006,"from_dataset",7,13.5,15.5,1,"male",12.5,0.266,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",14,0.141,0.007,"from_dataset",8,13.5,15.5,0,"female",11.7647058823529,0.141,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",15,0.182,0.007,"from_dataset",8,13.5,15.5,0,"female",11.7647058823529,0.182,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",16,0.03,0.007,"from_dataset",8,13.5,15.5,0,"female",11.7647058823529,0.03,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",17,0.117,0.008,"from_dataset",24,11,13,0.533,"mixed",11.2359550561798,0.117,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",18,0.048,0.008,"from_dataset",24,11,14,0.533,"mixed",11.2359550561798,0.048,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",19,0.189,0.008,"from_dataset",24,11,12,0.533,"mixed",11.2359550561798,0.189,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",20,0.032,0.008,"from_dataset",24,11,14,0.533,"mixed",11.2359550561798,0.032,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",21,0.246,0.008,"from_dataset",24,11,14,0.533,"mixed",11.2359550561798,0.246,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",22,0.125,0.008,"from_dataset",24,11,12,0.533,"mixed",11.2359550561798,0.125,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",23,0.065,0.008,"from_dataset",24,11,13,0.533,"mixed",11.2359550561798,0.065,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",24,0.068,0.008,"from_dataset",24,11,13,0.533,"mixed",11.2359550561798,0.068,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",25,-0.003,0.008,"from_dataset",24,11,12,0.533,"mixed",11.2359550561798,0.003,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",26,0.377,0.007,"from_dataset",25,14,15,0.55,"mixed",11.7647058823529,0.377,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",27,0.121,0.007,"from_dataset",25,14,15,0.55,"mixed",11.7647058823529,0.121,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",28,-0.006,0.007,"from_dataset",25,13,15,0.55,"mixed",11.7647058823529,0.006,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",29,0.13,0.007,"from_dataset",25,14,15,0.55,"mixed",11.7647058823529,0.13,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",30,-0.007,0.007,"from_dataset",25,12,15,0.55,"mixed",11.7647058823529,0.007,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",31,0.016,0.007,"from_dataset",25,12,15,0.55,"mixed",11.7647058823529,0.016,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",32,0.279,0.007,"from_dataset",25,13,15,0.55,"mixed",11.7647058823529,0.279,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",33,0.036,0.007,"from_dataset",25,13,15,0.55,"mixed",11.7647058823529,0.036,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",34,0.026,0.007,"from_dataset",25,12,15,0.55,"mixed",11.7647058823529,0.026,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",35,0.14,0.007,"from_dataset",26,13,16,0.543,"mixed",11.6279069767442,0.14,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",36,0.176,0.007,"from_dataset",26,14,15,0.543,"mixed",11.6279069767442,0.176,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",37,0.175,0.007,"from_dataset",26,13,16,0.543,"mixed",11.6279069767442,0.175,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",38,0.214,0.007,"from_dataset",26,13,15,0.543,"mixed",11.6279069767442,0.214,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",39,0.144,0.007,"from_dataset",26,14,16,0.543,"mixed",11.6279069767442,0.144,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",40,0.068,0.007,"from_dataset",26,13,15,0.543,"mixed",11.6279069767442,0.068,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",41,0.201,0.007,"from_dataset",26,14,16,0.543,"mixed",11.6279069767442,0.201,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",42,0.163,0.007,"from_dataset",26,14,15,0.543,"mixed",11.6279069767442,0.163,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",43,0.208,0.007,"from_dataset",26,14,16,0.543,"mixed",11.6279069767442,0.208,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",44,0.194,0.007,"from_dataset",26,14,15,0.543,"mixed",11.6279069767442,0.194,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",45,0.107,0.007,"from_dataset",26,13,15,0.543,"mixed",11.6279069767442,0.107,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",46,0.28,0.007,"from_dataset",26,13,16,0.543,"mixed",11.6279069767442,0.28,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",47,0.149,0.008,"from_dataset",27,14,17,0.523,"mixed",11.2359550561798,0.149,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",48,0.198,0.008,"from_dataset",27,14,17,0.523,"mixed",11.2359550561798,0.198,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",49,0.231,0.008,"from_dataset",27,14,15,0.523,"mixed",11.2359550561798,0.231,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",50,0.189,0.008,"from_dataset",27,14,16,0.523,"mixed",11.2359550561798,0.189,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",51,0.216,0.008,"from_dataset",27,14,16,0.523,"mixed",11.2359550561798,0.216,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",52,0.327,0.008,"from_dataset",27,14,16,0.523,"mixed",11.2359550561798,0.327,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",53,0.221,0.008,"from_dataset",27,14,15,0.523,"mixed",11.2359550561798,0.221,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",54,0.122,0.008,"from_dataset",27,14,17,0.523,"mixed",11.2359550561798,0.122,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",55,0.076,0.008,"from_dataset",27,14,15,0.523,"mixed",11.2359550561798,0.076,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",56,0.137,0.008,"from_dataset",28,15,18,0.519,"mixed",11.3636363636364,0.137,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",57,0.182,0.008,"from_dataset",28,15,18,0.519,"mixed",11.3636363636364,0.182,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",58,0.205,0.008,"from_dataset",28,16,18,0.519,"mixed",11.3636363636364,0.205,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",59,0.12,0.008,"from_dataset",28,16,18,0.519,"mixed",11.3636363636364,0.12,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",60,0.174,0.008,"from_dataset",28,17,18,0.519,"mixed",11.3636363636364,0.174,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",61,0.033,0.008,"from_dataset",28,16,18,0.519,"mixed",11.3636363636364,0.033,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",62,-0.006,0.008,"from_dataset",28,17,18,0.519,"mixed",11.3636363636364,0.006,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",63,0.153,0.008,"from_dataset",28,15,18,0.519,"mixed",11.3636363636364,0.153,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",64,-0.002,0.008,"from_dataset",28,17,18,0.519,"mixed",11.3636363636364,0.002,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",65,0.119,0.008,"from_dataset",29,16,18,0.556,"mixed",11.1111111111111,0.119,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",66,0.053,0.008,"from_dataset",29,17,18,0.556,"mixed",11.1111111111111,0.053,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",67,0.068,0.008,"from_dataset",29,16,18,0.556,"mixed",11.1111111111111,0.068,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",68,0.141,0.008,"from_dataset",29,16,18,0.556,"mixed",11.1111111111111,0.141,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",69,0.135,0.008,"from_dataset",29,16,18,0.556,"mixed",11.1111111111111,0.135,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",70,0.17,0.008,"from_dataset",29,16,18,0.556,"mixed",11.1111111111111,0.17,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",71,0.014,0.008,"from_dataset",29,17,18,0.556,"mixed",11.1111111111111,0.014,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",72,0.029,0.008,"from_dataset",29,16,18,0.556,"mixed",11.1111111111111,0.029,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",73,-0.119,0.008,"from_dataset",29,17,18,0.556,"mixed",11.1111111111111,0.119,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",74,0.139,0.008,"from_dataset",29,17,18,0.556,"mixed",11.1111111111111,0.139,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",75,-0.049,0.008,"from_dataset",29,17,18,0.556,"mixed",11.1111111111111,0.049,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",76,0.083,0.008,"from_dataset",29,17,18,0.556,"mixed",11.1111111111111,0.083,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",77,0.098,0.014,"from_dataset",30,17,19,0.534,"mixed",8.33333333333333,0.098,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",78,0.078,0.014,"from_dataset",30,17,18,0.534,"mixed",8.33333333333333,0.078,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",79,-0.117,0.014,"from_dataset",30,17,19,0.534,"mixed",8.33333333333333,0.117,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",80,0.122,0.014,"from_dataset",30,17,18,0.534,"mixed",8.33333333333333,0.122,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",81,-0.097,0.014,"from_dataset",30,17,20,0.534,"mixed",8.33333333333333,0.097,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",82,-0.131,0.014,"from_dataset",30,17,20,0.534,"mixed",8.33333333333333,0.131,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",83,-0.078,0.014,"from_dataset",30,17,18,0.534,"mixed",8.33333333333333,0.078,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",84,-0.09,0.014,"from_dataset",30,17,20,0.534,"mixed",8.33333333333333,0.09,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",85,-0.022,0.014,"from_dataset",30,17,19,0.534,"mixed",8.33333333333333,0.022,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",86,0,0.002,"from_dataset",36,13.75,19.5,1,"male",21.7391304347826,0,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",87,0,0.002,"from_dataset",36,13.75,19.5,1,"male",21.7391304347826,0,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",88,0.152,0.001,"from_dataset",61,17.68,18.5,1,"male",35.7142857142857,0.152,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",89,0.151,0.001,"from_dataset",61,17.68,18.5,1,"male",35.7142857142857,0.151,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",90,0.09,0.001,"from_dataset",61,15.49,18.5,1,"male",35.7142857142857,0.09,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",91,0.141,0.001,"from_dataset",61,17.68,18.5,1,"male",35.7142857142857,0.141,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",92,0.077,0.001,"from_dataset",61,15.49,18.5,1,"male",35.7142857142857,0.077,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",93,0.06,0.001,"from_dataset",61,15.49,18.5,1,"male",35.7142857142857,0.06,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",94,0.09,0.001,"from_dataset",61,15.49,18.5,1,"male",35.7142857142857,0.09,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",95,0.191,0.001,"from_dataset",61,17.68,18.5,1,"male",35.7142857142857,0.191,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",96,0.213,0.001,"from_dataset",61,17.68,18.5,1,"male",35.7142857142857,0.213,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",97,0.09,0.001,"from_dataset",61,15.49,18.5,1,"male",35.7142857142857,0.09,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",98,0.151,0.001,"from_dataset",61,17.68,18.5,1,"male",35.7142857142857,0.151,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",99,0.077,0.001,"from_dataset",61,15.49,18.5,1,"male",35.7142857142857,0.077,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",100,0.01,0.005,"from_dataset",86,14,16,1,"male",13.8888888888889,0.01,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",101,0.03,0.005,"from_dataset",86,14,16,1,"male",13.8888888888889,0.03,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",102,0.251,0.004,"from_dataset",86,13,15,1,"male",16.1290322580645,0.251,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",103,0.09,0.005,"from_dataset",86,14,16,1,"male",13.8888888888889,0.09,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",104,0.161,0.005,"from_dataset",86,14,16,1,"male",13.8888888888889,0.161,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",105,0.213,0.005,"from_dataset",86,14,16,1,"male",13.8888888888889,0.213,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",106,0.363,0.004,"from_dataset",86,13,15,1,"male",16.1290322580645,0.363,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",107,0.121,0.005,"from_dataset",87,14,16,0,"female",13.6986301369863,0.121,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",108,0.383,0.004,"from_dataset",87,13,15,0,"female",15.3846153846154,0.383,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",109,0.06,0.005,"from_dataset",87,14,16,0,"female",13.6986301369863,0.06,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",110,0.07,0.005,"from_dataset",87,14,16,0,"female",13.6986301369863,0.07,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",111,0.514,0.004,"from_dataset",87,13,15,0,"female",15.3846153846154,0.514,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",112,0.234,0.005,"from_dataset",87,14,16,0,"female",13.6986301369863,0.234,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",113,0.161,0.005,"from_dataset",87,14,16,0,"female",13.6986301369863,0.161,"CRAN",NA,NA,"CRAN"
